"Date","TSS","Price"
2008-02-29,60,22.23
2008-03-07,54,22.34
2008-03-14,70,21.8
2008-03-28,69,23.56
2008-04-04,65,26.06
2008-04-11,62,24.36
2008-04-18,70,24.94
2008-04-25,72,25.41
2008-05-02,70,24.44
2008-05-09,62,24.36
2008-05-16,61,24.78
2008-05-23,57,23.57
2008-05-30,68,24.52
2008-06-06,77,24.41
2008-06-13,64,24.53
2008-06-20,62,23.2
2008-06-27,71,22.36
2008-07-11,66,21.91
2008-07-18,68,23.01
2008-07-25,73,22.29
2008-08-01,69,19.23
2008-08-08,75,21.1
2008-08-15,68,20.89
2008-08-22,75,19.97
2008-08-29,67,19.92
2008-09-05,65,19.01
2008-09-12,67,18.76
2008-09-19,75,18.04
2008-09-26,67,17.45
2008-10-03,72,15.46
2008-10-10,63,13.56
2008-10-17,68,13.4
2008-10-24,72,11.81
2008-10-31,62,13.74
2008-11-07,63,12.8
2008-11-14,66,12.16
2008-11-21,61,11.34
2008-11-28,62,14.27
2008-12-05,73,13.5
2008-12-12,67,13.69
2008-12-19,51,14.1
2008-12-26,49,14.11
2009-01-02,57,14.86
2009-01-09,67,14.19
2009-01-16,66,13.81
2009-01-23,65,12.72
2009-01-30,72,12.66
2009-02-06,74,13.67
2009-02-13,72,13.2
2009-02-20,66,12.73
2009-02-27,67,12.58
2009-03-06,83,11.82
2009-03-13,63,12.94
2009-03-20,60,13.03
2009-03-27,65,13.76
2009-04-03,64,14.58
2009-04-17,66,14.4
2009-04-24,65,14.68
2009-05-01,67,12.68
2009-05-08,63,13.71
2009-05-15,67,13
2009-05-22,65,13.35
2009-05-29,57,13.65
2009-06-05,69,14.11
2009-06-12,61,14.46
2009-06-19,65,13.3
2009-06-26,52,13.46
2009-07-10,63,12.84
2009-07-17,60,13.3
2009-07-24,66,13.32
2009-07-31,66,14.68
2009-08-07,67,14.91
2009-08-14,64,15.11
2009-08-21,62,15.36
2009-08-28,60,15.39
2009-09-04,67,15.13
2009-09-11,69,15.53
2009-09-18,66,16.02
2009-09-25,61,15.78
2009-10-02,72,15.44
2009-10-09,67,16.27
2009-10-16,56,16.56
2009-10-23,61,16.57
2009-10-30,63,15.97
2009-11-06,52,16.75
2009-11-13,53,17.13
2009-11-20,56,17.18
2009-11-27,60,17.15
2009-12-04,57,17.55
2009-12-11,51,17.3
2009-12-18,53,17.59
2010-01-08,56,17.02
2010-01-15,56,16.51
2010-01-22,63,14.69
2010-01-29,56,14.31
2010-02-05,62,14.56
2010-02-12,61,14.23
2010-02-19,58,14.38
2010-02-26,57,14.24
2010-03-05,70,14.89
2010-03-12,59,15.13
2010-03-19,59,15.16
2010-03-26,61,15.61
2010-04-09,58,16.33
2010-04-16,62,16.21
2010-04-23,61,16.77
2010-04-30,62,16.01
2010-05-07,62,14.95
2010-05-14,62,15.26
2010-05-21,62,14.46
2010-05-28,66,14.6
2010-06-04,59,14.28
2010-06-11,65,14.41
2010-06-18,62,14.85
2010-06-25,61,14.13
2010-07-02,65,13.63
2010-07-09,62,14.45
2010-07-16,68,14.15
2010-07-23,74,15.42
2010-07-30,72,14.91
2010-08-06,100,15.2
2010-08-13,78,14.36
2010-08-20,73,14.19
2010-08-27,75,14.55
2010-09-03,73,14.54
2010-09-10,74,14.21
2010-09-17,64,14.99
2010-09-24,69,15.26
2010-10-01,72,15.27
2010-10-08,69,15.35
2010-10-15,65,15.91
2010-10-22,65,15.98
2010-10-29,64,15.61
2010-11-05,66,15.92
2010-11-12,66,15.52
2010-11-19,66,15.62
2010-11-26,64,15.43
2010-12-03,70,15.56
2010-12-10,68,15.34
2010-12-17,67,15.28
2010-12-31,68,15.38
2011-01-07,71,15.95
2011-01-14,65,16.41
2011-01-21,72,17.07
2011-01-28,73,17.38
2011-02-04,72,17.41
2011-02-11,74,17.7
2011-02-18,78,17.63
2011-02-25,74,17.63
2011-03-04,77,18.08
2011-03-11,72,17.92
2011-03-18,66,17.77
2011-03-25,77,18.18
2011-04-01,82,18.23
2011-04-08,77,18.39
2011-04-15,78,18.96
2011-04-29,75,18.85
2011-05-06,78,18.85
2011-05-13,68,18.99
2011-05-20,69,18.85
2011-05-27,68,18.47
2011-06-03,71,17.82
2011-06-10,66,17.45
2011-06-17,67,17.75
2011-06-24,63,17.76
2011-07-01,69,18.79
2011-07-08,72,18.65
2011-07-15,69,18.12
2011-07-22,68,18.17
2011-07-29,69,18.61
2011-08-05,69,17.73
2011-08-12,70,17.39
2011-08-19,66,16.55
2011-08-26,67,17.48
2011-09-02,68,17.2
2011-09-09,69,17.01
2011-09-16,67,18.29
2011-09-23,73,17.19
2011-09-30,68,16.93
2011-10-07,69,17.96
2011-10-14,70,19
2011-10-21,69,18.88
2011-10-28,71,20.25
2011-11-04,73,20.08
2011-11-11,74,20.26
2011-11-18,68,19.5
2011-11-25,68,18.73
2011-12-02,70,20.07
2011-12-09,79,20.2
2011-12-16,69,19.21
2011-12-23,71,19.68
2011-12-30,66,19.56
2012-01-06,78,19.4
2012-01-13,68,20.62
2012-01-20,67,20.8
2012-01-27,77,21.46
2012-02-03,79,21.6
2012-02-10,76,21.42
2012-02-17,70,21.64
2012-02-24,74,21.96
2012-03-02,78,21.98
2012-03-09,78,22.32
2012-03-16,76,22.83
2012-03-23,76,22.77
2012-03-30,83,23.07
2012-04-13,73,22.64
2012-04-20,80,23.39
2012-04-27,82,23.77
2012-05-04,82,23.12
2012-05-11,76,22.89
2012-05-18,71,21.88
2012-05-25,78,23.56
2012-06-01,83,22.51
2012-06-08,78,23.45
2012-06-15,75,23.81
2012-06-22,78,23.64
2012-06-29,80,23.93
2012-07-06,86,24.04
2012-07-13,80,23.42
2012-07-20,79,24.06
2012-07-27,74,23.62
2012-08-03,80,23.47
2012-08-10,70,23.67
2012-08-17,72,23.98
2012-08-24,73,23.41
2012-08-31,73,23.18
2012-09-07,75,23.67
2012-09-14,71,23.86
2012-09-21,75,24.31
2012-09-28,78,23.7
2012-10-05,76,24.19
2012-10-12,79,23.03
2012-10-19,76,23.03
2012-10-26,73,22.46
2012-11-02,79,22.36
2012-11-09,71,22.02
2012-11-16,70,21.44
2012-11-23,70,21.98
2012-11-30,71,21.95
2012-12-07,77,22.18
2012-12-14,64,21.96
2012-12-21,64,21.67
2012-12-28,60,21.23
2013-01-04,67,22.27
2013-01-11,74,23.66
2013-01-18,67,23.62
2013-01-25,71,23.75
2013-02-01,77,23.21
2013-02-08,82,23.2
2013-02-15,73,23.27
2013-02-22,72,22.87
2013-03-01,74,23.8
2013-03-08,76,24.25
2013-03-15,71,24.29
2013-03-22,72,24.37
2013-04-05,77,24.03
2013-04-12,75,24.9
2013-04-19,73,23.95
2013-04-26,70,23.24
2013-05-03,74,23.92
2013-05-10,69,24.24
2013-05-17,71,24.2
2013-05-24,71,23.65
2013-05-31,70,23.51
2013-06-07,76,23.43
2013-06-14,73,23.46
2013-06-21,69,22.78
2013-06-28,67,24.48
2013-07-05,71,24.78
2013-07-12,68,25.64
2013-07-19,71,25.47
2013-07-26,70,27.17
2013-08-02,79,28.17
2013-08-09,70,27.91
2013-08-16,67,28.07
2013-08-23,68,28.35
2013-08-30,74,27.67
2013-09-06,74,28.2
2013-09-13,68,29.11
2013-09-20,67,29.51
2013-09-27,69,29.31
2013-10-04,77,29.4
2013-10-11,65,29.59
2013-10-18,68,30.32
2013-10-25,71,30.04
2013-11-01,73,29.73
2013-11-08,72,30.18
2013-11-15,68,30.95
2013-11-22,72,31.3
2013-11-29,70,31.05
2013-12-06,73,30.76
2013-12-13,65,31.29
2013-12-20,62,33.06
2013-12-27,56,33.2
2014-01-03,64,32.85
2014-01-10,73,32.5
2014-01-17,68,32.2
2014-01-24,65,30.96
2014-01-31,72,29.88
2014-02-07,77,29.5
2014-02-14,70,29.54
2014-02-21,67,30.11
2014-02-28,72,30.46
2014-03-07,78,30.8
2014-03-14,69,30.17
2014-03-21,68,30.63
2014-03-28,72,30.42
2014-04-04,79,29.91
2014-04-11,69,28.81
2014-04-25,70,29.79
