"Date","buy.XL","Price"
2010-08-13,30,18
2010-08-20,43,17.63
2010-08-27,31,18.17
2010-09-03,38,19.1
2010-09-10,31,20.24
2010-09-17,29,20.89
2010-09-24,31,21.22
2010-10-01,27,21.55
2010-10-08,33,22.08
2010-10-15,31,22.04
2010-10-22,34,21.98
2010-10-29,39,21.15
2010-11-05,31,20.8
2010-11-12,49,20.13
2010-11-19,51,20.18
2010-11-26,88,19.75
2010-12-03,76,20.55
2010-12-10,65,21.11
2010-12-17,72,21.7
2010-12-31,75,21.82
2011-01-07,46,22.12
2011-01-14,34,23.57
2011-01-21,30,22.69
2011-01-28,34,22.81
2011-02-04,32,23.44
2011-02-11,31,23.24
2011-02-18,31,24.65
2011-02-25,27,23.28
2011-03-04,32,22.95
2011-03-11,31,22.22
2011-03-18,27,21.97
2011-03-25,25,23.12
2011-04-01,25,24.78
2011-04-08,28,25.19
2011-04-15,28,24.47
2011-04-29,33,24.42
2011-05-06,24,23.45
2011-05-13,33,23
2011-05-20,27,23.54
2011-05-27,27,23.21
2011-06-03,31,22.44
2011-06-10,32,20.87
2011-06-17,25,21.32
2011-06-24,31,21.18
2011-07-01,33,22.3
2011-07-08,37,22.11
2011-07-15,30,21.19
2011-07-22,32,21.57
2011-07-29,30,20.52
2011-08-05,32,19.96
2011-08-12,29,19.24
2011-08-19,27,18.76
2011-08-26,24,19.27
2011-09-02,25,19.56
2011-09-09,21,19.25
2011-09-16,28,20.03
2011-09-23,23,18.36
2011-09-30,42,18.8
2011-10-07,20,18.76
2011-10-14,29,19.75
2011-10-21,35,21.54
2011-10-28,27,22.56
2011-11-04,31,21.31
2011-11-11,40,21.2
2011-11-18,44,19.86
2011-11-25,58,18.92
2011-12-02,46,20.75
2011-12-09,41,20.56
2011-12-16,48,19.66
2011-12-23,43,20.27
2011-12-30,44,19.77
2012-01-06,23,19.93
2012-01-13,25,20.26
2012-01-20,34,20.39
2012-01-27,26,20.3
2012-02-03,29,21.02
2012-02-10,25,19.27
2012-02-17,23,19.94
2012-02-24,29,20.08
2012-03-02,32,21.02
2012-03-09,28,21.22
2012-03-16,25,21.87
2012-03-23,27,21.13
2012-03-30,19,21.69
2012-04-13,27,20.81
2012-04-20,23,21.38
2012-04-27,26,21.72
2012-05-04,30,21.14
2012-05-11,26,22.12
2012-05-18,30,20.35
2012-05-25,28,20.25
2012-06-01,25,19.7
2012-06-08,31,20.39
2012-06-15,31,20.35
2012-06-22,32,20.11
2012-06-29,42,21.04
2012-07-06,38,20.83
2012-07-13,31,20.45
2012-07-20,38,20.41
2012-07-27,36,20.88
2012-08-03,40,21.2
2012-08-10,46,22.98
2012-08-17,45,23.45
2012-08-24,59,23.23
2012-08-31,42,23.12
2012-09-07,41,23.76
2012-09-14,38,24.68
2012-09-21,45,24.2
2012-09-28,33,24.03
2012-10-05,41,24.86
2012-10-12,42,24.98
2012-10-19,36,25.43
2012-10-26,35,24.77
2012-11-02,41,24.01
2012-11-09,44,24
2012-11-16,50,23.71
2012-11-23,83,24.36
2012-11-30,74,24.33
2012-12-07,71,25.09
2012-12-14,80,24.29
2012-12-21,65,24.56
2012-12-28,59,24.69
2013-01-04,45,26.01
2013-01-11,41,26.6
2013-01-18,38,27.22
2013-01-25,33,27.79
2013-02-01,36,28.07
2013-02-08,42,28.24
2013-02-15,39,28.67
2013-02-22,31,28.99
2013-03-01,35,28.82
2013-03-08,35,29.66
2013-03-15,36,30.4
2013-03-22,37,30.25
2013-04-05,42,30.77
2013-04-12,34,31.29
2013-04-19,33,30.44
2013-04-26,37,31.15
2013-05-03,34,32.23
2013-05-10,32,31.93
2013-05-17,37,32.45
2013-05-24,36,31.5
2013-05-31,36,31.43
2013-06-07,42,31.31
2013-06-14,51,31.06
2013-06-21,51,29.56
2013-06-28,56,30.32
2013-07-05,45,30.65
2013-07-12,44,32.01
2013-07-19,40,32.88
2013-07-26,45,32.22
2013-08-02,42,31.95
2013-08-09,45,30.84
2013-08-16,38,30.43
2013-08-23,33,30.92
2013-08-30,39,29.56
2013-09-06,37,29.94
2013-09-13,35,30.51
2013-09-20,38,31.44
2013-09-27,34,31
2013-10-04,35,31.15
2013-10-11,47,31.3
2013-10-18,65,32.08
2013-10-25,53,31.68
2013-11-01,57,30.32
2013-11-08,57,31.25
2013-11-15,44,31.39
2013-11-22,62,31.55
2013-11-29,100,31.99
2013-12-06,71,30.75
2013-12-13,65,29.65
2013-12-20,62,31.1
2013-12-27,61,31.69
2014-01-03,44,30.81
2014-01-10,38,30.42
2014-01-17,35,29.94
2014-01-24,40,28.81
2014-01-31,37,28.74
2014-02-07,29,28.87
2014-02-14,37,29.23
2014-02-21,31,29.44
2014-02-28,57,30.4
2014-03-07,50,30.7
2014-03-14,57,29.97
2014-03-21,48,30.55
2014-03-28,51,30.62
2014-04-04,44,31.21
2014-04-11,43,30.95
2014-04-25,41,31.39
