"Date","CVC","Price"
2009-11-13,61,25.1
2009-11-20,62,25.6
2009-11-27,65,25.05
2009-12-04,63,24.95
2009-12-11,58,26.08
2009-12-18,57,25.84
2010-01-08,82,26.28
2010-01-15,86,26.92
2010-01-22,70,25.86
2010-01-29,61,25.64
2010-02-05,69,25.24
2010-02-12,59,22.42
2010-02-19,57,23.12
2010-02-26,64,24.08
2010-03-05,59,24.28
2010-03-12,60,24.09
2010-03-19,55,23.44
2010-03-26,56,23.73
2010-04-09,55,25.7
2010-04-16,59,25.71
2010-04-23,56,26.26
2010-04-30,57,27.44
2010-05-07,50,24.64
2010-05-14,56,24.39
2010-05-21,61,23.2
2010-05-28,61,24.81
2010-06-04,50,24.8
2010-06-11,51,23.4
2010-06-18,50,25.21
2010-06-25,58,24.09
2010-07-02,59,23.93
2010-07-09,62,25.34
2010-07-16,65,25.48
2010-07-23,62,26.01
2010-07-30,67,27.41
2010-08-06,59,26.74
2010-08-13,60,25.56
2010-08-20,74,25.39
2010-08-27,69,25.36
2010-09-03,62,26.6
2010-09-10,58,26.91
2010-09-17,64,26.08
2010-09-24,70,25.8
2010-10-01,65,26.34
2010-10-08,62,26.17
2010-10-15,64,26.66
2010-10-22,74,26.49
2010-10-29,66,26.74
2010-11-05,69,28.7
2010-11-12,69,29.03
2010-11-19,70,31.22
2010-11-26,66,31.32
2010-12-03,63,32.6
2010-12-10,66,34.72
2010-12-17,66,34.22
2010-12-31,76,33.84
2011-01-07,97,34.64
2011-01-14,85,33.85
2011-01-21,78,34.23
2011-01-28,83,34.05
2011-02-04,74,36.03
2011-02-11,66,37.69
2011-02-18,68,37.62
2011-02-25,62,36.98
2011-03-04,61,36.34
2011-03-11,60,35.43
2011-03-18,69,34.97
2011-03-25,62,34.85
2011-04-01,63,34.66
2011-04-08,72,33.31
2011-04-15,67,33.63
2011-04-29,63,35.23
2011-05-06,56,34.38
2011-05-13,59,34.9
2011-05-20,57,34.5
2011-05-27,56,34.9
2011-06-03,56,34.66
2011-06-10,53,35.26
2011-06-17,55,36.04
2011-06-24,53,34.53
2011-07-01,59,25.96
2011-07-08,57,27.22
2011-07-15,62,25.91
2011-07-22,60,26
2011-07-29,61,24.36
2011-08-05,60,21.5
2011-08-12,57,18.74
2011-08-19,67,16.97
2011-08-26,66,17.35
2011-09-02,57,16.94
2011-09-09,57,15.99
2011-09-16,57,17.86
2011-09-23,60,16.99
2011-09-30,61,15.73
2011-10-07,57,16.37
2011-10-14,55,18.11
2011-10-21,58,17.57
2011-10-28,65,15.14
2011-11-04,67,14.87
2011-11-11,69,15.43
2011-11-18,62,14.85
2011-11-25,61,14.48
2011-12-02,57,15.14
2011-12-09,53,14.23
2011-12-16,54,12.75
2011-12-23,49,14.64
2011-12-30,74,14.22
2012-01-06,100,14.85
2012-01-13,78,13.97
2012-01-20,74,14.58
2012-01-27,68,14.39
2012-02-03,60,14.52
2012-02-10,57,14.82
2012-02-17,51,15.37
2012-02-24,52,15.62
2012-03-02,56,14.76
2012-03-09,58,14.41
2012-03-16,53,14.65
2012-03-23,51,14.7
2012-03-30,50,14.68
2012-04-13,52,13.21
2012-04-20,53,13.79
2012-04-27,47,14.56
2012-05-04,46,13.07
2012-05-11,46,12.56
2012-05-18,49,11.09
2012-05-25,52,11.66
2012-06-01,53,10.97
2012-06-08,51,11.55
2012-06-15,49,12.46
2012-06-22,55,12.41
2012-06-29,57,13.29
2012-07-06,57,13.32
2012-07-13,54,13.1
2012-07-20,52,14.57
2012-07-27,64,15.07
2012-08-03,57,15.54
2012-08-10,52,15.5
2012-08-17,57,15.14
2012-08-24,58,15.17
2012-08-31,54,14.95
2012-09-07,51,15.65
2012-09-14,58,16.98
2012-09-21,58,16.32
2012-09-28,58,15.85
2012-10-05,55,16.96
2012-10-12,49,16.91
2012-10-19,59,18.39
2012-10-26,60,17.89
2012-11-02,57,16.94
2012-11-09,57,14.79
2012-11-16,53,14.02
2012-11-23,58,13.98
2012-11-30,52,13.84
2012-12-07,47,14.35
2012-12-14,48,14.46
2012-12-21,48,14.74
2012-12-28,51,14.73
2013-01-04,68,15.31
2013-01-11,77,15.39
2013-01-18,65,15.33
2013-01-25,61,15.2
2013-02-01,52,14.27
2013-02-08,48,14.97
2013-02-15,50,15.15
2013-02-22,50,15.13
2013-03-01,48,13.76
2013-03-08,48,13.96
2013-03-15,48,14.08
2013-03-22,47,14.94
2013-04-05,48,14.41
2013-04-12,47,14.84
2013-04-19,47,14.27
2013-04-26,46,14.8
2013-05-03,50,15.28
2013-05-10,60,15.83
2013-05-17,55,15.43
2013-05-24,58,15.34
2013-05-31,52,15.12
2013-06-07,51,14.65
2013-06-14,50,14.68
2013-06-21,48,14.96
2013-06-28,52,16.82
2013-07-05,57,19.22
2013-07-12,54,18.81
2013-07-19,59,18.96
2013-07-26,54,18.83
2013-08-02,55,19.61
2013-08-09,52,19.61
2013-08-16,50,18.43
2013-08-23,53,17.78
2013-08-30,53,17.73
2013-09-06,49,17.95
2013-09-13,55,17.65
2013-09-20,52,17.62
2013-09-27,54,16.83
2013-10-04,53,16.94
2013-10-11,49,16.27
2013-10-18,55,15.66
2013-10-25,58,15.81
2013-11-01,57,16.08
2013-11-08,53,15.08
2013-11-15,54,14.93
2013-11-22,60,15.8
2013-11-29,62,16.77
2013-12-06,51,16
2013-12-13,50,16.3
2013-12-20,49,17.21
2013-12-27,50,17.78
2014-01-03,65,17.2
2014-01-10,77,16.88
2014-01-17,69,16.36
2014-01-24,64,15.87
2014-01-31,57,16.04
2014-02-07,52,16.24
2014-02-14,52,16.6
2014-02-21,48,16.1
2014-02-28,49,17.6
2014-03-07,48,18.15
2014-03-14,50,16.98
2014-03-21,53,16.62
2014-03-28,50,16.72
2014-04-04,46,17.33
2014-04-11,48,16.29
2014-04-25,49,16.44
