"Date","buy.IBM","Price"
2005-10-07,27,80.5
2005-10-14,29,82.35
2005-10-21,24,83.33
2005-10-28,20,81.42
2005-11-04,29,83
2005-11-11,34,84.55
2005-11-18,30,87.77
2005-11-25,20,88.8
2005-12-02,31,88.65
2005-12-09,24,86.97
2005-12-16,30,83.37
2005-12-23,33,83.48
2005-12-30,29,82.2
2006-01-06,19,84.95
2006-01-13,32,83.17
2006-01-20,28,81.36
2006-01-27,25,81.02
2006-02-03,38,79.97
2006-02-10,31,81.33
2006-02-17,29,80.71
2006-02-24,28,80.1
2006-03-03,34,79.96
2006-03-10,20,81.57
2006-03-17,19,83.3
2006-03-24,23,83.36
2006-03-31,21,82.47
2006-04-07,20,82.48
2006-04-21,26,81.66
2006-04-28,22,82.34
2006-05-05,22,83.28
2006-05-12,24,82.39
2006-05-19,18,80.28
2006-05-26,26,80.75
2006-06-02,19,79.52
2006-06-09,22,77.63
2006-06-16,22,77.95
2006-06-23,17,77.1
2006-06-30,26,76.82
2006-07-07,22,76.42
2006-07-14,20,73.57
2006-07-21,26,74.86
2006-07-28,25,76.96
2006-08-04,36,75.91
2006-08-11,36,75.48
2006-08-18,21,79.9
2006-08-25,31,79.88
2006-09-01,32,81.41
2006-09-08,16,80.66
2006-09-15,20,82.94
2006-09-22,24,81.21
2006-09-29,18,81.94
2006-10-06,22,83.14
2006-10-13,19,86.08
2006-10-20,22,90.48
2006-10-27,24,90.76
2006-11-03,19,91.41
2006-11-10,18,91.76
2006-11-17,18,93.81
2006-11-24,23,93.35
2006-12-01,15,91.25
2006-12-08,25,93.86
2006-12-15,24,95.3
2006-12-22,19,95.25
2006-12-29,24,97.15
2007-01-05,16,97.42
2007-01-12,22,99.34
2007-01-19,18,96.17
2007-01-26,26,97.45
2007-02-02,20,99.17
2007-02-09,22,98.55
2007-02-16,22,98.99
2007-02-23,16,97.73
2007-03-02,21,90.9
2007-03-09,18,93.28
2007-03-16,22,93.25
2007-03-23,21,95.03
2007-03-30,22,94.26
2007-04-13,21,94.93
2007-04-20,22,94.58
2007-04-27,24,101.17
2007-05-04,19,102.96
2007-05-11,20,105.98
2007-05-18,24,107.99
2007-05-25,20,105.18
2007-06-01,24,106.54
2007-06-08,23,103.07
2007-06-15,19,105.09
2007-06-22,26,104.44
2007-06-29,24,105.25
2007-07-06,13,109.03
2007-07-13,23,108.6
2007-07-20,22,114.81
2007-07-27,21,115.62
2007-08-03,22,111.89
2007-08-10,20,112.64
2007-08-17,25,110.9
2007-08-24,19,113.24
2007-08-31,20,116.69
2007-09-07,16,115.55
2007-09-14,16,115.13
2007-09-21,23,116.78
2007-09-28,18,117.8
2007-10-05,16,116.3
2007-10-12,19,117.81
2007-10-19,18,112.28
2007-10-26,21,113.73
2007-11-02,20,114.59
2007-11-09,17,100.25
2007-11-16,24,104.79
2007-11-23,25,104.05
2007-11-30,25,105.18
2007-12-07,19,108.86
2007-12-14,23,105.77
2007-12-21,11,111.05
2007-12-28,18,110.09
2008-01-04,17,101.13
2008-01-11,14,97.67
2008-01-18,15,103.4
2008-01-25,14,104.52
2008-02-01,24,109.08
2008-02-08,14,103.27
2008-02-15,20,106.16
2008-02-22,14,108.07
2008-02-29,18,113.86
2008-03-07,14,113.94
2008-03-14,17,115.23
2008-03-28,13,114.57
2008-04-04,14,115.76
2008-04-11,16,116
2008-04-18,19,124.4
2008-04-25,13,123.08
2008-05-02,17,123.18
2008-05-09,15,124.06
2008-05-16,16,127.82
2008-05-23,15,124.2
2008-05-30,14,129.43
2008-06-06,20,124.94
2008-06-13,18,126.15
2008-06-20,11,122.74
2008-06-27,12,120.05
2008-07-11,16,122.12
2008-07-18,16,129.89
2008-07-25,15,128.53
2008-08-01,18,126.64
2008-08-08,15,128.81
2008-08-15,11,126.36
2008-08-22,15,124.93
2008-08-29,14,121.73
2008-09-05,14,114.33
2008-09-12,15,118.97
2008-09-19,16,118.85
2008-09-26,15,119.42
2008-10-03,12,103.44
2008-10-10,13,87.75
2008-10-17,14,90.78
2008-10-24,14,82.07
2008-10-31,15,92.97
2008-11-07,16,86.27
2008-11-14,17,80.33
2008-11-21,16,74.88
2008-11-28,18,81.6
2008-12-05,13,80.59
2008-12-12,11,82.2
2008-12-19,17,83.52
2008-12-26,13,81.33
2009-01-02,15,87.37
2009-01-09,11,84.7
2009-01-16,14,84.92
2009-01-23,16,89.49
2009-01-30,13,91.65
2009-02-06,15,96.14
2009-02-13,13,93.84
2009-02-20,15,88.79
2009-02-27,11,92.03
2009-03-06,13,85.81
2009-03-13,14,90.36
2009-03-20,100,92.51
2009-03-27,50,94.15
2009-04-03,44,102.22
2009-04-17,21,101.27
2009-04-24,20,100.08
2009-05-01,16,104.61
2009-05-08,15,101.49
2009-05-15,10,101.37
2009-05-22,11,101.89
2009-05-29,12,106.28
2009-06-05,10,107.24
2009-06-12,10,108.21
2009-06-19,11,105.89
2009-06-26,12,105.68
2009-07-10,15,100.83
2009-07-17,12,115.42
2009-07-24,14,117.64
2009-07-31,13,117.93
2009-08-07,11,119.33
2009-08-14,9,118.57
2009-08-21,13,119.9
2009-08-28,15,118.22
2009-09-04,12,117.46
2009-09-11,15,118.05
2009-09-18,10,122.11
2009-09-25,14,121.08
2009-10-02,14,119.02
2009-10-09,14,125.93
2009-10-16,10,121.64
2009-10-23,13,120.36
2009-10-30,12,120.61
2009-11-06,10,123.49
2009-11-13,15,127.03
2009-11-20,12,126.96
2009-11-27,14,125.7
2009-12-04,10,127.25
2009-12-11,12,129.68
2009-12-18,12,127.91
2010-01-08,13,130.85
2010-01-15,8,131.78
2010-01-22,11,125.5
2010-01-29,9,122.39
2010-02-05,11,123.52
2010-02-12,10,124
2010-02-19,11,127.19
2010-02-26,12,127.16
2010-03-05,9,127.25
2010-03-12,7,127.94
2010-03-19,12,127.71
2010-03-26,8,129.26
2010-04-09,12,128.76
2010-04-16,11,130.63
2010-04-23,7,129.99
2010-04-30,11,129
2010-05-07,8,122.1
2010-05-14,9,131.19
2010-05-21,9,125.42
2010-05-28,12,125.26
2010-06-04,9,125.28
2010-06-11,9,128.45
2010-06-18,10,130.15
2010-06-25,6,127.12
2010-07-02,9,121.86
2010-07-09,10,127.96
2010-07-16,13,128.03
2010-07-23,8,128.38
2010-07-30,8,128.4
2010-08-06,10,130.14
2010-08-13,10,127.87
2010-08-20,8,127.5
2010-08-27,10,124.73
2010-09-03,10,127.58
2010-09-10,7,127.99
2010-09-17,11,130.19
2010-09-24,12,134.11
2010-10-01,9,135.64
2010-10-08,10,138.85
2010-10-15,11,141.06
2010-10-22,9,139.67
2010-10-29,9,143.6
2010-11-05,10,146.92
2010-11-12,7,143.74
2010-11-19,9,145.05
2010-11-26,9,143.9
2010-12-03,10,145.38
2010-12-10,7,144.82
2010-12-17,8,145
2010-12-31,8,146.76
2011-01-07,9,147.93
2011-01-14,9,150
2011-01-21,7,155.5
2011-01-28,10,159.21
2011-02-04,8,164
2011-02-11,8,163.85
2011-02-18,9,164.84
2011-02-25,10,162.28
2011-03-04,9,161.83
2011-03-11,8,162.43
2011-03-18,7,155.89
2011-03-25,8,162.18
2011-04-01,8,164.27
2011-04-08,10,164.05
2011-04-15,8,166.21
2011-04-29,7,170.58
2011-05-06,8,168.89
2011-05-13,7,169.92
2011-05-20,7,170.16
2011-05-27,8,167.5
2011-06-03,8,165.05
2011-06-10,7,163.18
2011-06-17,7,164.44
2011-06-24,6,165.07
2011-07-01,8,174.54
2011-07-08,6,176.49
2011-07-15,9,175.54
2011-07-22,7,185.18
2011-07-29,10,181.85
2011-08-05,6,172.98
2011-08-12,7,168.2
2011-08-19,11,157.54
2011-08-26,9,169.14
2011-09-02,9,166.98
2011-09-09,6,161.37
2011-09-16,5,172.99
2011-09-23,7,169.34
2011-09-30,9,174.87
2011-10-07,7,182.39
2011-10-14,6,190.53
2011-10-21,6,181.63
2011-10-28,6,187.45
2011-11-04,7,186.38
2011-11-11,6,187.38
2011-11-18,7,185.24
2011-11-25,6,177.06
2011-12-02,8,189.66
2011-12-09,8,194.56
2011-12-16,6,183.57
2011-12-23,7,184.75
2011-12-30,5,183.88
2012-01-06,5,182.54
2012-01-13,7,179.16
2012-01-20,7,188.52
2012-01-27,5,190.46
2012-02-03,7,193.64
2012-02-10,7,192.42
2012-02-17,6,193.42
2012-02-24,7,197.76
2012-03-02,8,198.81
2012-03-09,7,200.62
2012-03-16,7,206.01
2012-03-23,7,205.48
2012-03-30,6,208.65
2012-04-13,8,202.8
2012-04-20,7,199.6
2012-04-27,6,206.81
2012-05-04,6,204.99
2012-05-11,5,201.17
2012-05-18,6,195.88
2012-05-25,6,194.3
2012-06-01,6,189.08
2012-06-08,3,195.14
2012-06-15,6,199.1
2012-06-22,5,193.7
2012-06-29,5,195.58
2012-07-06,7,191.41
2012-07-13,5,186.01
2012-07-20,6,192.45
2012-07-27,5,196.39
2012-08-03,6,198.52
2012-08-10,8,199.29
2012-08-17,6,201.22
2012-08-24,5,197.77
2012-08-31,7,194.85
2012-09-07,6,199.5
2012-09-14,5,206.81
2012-09-21,7,205.98
2012-09-28,4,207.45
2012-10-05,7,210.59
2012-10-12,5,207.8
2012-10-19,7,193.36
2012-10-26,6,193.27
2012-11-02,5,193.43
2012-11-09,4,189.64
2012-11-16,7,186.94
2012-11-23,6,193.49
2012-11-30,6,190.07
2012-12-07,6,191.95
2012-12-14,5,191.76
2012-12-21,7,193.42
2012-12-28,5,189.83
2013-01-04,5,193.99
2013-01-11,5,194.45
2013-01-18,5,194.47
2013-01-25,5,204.97
2013-02-01,4,205.18
2013-02-08,6,201.68
2013-02-15,5,200.98
2013-02-22,5,201.09
2013-03-01,6,202.91
2013-03-08,5,210.38
2013-03-15,7,214.92
2013-03-22,4,212.08
2013-04-05,4,209.41
2013-04-12,6,211.38
2013-04-19,7,190
2013-04-26,6,194.31
2013-05-03,6,204.51
2013-05-10,5,204.47
2013-05-17,4,208.44
2013-05-24,6,205.72
2013-05-31,4,208.02
2013-06-07,6,206.35
2013-06-14,6,202.2
2013-06-21,4,195.46
2013-06-28,5,191.11
2013-07-05,5,194.93
2013-07-12,5,192.07
2013-07-19,5,193.54
2013-07-26,5,197.35
2013-08-02,5,195.16
2013-08-09,5,187.82
2013-08-16,5,185.34
2013-08-23,6,185.42
2013-08-30,5,182.27
2013-09-06,5,183.03
2013-09-13,6,192.17
2013-09-20,5,190.02
2013-09-27,6,186.92
2013-10-04,6,184.1
2013-10-11,4,186.16
2013-10-18,7,173.78
2013-10-25,6,176.85
2013-11-01,5,179.23
2013-11-08,5,179.99
2013-11-15,4,183.19
2013-11-22,5,181.3
2013-11-29,6,179.68
2013-12-06,6,177.67
2013-12-13,5,172.8
2013-12-20,7,180.02
2013-12-27,4,185.08
2014-01-03,5,186.64
2014-01-10,5,187.26
2014-01-17,5,190.09
2014-01-24,12,179.64
2014-01-31,8,176.68
2014-02-07,6,177.25
2014-02-14,5,183.69
2014-02-21,5,182.79
2014-02-28,6,185.17
2014-03-07,6,187.68
2014-03-14,5,182.21
2014-03-21,5,186.67
2014-03-28,6,190.45
2014-04-04,7,191.77
2014-04-11,4,195.19
2014-04-25,4,189.63
