"Date","TSCO","Price"
2009-09-18,63,48.1
2009-09-25,36,47.7
2009-10-02,57,46.69
2009-10-09,85,53.33
2009-10-16,67,52.37
2009-10-23,62,46.58
2009-10-30,54,44.7
2009-11-06,51,47.64
2009-11-13,79,47.86
2009-11-20,66,47.71
2009-11-27,68,47.25
2009-12-04,52,51.26
2009-12-11,64,49.88
2009-12-18,63,51.69
2010-01-08,54,53.36
2010-01-15,61,52.45
2010-01-22,37,50.11
2010-01-29,55,50.47
2010-02-05,54,50.6
2010-02-12,51,51.76
2010-02-19,40,53.42
2010-02-26,43,54.72
2010-03-05,44,57.48
2010-03-12,39,58.3
2010-03-19,34,59.29
2010-03-26,39,58.23
2010-04-09,53,66.46
2010-04-16,48,66.92
2010-04-23,56,69.77
2010-04-30,63,67.17
2010-05-07,41,63.08
2010-05-14,48,68.41
2010-05-21,66,65.74
2010-05-28,64,67.76
2010-06-04,39,64.24
2010-06-11,52,66.5
2010-06-18,74,67.19
2010-06-25,49,62.04
2010-07-02,53,61.47
2010-07-09,58,65.74
2010-07-16,52,66.75
2010-07-23,58,69.71
2010-07-30,68,69.51
2010-08-06,75,70.4
2010-08-13,52,68.55
2010-08-20,84,70.8
2010-08-27,69,68.64
2010-09-03,47,36.31
2010-09-10,62,36.82
2010-09-17,61,37.69
2010-09-24,67,38.59
2010-10-01,65,39.2
2010-10-08,61,38.58
2010-10-15,66,39.64
2010-10-22,65,38.32
2010-10-29,59,39.58
2010-11-05,70,41.69
2010-11-12,68,40.68
2010-11-19,58,41.49
2010-11-26,85,42.29
2010-12-03,72,45.98
2010-12-10,65,47.67
2010-12-17,70,48.47
2010-12-31,65,48.49
2011-01-07,50,47.09
2011-01-14,44,46.65
2011-01-21,54,46.35
2011-01-28,67,50.69
2011-02-04,57,52.43
2011-02-11,43,53.69
2011-02-18,53,53.15
2011-02-25,47,51.87
2011-03-04,42,53.95
2011-03-11,43,54.68
2011-03-18,51,53.99
2011-03-25,46,56.73
2011-04-01,65,61.06
2011-04-08,59,62.84
2011-04-15,54,63.77
2011-04-29,56,61.87
2011-05-06,65,59.8
2011-05-13,45,61.89
2011-05-20,76,58.97
2011-05-27,54,62.42
2011-06-03,60,59.77
2011-06-10,35,58.77
2011-06-17,58,60.94
2011-06-24,64,64.91
2011-07-01,47,67.83
2011-07-08,48,71.71
2011-07-15,55,69.17
2011-07-22,65,68
2011-07-29,64,65.92
2011-08-05,70,58.89
2011-08-12,94,58.78
2011-08-19,69,53.44
2011-08-26,61,59.34
2011-09-02,72,59.64
2011-09-09,57,64.71
2011-09-16,63,68.84
2011-09-23,57,66.54
2011-09-30,66,62.53
2011-10-07,59,65.75
2011-10-14,56,67.42
2011-10-21,70,73.46
2011-10-28,70,71.19
2011-11-04,62,72.77
2011-11-11,79,74.5
2011-11-18,72,72.27
2011-11-25,93,67.68
2011-12-02,82,72.2
2011-12-09,80,75.27
2011-12-16,77,72.82
2011-12-23,67,70.96
2011-12-30,56,70.15
2012-01-06,58,69.71
2012-01-13,95,80.56
2012-01-20,88,79.99
2012-01-27,80,80.42
2012-02-03,79,81.21
2012-02-10,86,83.08
2012-02-17,63,82.76
2012-02-24,77,84.33
2012-03-02,72,86.61
2012-03-09,69,87.37
2012-03-16,78,85.81
2012-03-23,69,86.04
2012-03-30,75,90.56
2012-04-13,74,98.38
2012-04-20,91,99.46
2012-04-27,64,99.48
2012-05-04,80,96.48
2012-05-11,70,98.64
2012-05-18,52,91.86
2012-05-25,64,99.62
2012-06-01,81,89.59
2012-06-08,61,87.7
2012-06-15,79,87.91
2012-06-22,70,86.66
2012-06-29,58,83.06
2012-07-06,76,83.94
2012-07-13,62,81.01
2012-07-20,56,77.98
2012-07-27,72,91.94
2012-08-03,56,90.45
2012-08-10,72,90.44
2012-08-17,60,93.75
2012-08-24,54,96.15
2012-08-31,57,95.48
2012-09-07,57,100.61
2012-09-14,54,97
2012-09-21,60,97.36
2012-09-28,69,98.89
2012-10-05,72,102.45
2012-10-12,66,97.18
2012-10-19,62,93.97
2012-10-26,91,92.08
2012-11-02,83,94.57
2012-11-09,73,92.2
2012-11-16,65,87.17
2012-11-23,78,90.73
2012-11-30,65,89.62
2012-12-07,69,85.88
2012-12-14,72,85.07
2012-12-21,56,88.03
2012-12-28,58,87.47
2013-01-04,59,91.64
2013-01-11,74,91.49
2013-01-18,58,94.04
2013-01-25,59,95.86
2013-02-01,60,103.96
2013-02-08,57,104.04
2013-02-15,59,103.77
2013-02-22,49,101.25
2013-03-01,50,103.09
2013-03-08,52,104.7
2013-03-15,67,101.01
2013-03-22,63,102.11
2013-04-05,45,106.03
2013-04-12,48,107.36
2013-04-19,74,108.06
2013-04-26,56,108.5
2013-05-03,58,110.74
2013-05-10,52,113.76
2013-05-17,57,112.6
2013-05-24,48,111.2
2013-05-31,56,111.98
2013-06-07,62,113.52
2013-06-14,65,114.68
2013-06-21,63,110.21
2013-06-28,52,117.55
2013-07-05,51,118.81
2013-07-12,54,123.01
2013-07-19,50,122.49
2013-07-26,62,119.18
2013-08-02,48,123.31
2013-08-09,48,122.37
2013-08-16,47,116.76
2013-08-23,54,121
2013-08-30,55,122.37
2013-09-06,47,123.66
2013-09-13,56,130.5
2013-09-20,61,130.48
2013-09-27,77,66.4
2013-10-04,61,68.53
2013-10-11,57,65.85
2013-10-18,69,67.19
2013-10-25,75,73.22
2013-11-01,71,71.12
2013-11-08,67,71.37
2013-11-15,69,74.09
2013-11-22,53,73.19
2013-11-29,67,73.21
2013-12-06,60,72.76
2013-12-13,68,72.03
2013-12-20,61,74.92
2013-12-27,54,75.54
2014-01-03,53,76.48
2014-01-10,56,76.58
2014-01-17,38,74.17
2014-01-24,42,70.18
2014-01-31,54,66.51
2014-02-07,50,66.52
2014-02-14,53,65.7
2014-02-21,53,66.4
2014-02-28,50,70.56
2014-03-07,50,72.72
2014-03-14,45,71.06
2014-03-21,41,74.37
2014-03-28,49,70.77
2014-04-04,38,69.15
2014-04-11,56,67.09
2014-04-25,50,65.68
