"Date","buy.SEE","Price"
2010-05-21,62,20.96
2010-05-28,63,20.84
2010-06-04,64,20.11
2010-06-11,72,20.85
2010-06-18,71,21.52
2010-06-25,77,20.69
2010-07-02,83,19.49
2010-07-09,72,20.85
2010-07-16,80,21.12
2010-07-23,76,22.68
2010-07-30,72,21.63
2010-08-06,81,22.36
2010-08-13,69,21.64
2010-08-20,73,21.22
2010-08-27,68,20.9
2010-09-03,74,21.16
2010-09-10,64,21.69
2010-09-17,74,22.5
2010-09-24,65,22.71
2010-10-01,59,22.73
2010-10-08,73,22.86
2010-10-15,74,23.77
2010-10-22,74,23.76
2010-10-29,96,23.15
2010-11-05,66,23.59
2010-11-12,86,22.52
2010-11-19,83,22.87
2010-11-26,78,23.26
2010-12-03,76,24.28
2010-12-10,75,24.32
2010-12-17,80,25.05
2010-12-31,77,25.45
2011-01-07,77,25.93
2011-01-14,73,26.86
2011-01-21,70,25.45
2011-01-28,72,26.64
2011-02-04,73,28.17
2011-02-11,79,28.39
2011-02-18,67,28.24
2011-02-25,75,27.45
2011-03-04,73,26.9
2011-03-11,69,26.18
2011-03-18,63,25.83
2011-03-25,71,26.43
2011-04-01,69,26.9
2011-04-08,75,26.19
2011-04-15,75,26.09
2011-04-29,71,25.77
2011-05-06,72,25.71
2011-05-13,79,25.6
2011-05-20,70,25.74
2011-05-27,78,25.35
2011-06-03,76,21.89
2011-06-10,87,23.42
2011-06-17,82,22.98
2011-06-24,79,22.51
2011-07-01,83,23.87
2011-07-08,72,23.53
2011-07-15,74,23.04
2011-07-22,74,23.05
2011-07-29,86,21.53
2011-08-05,78,19.62
2011-08-12,80,18.46
2011-08-19,80,17.37
2011-08-26,74,17.02
2011-09-02,68,17.75
2011-09-09,70,17.45
2011-09-16,71,19.13
2011-09-23,78,17.42
2011-09-30,79,16.7
2011-10-07,70,16.47
2011-10-14,81,17.52
2011-10-21,79,17.34
2011-10-28,67,18.35
2011-11-04,66,17.7
2011-11-11,83,18.15
2011-11-18,74,16.88
2011-11-25,91,16.31
2011-12-02,77,17.82
2011-12-09,74,18.15
2011-12-16,78,17.42
2011-12-23,87,17.05
2011-12-30,95,17.21
2012-01-06,83,17.54
2012-01-13,81,17.98
2012-01-20,71,19.3
2012-01-27,87,19.9
2012-02-03,96,20.71
2012-02-10,79,20.08
2012-02-17,74,21.04
2012-02-24,84,19.83
2012-03-02,77,19.78
2012-03-09,84,19.5
2012-03-16,77,20.32
2012-03-23,78,19.56
2012-03-30,75,19.31
2012-04-13,75,18.73
2012-04-20,81,19.11
2012-04-27,78,19.24
2012-05-04,78,17.69
2012-05-11,73,17.8
2012-05-18,76,16.03
2012-05-25,90,16
2012-06-01,80,15.26
2012-06-08,95,15.63
2012-06-15,79,15.54
2012-06-22,84,15.58
2012-06-29,79,15.44
2012-07-06,87,15.82
2012-07-13,85,15.36
2012-07-20,77,15.58
2012-07-27,89,15.94
2012-08-03,72,13.82
2012-08-10,85,13.99
2012-08-17,85,13.58
2012-08-24,76,13.26
2012-08-31,80,14.27
2012-09-07,89,15.06
2012-09-14,90,16.3
2012-09-21,83,16.67
2012-09-28,87,15.46
2012-10-05,73,15.91
2012-10-12,100,15.35
2012-10-19,71,15.95
2012-10-26,80,15.84
2012-11-02,74,16.67
2012-11-09,88,16.68
2012-11-16,75,16.39
2012-11-23,97,17.16
2012-11-30,86,16.82
2012-12-07,86,16.51
2012-12-14,90,16.13
2012-12-21,85,17.35
2012-12-28,84,17.09
2013-01-04,92,18.11
2013-01-11,85,18.22
2013-01-18,73,18.8
2013-01-25,83,18.62
2013-02-01,78,19.08
2013-02-08,87,19.25
2013-02-15,77,19.4
2013-02-22,83,21.02
2013-03-01,93,22.38
2013-03-08,78,22.5
2013-03-15,82,24.27
2013-03-22,78,23.71
2013-04-05,76,21.9
2013-04-12,91,22.65
2013-04-19,77,21.48
2013-04-26,90,21.79
2013-05-03,77,22.51
2013-05-10,80,23.1
2013-05-17,76,23.86
2013-05-24,81,23.76
2013-05-31,82,24.02
2013-06-07,89,24.41
2013-06-14,87,23.88
2013-06-21,75,23.47
2013-06-28,88,23.95
2013-07-05,83,25.56
2013-07-12,80,27.51
2013-07-19,81,27.55
2013-07-26,88,27.12
2013-08-02,83,30.36
2013-08-09,85,30.09
2013-08-16,88,29.16
2013-08-23,79,29.41
2013-08-30,86,28.4
2013-09-06,89,29.52
2013-09-13,82,30.04
2013-09-20,79,28.56
2013-09-27,82,27.49
2013-10-04,74,27.07
2013-10-11,78,27.44
2013-10-18,81,27.93
2013-10-25,78,28.33
2013-11-01,83,31.21
2013-11-08,80,30.82
2013-11-15,79,31.73
2013-11-22,84,31.78
2013-11-29,84,32.11
2013-12-06,90,32.52
2013-12-13,82,31.85
2013-12-20,83,32.95
2013-12-27,87,33.82
2014-01-03,88,33.67
2014-01-10,85,34.02
2014-01-17,82,33.06
2014-01-24,79,31.07
2014-01-31,82,31.19
2014-02-07,70,31.45
2014-02-14,78,32.27
2014-02-21,71,32.78
2014-02-28,78,34.04
2014-03-07,76,33.52
2014-03-14,82,32.09
2014-03-21,72,32.23
2014-03-28,82,31.53
2014-04-04,80,32.38
2014-04-11,85,30.36
2014-04-25,80,32.52
