"Date","American.Express.Co","Price"
2012-09-07,33,57.73
2012-09-14,35,59.27
2012-09-21,26,57.86
2012-09-28,38,56.86
2012-10-05,36,58.56
2012-10-12,38,57.89
2012-10-19,30,56.86
2012-10-26,23,55.75
2012-11-02,27,56.71
2012-11-09,36,55.83
2012-11-16,50,54.3
2012-11-23,33,56.51
2012-11-30,33,55.9
2012-12-07,37,56.61
2012-12-14,36,56.65
2012-12-21,40,57.65
2012-12-28,38,56.67
2013-01-04,26,59.61
2013-01-11,53,61.24
2013-01-18,30,59.78
2013-01-25,29,59.5
2013-02-01,26,59.91
2013-02-08,34,61.8
2013-02-15,44,61.69
2013-02-22,44,62.57
2013-03-01,28,62.37
2013-03-08,36,64.7
2013-03-15,36,66.09
2013-03-22,38,66.22
2013-04-05,32,65.3
2013-04-12,41,65.68
2013-04-19,20,67.24
2013-04-26,24,67.75
2013-05-03,27,70.23
2013-05-10,26,70.08
2013-05-17,29,73.32
2013-05-24,25,75.27
2013-05-31,36,75.71
2013-06-07,33,78.04
2013-06-14,49,72.97
2013-06-21,35,73.31
2013-06-28,48,74.76
2013-07-05,40,76.31
2013-07-12,41,78.33
2013-07-19,37,74.06
2013-07-26,26,75.34
2013-08-02,25,75.69
2013-08-09,26,75.5
2013-08-16,29,75.17
2013-08-23,26,73.65
2013-08-30,31,71.91
2013-09-06,32,73.35
2013-09-13,31,75.3
2013-09-20,18,77.32
2013-09-27,17,75.89
2013-10-04,36,74.31
2013-10-11,29,75.4
2013-10-18,27,80.52
2013-10-25,38,82.61
2013-11-01,34,82.16
2013-11-08,25,81.78
2013-11-15,30,82.8
2013-11-22,35,83.85
2013-11-29,23,85.8
2013-12-06,29,85.93
2013-12-13,43,83.68
2013-12-20,35,87.57
2013-12-27,37,89.19
2014-01-03,24,89.74
2014-01-10,31,88.55
2014-01-17,31,90.97
2014-01-24,39,86.95
2014-01-31,28,85.02
2014-02-07,38,87
2014-02-14,24,89
2014-02-21,37,88.75
2014-02-28,31,91.28
2014-03-07,29,93.86
2014-03-14,30,90.17
2014-03-21,29,91.52
2014-03-28,22,90.46
2014-04-04,27,89.17
2014-04-11,33,84.54
2014-04-25,32,87.03
