"Date","NetApp","Price"
2005-11-18,51,28.86
2005-11-25,45,29.27
2005-12-02,41,29.41
2005-12-09,43,29.53
2005-12-16,50,29.86
2005-12-23,43,28.02
2005-12-30,26,27
2006-01-06,33,28.98
2006-01-13,46,32.12
2006-01-20,52,31.14
2006-01-27,50,31.63
2006-02-03,44,31.14
2006-02-10,52,31.33
2006-02-17,53,33.04
2006-02-24,50,32.57
2006-03-03,43,33.86
2006-03-10,53,33.18
2006-03-17,49,35.05
2006-03-24,54,34.98
2006-03-31,48,36.03
2006-04-07,45,36.7
2006-04-21,44,36.91
2006-04-28,54,37.07
2006-05-05,38,37.58
2006-05-12,45,33.78
2006-05-19,59,33.79
2006-05-26,48,33.84
2006-06-02,52,32.35
2006-06-09,44,31.79
2006-06-16,53,34.53
2006-06-23,54,34.86
2006-06-30,49,35.3
2006-07-07,44,33.16
2006-07-14,48,26.92
2006-07-21,52,28.83
2006-07-28,56,29.83
2006-08-04,59,30.09
2006-08-11,42,29.33
2006-08-18,56,33.91
2006-08-25,55,33.87
2006-09-01,47,34.38
2006-09-08,49,33.98
2006-09-15,53,33.77
2006-09-22,49,35.98
2006-09-29,46,37.01
2006-10-06,50,36.88
2006-10-13,56,39.57
2006-10-20,53,37.49
2006-10-27,50,35.78
2006-11-03,43,36
2006-11-10,55,36.9
2006-11-17,56,39.96
2006-11-24,37,40.96
2006-12-01,47,38.52
2006-12-08,50,39.49
2006-12-15,48,41
2006-12-22,42,39.57
2006-12-29,25,39.28
2007-01-05,32,39.07
2007-01-12,50,39.8
2007-01-19,41,37.06
2007-01-26,51,36.73
2007-02-02,44,37.33
2007-02-09,52,37.7
2007-02-16,47,40.01
2007-02-23,53,40.09
2007-03-02,50,37.32
2007-03-09,55,37.69
2007-03-16,47,36.72
2007-03-23,47,38.13
2007-03-30,51,36.52
2007-04-13,48,35.91
2007-04-20,53,34.93
2007-04-27,55,37.81
2007-05-04,39,38.16
2007-05-11,55,39.05
2007-05-18,50,37.99
2007-05-25,48,31.8
2007-06-01,49,30.74
2007-06-08,57,31.47
2007-06-15,71,31.89
2007-06-22,56,31.2
2007-06-29,53,29.19
2007-07-06,48,29.62
2007-07-13,49,29.86
2007-07-20,50,31.84
2007-07-27,48,29.24
2007-08-03,53,22.97
2007-08-10,50,23.46
2007-08-17,47,25.98
2007-08-24,51,28.09
2007-08-31,45,27.86
2007-09-07,47,27.12
2007-09-14,50,26.98
2007-09-21,48,26.94
2007-09-28,52,26.91
2007-10-05,48,26.69
2007-10-12,53,28.7
2007-10-19,54,29.38
2007-10-26,63,31.49
2007-11-02,55,30.14
2007-11-09,47,26.88
2007-11-16,53,25.92
2007-11-23,52,24.81
2007-11-30,56,24.71
2007-12-07,53,26.51
2007-12-14,51,25.57
2007-12-21,45,25.64
2007-12-28,29,25.32
2008-01-04,32,24.39
2008-01-11,46,22.88
2008-01-18,51,22.05
2008-01-25,54,22.23
2008-02-01,55,23.78
2008-02-08,54,22.47
2008-02-15,49,21.4
2008-02-22,57,22.1
2008-02-29,52,21.62
2008-03-07,54,22.5
2008-03-14,66,21.08
2008-03-28,60,20.12
2008-04-04,60,22.43
2008-04-11,59,21.7
2008-04-18,53,22.89
2008-04-25,59,23.44
2008-05-02,52,24.87
2008-05-09,57,26.3
2008-05-16,52,27.31
2008-05-23,58,23.77
2008-05-30,48,24.38
2008-06-06,54,23.74
2008-06-13,62,24.12
2008-06-20,60,23.3
2008-06-27,62,22.11
2008-07-11,62,21.94
2008-07-18,61,23.19
2008-07-25,62,24.6
2008-08-01,55,25.25
2008-08-08,51,26.31
2008-08-15,59,24.68
2008-08-22,62,24.1
2008-08-29,60,25.48
2008-09-05,57,24.4
2008-09-12,62,24.32
2008-09-19,58,21.12
2008-09-26,65,18.8
2008-10-03,60,16.04
2008-10-10,62,13.25
2008-10-17,62,13.14
2008-10-24,60,12.2
2008-10-31,60,13.53
2008-11-07,57,12.8
2008-11-14,64,12.3
2008-11-21,55,12.51
2008-11-28,52,13.5
2008-12-05,56,12.87
2008-12-12,62,13.54
2008-12-19,61,13.6
2008-12-26,32,12.59
2009-01-02,30,14.77
2009-01-09,51,14.75
2009-01-16,57,14.92
2009-01-23,97,15.32
2009-01-30,100,14.83
2009-02-06,75,16.14
2009-02-13,72,16.11
2009-02-20,64,14.21
2009-02-27,62,13.44
2009-03-06,59,12.9
2009-03-13,61,15.05
2009-03-20,70,14.84
2009-03-27,64,15.09
2009-04-03,61,16.13
2009-04-17,62,17.59
2009-04-24,65,18.63
2009-05-01,56,18.4
2009-05-08,61,17.5
2009-05-15,60,17.57
2009-05-22,71,18.46
2009-05-29,63,19.5
2009-06-05,69,18.82
2009-06-12,69,20.14
2009-06-19,68,19.55
2009-06-26,64,19.4
2009-07-10,69,19.21
2009-07-17,66,21.52
2009-07-24,60,22.99
2009-07-31,66,22.46
2009-08-07,61,23.07
2009-08-14,65,23.59
2009-08-21,67,21.98
2009-08-28,62,23.32
2009-09-04,60,23.33
2009-09-11,58,24.28
2009-09-18,65,24.75
2009-09-25,62,25.94
2009-10-02,63,25.89
2009-10-09,65,28.84
2009-10-16,63,28.69
2009-10-23,69,28.75
2009-10-30,62,27.05
2009-11-06,60,28.38
2009-11-13,60,29.71
2009-11-20,80,30.44
2009-11-27,56,30.83
2009-12-04,58,32.74
2009-12-11,60,32.91
2009-12-18,58,33.23
2010-01-08,51,33.54
2010-01-15,60,33.15
2010-01-22,62,30.78
2010-01-29,65,29.13
2010-02-05,66,30.38
2010-02-12,63,31.46
2010-02-19,64,31.29
2010-02-26,63,30.01
2010-03-05,67,32.05
2010-03-12,69,32.91
2010-03-19,61,32.46
2010-03-26,67,32.73
2010-04-09,65,35.53
2010-04-16,70,35.15
2010-04-23,66,36.17
2010-04-30,66,34.67
2010-05-07,59,31.47
2010-05-14,74,33.75
2010-05-21,76,32.83
2010-05-28,72,37.68
2010-06-04,68,37.88
2010-06-11,68,39.99
2010-06-18,70,41.22
2010-06-25,75,39.76
2010-07-02,65,37.13
2010-07-09,65,38.76
2010-07-16,73,40.5
2010-07-23,64,43.11
2010-07-30,68,42.3
2010-08-06,69,43.11
2010-08-13,66,38.14
2010-08-20,65,40.53
2010-08-27,68,41.45
2010-09-03,64,44.05
2010-09-10,67,46.33
2010-09-17,70,49.04
2010-09-24,69,50.39
2010-10-01,70,48.64
2010-10-08,69,48.76
2010-10-15,69,50.33
2010-10-22,73,51.97
2010-10-29,66,53.25
2010-11-05,65,55.1
2010-11-12,72,54.11
2010-11-19,75,51.46
2010-11-26,59,51.05
2010-12-03,66,54.07
2010-12-10,63,54.15
2010-12-17,67,53.8
2010-12-31,32,54.96
2011-01-07,53,57.2
2011-01-14,65,59.48
2011-01-21,83,55.77
2011-01-28,75,54.03
2011-02-04,66,57.93
2011-02-11,79,60.6
2011-02-18,79,53.05
2011-02-25,74,52.47
2011-03-04,73,52.05
2011-03-11,79,47.52
2011-03-18,73,48.69
2011-03-25,78,48.61
2011-04-01,73,48.2
2011-04-08,74,46.79
2011-04-15,72,48.56
2011-04-29,66,52.11
2011-05-06,66,53.3
2011-05-13,71,53.99
2011-05-20,74,53.7
2011-05-27,76,55.33
2011-06-03,69,51.94
2011-06-10,71,49.01
2011-06-17,70,49.35
2011-06-24,72,49.22
2011-07-01,66,54.32
2011-07-08,71,53.48
2011-07-15,73,50.66
2011-07-22,70,51.08
2011-07-29,74,47.52
2011-08-05,70,41.87
2011-08-12,72,43.42
2011-08-19,70,35.95
2011-08-26,73,36.54
2011-09-02,62,35.81
2011-09-09,66,35.68
2011-09-16,74,37.79
2011-09-23,71,35.12
2011-09-30,74,33.93
2011-10-07,72,37.29
2011-10-14,73,39.23
2011-10-21,71,38.1
2011-10-28,72,41.59
2011-11-04,73,42.63
2011-11-11,72,42.17
2011-11-18,81,34.74
2011-11-25,66,34.25
2011-12-02,66,36.54
2011-12-09,70,38.01
2011-12-16,68,35.71
2011-12-23,59,36.51
2011-12-30,35,36.27
2012-01-06,54,35.33
2012-01-13,70,33.98
2012-01-20,72,36.85
2012-01-27,70,37.28
2012-02-03,72,40.35
2012-02-10,74,39.69
2012-02-17,78,42.2
2012-02-24,74,43.08
2012-03-02,73,43.55
2012-03-09,73,42.94
2012-03-16,74,43.39
2012-03-23,73,45.62
2012-03-30,74,44.77
2012-04-13,72,40.13
2012-04-20,73,38.74
2012-04-27,73,39.03
2012-05-04,65,38.42
2012-05-11,72,36.08
2012-05-18,71,33.06
2012-05-25,78,28.61
2012-06-01,69,29.44
2012-06-08,69,30.33
2012-06-15,73,30.73
2012-06-22,77,30.16
2012-06-29,77,31.82
2012-07-06,64,29.76
2012-07-13,72,28.6
2012-07-20,72,31.19
2012-07-27,72,32.91
2012-08-03,71,32.34
2012-08-10,74,32.58
2012-08-17,74,33.46
2012-08-24,72,34.78
2012-08-31,68,34.52
2012-09-07,68,35.8
2012-09-14,73,35.81
2012-09-21,70,36.26
2012-09-28,76,32.88
2012-10-05,75,30.59
2012-10-12,72,28.93
2012-10-19,76,29.95
2012-10-26,73,27.88
2012-11-02,67,27.74
2012-11-09,72,27.34
2012-11-16,78,30.26
2012-11-23,65,31.15
2012-11-30,66,31.71
2012-12-07,76,33.43
2012-12-14,69,32.99
2012-12-21,66,33.82
2012-12-28,32,32.82
2013-01-04,45,34.08
2013-01-11,66,33.06
2013-01-18,69,34.36
2013-01-25,74,36.15
2013-02-01,77,36.25
2013-02-08,75,35.75
2013-02-15,73,36.55
2013-02-22,70,34.38
2013-03-01,70,33.95
2013-03-08,74,34.21
2013-03-15,71,34.56
2013-03-22,71,33.54
2013-04-05,62,34
2013-04-12,68,35.46
2013-04-19,69,32.99
2013-04-26,69,34.87
2013-05-03,60,34.9
2013-05-10,62,36.15
2013-05-17,82,37.84
2013-05-24,77,36.45
2013-05-31,64,37.53
2013-06-07,67,37.97
2013-06-14,65,37.9
2013-06-21,66,37.97
2013-06-28,69,37.78
2013-07-05,56,38.77
2013-07-12,67,39.3
2013-07-19,67,41.33
2013-07-26,72,41.35
2013-08-02,64,41.24
2013-08-09,62,42.52
2013-08-16,67,42.2
2013-08-23,61,41.95
2013-08-30,67,41.54
2013-09-06,65,42.24
2013-09-13,68,43.77
2013-09-20,68,43.2
2013-09-27,65,42.58
2013-10-04,63,42.27
2013-10-11,73,41.57
2013-10-18,68,41.37
2013-10-25,71,39.39
2013-11-01,66,39.14
2013-11-08,66,39.91
2013-11-15,70,41.42
2013-11-22,64,40.64
2013-11-29,57,41.25
2013-12-06,59,41.57
2013-12-13,65,39.77
2013-12-20,60,40.49
2013-12-27,32,40.7
2014-01-03,33,40.33
2014-01-10,59,40.37
2014-01-17,62,44.49
2014-01-24,62,43.96
2014-01-31,66,42.34
2014-02-07,63,42.82
2014-02-14,65,40.72
2014-02-21,65,39.89
2014-02-28,64,40.41
2014-03-07,67,37.9
2014-03-14,74,36.57
2014-03-21,62,37.8
2014-03-28,67,36.18
2014-04-04,63,37.53
2014-04-11,64,35.97
2014-04-25,58,35
