"Date","XEL","Price"
2009-11-13,58,19.91
2009-11-20,49,20.02
2009-11-27,68,20.19
2009-12-04,55,20.63
2009-12-11,51,21.41
2009-12-18,60,21.59
2010-01-08,58,20.79
2010-01-15,55,21.41
2010-01-22,60,20.84
2010-01-29,58,20.78
2010-02-05,67,20.13
2010-02-12,57,20.23
2010-02-19,96,21.08
2010-02-26,53,20.81
2010-03-05,63,21.19
2010-03-12,54,21.03
2010-03-19,60,21.58
2010-03-26,62,21.04
2010-04-09,61,21.63
2010-04-16,52,21.48
2010-04-23,54,21.94
2010-04-30,45,21.75
2010-05-07,57,20.87
2010-05-14,59,21.27
2010-05-21,58,20.67
2010-05-28,54,20.49
2010-06-04,55,20.18
2010-06-11,52,20.56
2010-06-18,59,21.57
2010-06-25,61,20.76
2010-07-02,56,20.71
2010-07-09,60,21.67
2010-07-16,60,21.45
2010-07-23,62,22.25
2010-07-30,70,21.99
2010-08-06,79,22.12
2010-08-13,73,22.42
2010-08-20,64,21.87
2010-08-27,62,22.57
2010-09-03,51,22.8
2010-09-10,57,22.74
2010-09-17,53,22.82
2010-09-24,60,22.93
2010-10-01,60,23.23
2010-10-08,61,23.47
2010-10-15,61,23.56
2010-10-22,60,23.89
2010-10-29,60,23.86
2010-11-05,69,24.33
2010-11-12,68,23.89
2010-11-19,82,23.56
2010-11-26,70,23.45
2010-12-03,70,23.87
2010-12-10,71,23.42
2010-12-17,90,23.73
2010-12-31,88,23.55
2011-01-07,83,23.71
2011-01-14,89,23.47
2011-01-21,84,23.91
2011-01-28,80,23.55
2011-02-04,77,23.65
2011-02-11,82,23.93
2011-02-18,80,23.81
2011-02-25,82,23.82
2011-03-04,83,23.89
2011-03-11,67,24.31
2011-03-18,65,23.45
2011-03-25,70,23.5
2011-04-01,71,24.08
2011-04-08,71,23.89
2011-04-15,75,24.12
2011-04-29,57,24.33
2011-05-06,65,24.29
2011-05-13,74,24.95
2011-05-20,79,25.26
2011-05-27,77,24.58
2011-06-03,65,24.32
2011-06-10,67,24.03
2011-06-17,70,24.56
2011-06-24,70,24.02
2011-07-01,68,24.66
2011-07-08,78,24.49
2011-07-15,68,24.03
2011-07-22,68,24.54
2011-07-29,67,24
2011-08-05,80,23.23
2011-08-12,72,22.89
2011-08-19,69,23.31
2011-08-26,59,24.02
2011-09-02,63,24.21
2011-09-09,58,23.77
2011-09-16,61,25.27
2011-09-23,66,24.69
2011-09-30,59,24.69
2011-10-07,59,24.61
2011-10-14,55,24.88
2011-10-21,57,25.7
2011-10-28,64,25.91
2011-11-04,59,26.06
2011-11-11,55,26.31
2011-11-18,65,25.92
2011-11-25,64,25.2
2011-12-02,62,25.84
2011-12-09,50,25.98
2011-12-16,59,26.41
2011-12-23,61,27.2
2011-12-30,59,27.64
2012-01-06,63,27.2
2012-01-13,70,26.75
2012-01-20,65,26.6
2012-01-27,64,26.98
2012-02-03,65,26.52
2012-02-10,72,26.5
2012-02-17,84,26.36
2012-02-24,81,26.48
2012-03-02,82,26.32
2012-03-09,76,26.69
2012-03-16,65,26.4
2012-03-23,69,26.18
2012-03-30,59,26.47
2012-04-13,63,26.02
2012-04-20,64,26.76
2012-04-27,68,27.07
2012-05-04,66,26.98
2012-05-11,64,27.5
2012-05-18,67,27.26
2012-05-25,76,27.8
2012-06-01,73,27.96
2012-06-08,61,28.43
2012-06-15,72,28.87
2012-06-22,69,27.87
2012-06-29,71,28.41
2012-07-06,77,28.59
2012-07-13,82,28.89
2012-07-20,76,29.2
2012-07-27,80,29.45
2012-08-03,77,29.32
2012-08-10,81,28.86
2012-08-17,86,28.49
2012-08-24,93,27.93
2012-08-31,89,27.89
2012-09-07,77,28.1
2012-09-14,66,28.14
2012-09-21,77,27.32
2012-09-28,67,27.71
2012-10-05,68,27.94
2012-10-12,57,27.62
2012-10-19,61,28.04
2012-10-26,58,27.99
2012-11-02,57,27.9
2012-11-09,58,26.5
2012-11-16,58,26.27
2012-11-23,58,26.02
2012-11-30,59,27.05
2012-12-07,55,27.12
2012-12-14,56,26.94
2012-12-21,61,27.21
2012-12-28,66,26.25
2013-01-04,69,27.4
2013-01-11,74,27.17
2013-01-18,72,27.01
2013-01-25,62,27.55
2013-02-01,68,28.01
2013-02-08,66,27.84
2013-02-15,65,28.11
2013-02-22,63,28.23
2013-03-01,63,28.71
2013-03-08,66,28.97
2013-03-15,81,29.14
2013-03-22,79,28.67
2013-04-05,67,30.18
2013-04-12,73,30.92
2013-04-19,64,31.08
2013-04-26,57,31.22
2013-05-03,56,31.19
2013-05-10,64,30.25
2013-05-17,59,30.42
2013-05-24,69,29.57
2013-05-31,56,28.72
2013-06-07,61,29.15
2013-06-14,67,29.42
2013-06-21,61,28.01
2013-06-28,66,28.34
2013-07-05,62,28.1
2013-07-12,71,29.31
2013-07-19,75,30.09
2013-07-26,71,29.75
2013-08-02,68,30.36
2013-08-09,68,29.45
2013-08-16,61,27.95
2013-08-23,60,27.92
2013-08-30,65,27.92
2013-09-06,60,27.37
2013-09-13,51,27.64
2013-09-20,60,27.75
2013-09-27,58,27.69
2013-10-04,52,27.3
2013-10-11,53,28.27
2013-10-18,50,28.6
2013-10-25,48,29.1
2013-11-01,52,28.92
2013-11-08,52,28.52
2013-11-15,58,28.6
2013-11-22,57,28.35
2013-11-29,54,28.02
2013-12-06,52,28.45
2013-12-13,48,27.74
2013-12-20,52,28.21
2013-12-27,53,27.86
2014-01-03,64,27.5
2014-01-10,66,28.25
2014-01-17,58,28.2
2014-01-24,56,28.06
2014-01-31,60,28.91
2014-02-07,55,28.63
2014-02-14,57,29.65
2014-02-21,54,30.05
2014-02-28,65,30.29
2014-03-07,59,29.89
2014-03-14,61,30.52
2014-03-21,65,29.69
2014-03-28,63,30.08
2014-04-04,60,30.66
2014-04-11,63,30.59
2014-04-25,64,31.95
