"Date","buy.DOW","Price"
2010-10-29,12,30.84
2010-11-05,13,32.5
2010-11-12,12,31.3
2010-11-19,11,31.71
2010-11-26,12,31.29
2010-12-03,17,33.36
2010-12-10,12,34.07
2010-12-17,14,33.95
2010-12-31,16,34.14
2011-01-07,16,34.93
2011-01-14,15,35.93
2011-01-21,12,34.49
2011-01-28,13,35.06
2011-02-04,15,37.01
2011-02-11,16,38.38
2011-02-18,13,38.54
2011-02-25,15,36.32
2011-03-04,9,37.52
2011-03-11,10,36.79
2011-03-18,19,35.85
2011-03-25,12,37.15
2011-04-01,9,37.91
2011-04-08,17,38.52
2011-04-15,11,37.78
2011-04-29,13,40.99
2011-05-06,12,39.72
2011-05-13,11,38.37
2011-05-20,8,36.01
2011-05-27,9,35.6
2011-06-03,11,35.2
2011-06-10,13,35.07
2011-06-17,11,34.59
2011-06-24,9,35.23
2011-07-01,9,36.32
2011-07-08,11,36.38
2011-07-15,12,34.95
2011-07-22,13,35.58
2011-07-29,15,34.87
2011-08-05,33,30.22
2011-08-12,51,29.43
2011-08-19,25,26.26
2011-08-26,19,26.82
2011-09-02,14,26.71
2011-09-09,12,25.77
2011-09-16,14,28.3
2011-09-23,18,23.53
2011-09-30,11,22.46
2011-10-07,14,24.76
2011-10-14,11,27.68
2011-10-21,15,27.24
2011-10-28,12,29.25
2011-11-04,13,28.18
2011-11-11,11,28.19
2011-11-18,11,25.95
2011-11-25,10,24.47
2011-12-02,18,27.75
2011-12-09,10,27.1
2011-12-16,9,26.36
2011-12-23,14,28.84
2011-12-30,12,28.76
2012-01-06,12,30.32
2012-01-13,13,32.02
2012-01-20,12,33.39
2012-01-27,12,33.46
2012-02-03,20,34.18
2012-02-10,12,34
2012-02-17,16,35
2012-02-24,18,33.82
2012-03-02,9,34.2
2012-03-09,9,34.06
2012-03-16,13,35.3
2012-03-23,8,35.02
2012-03-30,13,34.64
2012-04-13,9,33.2
2012-04-20,9,35.31
2012-04-27,12,34.73
2012-05-04,10,32.33
2012-05-11,10,32.15
2012-05-18,19,29.45
2012-05-25,15,31.3
2012-06-01,11,30.36
2012-06-08,12,32.11
2012-06-15,9,32.89
2012-06-22,11,32.82
2012-06-29,11,31.5
2012-07-06,10,31.51
2012-07-13,10,30.32
2012-07-20,10,30.92
2012-07-27,9,29.08
2012-08-03,15,29.83
2012-08-10,8,29.73
2012-08-17,14,30.16
2012-08-24,11,29.89
2012-08-31,9,29.31
2012-09-07,12,30.33
2012-09-14,13,32.25
2012-09-21,19,30.26
2012-09-28,14,28.96
2012-10-05,12,29.2
2012-10-12,12,28.08
2012-10-19,9,29.86
2012-10-26,14,29.57
2012-11-02,8,29.75
2012-11-09,15,29.36
2012-11-16,13,27.74
2012-11-23,12,29.38
2012-11-30,12,30.19
2012-12-07,8,30.3
2012-12-14,9,31.42
2012-12-21,10,31.99
2012-12-28,10,31.62
2013-01-04,18,33.63
2013-01-11,10,33.86
2013-01-18,10,33.8
2013-01-25,12,34.58
2013-02-01,12,32.59
2013-02-08,12,32.42
2013-02-15,9,32.16
2013-02-22,12,31.38
2013-03-01,12,31.81
2013-03-08,16,32.77
2013-03-15,16,33.81
2013-03-22,15,32.78
2013-04-05,12,30.9
2013-04-12,16,31.75
2013-04-19,10,30.55
2013-04-26,12,33.42
2013-05-03,15,33.96
2013-05-10,14,34.46
2013-05-17,13,35.82
2013-05-24,15,35.08
2013-05-31,12,34.46
2013-06-07,10,34.35
2013-06-14,9,34.01
2013-06-21,17,32.63
2013-06-28,14,32.17
2013-07-05,6,32.69
2013-07-12,13,34.12
2013-07-19,13,34.67
2013-07-26,15,34.7
2013-08-02,13,36.22
2013-08-09,7,38.04
2013-08-16,11,36.89
2013-08-23,9,38.74
2013-08-30,11,37.4
2013-09-06,7,38.56
2013-09-13,11,39.87
2013-09-20,14,39.7
2013-09-27,8,39.02
2013-10-04,14,39.99
2013-10-11,16,41.07
2013-10-18,12,41.31
2013-10-25,15,39.52
2013-11-01,14,38.95
2013-11-08,21,39.67
2013-11-15,17,40.23
2013-11-22,11,39.66
2013-11-29,8,39.06
2013-12-06,10,39.27
2013-12-13,13,41.52
2013-12-20,15,43.78
2013-12-27,15,44.6
2014-01-03,13,43.67
2014-01-10,15,42.71
2014-01-17,14,43.07
2014-01-24,11,43.41
2014-01-31,16,45.51
2014-02-07,12,45.6
2014-02-14,12,46.71
2014-02-21,6,46.96
2014-02-28,14,48.71
2014-03-07,16,49.51
2014-03-14,14,48.65
2014-03-21,11,50.21
2014-03-28,12,48.2
2014-04-04,10,48.69
2014-04-11,13,46.95
2014-04-25,8,48.5
