"Date","buy.CAT","Price"
2011-07-22,80,105.15
2011-07-29,75,98.79
2011-08-05,70,90.99
2011-08-12,82,89.81
2011-08-19,77,79.97
2011-08-26,62,85.16
2011-09-02,70,85.38
2011-09-09,72,83.96
2011-09-16,71,85.9
2011-09-23,78,73.86
2011-09-30,77,73.84
2011-10-07,85,75.52
2011-10-14,78,84.09
2011-10-21,79,87.39
2011-10-28,83,96.85
2011-11-04,70,95.74
2011-11-11,78,96.13
2011-11-18,67,93.93
2011-11-25,83,86.72
2011-12-02,73,96.29
2011-12-09,78,95.97
2011-12-16,80,87.2
2011-12-23,82,92.25
2011-12-30,79,90.6
2012-01-06,87,95.76
2012-01-13,72,102.48
2012-01-20,68,105.64
2012-01-27,70,111.28
2012-02-03,81,113.94
2012-02-10,80,111.75
2012-02-17,72,113.95
2012-02-24,80,116
2012-03-02,80,112.49
2012-03-09,79,110.22
2012-03-16,72,113.58
2012-03-23,71,107.83
2012-03-30,70,106.52
2012-04-13,75,105.89
2012-04-20,71,107.73
2012-04-27,72,104.56
2012-05-04,69,98.44
2012-05-11,69,95.5
2012-05-18,70,88.68
2012-05-25,67,89.94
2012-06-01,79,85.52
2012-06-08,71,87.6
2012-06-15,78,86.93
2012-06-22,80,84.96
2012-06-29,73,84.91
2012-07-06,74,84.61
2012-07-13,79,82.07
2012-07-20,79,80.95
2012-07-27,73,86.16
2012-08-03,81,85.02
2012-08-10,79,88.94
2012-08-17,81,90.01
2012-08-24,92,87.47
2012-08-31,92,85.33
2012-09-07,83,88.1
2012-09-14,85,93.17
2012-09-21,82,91.72
2012-09-28,85,86.04
2012-10-05,84,85.43
2012-10-12,75,82.82
2012-10-19,86,83.86
2012-10-26,85,84.25
2012-11-02,81,85.79
2012-11-09,88,84.95
2012-11-16,84,81.93
2012-11-23,92,84.16
2012-11-30,91,85.24
2012-12-07,98,86.99
2012-12-14,99,89
2012-12-21,98,87.9
2012-12-28,100,86.81
2013-01-04,96,94.92
2013-01-11,87,95.19
2013-01-18,90,97.62
2013-01-25,77,95.58
2013-02-01,82,99.49
2013-02-08,82,96.85
2013-02-15,82,95.61
2013-02-22,87,91.54
2013-03-01,82,91.36
2013-03-08,91,90.51
2013-03-15,89,88.83
2013-03-22,79,87.48
2013-04-05,85,84.6
2013-04-12,83,85.05
2013-04-19,80,80.43
2013-04-26,84,84.68
2013-05-03,86,86.98
2013-05-10,77,88.62
2013-05-17,73,87.67
2013-05-24,72,86.21
2013-05-31,81,85.8
2013-06-07,71,84.65
2013-06-14,83,83.87
2013-06-21,79,83.12
2013-06-28,79,82.49
2013-07-05,96,82.14
2013-07-12,80,87.17
2013-07-19,84,85.65
2013-07-26,83,82.06
2013-08-02,90,84.3
2013-08-09,86,84.51
2013-08-16,91,85.16
2013-08-23,91,83.89
2013-08-30,86,82.54
2013-09-06,92,83.39
2013-09-13,81,87.01
2013-09-20,75,84.75
2013-09-27,81,83.8
2013-10-04,88,84.2
2013-10-11,83,85.61
2013-10-18,84,87.34
2013-10-25,91,84.77
2013-11-01,92,83.59
2013-11-08,80,84.24
2013-11-15,88,83.74
2013-11-22,87,82.88
2013-11-29,95,84.6
2013-12-06,91,85.5
2013-12-13,87,86.05
2013-12-20,99,88.93
2013-12-27,95,90.87
2014-01-03,92,89.82
2014-01-10,88,90.51
2014-01-17,88,91.44
2014-01-24,84,86.17
2014-01-31,87,93.91
2014-02-07,84,94.87
2014-02-14,88,96.55
2014-02-21,88,97.5
2014-02-28,87,96.97
2014-03-07,92,97.05
2014-03-14,80,95.39
2014-03-21,83,97.39
2014-03-28,87,99.39
2014-04-04,72,102.17
2014-04-11,80,101.45
2014-04-25,77,104.69
