"Date","Varian.Medical.Systems","Price"
2010-06-25,36,52.67
2010-07-02,56,51.53
2010-07-09,38,53.38
2010-07-16,46,53.51
2010-07-23,36,55.8
2010-07-30,28,55.2
2010-08-06,56,55.8
2010-08-13,23,55.33
2010-08-20,43,54.22
2010-08-27,51,54.2
2010-09-03,40,56.18
2010-09-10,35,58.35
2010-09-17,31,59.19
2010-09-24,29,60.8
2010-10-01,49,60.68
2010-10-08,35,61.58
2010-10-15,36,62.12
2010-10-22,36,61.03
2010-10-29,28,63.22
2010-11-05,31,65
2010-11-12,27,64.01
2010-11-19,35,65
2010-11-26,27,65.52
2010-12-03,29,69.23
2010-12-10,36,67.73
2010-12-17,21,70.37
2010-12-31,36,69.28
2011-01-07,38,68.56
2011-01-14,34,70.47
2011-01-21,28,71.41
2011-01-28,37,68.67
2011-02-04,49,67.4
2011-02-11,39,69.11
2011-02-18,34,70
2011-02-25,31,68.66
2011-03-04,26,70.5
2011-03-11,31,67.32
2011-03-18,41,65.77
2011-03-25,36,66.52
2011-04-01,44,68.68
2011-04-08,28,68.77
2011-04-15,34,69.75
2011-04-29,33,70.2
2011-05-06,30,70.24
2011-05-13,25,69.09
2011-05-20,26,68.92
2011-05-27,23,67.01
2011-06-03,24,65.95
2011-06-10,27,65.48
2011-06-17,14,66.2
2011-06-24,31,67.64
2011-07-01,26,70.87
2011-07-08,21,70.77
2011-07-15,21,70.39
2011-07-22,27,70.92
2011-07-29,24,62.76
2011-08-05,27,57.91
2011-08-12,31,55.44
2011-08-19,13,52.48
2011-08-26,36,55.61
2011-09-02,17,53.38
2011-09-09,25,51.56
2011-09-16,40,53.88
2011-09-23,43,49.85
2011-09-30,33,52.16
2011-10-07,34,54.95
2011-10-14,32,56.55
2011-10-21,43,57.68
2011-10-28,41,60.57
2011-11-04,43,57.98
2011-11-11,36,57.9
2011-11-18,32,58.05
2011-11-25,34,56.87
2011-12-02,31,62.83
2011-12-09,28,64.42
2011-12-16,18,63.19
2011-12-23,18,66.21
2011-12-30,15,67.13
2012-01-06,20,68.9
2012-01-13,33,70.05
2012-01-20,33,69.1
2012-01-27,22,66.09
2012-02-03,36,67.77
2012-02-10,33,64.73
2012-02-17,36,66.44
2012-02-24,42,66.56
2012-03-02,24,66.2
2012-03-09,37,67.17
2012-03-16,32,70.57
2012-03-23,35,68.97
2012-03-30,32,68.96
2012-04-13,32,66.53
2012-04-20,35,67.73
2012-04-27,40,63.4
2012-05-04,40,63.35
2012-05-11,33,64.58
2012-05-18,32,61.29
2012-05-25,24,61.36
2012-06-01,21,57.57
2012-06-08,41,59.47
2012-06-15,33,60.38
2012-06-22,20,59.33
2012-06-29,32,60.77
2012-07-06,30,59.93
2012-07-13,46,57.84
2012-07-20,39,57.08
2012-07-27,42,55.56
2012-08-03,39,55.46
2012-08-10,39,56.85
2012-08-17,48,58.98
2012-08-24,45,59.58
2012-08-31,38,58.79
2012-09-07,32,59.9
2012-09-14,29,61.6
2012-09-21,37,61.08
2012-09-28,37,60.32
2012-10-05,42,61.06
2012-10-12,43,58.29
2012-10-19,37,58.42
2012-10-26,40,66.93
2012-11-02,31,70.15
2012-11-09,31,68.84
2012-11-16,25,67.89
2012-11-23,36,69.42
2012-11-30,36,69.16
2012-12-07,31,70.7
2012-12-14,34,71
2012-12-21,28,70.8
2012-12-28,28,69.62
2013-01-04,26,72.72
2013-01-11,35,74.58
2013-01-18,45,75.09
2013-01-25,51,73.41
2013-02-01,44,71.22
2013-02-08,40,71.1
2013-02-15,38,70.05
2013-02-22,31,70.12
2013-03-01,29,70.85
2013-03-08,24,73.82
2013-03-15,34,73.23
2013-03-22,28,72.25
2013-04-05,35,70.66
2013-04-12,37,72.78
2013-04-19,29,67.29
2013-04-26,41,64.12
2013-05-03,37,65.69
2013-05-10,33,68.75
2013-05-17,42,69.3
2013-05-24,31,67.36
2013-05-31,35,67.01
2013-06-07,31,69.55
2013-06-14,32,68.88
2013-06-21,35,67.61
2013-06-28,28,67.45
2013-07-05,24,67.23
2013-07-12,40,69.37
2013-07-19,40,72.26
2013-07-26,41,73.84
2013-08-02,47,73.01
2013-08-09,28,74.21
2013-08-16,36,71.72
2013-08-23,43,72.65
2013-08-30,37,70.45
2013-09-06,33,71.87
2013-09-13,45,74.55
2013-09-20,34,76.1
2013-09-27,28,74.18
2013-10-04,27,74.94
2013-10-11,27,77.69
2013-10-18,28,78.64
2013-10-25,43,73.2
2013-11-01,35,72.5
2013-11-08,28,73.39
2013-11-15,33,74.59
2013-11-22,23,74.8
2013-11-29,21,78.05
2013-12-06,31,79.32
2013-12-13,31,76.46
2013-12-20,32,76.07
2013-12-27,21,76.91
2014-01-03,20,77.48
2014-01-10,32,80.97
2014-01-17,43,82.4
2014-01-24,35,81.8
2014-01-31,28,81.31
2014-02-07,32,80.31
2014-02-14,33,81.81
2014-02-21,22,83.7
2014-02-28,28,83.83
2014-03-07,36,84.69
2014-03-14,34,84.25
2014-03-21,34,83.84
2014-03-28,34,82.49
2014-04-04,33,84.85
2014-04-11,32,80.06
2014-04-25,23,78.66
