"Date","TECO.Energy","Price"
2010-11-19,49,16.95
2010-11-26,30,16.88
2010-12-03,45,17.02
2010-12-10,36,16.98
2010-12-17,42,17.49
2010-12-31,38,17.8
2011-01-07,46,18.09
2011-01-14,54,18.2
2011-01-21,43,18.14
2011-01-28,48,18.25
2011-02-04,32,18.25
2011-02-11,48,17.79
2011-02-18,46,17.8
2011-02-25,36,17.92
2011-03-04,55,18.07
2011-03-11,44,18.14
2011-03-18,40,17.74
2011-03-25,53,18.25
2011-04-01,92,18.86
2011-04-08,50,18.97
2011-04-15,65,18.86
2011-04-29,48,19.27
2011-05-06,60,19.27
2011-05-13,44,19.15
2011-05-20,30,19.11
2011-05-27,34,19.06
2011-06-03,49,18.56
2011-06-10,45,18.44
2011-06-17,74,18.61
2011-06-24,53,18.5
2011-07-01,53,19.16
2011-07-08,42,19.17
2011-07-15,39,18.68
2011-07-22,29,19.25
2011-07-29,32,18.53
2011-08-05,38,17.18
2011-08-12,26,16.91
2011-08-19,39,17.15
2011-08-26,35,17.75
2011-09-02,25,17.71
2011-09-09,17,17.51
2011-09-16,36,18.49
2011-09-23,24,17.04
2011-09-30,45,17.13
2011-10-07,20,17.09
2011-10-14,30,17.86
2011-10-21,39,18.07
2011-10-28,37,18.81
2011-11-04,41,19.01
2011-11-11,47,18.82
2011-11-18,31,18.28
2011-11-25,33,17.51
2011-12-02,50,18.42
2011-12-09,35,18.46
2011-12-16,34,18.33
2011-12-23,37,19.09
2011-12-30,32,19.14
2012-01-06,41,18.94
2012-01-13,51,18.6
2012-01-20,44,18.3
2012-01-27,35,18.36
2012-02-03,45,18.28
2012-02-10,41,17.65
2012-02-17,23,18.1
2012-02-24,39,18.11
2012-03-02,21,17.94
2012-03-09,34,17.78
2012-03-16,28,17.75
2012-03-23,57,17.53
2012-03-30,20,17.55
2012-04-13,56,17.18
2012-04-20,39,17.85
2012-04-27,48,17.94
2012-05-04,40,17.85
2012-05-11,38,17.81
2012-05-18,38,17.23
2012-05-25,28,17.35
2012-06-01,39,17.2
2012-06-08,43,17.74
2012-06-15,45,18.13
2012-06-22,56,17.83
2012-06-29,74,18.06
2012-07-06,59,18.17
2012-07-13,49,18.29
2012-07-20,46,18.24
2012-07-27,48,18.22
2012-08-03,59,17.98
2012-08-10,45,17.94
2012-08-17,58,17.88
2012-08-24,37,17.61
2012-08-31,45,17.36
2012-09-07,35,17.54
2012-09-14,41,17.46
2012-09-21,33,17.51
2012-09-28,39,17.74
2012-10-05,61,17.55
2012-10-12,40,17.52
2012-10-19,33,17.89
2012-10-26,50,17.61
2012-11-02,57,17.82
2012-11-09,49,16.92
2012-11-16,65,16.51
2012-11-23,39,16.21
2012-11-30,57,16.81
2012-12-07,47,16.84
2012-12-14,42,16.6
2012-12-21,36,17.03
2012-12-28,32,16.56
2013-01-04,57,17.18
2013-01-11,35,17.14
2013-01-18,33,17.02
2013-01-25,40,17.19
2013-02-01,51,17.77
2013-02-08,56,17.05
2013-02-15,51,16.9
2013-02-22,26,17.12
2013-03-01,23,17.35
2013-03-08,20,17.32
2013-03-15,22,17.44
2013-03-22,40,17.35
2013-04-05,74,18.16
2013-04-12,74,18.45
2013-04-19,65,18.47
2013-04-26,49,18.83
2013-05-03,63,18.94
2013-05-10,48,18.63
2013-05-17,52,18.98
2013-05-24,68,18.29
2013-05-31,55,17.61
2013-06-07,55,17.5
2013-06-14,46,17.33
2013-06-21,57,16.76
2013-06-28,46,17.19
2013-07-05,50,16.71
2013-07-12,56,17.56
2013-07-19,49,17.83
2013-07-26,62,17.66
2013-08-02,63,17.78
2013-08-09,76,17.91
2013-08-16,76,16.71
2013-08-23,71,16.8
2013-08-30,56,16.53
2013-09-06,66,16.59
2013-09-13,73,16.35
2013-09-20,60,16.71
2013-09-27,55,16.51
2013-10-04,62,16.5
2013-10-11,62,16.99
2013-10-18,44,17.17
2013-10-25,49,17.61
2013-11-01,67,17.34
2013-11-08,62,17.07
2013-11-15,46,17.42
2013-11-22,62,17.16
2013-11-29,49,17.04
2013-12-06,58,17.34
2013-12-13,59,16.81
2013-12-20,62,17.04
2013-12-27,47,17.14
2014-01-03,68,16.96
2014-01-10,67,17.14
2014-01-17,50,16.91
2014-01-24,62,16.69
2014-01-31,47,16.38
2014-02-07,43,16.31
2014-02-14,52,16.65
2014-02-21,49,16.7
2014-02-28,52,16.78
2014-03-07,68,16.34
2014-03-14,66,16.93
2014-03-21,44,16.69
2014-03-28,51,16.97
2014-04-04,44,17.14
2014-04-11,61,17.22
2014-04-25,59,18.38
