"Date","Johnson.Controls","Price"
2006-04-21,53,81.26
2006-04-28,53,81.55
2006-05-05,51,85.15
2006-05-12,49,83.35
2006-05-19,49,82.75
2006-05-26,43,83.03
2006-06-02,55,89.12
2006-06-09,46,83
2006-06-16,55,80.46
2006-06-23,51,81.43
2006-06-30,45,82.22
2006-07-07,52,84.5
2006-07-14,65,80.88
2006-07-21,65,77.65
2006-07-28,62,76.35
2006-08-04,51,75.6
2006-08-11,56,73.53
2006-08-18,63,74.9
2006-08-25,54,70.92
2006-09-01,53,72.65
2006-09-08,45,69.9
2006-09-15,47,71.86
2006-09-22,54,68.4
2006-09-29,56,71.74
2006-10-06,55,75.35
2006-10-13,59,82.47
2006-10-20,54,83.7
2006-10-27,54,82.63
2006-11-03,49,81.97
2006-11-10,61,83.8
2006-11-17,41,84.99
2006-11-24,43,83.29
2006-12-01,43,81.85
2006-12-08,42,83.77
2006-12-15,53,84.15
2006-12-22,42,85.21
2006-12-29,24,85.92
2007-01-05,51,84.75
2007-01-12,51,86.2
2007-01-19,46,89.42
2007-01-26,55,92.02
2007-02-02,53,94.85
2007-02-09,56,94.36
2007-02-16,53,96.34
2007-02-23,58,97.81
2007-03-02,53,95.57
2007-03-09,56,95.37
2007-03-16,52,94.77
2007-03-23,44,95.68
2007-03-30,54,94.62
2007-04-13,48,95.49
2007-04-20,47,102.35
2007-04-27,50,103.9
2007-05-04,47,107.55
2007-05-11,51,109.91
2007-05-18,51,110.6
2007-05-25,56,108.27
2007-06-01,47,109.49
2007-06-08,57,110.72
2007-06-15,52,113.44
2007-06-22,52,114
2007-06-29,55,115.77
2007-07-06,42,116.6
2007-07-13,50,123.35
2007-07-20,51,118.85
2007-07-27,56,109.71
2007-08-03,54,112.03
2007-08-10,57,114.95
2007-08-17,48,108.67
2007-08-24,50,112.53
2007-08-31,47,113.1
2007-09-07,45,109.71
2007-09-14,56,111.22
2007-09-21,48,117.11
2007-09-28,50,118.11
2007-10-05,61,40.66
2007-10-12,54,42.63
2007-10-19,52,40.31
2007-10-26,54,42.74
2007-11-02,49,42.96
2007-11-09,50,39.88
2007-11-16,47,38.11
2007-11-23,57,36.61
2007-11-30,57,38.62
2007-12-07,55,38.03
2007-12-14,50,36.32
2007-12-21,47,36.1
2007-12-28,24,36.8
2008-01-04,45,34.29
2008-01-11,52,33.16
2008-01-18,47,32.01
2008-01-25,56,32.6
2008-02-01,55,35.85
2008-02-08,55,33.43
2008-02-15,46,34.32
2008-02-22,52,33.84
2008-02-29,54,32.86
2008-03-07,52,32.16
2008-03-14,49,32.64
2008-03-28,46,33.13
2008-04-04,50,35.14
2008-04-11,51,32.64
2008-04-18,53,35.05
2008-04-25,49,33.95
2008-05-02,50,34.88
2008-05-09,53,33.98
2008-05-16,51,35.85
2008-05-23,52,33.2
2008-05-30,46,34.06
2008-06-06,48,31.54
2008-06-13,53,33.28
2008-06-20,51,30.8
2008-06-27,48,28.67
2008-07-11,53,28.34
2008-07-18,52,30.05
2008-07-25,49,31.05
2008-08-01,48,29.61
2008-08-08,48,32.1
2008-08-15,47,33.17
2008-08-22,48,31.75
2008-08-29,44,30.92
2008-09-05,50,29.5
2008-09-12,52,32.93
2008-09-19,56,33.65
2008-09-26,51,31.08
2008-10-03,48,25.83
2008-10-10,50,22.07
2008-10-17,51,18.5
2008-10-24,56,16.31
2008-10-31,54,17.73
2008-11-07,48,17.18
2008-11-14,56,15.36
2008-11-21,50,15.63
2008-11-28,48,17.66
2008-12-05,48,17.29
2008-12-12,49,18.22
2008-12-19,49,17.99
2008-12-26,29,16.94
2009-01-02,32,19.32
2009-01-09,49,19.1
2009-01-16,51,16.21
2009-01-23,50,13.71
2009-01-30,50,12.51
2009-02-06,50,14.18
2009-02-13,51,13.66
2009-02-20,51,12
2009-02-27,49,11.38
2009-03-06,52,9.13
2009-03-13,48,9.81
2009-03-20,51,11.25
2009-03-27,61,12.54
2009-04-03,51,15.57
2009-04-17,53,17.33
2009-04-24,51,19.54
2009-05-01,46,18.68
2009-05-08,54,20.23
2009-05-15,47,18.25
2009-05-22,45,18.72
2009-05-29,47,19.93
2009-06-05,46,21.65
2009-06-12,42,21.57
2009-06-19,51,20.6
2009-06-26,45,21.31
2009-07-10,47,19.79
2009-07-17,54,21.52
2009-07-24,50,24.95
2009-07-31,42,25.88
2009-08-07,52,26.9
2009-08-14,49,25.3
2009-08-21,51,25.49
2009-08-28,47,25.09
2009-09-04,47,24.73
2009-09-11,43,26.95
2009-09-18,47,27.38
2009-09-25,47,24.99
2009-10-02,47,23.77
2009-10-09,50,26.89
2009-10-16,49,26.45
2009-10-23,51,26.54
2009-10-30,51,23.92
2009-11-06,46,26.23
2009-11-13,48,27.13
2009-11-20,49,26.86
2009-11-27,41,26.93
2009-12-04,47,27.01
2009-12-11,43,27.37
2009-12-18,46,27.58
2010-01-08,44,28.63
2010-01-15,51,29.31
2010-01-22,49,29.48
2010-01-29,46,27.83
2010-02-05,53,28.06
2010-02-12,46,28.54
2010-02-19,47,29.89
2010-02-26,47,31.1
2010-03-05,47,32.38
2010-03-12,45,31.62
2010-03-19,47,31.82
2010-03-26,52,32.89
2010-04-09,49,32.11
2010-04-16,47,32.69
2010-04-23,50,34.5
2010-04-30,50,33.59
2010-05-07,49,29.68
2010-05-14,48,30.62
2010-05-21,54,28.19
2010-05-28,46,28.53
2010-06-04,51,27.53
2010-06-11,48,27.56
2010-06-18,49,28.87
2010-06-25,44,27.76
2010-07-02,47,26.88
2010-07-09,47,28.62
2010-07-16,48,28.51
2010-07-23,47,29.11
2010-07-30,49,28.81
2010-08-06,47,29.55
2010-08-13,49,27.37
2010-08-20,51,28.03
2010-08-27,47,27.24
2010-09-03,45,29.17
2010-09-10,50,28.43
2010-09-17,52,28.92
2010-09-24,51,29.88
2010-10-01,49,30.54
2010-10-08,49,31.8
2010-10-15,47,32.74
2010-10-22,53,34.18
2010-10-29,46,35.12
2010-11-05,46,36.8
2010-11-12,46,36.45
2010-11-19,47,36.67
2010-11-26,41,37.09
2010-12-03,45,39.19
2010-12-10,47,37.96
2010-12-17,45,38.65
2010-12-31,32,38.2
2011-01-07,49,40.36
2011-01-14,53,40.45
2011-01-21,50,38.52
2011-01-28,53,37.69
2011-02-04,47,38.19
2011-02-11,52,41.41
2011-02-18,50,42.4
2011-02-25,46,40.68
2011-03-04,49,41.31
2011-03-11,44,40.76
2011-03-18,42,39.5
2011-03-25,51,41.4
2011-04-01,49,42.08
2011-04-08,50,40.3
2011-04-15,49,39.16
2011-04-29,47,41
2011-05-06,48,39.62
2011-05-13,48,38.62
2011-05-20,48,38.35
2011-05-27,48,39.06
2011-06-03,41,37.65
2011-06-10,48,35.81
2011-06-17,49,37.11
2011-06-24,49,39.17
2011-07-01,48,42.4
2011-07-08,45,42.47
2011-07-15,47,40.85
2011-07-22,49,40.01
2011-07-29,51,36.95
2011-08-05,47,33.15
2011-08-12,48,32.45
2011-08-19,45,28.83
2011-08-26,49,30.25
2011-09-02,46,29.86
2011-09-09,52,28.9
2011-09-16,50,30.19
2011-09-23,54,26.73
2011-09-30,51,26.37
2011-10-07,48,28.54
2011-10-14,48,32.34
2011-10-21,51,32.69
2011-10-28,48,33.62
2011-11-04,43,32.55
2011-11-11,47,31.85
2011-11-18,45,29.76
2011-11-25,43,27.59
2011-12-02,48,31.73
2011-12-09,44,31.95
2011-12-16,42,28.96
2011-12-23,36,31.05
2011-12-30,28,31.26
2012-01-06,43,33.17
2012-01-13,47,35.05
2012-01-20,48,31.5
2012-01-27,49,31.66
2012-02-03,45,33.62
2012-02-10,51,32.95
2012-02-17,48,35.16
2012-02-24,46,33.19
2012-03-02,45,33.26
2012-03-09,47,32.31
2012-03-16,43,32.66
2012-03-23,45,32.08
2012-03-30,43,32.48
2012-04-13,42,32.57
2012-04-20,43,31.96
2012-04-27,40,32.33
2012-05-04,41,31.61
2012-05-11,40,31.82
2012-05-18,41,29.55
2012-05-25,42,30.54
2012-06-01,36,29.03
2012-06-08,43,29.46
2012-06-15,42,28.21
2012-06-22,46,26.95
2012-06-29,42,27.71
2012-07-06,34,27.03
2012-07-13,41,27.56
2012-07-20,42,25.28
2012-07-27,45,25.06
2012-08-03,39,24.59
2012-08-10,40,26.11
2012-08-17,40,27.38
2012-08-24,43,26.98
2012-08-31,44,27.21
2012-09-07,43,27.77
2012-09-14,44,29.2
2012-09-21,43,28.45
2012-09-28,43,27.4
2012-10-05,44,27.85
2012-10-12,41,25.87
2012-10-19,46,26.19
2012-10-26,42,25.81
2012-11-02,38,26.25
2012-11-09,41,25.52
2012-11-16,42,25.09
2012-11-23,37,27.22
2012-11-30,41,27.54
2012-12-07,39,28.14
2012-12-14,40,28.2
2012-12-21,36,30.12
2012-12-28,24,30.11
2013-01-04,36,31.39
2013-01-11,43,31.67
2013-01-18,45,31.01
2013-01-25,44,30.94
2013-02-01,42,31.24
2013-02-08,47,31.15
2013-02-15,42,32.14
2013-02-22,40,31.31
2013-03-01,39,31.49
2013-03-08,46,33.73
2013-03-15,41,34.97
2013-03-22,40,34.79
2013-04-05,40,33.02
2013-04-12,42,34.07
2013-04-19,38,32.64
2013-04-26,41,35.09
2013-05-03,38,34.89
2013-05-10,38,36.47
2013-05-17,42,37.54
2013-05-24,37,37.03
2013-05-31,37,37.36
2013-06-07,44,37.62
2013-06-14,42,37.57
2013-06-21,40,35.29
2013-06-28,41,35.79
2013-07-05,38,35.61
2013-07-12,43,36.91
2013-07-19,41,40.95
2013-07-26,43,40.96
2013-08-02,39,41.3
2013-08-09,37,41.43
2013-08-16,42,40.54
2013-08-23,40,41.63
2013-08-30,38,40.53
2013-09-06,37,41.02
2013-09-13,40,42.17
2013-09-20,40,42.67
2013-09-27,40,42.53
2013-10-04,41,41.14
2013-10-11,40,42.1
2013-10-18,38,43.11
2013-10-25,41,43.01
2013-11-01,39,45.94
2013-11-08,38,47.66
2013-11-15,39,49.45
2013-11-22,38,50.68
2013-11-29,34,50.51
2013-12-06,39,50.41
2013-12-13,39,50
2013-12-20,37,50.31
2013-12-27,21,50.66
2014-01-03,27,50.52
2014-01-10,41,51.59
2014-01-17,39,51.06
2014-01-24,42,48.21
2014-01-31,38,46.12
2014-02-07,40,46.67
2014-02-14,38,49
2014-02-21,40,49.72
2014-02-28,40,49.4
2014-03-07,36,48.98
2014-03-14,36,45.81
2014-03-21,37,47.01
2014-03-28,34,46.55
2014-04-04,35,47.63
2014-04-11,37,45.64
2014-04-25,36,44.49
