"Date","eBay.Inc.","Price"
2008-03-14,36,26.25
2008-03-28,28,30.22
2008-04-04,28,32.94
2008-04-11,33,30.87
2008-04-18,46,31.71
2008-04-25,32,31.3
2008-05-02,33,31.11
2008-05-09,38,30
2008-05-16,35,31.17
2008-05-23,31,30.18
2008-05-30,40,30.01
2008-06-06,24,29.26
2008-06-13,21,28.38
2008-06-20,42,28.17
2008-06-27,38,27.61
2008-07-11,34,28.01
2008-07-18,26,23.98
2008-07-25,30,25.4
2008-08-01,34,24.58
2008-08-08,30,26.36
2008-08-15,48,25.98
2008-08-22,25,25.03
2008-08-29,26,24.93
2008-09-05,21,23.77
2008-09-12,25,22.55
2008-09-19,29,23.17
2008-09-26,19,22.57
2008-10-03,24,18.94
2008-10-10,24,16.73
2008-10-17,27,15.35
2008-10-24,29,14.89
2008-10-31,26,15.27
2008-11-07,20,14.19
2008-11-14,42,12.36
2008-11-21,26,12.01
2008-11-28,30,13.13
2008-12-05,17,13.96
2008-12-12,26,14.27
2008-12-19,36,14.45
2008-12-26,30,13.6
2009-01-02,23,14.66
2009-01-09,32,14.19
2009-01-16,25,13.26
2009-01-23,28,12
2009-01-30,32,12.02
2009-02-06,32,13.63
2009-02-13,27,13.19
2009-02-20,24,12.18
2009-02-27,32,10.87
2009-03-06,32,10.43
2009-03-13,30,11.93
2009-03-20,25,12.09
2009-03-27,28,12.85
2009-04-03,30,14.31
2009-04-17,23,14.39
2009-04-24,33,16.78
2009-05-01,33,16.51
2009-05-08,24,17.38
2009-05-15,28,16.91
2009-05-22,23,17.36
2009-05-29,20,17.62
2009-06-05,44,17.84
2009-06-12,24,17.8
2009-06-19,16,17.28
2009-06-26,22,17.35
2009-07-10,39,16.3
2009-07-17,36,18.55
2009-07-24,19,21.24
2009-07-31,31,21.25
2009-08-07,38,22.55
2009-08-14,28,21.64
2009-08-21,31,22.08
2009-08-28,25,22.46
2009-09-04,32,21.91
2009-09-11,27,23.56
2009-09-18,24,24.34
2009-09-25,24,23.45
2009-10-02,22,22.7
2009-10-09,33,24.42
2009-10-16,29,24.49
2009-10-23,22,23.56
2009-10-30,20,22.27
2009-11-06,29,23.34
2009-11-13,22,23.74
2009-11-20,21,22.79
2009-11-27,23,23.22
2009-12-04,27,23.67
2009-12-11,18,22.7
2009-12-18,27,22.67
2010-01-08,27,23.51
2010-01-15,17,22.47
2010-01-22,28,23.58
2010-01-29,19,23.02
2010-02-05,17,22.71
2010-02-12,17,21.77
2010-02-19,16,23.42
2010-02-26,19,23.02
2010-03-05,18,24.63
2010-03-12,18,25.97
2010-03-19,19,27.19
2010-03-26,20,27.45
2010-04-09,20,26.55
2010-04-16,23,26.33
2010-04-23,15,24.55
2010-04-30,18,23.78
2010-05-07,22,21.48
2010-05-14,17,22.25
2010-05-21,20,21.42
2010-05-28,20,21.41
2010-06-04,19,21.99
2010-06-11,21,22.65
2010-06-18,25,22.16
2010-06-25,19,20.95
2010-07-02,15,19.26
2010-07-09,13,20.29
2010-07-16,16,20.09
2010-07-23,19,21.09
2010-07-30,19,20.91
2010-08-06,22,21.45
2010-08-13,19,21.5
2010-08-20,22,23.37
2010-08-27,18,23.18
2010-09-03,21,24.13
2010-09-10,16,24.1
2010-09-17,18,24.22
2010-09-24,22,24.74
2010-10-01,21,24.46
2010-10-08,25,24.61
2010-10-15,20,25.68
2010-10-22,20,28.07
2010-10-29,31,29.86
2010-11-05,17,30.87
2010-11-12,18,30.14
2010-11-19,14,30.3
2010-11-26,14,31.15
2010-12-03,17,29.61
2010-12-10,18,30.69
2010-12-17,20,29.82
2010-12-31,25,27.83
2011-01-07,19,27.7
2011-01-14,26,29.18
2011-01-21,28,30.02
2011-01-28,19,30.31
2011-02-04,24,32.21
2011-02-11,16,34.51
2011-02-18,15,34.53
2011-02-25,15,33.63
2011-03-04,21,32.01
2011-03-11,20,30.92
2011-03-18,22,30.47
2011-03-25,20,31.7
2011-04-01,15,31.36
2011-04-08,18,31.14
2011-04-15,17,31.61
2011-04-29,20,34.39
2011-05-06,24,32.72
2011-05-13,16,33.57
2011-05-20,14,32.48
2011-05-27,17,30.68
2011-06-03,17,30.3
2011-06-10,17,29.96
2011-06-17,14,28.83
2011-06-24,21,28.35
2011-07-01,14,32.74
2011-07-08,16,33.42
2011-07-15,12,32.81
2011-07-22,14,33.5
2011-07-29,15,32.75
2011-08-05,16,29.3
2011-08-12,12,30.53
2011-08-19,14,27.16
2011-08-26,12,29.46
2011-09-02,12,29.41
2011-09-09,10,28.46
2011-09-16,23,33.69
2011-09-23,15,32.08
2011-09-30,22,29.49
2011-10-07,27,31.07
2011-10-14,13,33.69
2011-10-21,25,32.12
2011-10-28,18,33.25
2011-11-04,16,32.71
2011-11-11,22,31.76
2011-11-18,17,29.81
2011-11-25,17,28.23
2011-12-02,17,29.6
2011-12-09,21,31.64
2011-12-16,11,30.4
2011-12-23,18,30.84
2011-12-30,18,30.33
2012-01-06,14,30.63
2012-01-13,14,30.62
2012-01-20,10,31.93
2012-01-27,15,31.85
2012-02-03,17,32.95
2012-02-10,14,33.03
2012-02-17,15,35.06
2012-02-24,20,36.36
2012-03-02,16,36.25
2012-03-09,21,36.25
2012-03-16,11,37.69
2012-03-23,16,37.09
2012-03-30,14,36.9
2012-04-13,15,36.12
2012-04-20,20,40.29
2012-04-27,15,41.23
2012-05-04,9,39.44
2012-05-11,7,40.74
2012-05-18,13,38.36
2012-05-25,12,40.35
2012-06-01,8,38.82
2012-06-08,12,41.05
2012-06-15,15,40.67
2012-06-22,8,42.8
2012-06-29,17,42.01
2012-07-06,13,40.41
2012-07-13,13,39.95
2012-07-20,17,44.85
2012-07-27,14,45.22
2012-08-03,14,44.5
2012-08-10,16,43.99
2012-08-17,19,46.87
2012-08-24,15,47.1
2012-08-31,12,47.47
2012-09-07,16,49.24
2012-09-14,19,49.97
2012-09-21,8,49.47
2012-09-28,13,48.37
2012-10-05,14,48.73
2012-10-12,17,47.85
2012-10-19,16,49.97
2012-10-26,20,49.51
2012-11-02,14,48.69
2012-11-09,16,47.73
2012-11-16,15,47.26
2012-11-23,15,49.01
2012-11-30,17,52.82
2012-12-07,27,51.74
2012-12-14,16,50.36
2012-12-21,16,51.35
2012-12-28,9,49.81
2013-01-04,16,52.78
2013-01-11,18,53.7
2013-01-18,17,54.21
2013-01-25,16,56.53
2013-02-01,19,57.21
2013-02-08,11,56.62
2013-02-15,8,56.7
2013-02-22,17,55.02
2013-03-01,18,54.9
2013-03-08,13,53.13
2013-03-15,13,50.41
2013-03-22,16,53.27
2013-04-05,14,55.52
2013-04-12,15,57.31
2013-04-19,8,52.39
2013-04-26,17,52.54
2013-05-03,13,54.21
2013-05-10,9,55.65
2013-05-17,13,56.71
2013-05-24,14,54.64
2013-05-31,8,54.1
2013-06-07,16,51.45
2013-06-14,11,51.29
2013-06-21,10,51.13
2013-06-28,17,51.72
2013-07-05,10,53.85
2013-07-12,11,57.04
2013-07-19,12,52.19
2013-07-26,11,52.25
2013-08-02,11,52.54
2013-08-09,13,53.33
2013-08-16,15,52.92
2013-08-23,12,51.65
2013-08-30,11,49.99
2013-09-06,11,52.83
2013-09-13,18,53.82
2013-09-20,11,54.95
2013-09-27,16,55.78
2013-10-04,15,55.58
2013-10-11,13,54.37
2013-10-18,15,52.2
2013-10-25,11,51.64
2013-11-01,12,51.94
2013-11-08,14,53
2013-11-15,12,52.6
2013-11-22,11,50.33
2013-11-29,9,50.52
2013-12-06,13,52.01
2013-12-13,13,51.55
2013-12-20,9,54.58
2013-12-27,11,54.18
2014-01-03,13,53.26
2014-01-10,14,52.16
2014-01-17,15,53.2
2014-01-24,15,54.37
2014-01-31,11,53.2
2014-02-07,19,54.59
2014-02-14,16,54.77
2014-02-21,12,54.59
2014-02-28,13,58.77
2014-03-07,18,59.06
2014-03-14,16,56.74
2014-03-21,11,56.96
2014-03-28,11,55.19
2014-04-04,13,54
2014-04-11,13,53.46
2014-04-25,13,53.72
