"Date","buy.KIM","Price"
2008-08-08,25,36.57
2008-08-15,32,37.06
2008-08-22,27,36.44
2008-08-29,26,37.14
2008-09-05,23,37.81
2008-09-12,16,38.87
2008-09-19,23,42.95
2008-09-26,35,38.38
2008-10-03,41,31.36
2008-10-10,39,29.78
2008-10-17,24,24.63
2008-10-24,17,18.5
2008-10-31,20,22.58
2008-11-07,22,21.01
2008-11-14,19,17.25
2008-11-21,31,11.28
2008-11-28,32,14.15
2008-12-05,29,16.28
2008-12-12,22,15.99
2008-12-19,25,18.85
2008-12-26,32,18.5
2009-01-02,25,18.2
2009-01-09,25,17.9
2009-01-16,23,17.07
2009-01-23,13,15.61
2009-01-30,36,14.38
2009-02-06,27,13.38
2009-02-13,23,10.4
2009-02-20,22,10.01
2009-02-27,29,8.85
2009-03-06,24,7.01
2009-03-13,29,9.18
2009-03-20,22,7.3
2009-03-27,26,7.65
2009-04-03,27,9.4
2009-04-17,26,11.08
2009-04-24,26,11.67
2009-05-01,37,11.15
2009-05-08,36,12.09
2009-05-15,27,10.06
2009-05-22,36,11
2009-05-29,28,11.69
2009-06-05,35,12.4
2009-06-12,27,11.35
2009-06-19,26,10.17
2009-06-26,30,9.97
2009-07-10,31,8.61
2009-07-17,23,8.22
2009-07-24,25,9.16
2009-07-31,28,9.84
2009-08-07,24,12.03
2009-08-14,27,11.16
2009-08-21,34,12.05
2009-08-28,30,12.69
2009-09-04,22,11.69
2009-09-11,35,13.04
2009-09-18,37,14.94
2009-09-25,21,13.02
2009-10-02,29,11.73
2009-10-09,30,12.7
2009-10-16,24,13.16
2009-10-23,29,13.66
2009-10-30,34,12.64
2009-11-06,26,11.95
2009-11-13,30,12.45
2009-11-20,31,12.4
2009-11-27,27,11.85
2009-12-04,34,13.59
2009-12-11,28,12.5
2009-12-18,37,12.83
2010-01-08,31,13.93
2010-01-15,28,13.62
2010-01-22,35,13.04
2010-01-29,32,12.62
2010-02-05,38,12.97
2010-02-12,41,12.82
2010-02-19,30,13.71
2010-02-26,52,13.89
2010-03-05,27,14.61
2010-03-12,24,15.12
2010-03-19,30,15.57
2010-03-26,34,16.1
2010-04-09,34,16.4
2010-04-16,36,15.13
2010-04-23,45,15.75
2010-04-30,33,15.59
2010-05-07,33,15.01
2010-05-14,33,15.73
2010-05-21,32,14.28
2010-05-28,30,14.3
2010-06-04,33,13.31
2010-06-11,39,14.54
2010-06-18,39,15.17
2010-06-25,31,14.69
2010-07-02,33,13.03
2010-07-09,22,13.6
2010-07-16,34,13.37
2010-07-23,29,14.73
2010-07-30,26,15.07
2010-08-06,32,15.06
2010-08-13,33,14.58
2010-08-20,42,14.38
2010-08-27,40,14.95
2010-09-03,31,15.85
2010-09-10,45,15.55
2010-09-17,47,16.14
2010-09-24,43,16.65
2010-10-01,42,15.79
2010-10-08,36,16.82
2010-10-15,40,17.03
2010-10-22,50,17.33
2010-10-29,45,17.21
2010-11-05,45,18.08
2010-11-12,38,16.94
2010-11-19,43,16.37
2010-11-26,50,16.62
2010-12-03,60,17.28
2010-12-10,54,17.15
2010-12-17,53,16.91
2010-12-31,53,18.04
2011-01-07,44,18.07
2011-01-14,56,18.08
2011-01-21,48,17.71
2011-01-28,42,17.83
2011-02-04,64,18.38
2011-02-11,58,18.56
2011-02-18,49,18.79
2011-02-25,52,18.88
2011-03-04,41,18.19
2011-03-11,34,18.05
2011-03-18,34,17.68
2011-03-25,36,17.75
2011-04-01,42,17.91
2011-04-08,43,17.54
2011-04-15,37,18.05
2011-04-29,30,19.54
2011-05-06,37,19.07
2011-05-13,35,18.98
2011-05-20,35,18.98
2011-05-27,49,19.16
2011-06-03,47,18.68
2011-06-10,30,17.23
2011-06-17,33,17.73
2011-06-24,40,18.08
2011-07-01,34,18.73
2011-07-08,40,19.5
2011-07-15,40,19.35
2011-07-22,39,20.3
2011-07-29,40,19.03
2011-08-05,39,16.09
2011-08-12,41,16.86
2011-08-19,46,16.2
2011-08-26,89,16.63
2011-09-02,62,16.63
2011-09-09,58,16.19
2011-09-16,34,16.93
2011-09-23,45,15.22
2011-09-30,41,15.03
2011-10-07,39,14.58
2011-10-14,52,15.49
2011-10-21,52,16.32
2011-10-28,45,17.9
2011-11-04,100,17.32
2011-11-11,58,16.3
2011-11-18,54,15.76
2011-11-25,51,14.72
2011-12-02,52,15.59
2011-12-09,50,16.04
2011-12-16,49,16.13
2011-12-23,99,16.9
2011-12-30,56,16.24
2012-01-06,53,16.45
2012-01-13,48,17.22
2012-01-20,43,18.12
2012-01-27,55,18.36
2012-02-03,41,18.89
2012-02-10,42,18.39
2012-02-17,50,18.77
2012-02-24,42,18.7
2012-03-02,47,18.77
2012-03-09,38,18.17
2012-03-16,35,19.61
2012-03-23,43,19.2
2012-03-30,31,19.26
2012-04-13,28,18.11
2012-04-20,38,18.8
2012-04-27,40,19.35
2012-05-04,39,19.49
2012-05-11,40,19.61
2012-05-18,45,17.79
2012-05-25,45,18.09
2012-06-01,41,17.45
2012-06-08,43,18.45
2012-06-15,63,18.63
2012-06-22,50,18.44
2012-06-29,38,19.03
2012-07-06,41,19.25
2012-07-13,42,19.28
2012-07-20,48,19.05
2012-07-27,44,19.28
2012-08-03,41,19.94
2012-08-10,42,19.56
2012-08-17,39,20.31
2012-08-24,38,20.32
2012-08-31,42,20.32
2012-09-07,48,20.48
2012-09-14,38,21.03
2012-09-21,39,20.63
2012-09-28,32,20.27
2012-10-05,37,20.25
2012-10-12,32,20.27
2012-10-19,46,20.58
2012-10-26,37,19.63
2012-11-02,33,19.59
2012-11-09,29,18.94
2012-11-16,44,18.56
2012-11-23,45,19.17
2012-11-30,41,19.26
2012-12-07,41,19.6
2012-12-14,49,19.29
2012-12-21,32,19.45
2012-12-28,35,19.05
2013-01-04,83,19.8
2013-01-11,52,19.8
2013-01-18,45,19.87
2013-01-25,45,20.7
2013-02-01,34,21.05
2013-02-08,33,21.55
2013-02-15,34,21.71
2013-02-22,44,21.71
2013-03-01,40,21.8
2013-03-08,36,22.07
2013-03-15,47,22.07
2013-03-22,35,22.31
2013-04-05,49,22.6
2013-04-12,51,23.24
2013-04-19,41,22.89
2013-04-26,37,23.1
2013-05-03,39,24.56
2013-05-10,42,24.97
2013-05-17,37,24.22
2013-05-24,36,23.15
2013-05-31,30,22.15
2013-06-07,33,22.13
2013-06-14,48,22.01
2013-06-21,97,20.84
2013-06-28,54,21.43
2013-07-05,40,21.38
2013-07-12,42,22.34
2013-07-19,35,22.97
2013-07-26,40,22.71
2013-08-02,40,22.5
2013-08-09,36,22.13
2013-08-16,33,20.5
2013-08-23,39,20.57
2013-08-30,34,20.03
2013-09-06,37,20.1
2013-09-13,31,20.25
2013-09-20,29,20.63
2013-09-27,33,20.37
2013-10-04,32,19.58
2013-10-11,33,20.39
2013-10-18,43,20.86
2013-10-25,55,21.61
2013-11-01,41,21.56
2013-11-08,35,21
2013-11-15,33,21.18
2013-11-22,41,20.91
2013-11-29,53,20.62
2013-12-06,39,20.98
2013-12-13,41,20.02
2013-12-20,45,20.21
2013-12-27,40,20.13
2014-01-03,42,19.94
2014-01-10,38,20.56
2014-01-17,29,20.76
2014-01-24,36,20.69
2014-01-31,32,20.91
2014-02-07,33,20.93
2014-02-14,31,21.68
2014-02-21,44,21.79
2014-02-28,38,22.26
2014-03-07,33,22.05
2014-03-14,30,21.88
2014-03-21,37,21.85
2014-03-28,36,21.84
2014-04-04,30,21.88
2014-04-11,39,21.75
2014-04-25,33,22.54
