"Date","AMT","Price"
2010-04-30,26,40.81
2010-05-07,26,38.86
2010-05-14,24,41.18
2010-05-21,25,40.38
2010-05-28,24,40.53
2010-06-04,24,41.51
2010-06-11,25,44.22
2010-06-18,25,45.07
2010-06-25,25,43.98
2010-07-02,25,43.7
2010-07-09,25,46.01
2010-07-16,24,44.19
2010-07-23,24,46.77
2010-07-30,25,46.24
2010-08-06,25,46.75
2010-08-13,25,45.76
2010-08-20,24,47.43
2010-08-27,25,47.36
2010-09-03,25,48.22
2010-09-10,24,49.07
2010-09-17,25,49.27
2010-09-24,25,51.69
2010-10-01,25,51.62
2010-10-08,24,50.37
2010-10-15,23,50.81
2010-10-22,23,50.22
2010-10-29,26,51.61
2010-11-05,23,51.92
2010-11-12,23,52.36
2010-11-19,24,51.94
2010-11-26,23,51.77
2010-12-03,23,51.58
2010-12-10,23,50.46
2010-12-17,23,49.61
2010-12-31,18,51.64
2011-01-07,23,50.5
2011-01-14,27,49.85
2011-01-21,24,50.52
2011-01-28,32,51.32
2011-02-04,37,53.59
2011-02-11,26,56.73
2011-02-18,26,54.26
2011-02-25,25,53.76
2011-03-04,24,53.07
2011-03-11,25,50.81
2011-03-18,28,50.62
2011-03-25,25,49.64
2011-04-01,26,52.33
2011-04-08,24,50.28
2011-04-15,26,50.58
2011-04-29,21,52.31
2011-05-06,23,52.41
2011-05-13,22,52.94
2011-05-20,24,53.64
2011-05-27,23,54.91
2011-06-03,20,51.21
2011-06-10,23,50
2011-06-17,22,50.2
2011-06-24,23,51.75
2011-07-01,24,54.28
2011-07-08,24,53.48
2011-07-15,24,53.23
2011-07-22,25,53.32
2011-07-29,24,52.53
2011-08-05,22,49.98
2011-08-12,23,50.2
2011-08-19,23,48.83
2011-08-26,23,51.86
2011-09-02,23,53.14
2011-09-09,24,52.38
2011-09-16,23,54.9
2011-09-23,22,52.29
2011-09-30,22,53.8
2011-10-07,21,54.93
2011-10-14,23,55.83
2011-10-21,22,56.34
2011-10-28,24,56.32
2011-11-04,21,57.92
2011-11-11,22,58.18
2011-11-18,20,56.76
2011-11-25,21,55.72
2011-12-02,21,59.08
2011-12-09,19,58.59
2011-12-16,21,59.14
2011-12-23,19,60.44
2011-12-30,15,60.01
2012-01-06,22,60.25
2012-01-13,23,62.32
2012-01-20,24,61.51
2012-01-27,22,63.01
2012-02-03,23,63.37
2012-02-10,23,63.29
2012-02-17,22,62.5
2012-02-24,21,64.16
2012-03-02,23,62.59
2012-03-09,22,62.22
2012-03-16,21,63.34
2012-03-23,20,61.75
2012-03-30,21,63.02
2012-04-13,20,63.16
2012-04-20,21,64
2012-04-27,19,65.1
2012-05-04,18,66.44
2012-05-11,20,67.62
2012-05-18,17,64.42
2012-05-25,20,65.75
2012-06-01,19,63.15
2012-06-08,21,66.3
2012-06-15,21,67.76
2012-06-22,21,67.86
2012-06-29,21,69.91
2012-07-06,21,70.79
2012-07-13,21,72.15
2012-07-20,22,70.92
2012-07-27,20,72.33
2012-08-03,21,73.07
2012-08-10,21,70.51
2012-08-17,21,71.22
2012-08-24,21,69.44
2012-08-31,22,70.4
2012-09-07,22,71.92
2012-09-14,23,71.36
2012-09-21,24,70.41
2012-09-28,22,71.39
2012-10-05,20,72.82
2012-10-12,20,72.17
2012-10-19,19,73.84
2012-10-26,19,73.37
2012-11-02,18,74.47
2012-11-09,20,74.84
2012-11-16,21,73.86
2012-11-23,20,74.98
2012-11-30,21,74.93
2012-12-07,19,75.45
2012-12-14,19,76.67
2012-12-21,19,76.77
2012-12-28,15,75.89
2013-01-04,22,77.05
2013-01-11,21,78.78
2013-01-18,20,79.35
2013-01-25,20,79.9
2013-02-01,21,76.65
2013-02-08,20,77.06
2013-02-15,20,75.18
2013-02-22,20,74.52
2013-03-01,19,78.13
2013-03-08,20,77.14
2013-03-15,19,75.56
2013-03-22,19,76.73
2013-04-05,19,77.82
2013-04-12,21,80.67
2013-04-19,18,81.05
2013-04-26,18,82.97
2013-05-03,17,83.56
2013-05-10,16,83.1
2013-05-17,18,84.45
2013-05-24,17,81.72
2013-05-31,19,77.84
2013-06-07,19,78.77
2013-06-14,21,77.33
2013-06-21,20,71.99
2013-06-28,20,73.17
2013-07-05,23,71.67
2013-07-12,23,77.84
2013-07-19,21,75.13
2013-07-26,20,72.58
2013-08-02,21,70.5
2013-08-09,21,70.16
2013-08-16,30,68.58
2013-08-23,21,70.06
2013-08-30,22,69.49
2013-09-06,20,71.91
2013-09-13,20,73.71
2013-09-20,20,73.92
2013-09-27,20,74.52
2013-10-04,18,72.69
2013-10-11,19,74.44
2013-10-18,19,79.01
2013-10-25,19,80.82
2013-11-01,17,79.37
2013-11-08,18,77.79
2013-11-15,19,79.28
2013-11-22,22,77.28
2013-11-29,18,77.77
2013-12-06,17,78.08
2013-12-13,17,76.76
2013-12-20,17,77.95
2013-12-27,12,78.82
2014-01-03,14,79.68
2014-01-10,20,82.64
2014-01-17,20,83.15
2014-01-24,21,79.62
2014-01-31,20,80.88
2014-02-07,20,80.38
2014-02-14,18,83.2
2014-02-21,20,84.05
2014-02-28,21,81.47
2014-03-07,19,81.31
2014-03-14,19,80.39
2014-03-21,19,81.07
2014-03-28,18,82.13
2014-04-04,18,80.73
2014-04-11,18,80.55
2014-04-25,16,83.08
