"Date","buy.CA","Price"
2011-03-18,59,22.87
2011-03-25,62,23.75
2011-04-01,57,24.13
2011-04-08,59,24.05
2011-04-15,58,24.18
2011-04-29,60,24.59
2011-05-06,56,24.37
2011-05-13,61,22.9
2011-05-20,55,23.18
2011-05-27,61,22.89
2011-06-03,68,22.57
2011-06-10,55,21.51
2011-06-17,64,21.59
2011-06-24,62,21.91
2011-07-01,67,23.17
2011-07-08,65,23.18
2011-07-15,64,21.98
2011-07-22,58,22.77
2011-07-29,58,22.3
2011-08-05,61,20.45
2011-08-12,62,20.09
2011-08-19,62,18.62
2011-08-26,68,19.92
2011-09-02,64,20.15
2011-09-09,54,19.71
2011-09-16,55,21.25
2011-09-23,57,19.95
2011-09-30,55,19.41
2011-10-07,53,20.72
2011-10-14,57,21.74
2011-10-21,54,21.97
2011-10-28,56,22.21
2011-11-04,50,21.68
2011-11-11,64,21.87
2011-11-18,61,20.44
2011-11-25,81,19.8
2011-12-02,63,21.03
2011-12-09,61,21.41
2011-12-16,68,20.12
2011-12-23,85,20.4
2011-12-30,77,20.22
2012-01-06,63,20.57
2012-01-13,53,21.51
2012-01-20,54,22.65
2012-01-27,52,25.42
2012-02-03,56,26.54
2012-02-10,57,26.72
2012-02-17,58,26.98
2012-02-24,58,26.93
2012-03-02,57,27.05
2012-03-09,60,27
2012-03-16,60,27.23
2012-03-23,59,27.35
2012-03-30,70,27.56
2012-04-13,59,26.75
2012-04-20,58,26.56
2012-04-27,55,26.54
2012-05-04,58,26.29
2012-05-11,57,26.12
2012-05-18,61,24.97
2012-05-25,56,25.12
2012-06-01,55,24.39
2012-06-08,58,25.47
2012-06-15,59,26.31
2012-06-22,56,26.13
2012-06-29,59,27.09
2012-07-06,65,26.37
2012-07-13,64,25.88
2012-07-20,67,26.05
2012-07-27,64,24.43
2012-08-03,62,24.79
2012-08-10,66,25.56
2012-08-17,67,25.94
2012-08-24,61,25.8
2012-08-31,64,26.03
2012-09-07,60,26.83
2012-09-14,60,27.31
2012-09-21,60,26.77
2012-09-28,58,25.77
2012-10-05,55,25.45
2012-10-12,55,24.86
2012-10-19,57,24.51
2012-10-26,58,22.73
2012-11-02,57,22.97
2012-11-09,55,22.21
2012-11-16,59,21.81
2012-11-23,79,22.1
2012-11-30,66,22.16
2012-12-07,64,22.03
2012-12-14,61,21.86
2012-12-21,83,22.19
2012-12-28,89,21.79
2013-01-04,65,23.05
2013-01-11,56,23.34
2013-01-18,53,24.57
2013-01-25,53,25.05
2013-02-01,53,25.03
2013-02-08,51,25.02
2013-02-15,56,25.05
2013-02-22,53,24.56
2013-03-01,52,24.42
2013-03-08,55,25.08
2013-03-15,55,25.44
2013-03-22,53,25.32
2013-04-05,57,24.6
2013-04-12,57,24.93
2013-04-19,51,24.36
2013-04-26,54,25.98
2013-05-03,52,27.73
2013-05-10,53,27.22
2013-05-17,55,27.69
2013-05-24,55,27.4
2013-05-31,54,27.32
2013-06-07,56,29.14
2013-06-14,55,28.26
2013-06-21,54,27.52
2013-06-28,57,28.62
2013-07-05,59,28.26
2013-07-12,57,29.92
2013-07-19,55,29.65
2013-07-26,55,29.68
2013-08-02,57,30.39
2013-08-09,59,30.98
2013-08-16,57,30.55
2013-08-23,58,30.24
2013-08-30,57,29.25
2013-09-06,54,29.6
2013-09-13,55,30.39
2013-09-20,54,30.72
2013-09-27,51,30.06
2013-10-04,48,29.57
2013-10-11,51,29.52
2013-10-18,51,30.1
2013-10-25,49,31.4
2013-11-01,49,31.73
2013-11-08,51,31.93
2013-11-15,55,32.85
2013-11-22,54,33.13
2013-11-29,70,33
2013-12-06,59,32.85
2013-12-13,59,32.34
2013-12-20,72,32.93
2013-12-27,81,33.43
2014-01-03,59,33.11
2014-01-10,53,34.02
2014-01-17,49,34.43
2014-01-24,50,32.66
2014-01-31,50,32.09
2014-02-07,44,32.17
2014-02-14,52,32.99
2014-02-21,50,32.42
2014-02-28,51,33.5
2014-03-07,52,32.93
2014-03-14,48,31.48
2014-03-21,45,31.11
2014-03-28,50,30.84
2014-04-04,46,31.08
2014-04-11,48,29.41
2014-04-25,47,29.95
