"Date","IVZ","Price"
2008-02-15,25,25.16
2008-02-22,31,25.7
2008-02-29,27,25.61
2008-03-07,40,22.31
2008-03-14,20,22.13
2008-03-28,28,23.72
2008-04-04,32,25.34
2008-04-11,29,22.49
2008-04-18,29,23.97
2008-04-25,34,24.48
2008-05-02,52,27.77
2008-05-09,27,27.5
2008-05-16,37,28.66
2008-05-23,34,27.21
2008-05-30,32,27.83
2008-06-06,42,27.32
2008-06-13,52,27.57
2008-06-20,58,26.02
2008-06-27,58,24.43
2008-07-11,38,21.9
2008-07-18,36,23.39
2008-07-25,27,22.22
2008-08-01,40,23.57
2008-08-08,41,25
2008-08-15,49,26.55
2008-08-22,45,25.87
2008-08-29,48,25.63
2008-09-05,47,25.58
2008-09-12,39,24.85
2008-09-19,40,27
2008-09-26,46,25.34
2008-10-03,42,20.38
2008-10-10,42,14.3
2008-10-17,38,14.65
2008-10-24,45,11.13
2008-10-31,46,14.91
2008-11-07,39,14.17
2008-11-14,41,11.96
2008-11-21,30,9.26
2008-11-28,44,12.55
2008-12-05,34,12.4
2008-12-12,45,11.73
2008-12-19,42,13.15
2008-12-26,34,13.1
2009-01-02,31,15
2009-01-09,29,13.56
2009-01-16,38,12.36
2009-01-23,41,11.9
2009-01-30,33,11.79
2009-02-06,35,14.21
2009-02-13,44,13.31
2009-02-20,36,12.45
2009-02-27,49,11.43
2009-03-06,45,9.83
2009-03-13,43,12.29
2009-03-20,34,12.35
2009-03-27,28,14.79
2009-04-03,36,15.88
2009-04-17,40,15.98
2009-04-24,56,14.68
2009-05-01,49,14.84
2009-05-08,45,16.74
2009-05-15,42,14.39
2009-05-22,36,14.67
2009-05-29,44,15.65
2009-06-05,40,17.38
2009-06-12,33,18.73
2009-06-19,47,17.48
2009-06-26,58,17.63
2009-07-10,57,15.77
2009-07-17,56,17.82
2009-07-24,77,19.36
2009-07-31,56,19.75
2009-08-07,75,20.52
2009-08-14,66,19.76
2009-08-21,65,20.25
2009-08-28,70,20.84
2009-09-04,100,21.65
2009-09-11,48,22.4
2009-09-18,54,22.56
2009-09-25,52,20.99
2009-10-02,51,22.98
2009-10-09,50,23.81
2009-10-16,52,22.75
2009-10-23,45,22.36
2009-10-30,49,21.15
2009-11-06,53,23.09
2009-11-13,55,23.65
2009-11-20,51,22.1
2009-11-27,56,21.68
2009-12-04,77,21.63
2009-12-11,62,21.47
2009-12-18,44,21.24
2010-01-08,40,22.92
2010-01-15,43,22.71
2010-01-22,41,20.83
2010-01-29,39,19.3
2010-02-05,34,18.58
2010-02-12,45,18.44
2010-02-19,49,19.54
2010-02-26,35,19.6
2010-03-05,40,21.36
2010-03-12,43,20.37
2010-03-19,31,20.45
2010-03-26,40,21.07
2010-04-09,26,22.5
2010-04-16,29,21.8
2010-04-23,37,22.18
2010-04-30,42,22.99
2010-05-07,45,20.11
2010-05-14,39,20.82
2010-05-21,40,19.17
2010-05-28,45,18.56
2010-06-04,39,17.84
2010-06-11,49,18.9
2010-06-18,49,19.21
2010-06-25,37,18.48
2010-07-02,43,16.63
2010-07-09,35,18.56
2010-07-16,41,18.14
2010-07-23,39,19.45
2010-07-30,37,19.54
2010-08-06,50,19.32
2010-08-13,57,18.51
2010-08-20,52,18.5
2010-08-27,50,18.36
2010-09-03,37,19.75
2010-09-10,38,20.09
2010-09-17,34,20.98
2010-09-24,48,21.9
2010-10-01,52,21.37
2010-10-08,40,22.41
2010-10-15,33,22.86
2010-10-22,37,22.32
2010-10-29,47,23
2010-11-05,40,24.24
2010-11-12,45,22.13
2010-11-19,42,21.93
2010-11-26,34,21.71
2010-12-03,39,22.99
2010-12-10,37,23.23
2010-12-17,55,22.78
2010-12-31,36,24.06
2011-01-07,49,24.33
2011-01-14,40,25
2011-01-21,43,23.92
2011-01-28,38,24.66
2011-02-04,44,25.4
2011-02-11,35,25.75
2011-02-18,44,27.35
2011-02-25,38,26.4
2011-03-04,42,26.6
2011-03-11,48,25.84
2011-03-18,41,24.85
2011-03-25,31,25.62
2011-04-01,36,26
2011-04-08,39,25.93
2011-04-15,33,24.98
2011-04-29,28,24.87
2011-05-06,37,24.27
2011-05-13,34,25.01
2011-05-20,30,25
2011-05-27,39,24.33
2011-06-03,35,23.06
2011-06-10,35,22.94
2011-06-17,34,23.04
2011-06-24,39,21.92
2011-07-01,27,23.56
2011-07-08,33,23.57
2011-07-15,42,22.19
2011-07-22,45,22.71
2011-07-29,36,22.18
2011-08-05,41,19.56
2011-08-12,31,17.77
2011-08-19,30,16.11
2011-08-26,38,17.08
2011-09-02,35,17.01
2011-09-09,40,16.46
2011-09-16,27,18.67
2011-09-23,36,15.78
2011-09-30,37,15.51
2011-10-07,34,16.2
2011-10-14,61,18.15
2011-10-21,48,18.74
2011-10-28,37,20.9
2011-11-04,36,20.03
2011-11-11,36,20.34
2011-11-18,40,19.39
2011-11-25,35,17.91
2011-12-02,41,20.28
2011-12-09,40,20.78
2011-12-16,46,19.24
2011-12-23,44,20.22
2011-12-30,41,20.09
2012-01-06,57,20.77
2012-01-13,49,21.62
2012-01-20,47,22.44
2012-01-27,48,22.99
2012-02-03,41,23.88
2012-02-10,47,24.1
2012-02-17,49,24.7
2012-02-24,57,24.88
2012-03-02,41,24.77
2012-03-09,47,24.87
2012-03-16,42,26.14
2012-03-23,42,26.29
2012-03-30,43,26.67
2012-04-13,38,24.71
2012-04-20,40,24.18
2012-04-27,37,25.1
2012-05-04,29,23.7
2012-05-11,37,23.25
2012-05-18,33,21.13
2012-05-25,42,21.54
2012-06-01,35,20.85
2012-06-08,44,22.82
2012-06-15,51,22.03
2012-06-22,44,21.72
2012-06-29,45,22.6
2012-07-06,34,22.14
2012-07-13,39,22.65
2012-07-20,28,21.54
2012-07-27,35,22.12
2012-08-03,34,22.61
2012-08-10,45,23.7
2012-08-17,75,24.04
2012-08-24,60,23.8
2012-08-31,46,23.68
2012-09-07,53,25.01
2012-09-14,56,25.82
2012-09-21,44,25.39
2012-09-28,41,24.99
2012-10-05,39,25.51
2012-10-12,30,24.71
2012-10-19,43,24.63
2012-10-26,53,24.25
2012-11-02,40,24.4
2012-11-09,39,23.9
2012-11-16,42,23.4
2012-11-23,36,24.83
2012-11-30,41,24.99
2012-12-07,39,24.86
2012-12-14,40,25.46
2012-12-21,35,26.23
2012-12-28,35,25.78
2013-01-04,35,27.56
2013-01-11,37,27.74
2013-01-18,36,27.66
2013-01-25,39,28.2
2013-02-01,46,27.77
2013-02-08,45,27.31
2013-02-15,52,27.36
2013-02-22,37,26.59
2013-03-01,33,26.83
2013-03-08,36,28.11
2013-03-15,39,29.13
2013-03-22,38,28.39
2013-04-05,35,28.37
2013-04-12,41,30.13
2013-04-19,43,28.89
2013-04-26,48,29.55
2013-05-03,36,32.46
2013-05-10,42,34.11
2013-05-17,38,34.59
2013-05-24,39,33.56
2013-05-31,31,33.74
2013-06-07,33,34.44
2013-06-14,40,33.52
2013-06-21,38,32.81
2013-06-28,40,31.8
2013-07-05,41,31.92
2013-07-12,41,31.75
2013-07-19,43,32.49
2013-07-26,29,32.85
2013-08-02,33,33.1
2013-08-09,43,32.57
2013-08-16,41,32.04
2013-08-23,36,31.57
2013-08-30,35,30.36
2013-09-06,34,30.45
2013-09-13,39,31.06
2013-09-20,40,32.63
2013-09-27,38,32.09
2013-10-04,32,32.38
2013-10-11,33,34.35
2013-10-18,44,32.77
2013-10-25,26,32.87
2013-11-01,27,33.84
2013-11-08,28,33.32
2013-11-15,31,33.84
2013-11-22,28,33.9
2013-11-29,35,34.85
2013-12-06,35,35.46
2013-12-13,30,34.58
2013-12-20,30,35.83
2013-12-27,26,36.49
2014-01-03,29,36.12
2014-01-10,35,35.85
2014-01-17,34,35.01
2014-01-24,31,33.48
2014-01-31,34,33.25
2014-02-07,24,32.88
2014-02-14,26,34.36
2014-02-21,28,33.54
2014-02-28,32,34.3
2014-03-07,38,34.52
2014-03-14,27,34.53
2014-03-21,30,36.15
2014-03-28,32,36.44
2014-04-04,33,35.65
2014-04-11,30,34.09
2014-04-25,36,34.88
