"Date","E.Trade","Price"
2006-06-02,55,24.45
2006-06-09,55,22.76
2006-06-16,51,21.2
2006-06-23,51,22.17
2006-06-30,51,22.82
2006-07-07,40,22.26
2006-07-14,49,20.53
2006-07-21,43,21.95
2006-07-28,44,23.25
2006-08-04,46,23.58
2006-08-11,48,22.36
2006-08-18,55,23.91
2006-08-25,44,22.99
2006-09-01,59,23.74
2006-09-08,41,22.61
2006-09-15,41,24.33
2006-09-22,39,24.2
2006-09-29,42,23.92
2006-10-06,51,24.69
2006-10-13,37,22.86
2006-10-20,49,21.85
2006-10-27,42,23.83
2006-11-03,45,22.71
2006-11-10,42,23.42
2006-11-17,52,23.85
2006-11-24,39,25.33
2006-12-01,41,23.23
2006-12-08,45,23.05
2006-12-15,46,23.19
2006-12-22,45,22.61
2006-12-29,52,22.42
2007-01-05,49,23.09
2007-01-12,49,25.02
2007-01-19,53,24.08
2007-01-26,52,23.88
2007-02-02,45,24.24
2007-02-09,58,24.1
2007-02-16,45,24.2
2007-02-23,56,24.05
2007-03-02,49,22.68
2007-03-09,57,22.72
2007-03-16,49,21.68
2007-03-23,37,22.56
2007-03-30,52,21.22
2007-04-13,39,21.73
2007-04-20,43,21.62
2007-04-27,44,22.01
2007-05-04,39,22.91
2007-05-11,42,23.25
2007-05-18,43,22.78
2007-05-25,40,22.6
2007-06-01,46,24.06
2007-06-08,54,25.21
2007-06-15,48,24.18
2007-06-22,44,23.09
2007-06-29,58,22.09
2007-07-06,43,22.93
2007-07-13,58,23.09
2007-07-20,52,22.32
2007-07-27,42,19.16
2007-08-03,46,15.95
2007-08-10,46,17.01
2007-08-17,50,14.5
2007-08-24,50,15.24
2007-08-31,42,15.58
2007-09-07,39,14.68
2007-09-14,38,14.39
2007-09-21,40,13.53
2007-09-28,42,13.05
2007-10-05,48,13.35
2007-10-12,46,13.63
2007-10-19,48,10.71
2007-10-26,41,10.7
2007-11-02,50,9.46
2007-11-09,45,8.59
2007-11-16,100,5.44
2007-11-23,52,5.33
2007-11-30,50,4.6
2007-12-07,54,4.13
2007-12-14,46,3.87
2007-12-21,42,3.6
2007-12-28,46,3.54
2008-01-04,39,3.23
2008-01-11,53,3.08
2008-01-18,42,2.84
2008-01-25,54,3.76
2008-02-01,52,4.97
2008-02-08,84,5.17
2008-02-15,51,5.13
2008-02-22,48,4.79
2008-02-29,45,4.27
2008-03-07,48,3.74
2008-03-14,37,3.63
2008-03-28,47,3.74
2008-04-04,45,4.25
2008-04-11,39,3.75
2008-04-18,45,3.97
2008-04-25,41,4
2008-05-02,44,4.21
2008-05-09,34,3.85
2008-05-16,38,4.31
2008-05-23,40,3.92
2008-05-30,36,4.1
2008-06-06,42,3.98
2008-06-13,36,3.7
2008-06-20,37,3.59
2008-06-27,34,3.1
2008-07-11,35,2.72
2008-07-18,37,3.66
2008-07-25,35,3.09
2008-08-01,36,3.05
2008-08-08,30,3.05
2008-08-15,30,3.1
2008-08-22,29,3
2008-08-29,29,3.2
2008-09-05,26,3.35
2008-09-12,29,3.3
2008-09-19,42,3.91
2008-09-26,33,3.45
2008-10-03,35,3.05
2008-10-10,43,2.23
2008-10-17,48,2.37
2008-10-24,41,1.97
2008-10-31,40,1.82
2008-11-07,32,1.71
2008-11-14,34,1.35
2008-11-21,33,0.9
2008-11-28,33,1.35
2008-12-05,32,1.27
2008-12-12,27,1.08
2008-12-19,35,1.19
2008-12-26,22,1.11
2009-01-02,28,1.31
2009-01-09,30,1.34
2009-01-16,26,1.14
2009-01-23,26,1.16
2009-01-30,35,1.14
2009-02-06,81,1.27
2009-02-13,33,1.14
2009-02-20,32,0.89
2009-02-27,35,0.8
2009-03-06,48,0.61
2009-03-13,35,0.75
2009-03-20,35,1.18
2009-03-27,39,1.32
2009-04-03,32,1.36
2009-04-17,32,2.58
2009-04-24,25,2.48
2009-05-01,22,1.58
2009-05-08,30,1.97
2009-05-15,27,1.46
2009-05-22,21,1.38
2009-05-29,24,1.44
2009-06-05,26,1.48
2009-06-12,25,1.97
2009-06-19,25,1.26
2009-06-26,23,1.28
2009-07-10,23,1.19
2009-07-17,26,1.23
2009-07-24,24,1.42
2009-07-31,23,1.5
2009-08-07,26,1.38
2009-08-14,25,1.35
2009-08-21,22,1.41
2009-08-28,22,1.64
2009-09-04,19,1.55
2009-09-11,20,1.66
2009-09-18,21,1.84
2009-09-25,25,1.77
2009-10-02,16,1.68
2009-10-09,19,1.7
2009-10-16,18,1.75
2009-10-23,20,1.66
2009-10-30,20,1.46
2009-11-06,20,1.55
2009-11-13,19,1.53
2009-11-20,17,1.64
2009-11-27,16,1.59
2009-12-04,21,1.7
2009-12-11,20,1.66
2009-12-18,17,1.78
2010-01-08,16,1.8
2010-01-15,16,1.84
2010-01-22,23,1.64
2010-01-29,27,1.52
2010-02-05,26,1.46
2010-02-12,46,1.49
2010-02-19,21,1.56
2010-02-26,21,1.61
2010-03-05,21,1.66
2010-03-12,66,1.65
2010-03-19,24,1.57
2010-03-26,21,1.55
2010-04-09,22,1.71
2010-04-16,17,1.74
2010-04-23,22,1.9
2010-04-30,21,1.69
2010-05-07,18,1.5
2010-05-14,17,1.57
2010-05-21,17,1.46
2010-05-28,15,1.48
2010-06-04,15,14.06
2010-06-11,14,13.88
2010-06-18,15,13.83
2010-06-25,12,13.03
2010-07-02,16,11.61
2010-07-09,17,12.2
2010-07-16,12,12.96
2010-07-23,15,14.36
2010-07-30,12,14.63
2010-08-06,17,15.12
2010-08-13,14,13.95
2010-08-20,14,13.62
2010-08-27,12,12.84
2010-09-03,12,14.13
2010-09-10,13,14.19
2010-09-17,14,14
2010-09-24,18,15.27
2010-10-01,15,14.89
2010-10-08,17,14.8
2010-10-15,16,14.67
2010-10-22,15,14.04
2010-10-29,16,14.3
2010-11-05,18,15.3
2010-11-12,18,14.98
2010-11-19,16,15.15
2010-11-26,15,14.84
2010-12-03,13,15.59
2010-12-10,14,15.97
2010-12-17,14,15.42
2010-12-31,14,16
2011-01-07,15,16.34
2011-01-14,13,16.7
2011-01-21,14,15.92
2011-01-28,15,16.35
2011-02-04,19,17.17
2011-02-11,26,17.89
2011-02-18,17,17.73
2011-02-25,14,15.89
2011-03-04,12,15.73
2011-03-11,13,15.5
2011-03-18,14,15.11
2011-03-25,14,15.8
2011-04-01,13,15.94
2011-04-08,13,16.01
2011-04-15,14,15.81
2011-04-29,15,16.24
2011-05-06,13,15.92
2011-05-13,12,16.06
2011-05-20,10,15.6
2011-05-27,11,15.71
2011-06-03,10,14.49
2011-06-10,11,13.66
2011-06-17,10,13.72
2011-06-24,10,13.38
2011-07-01,8,14.45
2011-07-08,8,13.8
2011-07-15,11,12.91
2011-07-22,11,15.64
2011-07-29,10,15.88
2011-08-05,14,12.59
2011-08-12,27,11.39
2011-08-19,13,10.41
2011-08-26,9,10.82
2011-09-02,11,11.4
2011-09-09,8,10.74
2011-09-16,10,11.63
2011-09-23,7,9.72
2011-09-30,9,9.11
2011-10-07,9,8.72
2011-10-14,10,9.8
2011-10-21,10,10.01
2011-10-28,11,11.63
2011-11-04,9,10.57
2011-11-11,9,9.09
2011-11-18,10,8.23
2011-11-25,9,8.14
2011-12-02,10,9.07
2011-12-09,9,8.91
2011-12-16,10,7.72
2011-12-23,8,7.95
2011-12-30,14,7.96
2012-01-06,10,8.48
2012-01-13,8,9.24
2012-01-20,9,9.66
2012-01-27,13,8.19
2012-02-03,13,9.19
2012-02-10,15,9.21
2012-02-17,11,9.35
2012-02-24,11,9.66
2012-03-02,10,9.99
2012-03-09,9,9.67
2012-03-16,8,11.04
2012-03-23,10,11.27
2012-03-30,9,10.95
2012-04-13,7,10.06
2012-04-20,6,10.48
2012-04-27,7,10.73
2012-05-04,6,9.98
2012-05-11,7,9.59
2012-05-18,9,8.46
2012-05-25,7,8.68
2012-06-01,5,8.05
2012-06-08,6,8.19
2012-06-15,5,7.97
2012-06-22,5,7.82
2012-06-29,6,8.04
2012-07-06,6,7.84
2012-07-13,6,7.87
2012-07-20,6,7.39
2012-07-27,9,7.53
2012-08-03,6,7.86
2012-08-10,6,8.42
2012-08-17,6,8.57
2012-08-24,6,8.5
2012-08-31,7,8.57
2012-09-07,7,9.06
2012-09-14,7,9.88
2012-09-21,7,9.27
2012-09-28,7,8.8
2012-10-05,6,9.12
2012-10-12,6,9
2012-10-19,7,8.57
2012-10-26,7,8.26
2012-11-02,6,8.4
2012-11-09,7,8.08
2012-11-16,6,7.88
2012-11-23,7,8.14
2012-11-30,7,8.42
2012-12-07,6,8.38
2012-12-14,6,8.32
2012-12-21,7,8.83
2012-12-28,5,8.76
2013-01-04,8,9.39
2013-01-11,7,9.58
2013-01-18,8,10.18
2013-01-25,7,10.33
2013-02-01,9,10.8
2013-02-08,12,11.02
2013-02-15,9,11.22
2013-02-22,8,10.84
2013-03-01,8,10.63
2013-03-08,8,11.3
2013-03-15,7,10.66
2013-03-22,7,10.66
2013-04-05,6,9.95
2013-04-12,8,10.17
2013-04-19,7,9.83
2013-04-26,6,10.2
2013-05-03,7,10.85
2013-05-10,7,11.16
2013-05-17,7,11.53
2013-05-24,7,11.31
2013-05-31,6,11.62
2013-06-07,7,11.76
2013-06-14,7,11.44
2013-06-21,7,12.24
2013-06-28,7,12.66
2013-07-05,6,13.16
2013-07-12,7,13.42
2013-07-19,7,13.49
2013-07-26,5,14.85
2013-08-02,6,15.29
2013-08-09,6,14.68
2013-08-16,6,14.56
2013-08-23,6,14.65
2013-08-30,5,14.04
2013-09-06,4,16.26
2013-09-13,5,17.11
2013-09-20,5,16.71
2013-09-27,4,16.76
2013-10-04,6,17.13
2013-10-11,6,17
2013-10-18,5,17.49
2013-10-25,6,17.31
2013-11-01,5,17.13
2013-11-08,8,17.76
2013-11-15,5,17.64
2013-11-22,5,17.75
2013-11-29,5,17.92
2013-12-06,6,18.28
2013-12-13,6,18.53
2013-12-20,5,19.34
2013-12-27,5,19.45
2014-01-03,5,20.3
2014-01-10,6,20.91
2014-01-17,7,21.02
2014-01-24,6,20.97
2014-01-31,6,20.02
2014-02-07,7,20.27
2014-02-14,8,21.81
2014-02-21,7,22.37
2014-02-28,6,22.47
2014-03-07,6,23.5
2014-03-14,6,23.49
2014-03-21,7,24.86
2014-03-28,6,22.59
2014-04-04,6,20.43
2014-04-11,6,19.79
2014-04-25,5,22.4
