"Date","buy.MAS","Price"
2010-02-19,36,13.6
2010-02-26,71,13.37
2010-03-05,35,14.39
2010-03-12,37,15.17
2010-03-19,41,15
2010-03-26,53,15.19
2010-04-09,39,16.1
2010-04-16,34,16.96
2010-04-23,62,18.35
2010-04-30,61,16.23
2010-05-07,66,13.66
2010-05-14,71,14.74
2010-05-21,61,13.74
2010-05-28,52,13.35
2010-06-04,51,12.4
2010-06-11,51,12.36
2010-06-18,42,12.32
2010-06-25,39,11.81
2010-07-02,55,10.7
2010-07-09,31,11.51
2010-07-16,46,10.47
2010-07-23,46,11.42
2010-07-30,49,10.28
2010-08-06,52,10.94
2010-08-13,52,10.48
2010-08-20,37,10.56
2010-08-27,56,10.68
2010-09-03,51,11.43
2010-09-10,41,10.93
2010-09-17,42,10.94
2010-09-24,66,11
2010-10-01,52,11.18
2010-10-08,60,12.06
2010-10-15,63,11.01
2010-10-22,53,10.95
2010-10-29,56,10.66
2010-11-05,56,11.56
2010-11-12,55,11.36
2010-11-19,50,11.03
2010-11-26,63,10.72
2010-12-03,56,11.99
2010-12-10,90,13.53
2010-12-17,80,13.06
2010-12-31,56,12.66
2011-01-07,42,13.77
2011-01-14,86,14
2011-01-21,56,13.28
2011-01-28,27,13.29
2011-02-04,51,14.02
2011-02-11,51,14.17
2011-02-18,50,13.3
2011-02-25,63,13.19
2011-03-04,54,13.31
2011-03-11,42,13.87
2011-03-18,47,13.95
2011-03-25,63,14.17
2011-04-01,40,14.12
2011-04-08,55,13.41
2011-04-15,36,13.18
2011-04-29,47,13.42
2011-05-06,69,13.36
2011-05-13,74,13.22
2011-05-20,47,14.25
2011-05-27,66,14.29
2011-06-03,46,13.3
2011-06-10,46,11.81
2011-06-17,74,12.13
2011-06-24,44,12.01
2011-07-01,47,12.46
2011-07-08,57,11.92
2011-07-15,53,11.37
2011-07-22,53,11.42
2011-07-29,52,10.55
2011-08-05,66,9.18
2011-08-12,60,8.56
2011-08-19,54,7.56
2011-08-26,74,8.05
2011-09-02,71,7.98
2011-09-09,64,7.8
2011-09-16,49,7.97
2011-09-23,49,7.14
2011-09-30,57,7.12
2011-10-07,48,7.49
2011-10-14,57,8.47
2011-10-21,61,9
2011-10-28,44,9.88
2011-11-04,64,9.39
2011-11-11,57,9.55
2011-11-18,99,9.01
2011-11-25,100,8.42
2011-12-02,58,9.32
2011-12-09,50,9.39
2011-12-16,76,9.16
2011-12-23,85,10.2
2011-12-30,77,10.48
2012-01-06,48,11.4
2012-01-13,61,12.09
2012-01-20,74,12.41
2012-01-27,49,12.33
2012-02-03,67,12.92
2012-02-10,52,12.72
2012-02-17,82,12.1
2012-02-24,65,11.57
2012-03-02,73,11.56
2012-03-09,43,12.11
2012-03-16,57,13.38
2012-03-23,54,13.58
2012-03-30,60,13.37
2012-04-13,50,12.14
2012-04-20,51,12
2012-04-27,55,13.44
2012-05-04,60,14.4
2012-05-11,51,13.97
2012-05-18,47,11.85
2012-05-25,40,12.6
2012-06-01,50,12.04
2012-06-08,44,13.5
2012-06-15,54,13.6
2012-06-22,37,12.76
2012-06-29,57,13.87
2012-07-06,57,14.16
2012-07-13,47,14.05
2012-07-20,44,14.15
2012-07-27,58,13.3
2012-08-03,48,12.71
2012-08-10,60,12.97
2012-08-17,49,13.89
2012-08-24,54,14.13
2012-08-31,52,14.16
2012-09-07,59,14.15
2012-09-14,63,15.8
2012-09-21,41,16.25
2012-09-28,65,15.05
2012-10-05,64,15.97
2012-10-12,62,14.3
2012-10-19,37,15.04
2012-10-26,69,14.6
2012-11-02,42,15.89
2012-11-09,53,15.29
2012-11-16,74,14.92
2012-11-23,79,16.9
2012-11-30,70,16.96
2012-12-07,56,15.99
2012-12-14,74,16.12
2012-12-21,77,16.27
2012-12-28,73,16.04
2013-01-04,52,17.47
2013-01-11,49,17.69
2013-01-18,60,17.78
2013-01-25,50,18.36
2013-02-01,56,18.55
2013-02-08,57,17.79
2013-02-15,50,20
2013-02-22,58,18.92
2013-03-01,62,19.22
2013-03-08,47,19.94
2013-03-15,51,19.96
2013-03-22,63,20.6
2013-04-05,51,19.28
2013-04-12,41,20.11
2013-04-19,54,19.27
2013-04-26,50,20.62
2013-05-03,42,21.6
2013-05-10,52,21.56
2013-05-17,65,22.74
2013-05-24,56,22.14
2013-05-31,47,21.02
2013-06-07,59,20.21
2013-06-14,43,20.79
2013-06-21,52,19.06
2013-06-28,32,19.49
2013-07-05,45,19.79
2013-07-12,47,20.75
2013-07-19,71,20.89
2013-07-26,63,19.84
2013-08-02,54,21.55
2013-08-09,47,19.9
2013-08-16,51,19.02
2013-08-23,40,19.35
2013-08-30,54,18.92
2013-09-06,50,19.63
2013-09-13,69,20.81
2013-09-20,45,21.99
2013-09-27,59,21.12
2013-10-04,65,20.96
2013-10-11,42,20.55
2013-10-18,56,19.98
2013-10-25,49,20.99
2013-11-01,53,21.02
2013-11-08,61,20.35
2013-11-15,73,21.2
2013-11-22,62,21.79
2013-11-29,78,22.42
2013-12-06,65,21.64
2013-12-13,63,21.28
2013-12-20,84,21.69
2013-12-27,70,22.47
2014-01-03,48,23.16
2014-01-10,45,23.46
2014-01-17,60,22.1
2014-01-24,49,21.45
2014-01-31,41,21.16
2014-02-07,53,22.02
2014-02-14,42,22.46
2014-02-21,48,22.44
2014-02-28,53,23.35
2014-03-07,51,23.38
2014-03-14,66,22.76
2014-03-21,42,21.89
2014-03-28,61,22.04
2014-04-04,42,22.71
2014-04-11,49,21.35
2014-04-25,43,20.78
