"Date","VRSN","Price"
2009-09-04,15,20.95
2009-09-11,16,22.66
2009-09-18,18,23.26
2009-09-25,14,22.8
2009-10-02,14,23
2009-10-09,14,23.7
2009-10-16,14,23.3
2009-10-23,14,23.79
2009-10-30,11,22.81
2009-11-06,11,23.24
2010-01-08,10,24.58
2010-01-15,13,23.98
2010-01-22,11,23.34
2010-01-29,11,22.91
2010-02-05,11,23.24
2010-02-12,9,23.29
2010-02-19,9,24.12
2010-02-26,9,24.92
2010-03-05,9,26.5
2010-03-12,17,26.64
2010-03-19,14,26.8
2010-03-26,12,25.94
2010-04-09,12,26.84
2010-04-16,12,26.6
2010-04-23,12,27.43
2010-04-30,12,27.28
2010-05-07,20,24.95
2010-05-14,22,26.71
2010-05-21,25,27.35
2010-07-16,11,27.9
2010-07-23,13,28.8
2010-07-30,15,28.15
2010-08-06,17,29.5
2010-08-13,12,28.53
2010-08-20,10,29.37
2010-08-27,11,29.54
2010-09-03,9,30.1
2010-09-10,9,30.87
2010-09-17,10,31.45
2010-09-24,10,31.63
2010-10-01,10,31.71
2010-10-08,14,31.99
2010-10-15,12,32.16
2010-10-22,12,32.86
2010-10-29,12,34.75
2010-11-05,9,35.15
2010-11-12,9,34.21
2010-11-19,8,34.85
2010-11-26,8,35.29
2010-12-03,8,34.94
2010-12-10,8,35.7
2010-12-17,9,34.28
2010-12-31,10,32.67
2011-01-07,9,33.34
2011-01-14,7,33.15
2011-01-21,8,32.21
2011-01-28,9,33.75
2011-02-04,13,35.28
2011-02-11,11,36.71
2011-02-18,11,36.74
2011-02-25,8,35.98
2011-06-03,9,34.91
2011-07-22,8,33.77
2011-07-29,10,31.21
2011-08-05,12,28.93
2011-08-12,10,31.03
2011-08-19,8,28.73
2011-08-26,9,30.42
2011-09-02,11,30.01
2011-09-09,13,29.03
2011-09-16,8,29
2011-09-23,10,28.34
2011-09-30,9,28.61
2011-10-07,6,29.69
2011-10-14,7,30.48
2011-10-21,8,30.88
2011-10-28,9,32.85
2011-11-04,8,32.99
2011-11-11,8,33.23
2011-11-18,8,32.31
2011-11-25,8,31.48
2011-12-02,8,33.42
2011-12-09,8,33.94
2011-12-16,8,34.72
2011-12-23,9,35.85
2011-12-30,9,35.72
2012-01-06,9,35.4
2012-01-13,9,35.54
2012-01-20,7,36.01
2012-01-27,7,36.32
2012-02-03,9,37.04
2012-02-10,9,36.61
2012-02-17,9,37.18
2012-02-24,9,37.64
2012-03-02,9,37
2012-03-09,7,36.95
2012-03-16,10,38.47
2012-03-23,10,38.14
2012-03-30,9,38.35
2012-04-13,11,40.67
2012-04-20,10,41.97
2012-04-27,8,41.7
2012-05-04,10,40.72
2012-05-11,5,40.31
2012-05-18,5,38.62
2012-05-25,8,39.8
2012-06-01,7,37.73
2012-06-08,6,39.81
2012-06-15,6,42.33
2012-06-22,10,43.21
2012-06-29,7,43.57
2012-07-06,7,43.81
2012-07-13,7,43.17
2012-07-20,8,43.19
2012-07-27,12,45.42
2012-08-03,12,45.65
2012-08-10,9,46.76
2012-08-17,6,48.16
2012-08-24,7,47.5
2012-08-31,8,47.68
2012-09-07,9,48.93
2012-09-14,9,47.78
2012-09-21,9,47.6
2012-09-28,7,48.69
2012-10-05,7,49.21
2012-10-12,7,48.03
2012-10-19,7,47.37
2012-10-26,10,39.39
2012-11-02,13,39.67
2012-11-09,12,41.48
2012-11-16,7,40.92
2012-11-23,7,40.87
2012-11-30,15,34.15
2012-12-07,13,36.28
2012-12-14,10,35.9
2012-12-21,10,38.04
2012-12-28,6,38
2013-01-04,9,40.04
2013-01-11,10,38
2013-01-18,7,39.55
2013-01-25,11,42.96
2013-02-01,6,44.34
2013-02-08,6,45.39
2013-02-15,8,46.14
2013-02-22,8,45.8
2013-03-01,6,46.17
2013-03-08,8,46.78
2013-03-15,5,45.65
2013-03-22,6,46.36
2013-04-05,5,45.95
2013-04-12,4,46.73
2013-04-19,8,44.71
2013-04-26,13,44.77
2013-05-03,7,47.35
2013-05-10,7,48.96
2013-05-17,6,48.7
2013-05-24,6,47.4
2013-05-31,7,47.04
2013-06-07,7,46.2
2013-06-14,7,45.03
2013-06-21,7,44.19
2013-06-28,8,44.66
2013-07-05,7,45.47
2013-07-12,9,46.04
2013-07-19,8,45.74
2013-07-26,8,47.32
2013-08-02,8,48.42
2013-08-09,10,48.76
2013-08-16,10,48.72
2013-08-23,8,49.5
2013-08-30,7,47.99
2013-09-06,8,49.31
2013-09-13,9,49.85
2013-09-20,10,51.7
2013-09-27,11,51.18
2013-10-04,5,51.61
2013-10-11,9,51.31
2013-10-18,9,53.08
2013-10-25,6,53.76
2013-11-01,6,54.19
2013-11-08,8,54.15
2013-11-15,8,55.65
2013-11-22,8,56.72
2013-11-29,7,56.86
2013-12-06,7,57.2
2013-12-13,7,57.05
2013-12-20,9,59.27
2013-12-27,6,59.45
2014-01-03,6,59.84
2014-01-10,8,61.46
2014-01-17,7,61.89
2014-01-24,6,60.37
2014-01-31,9,58.75
2014-02-07,13,52.68
2014-02-14,11,54.52
2014-02-21,9,54.99
2014-02-28,15,55.11
2014-03-07,11,55.88
2014-03-14,11,54.85
2014-03-21,16,52.78
2014-03-28,9,53.49
2014-04-04,7,50.73
2014-04-11,6,49.03
2014-04-25,9,47.15
