"Date","buy.EBAY","Price"
2011-07-29,72,32.75
2011-08-05,75,29.3
2011-08-12,73,30.53
2011-08-19,78,27.16
2011-08-26,79,29.46
2011-09-02,74,29.41
2011-09-09,69,28.46
2011-09-16,71,33.69
2011-09-23,70,32.08
2011-09-30,66,29.49
2011-10-07,70,31.07
2011-10-14,65,33.69
2011-10-21,70,32.12
2011-10-28,65,33.25
2011-11-04,67,32.71
2011-11-11,74,31.76
2011-11-18,73,29.81
2011-11-25,92,28.23
2011-12-02,89,29.6
2011-12-09,80,31.64
2011-12-16,81,30.4
2011-12-23,74,30.84
2011-12-30,85,30.33
2012-01-06,76,30.63
2012-01-13,70,30.62
2012-01-20,72,31.93
2012-01-27,70,31.85
2012-02-03,73,32.95
2012-02-10,69,33.03
2012-02-17,68,35.06
2012-02-24,68,36.36
2012-03-02,69,36.25
2012-03-09,74,36.25
2012-03-16,65,37.69
2012-03-23,64,37.09
2012-03-30,62,36.9
2012-04-13,66,36.12
2012-04-20,67,40.29
2012-04-27,67,41.23
2012-05-04,67,39.44
2012-05-11,65,40.74
2012-05-18,65,38.36
2012-05-25,62,40.35
2012-06-01,66,38.82
2012-06-08,69,41.05
2012-06-15,69,40.67
2012-06-22,69,42.8
2012-06-29,70,42.01
2012-07-06,68,40.41
2012-07-13,72,39.95
2012-07-20,74,44.85
2012-07-27,73,45.22
2012-08-03,74,44.5
2012-08-10,73,43.99
2012-08-17,74,46.87
2012-08-24,73,47.1
2012-08-31,71,47.47
2012-09-07,71,49.24
2012-09-14,72,49.97
2012-09-21,74,49.47
2012-09-28,73,48.37
2012-10-05,71,48.73
2012-10-12,71,47.85
2012-10-19,72,49.97
2012-10-26,75,49.51
2012-11-02,71,48.69
2012-11-09,79,47.73
2012-11-16,85,47.26
2012-11-23,100,49.01
2012-11-30,99,52.82
2012-12-07,90,51.74
2012-12-14,91,50.36
2012-12-21,83,51.35
2012-12-28,88,49.81
2013-01-04,83,52.78
2013-01-11,79,53.7
2013-01-18,75,54.21
2013-01-25,73,56.53
2013-02-01,73,57.21
2013-02-08,72,56.62
2013-02-15,72,56.7
2013-02-22,73,55.02
2013-03-01,72,54.9
2013-03-08,75,53.13
2013-03-15,73,50.41
2013-03-22,72,53.27
2013-04-05,74,55.52
2013-04-12,70,57.31
2013-04-19,69,52.39
2013-04-26,68,52.54
2013-05-03,69,54.21
2013-05-10,70,55.65
2013-05-17,67,56.71
2013-05-24,67,54.64
2013-05-31,70,54.1
2013-06-07,65,51.45
2013-06-14,70,51.29
2013-06-21,67,51.13
2013-06-28,67,51.72
2013-07-05,70,53.85
2013-07-12,70,57.04
2013-07-19,73,52.19
2013-07-26,71,52.25
2013-08-02,72,52.54
2013-08-09,73,53.33
2013-08-16,73,52.92
2013-08-23,72,51.65
2013-08-30,68,49.99
2013-09-06,68,52.83
2013-09-13,66,53.82
2013-09-20,66,54.95
2013-09-27,66,55.78
2013-10-04,64,55.58
2013-10-11,66,54.37
2013-10-18,66,52.2
2013-10-25,63,51.64
2013-11-01,65,51.94
2013-11-08,69,53
2013-11-15,72,52.6
2013-11-22,77,50.33
2013-11-29,93,50.52
2013-12-06,86,52.01
2013-12-13,81,51.55
2013-12-20,74,54.58
2013-12-27,77,54.18
2014-01-03,74,53.26
2014-01-10,67,52.16
2014-01-17,66,53.2
2014-01-24,67,54.37
2014-01-31,64,53.2
2014-02-07,62,54.59
2014-02-14,66,54.77
2014-02-21,62,54.59
2014-02-28,64,58.77
2014-03-07,64,59.06
2014-03-14,59,56.74
2014-03-21,60,56.96
2014-03-28,60,55.19
2014-04-04,60,54
2014-04-11,60,53.46
2014-04-25,61,53.72
