"Date","MYL","Price"
2009-03-06,67,11.97
2009-03-13,56,13.27
2009-03-20,64,12.88
2009-03-27,55,13.25
2009-04-03,65,14.04
2009-04-17,44,14.6
2009-04-24,58,14.28
2009-05-01,60,13
2009-05-08,51,13.72
2009-05-15,56,12.76
2009-05-22,56,12.58
2009-05-29,86,13.21
2009-06-05,50,13.7
2009-06-12,60,13.62
2009-06-19,60,13.06
2009-06-26,49,13.42
2009-07-10,78,12.17
2009-07-17,76,12.44
2009-07-24,68,13.85
2009-07-31,60,13.19
2009-08-07,83,13.19
2009-08-14,60,13.99
2009-08-21,56,14.39
2009-08-28,60,14.8
2009-09-04,62,14.53
2009-09-11,60,15.16
2009-09-18,60,16.08
2009-09-25,47,16.06
2009-10-02,49,15.88
2009-10-09,63,16.79
2009-10-16,66,16.67
2009-10-23,62,16.13
2009-10-30,58,16.24
2009-11-06,50,17.47
2009-11-13,48,17.54
2009-11-20,37,17.55
2009-11-27,51,18.01
2009-12-04,43,17.99
2009-12-11,32,18.52
2009-12-18,44,18.25
2010-01-08,31,17.42
2010-01-15,46,18.2
2010-01-22,45,17.78
2010-01-29,47,18.23
2010-02-05,33,17.89
2010-02-12,38,18.31
2010-02-19,29,19.07
2010-02-26,34,21.34
2010-03-05,32,21.77
2010-03-12,43,21.95
2010-03-19,22,22.53
2010-03-26,34,22.38
2010-04-09,33,22.54
2010-04-16,27,21.75
2010-04-23,27,22.24
2010-04-30,32,22.01
2010-05-07,30,21.34
2010-05-14,38,20.52
2010-05-21,34,19.51
2010-05-28,38,19.44
2010-06-04,20,18.5
2010-06-11,29,18.32
2010-06-18,30,18.63
2010-06-25,24,17.93
2010-07-02,32,16.89
2010-07-09,35,17.61
2010-07-16,31,17.71
2010-07-23,27,17.76
2010-07-30,28,17.4
2010-08-06,31,17.65
2010-08-13,24,17.46
2010-08-20,38,17.54
2010-08-27,26,17.34
2010-09-03,32,17.79
2010-09-10,26,17.9
2010-09-17,22,18.2
2010-09-24,24,18.92
2010-10-01,23,18.9
2010-10-08,36,18.6
2010-10-15,31,19.31
2010-10-22,28,19.38
2010-10-29,35,20.32
2010-11-05,22,20.14
2010-11-12,31,19.25
2010-11-19,28,19.85
2010-11-26,24,20.33
2010-12-03,25,19.9
2010-12-10,35,20.14
2010-12-17,28,21.4
2010-12-31,27,21.13
2011-01-07,31,22.32
2011-01-14,28,22.8
2011-01-21,32,23.01
2011-01-28,31,22.91
2011-02-04,31,23.15
2011-02-11,22,23.35
2011-02-18,25,23.34
2011-02-25,33,22.61
2011-03-04,25,22.74
2011-03-11,28,22.35
2011-03-18,24,21.66
2011-03-25,32,22.31
2011-04-01,29,23.23
2011-04-08,33,23.44
2011-04-15,38,23.89
2011-04-29,24,24.92
2011-05-06,29,23.9
2011-05-13,23,24.09
2011-05-20,28,23.82
2011-05-27,28,23.4
2011-06-03,27,22.84
2011-06-10,25,22.04
2011-06-17,32,22.27
2011-06-24,22,23.11
2011-07-01,28,24.97
2011-07-08,21,24.98
2011-07-15,29,23.57
2011-07-22,19,23.94
2011-07-29,25,22.78
2011-08-05,24,19.26
2011-08-12,24,19.24
2011-08-19,26,17.83
2011-08-26,30,19.23
2011-09-02,31,19.4
2011-09-09,28,19.36
2011-09-16,34,20.51
2011-09-23,32,18.29
2011-09-30,33,16.99
2011-10-07,29,17.32
2011-10-14,34,17.67
2011-10-21,26,18.04
2011-10-28,36,20.28
2011-11-04,30,18.51
2011-11-11,29,18.73
2011-11-18,34,17.86
2011-11-25,31,17.41
2011-12-02,28,19.5
2011-12-09,21,20
2011-12-16,34,20.88
2011-12-23,25,21.83
2011-12-30,32,21.46
2012-01-06,28,21.47
2012-01-13,31,21.71
2012-01-20,24,21.56
2012-01-27,33,21.04
2012-02-03,31,22.44
2012-02-10,28,22.8
2012-02-17,31,23.42
2012-02-24,33,23.48
2012-03-02,29,23.16
2012-03-09,25,22.97
2012-03-16,23,22.89
2012-03-23,36,22.98
2012-03-30,23,23.45
2012-04-13,26,22.07
2012-04-20,24,21.84
2012-04-27,22,22.08
2012-05-04,24,21
2012-05-11,30,21.52
2012-05-18,25,20.81
2012-05-25,28,21.63
2012-06-01,20,20.98
2012-06-08,23,21.55
2012-06-15,24,21.2
2012-06-22,21,21.23
2012-06-29,28,21.37
2012-07-06,27,21.59
2012-07-13,20,22.06
2012-07-20,24,22.3
2012-07-27,29,23.27
2012-08-03,27,23.13
2012-08-10,28,23.46
2012-08-17,26,23.63
2012-08-24,26,23.79
2012-08-31,23,23.57
2012-09-07,29,24.06
2012-09-14,28,24.3
2012-09-21,31,24.55
2012-09-28,23,24.37
2012-10-05,22,24.63
2012-10-12,22,23.78
2012-10-19,25,23.65
2012-10-26,25,25.22
2012-11-02,30,25.68
2012-11-09,24,25.87
2012-11-16,24,25.54
2012-11-23,31,27.11
2012-11-30,32,27.18
2012-12-07,25,27.26
2012-12-14,27,27.97
2012-12-21,22,27.81
2012-12-28,22,26.92
2013-01-04,24,28.2
2013-01-11,22,27.84
2013-01-18,26,28
2013-01-25,23,28.46
2013-02-01,31,28.89
2013-02-08,27,28.86
2013-02-15,30,29.22
2013-02-22,24,28.98
2013-03-01,31,30.1
2013-03-08,27,30.73
2013-03-15,27,30.47
2013-03-22,25,29.82
2013-04-05,25,28.63
2013-04-12,26,28.68
2013-04-19,25,28.34
2013-04-26,24,29.31
2013-05-03,33,28.9
2013-05-10,25,29.65
2013-05-17,25,31.4
2013-05-24,27,31.18
2013-05-31,27,30.48
2013-06-07,24,30.58
2013-06-14,24,31.68
2013-06-21,24,30.63
2013-06-28,24,31.03
2013-07-05,27,30.84
2013-07-12,26,32.09
2013-07-19,26,32.67
2013-07-26,25,33.43
2013-08-02,27,36.4
2013-08-09,29,37.19
2013-08-16,23,36.19
2013-08-23,26,35.79
2013-08-30,37,35.34
2013-09-06,33,35.29
2013-09-13,35,38.92
2013-09-20,32,38.66
2013-09-27,33,38.32
2013-10-04,30,40.25
2013-10-11,32,39.91
2013-10-18,36,38.55
2013-10-25,26,38.43
2013-11-01,26,38.01
2013-11-08,23,40.41
2013-11-15,33,42.36
2013-11-22,29,42.67
2013-11-29,30,44.13
2013-12-06,25,44.14
2013-12-13,29,41.78
2013-12-20,24,42.51
2013-12-27,28,42.78
2014-01-03,26,42.72
2014-01-10,30,45.97
2014-01-17,31,45.75
2014-01-24,29,44.31
2014-01-31,26,45.41
2014-02-07,28,45.08
2014-02-14,25,46.1
2014-02-21,33,51.92
2014-02-28,32,55.57
2014-03-07,33,54.86
2014-03-14,31,52.63
2014-03-21,32,52.14
2014-03-28,31,48.83
2014-04-04,29,50.63
2014-04-11,27,45.72
2014-04-25,35,52.1
