"Date","Cerner","Price"
2011-07-29,51,66.49
2011-08-05,52,59.94
2011-08-12,48,58.18
2011-08-19,49,55.89
2011-08-26,50,65.02
2011-09-02,51,64
2011-09-09,49,63.4
2011-09-16,61,67.8
2011-09-23,56,69.16
2011-09-30,57,68.52
2011-10-07,51,66
2011-10-14,53,69.97
2011-10-21,59,66.83
2011-10-28,54,65.1
2011-11-04,48,63.73
2011-11-11,49,65.01
2011-11-18,48,57.95
2011-11-25,39,57.02
2011-12-02,48,60.99
2011-12-09,43,60.71
2011-12-16,48,56.35
2011-12-23,40,61.15
2011-12-30,30,61.25
2012-01-06,45,63.47
2012-01-13,49,61.56
2012-01-20,44,61.03
2012-01-27,49,60.49
2012-02-03,51,63.09
2012-02-10,58,69.27
2012-02-17,50,70.99
2012-02-24,52,73.76
2012-03-02,50,75.35
2012-03-09,53,76.86
2012-03-16,44,76.93
2012-03-23,48,76.71
2012-03-30,53,76.16
2012-04-13,50,72.93
2012-04-20,51,74.5
2012-04-27,65,77.51
2012-05-04,58,80.48
2012-05-11,60,79.92
2012-05-18,53,76.48
2012-05-25,52,79.01
2012-06-01,56,76.37
2012-06-08,59,78.95
2012-06-15,55,82.64
2012-06-22,62,80.8
2012-06-29,55,82.66
2012-07-06,47,82.02
2012-07-13,50,80.29
2012-07-20,54,77.02
2012-07-27,66,73.71
2012-08-03,58,73.68
2012-08-10,55,71.12
2012-08-17,50,72.56
2012-08-24,57,71.27
2012-08-31,54,73.14
2012-09-07,53,75.35
2012-09-14,52,72.03
2012-09-21,53,74.46
2012-09-28,55,77.39
2012-10-05,51,78.53
2012-10-12,57,72.42
2012-10-19,49,70.43
2012-10-26,52,77.37
2012-11-02,47,77.73
2012-11-09,53,78.59
2012-11-16,54,77.08
2012-11-23,42,78.06
2012-11-30,50,77.22
2012-12-07,52,78.11
2012-12-14,53,77.24
2012-12-21,41,78.28
2012-12-28,27,76.08
2013-01-04,41,81.07
2013-01-11,47,81.62
2013-01-18,50,81.19
2013-01-25,49,83.38
2013-02-01,53,84.12
2013-02-08,53,88.1
2013-02-15,56,87.93
2013-02-22,51,87.56
2013-03-01,54,89.23
2013-03-08,57,92.29
2013-03-15,60,92.78
2013-03-22,59,93.09
2013-04-05,54,92.13
2013-04-12,62,94.68
2013-04-19,60,91.8
2013-04-26,59,95.88
2013-05-03,53,96.67
2013-05-10,54,95.08
2013-05-17,59,98.83
2013-05-24,59,96.09
2013-05-31,47,98.16
2013-06-07,61,99.35
2013-06-14,61,98.22
2013-06-21,64,94.59
2013-06-28,61,96.09
2013-07-05,52,49.84
2013-07-12,60,49.56
2013-07-19,66,49.79
2013-07-26,63,48.66
2013-08-02,68,50.07
2013-08-09,69,48.74
2013-08-16,59,47.38
2013-08-23,62,47.44
2013-08-30,57,46.06
2013-09-06,60,46.7
2013-09-13,59,48.98
2013-09-20,62,49.82
2013-09-27,65,52.61
2013-10-04,65,54.71
2013-10-11,67,54.68
2013-10-18,68,57.77
2013-10-25,58,56.13
2013-11-01,59,56.17
2013-11-08,57,57.04
2013-11-15,57,57.34
2013-11-22,55,57.96
2013-11-29,45,57.47
2013-12-06,57,57.42
2013-12-13,52,54.17
2013-12-20,53,54.67
2013-12-27,33,55.58
2014-01-03,44,54.7
2014-01-10,55,55.18
2014-01-17,59,55.74
2014-01-24,59,54.71
2014-01-31,69,56.89
2014-02-07,62,55.46
2014-02-14,62,60.18
2014-02-21,67,62.08
2014-02-28,62,61.37
2014-03-07,65,60.37
2014-03-14,60,59.27
2014-03-21,57,58.29
2014-03-28,65,56.15
2014-04-04,61,53.67
2014-04-11,70,52.11
2014-04-25,65,49.51
