"Date","sell.K","Price"
2012-03-16,56,52.62
2012-03-23,44,52.41
2012-03-30,66,53.63
2012-04-13,49,53.24
2012-04-20,43,53.99
2012-04-27,56,50.35
2012-05-04,33,50.39
2012-05-11,45,50.99
2012-05-18,56,50.37
2012-05-25,49,50.27
2012-06-01,65,48.22
2012-06-08,54,48.63
2012-06-15,48,49.25
2012-06-22,58,48.97
2012-06-29,59,49.33
2012-07-06,56,49.12
2012-07-13,52,49.5
2012-07-20,54,47.64
2012-07-27,64,47.19
2012-08-03,58,50.35
2012-08-10,64,50.98
2012-08-17,37,51.1
2012-08-24,81,51.48
2012-08-31,48,50.65
2012-09-07,56,50.39
2012-09-14,36,50.19
2012-09-21,55,51.45
2012-09-28,52,51.66
2012-10-05,45,51.95
2012-10-12,62,51.73
2012-10-19,62,52.09
2012-10-26,38,52.9
2012-11-02,78,53.69
2012-11-09,60,53.48
2012-11-16,53,54.17
2012-11-23,62,55.26
2012-11-30,75,55.46
2012-12-07,63,55.97
2012-12-14,42,56.72
2012-12-21,71,56.18
2012-12-28,71,55.33
2013-01-04,62,56.64
2013-01-11,57,57.02
2013-01-18,65,58.21
2013-01-25,48,58.84
2013-02-01,61,58.65
2013-02-08,61,58.91
2013-02-15,54,59.77
2013-02-22,57,60.01
2013-03-01,52,60.58
2013-03-08,58,61.52
2013-03-15,69,62.2
2013-03-22,56,63.39
2013-04-05,69,63.64
2013-04-12,47,64.7
2013-04-19,61,66.1
2013-04-26,57,65.7
2013-05-03,49,63.66
2013-05-10,54,64.29
2013-05-17,46,65.66
2013-05-24,55,64.45
2013-05-31,48,62.05
2013-06-07,60,63.39
2013-06-14,62,64.24
2013-06-21,56,63.25
2013-06-28,58,64.23
2013-07-05,63,65.34
2013-07-12,59,66.5
2013-07-19,44,67.32
2013-07-26,58,66.98
2013-08-02,57,65.23
2013-08-09,46,65.68
2013-08-16,63,62.95
2013-08-23,58,62.73
2013-08-30,62,60.71
2013-09-06,55,60.23
2013-09-13,75,60.64
2013-09-20,62,60.57
2013-09-27,47,59.02
2013-10-04,48,59.36
2013-10-11,60,60.76
2013-10-18,64,61.45
2013-10-25,70,62.43
2013-11-01,44,62.29
2013-11-08,67,62.19
2013-11-15,46,62.61
2013-11-22,64,62.47
2013-11-29,58,60.64
2013-12-06,68,61.64
2013-12-13,93,60.5
2013-12-20,89,60.52
2013-12-27,100,60.98
2014-01-03,72,60.58
2014-01-10,60,60.78
2014-01-17,54,60.47
2014-01-24,44,59.83
2014-01-31,55,57.98
2014-02-07,74,58.36
2014-02-14,64,60.19
2014-02-21,63,59.95
2014-02-28,56,60.69
2014-03-07,59,61.6
2014-03-14,53,60.9
2014-03-21,48,61.58
2014-03-28,56,62.13
2014-04-04,55,63.77
2014-04-11,44,65.68
2014-04-25,55,66.71
