"Date","Hess.Corporation","Price"
2009-02-20,47,51.59
2009-02-27,40,54.69
2009-03-06,40,54.74
2009-03-13,46,58.65
2009-03-20,26,61.8
2009-03-27,32,58.23
2009-04-03,44,59.76
2009-04-17,33,55.09
2009-04-24,44,56.17
2009-05-01,54,56.19
2009-05-08,53,63.36
2009-05-15,41,58.18
2009-05-22,56,60.02
2009-05-29,34,66.59
2009-06-05,33,59.17
2009-06-12,42,59.58
2009-06-19,57,53.21
2009-06-26,26,54.28
2009-07-10,50,47.5
2009-07-17,32,50.28
2009-07-24,46,53.63
2009-07-31,46,55.2
2009-08-07,51,54.73
2009-08-14,46,51.15
2009-08-21,61,52.93
2009-08-28,46,51.8
2009-09-04,55,51.44
2009-09-11,30,53.09
2009-09-18,64,55.81
2009-09-25,58,53.08
2009-10-02,61,51.79
2009-10-09,59,57.41
2009-10-16,50,60.66
2009-10-23,37,58.95
2009-10-30,75,54.74
2009-11-06,60,56.98
2009-11-13,73,56.38
2009-11-20,100,58.84
2009-11-27,91,57.8
2009-12-04,67,57.1
2009-12-11,83,55.63
2009-12-18,80,57.61
2010-01-08,47,65.83
2010-01-15,51,62.43
2010-01-22,63,58.69
2010-01-29,53,57.79
2010-02-05,62,57.98
2010-02-12,44,58.42
2010-02-19,56,60.84
2010-02-26,48,58.8
2010-03-05,39,61.54
2010-03-12,52,61.26
2010-03-19,51,61.19
2010-03-26,32,59.67
2010-04-09,53,64.75
2010-04-16,52,63.65
2010-04-23,66,65.53
2010-04-30,45,63.55
2010-05-07,48,56.74
2010-05-14,45,56.06
2010-05-21,32,52.91
2010-05-28,27,53.2
2010-06-04,44,50.5
2010-06-11,38,53.45
2010-06-18,59,56.18
2010-06-25,40,53.8
2010-07-02,36,50.08
2010-07-09,28,53.23
2010-07-16,36,51.49
2010-07-23,34,52.7
2010-07-30,39,53.59
2010-08-06,57,55.59
2010-08-13,42,52.77
2010-08-20,36,51.24
2010-08-27,36,51.46
2010-09-03,27,55.29
2010-09-10,36,54.42
2010-09-17,53,54.97
2010-09-24,45,57.81
2010-10-01,40,60.92
2010-10-08,58,62.53
2010-10-15,67,63.83
2010-10-22,39,63.25
2010-10-29,43,63.03
2010-11-05,34,69.98
2010-11-12,38,70.06
2010-11-19,45,70.4
2010-11-26,31,69.78
2010-12-03,39,74.3
2010-12-10,29,74.52
2010-12-17,19,75.44
2010-12-31,20,76.54
2011-01-07,46,79.17
2011-01-14,37,82.13
2011-01-21,38,78.65
2011-01-28,38,81.51
2011-02-04,28,82.34
2011-02-11,30,80.6
2011-02-18,23,85
2011-02-25,35,84.8
2011-03-04,43,84.24
2011-03-11,39,80.18
2011-03-18,29,79.59
2011-03-25,35,84.36
2011-04-01,29,86.74
2011-04-08,28,84.24
2011-04-15,36,78.88
2011-04-29,34,85.96
2011-05-06,33,77.47
2011-05-13,52,75.78
2011-05-20,43,77.92
2011-05-27,28,78.6
2011-06-03,27,76.97
2011-06-10,26,72.85
2011-06-17,34,69.28
2011-06-24,40,69.04
2011-07-01,40,75.42
2011-07-08,40,74.68
2011-07-15,45,72.93
2011-07-22,39,74.37
2011-07-29,45,68.56
2011-08-05,34,59.86
2011-08-12,36,57.04
2011-08-19,44,54.29
2011-08-26,23,55.7
2011-09-02,38,58.01
2011-09-09,31,57.74
2011-09-16,40,61.61
2011-09-23,33,51.48
2011-09-30,47,52.46
2011-10-07,46,53.2
2011-10-14,44,57.47
2011-10-21,29,59.8
2011-10-28,39,65.66
2011-11-04,40,63.44
2011-11-11,54,65.09
2011-11-18,42,59.73
2011-11-25,38,54.33
2011-12-02,34,59.65
2011-12-09,20,58.47
2011-12-16,47,54.31
2011-12-23,34,56.96
2011-12-30,14,56.8
2012-01-06,28,56.42
2012-01-13,32,56.55
2012-01-20,37,61.27
2012-01-27,37,55.26
2012-02-03,39,60.38
2012-02-10,36,61.82
2012-02-17,30,65.15
2012-02-24,38,67
2012-03-02,38,65.43
2012-03-09,32,63.04
2012-03-16,28,62.55
2012-03-23,32,59.86
2012-03-30,31,58.95
2012-04-13,40,55.28
2012-04-20,39,55.07
2012-04-27,43,51.54
2012-05-04,38,50.94
2012-05-11,32,47.95
2012-05-18,45,44.6
2012-05-25,29,46.69
2012-06-01,30,42.65
2012-06-08,36,44.72
2012-06-15,34,44.8
2012-06-22,47,41
2012-06-29,38,43.45
2012-07-06,25,43.32
2012-07-13,26,43.29
2012-07-20,26,45.4
2012-07-27,25,48.36
2012-08-03,30,47.71
2012-08-10,34,49.68
2012-08-17,27,49.31
2012-08-24,30,50.19
2012-08-31,36,50.53
2012-09-07,40,52.9
2012-09-14,47,56.06
2012-09-21,39,55.64
2012-09-28,41,53.72
2012-10-05,29,53.56
2012-10-12,31,53.28
2012-10-19,32,54.28
2012-10-26,38,53.24
2012-11-02,55,53.39
2012-11-09,65,50.73
2012-11-16,34,48.91
2012-11-23,24,51.12
2012-11-30,44,49.61
2012-12-07,31,49.69
2012-12-14,24,51.38
2012-12-21,20,53.39
2012-12-28,11,51.28
2013-01-04,24,55.02
2013-01-11,26,56.25
2013-01-18,28,57.66
2013-01-25,38,58.9
2013-02-01,51,68.21
2013-02-08,26,67.37
2013-02-15,25,67.42
2013-02-22,27,66.03
2013-03-01,21,66.54
2013-03-08,76,69.47
2013-03-15,40,72.51
2013-03-22,38,70.27
2013-04-05,34,71.69
2013-04-12,26,71.39
2013-04-19,35,66.78
2013-04-26,40,70.99
2013-05-03,34,73
2013-05-10,34,69.3
2013-05-17,35,69.68
2013-05-24,25,67.48
2013-05-31,25,67.41
2013-06-07,24,69.18
2013-06-14,26,65.97
2013-06-21,39,64.02
2013-06-28,29,66.49
2013-07-05,22,68.13
2013-07-12,34,71.17
2013-07-19,29,73.94
2013-07-26,33,73.2
2013-08-02,34,75.31
2013-08-09,32,74.89
2013-08-16,29,75.07
2013-08-23,31,75.66
2013-08-30,28,74.85
2013-09-06,30,77.3
2013-09-13,39,77.72
2013-09-20,25,78.63
2013-09-27,24,78.33
2013-10-04,29,80.14
2013-10-11,29,81.1
2013-10-18,25,84.06
2013-10-25,32,83.2
2013-11-01,34,80.93
2013-11-08,39,80.3
2013-11-15,32,82.86
2013-11-22,32,83.33
2013-11-29,33,81.13
2013-12-06,20,80.86
2013-12-13,33,78.95
2013-12-20,34,80.17
2013-12-27,15,83.07
2014-01-03,21,80.28
2014-01-10,30,80.9
2014-01-17,29,77.13
2014-01-24,30,76.25
2014-01-31,33,75.49
2014-02-07,31,77.18
2014-02-14,31,79.5
2014-02-21,27,81.17
2014-02-28,24,80.03
2014-03-07,22,81.87
2014-03-14,27,80.28
2014-03-21,46,81.96
2014-03-28,29,83.22
2014-04-04,28,85.34
2014-04-11,26,83.58
2014-04-25,32,87.43
