"Date","Avon.Products","Price"
2007-09-14,46,34.09
2007-09-21,45,35.14
2007-09-28,40,37.53
2007-10-05,38,37.54
2007-10-12,55,38.4
2007-10-19,31,36.19
2007-10-26,42,38.29
2007-11-02,41,39.55
2007-11-09,50,40.13
2007-11-16,40,41.66
2007-11-23,31,41.17
2007-11-30,46,41.05
2007-12-07,39,41.32
2007-12-14,45,39.31
2007-12-21,43,40.93
2007-12-28,35,39.99
2008-01-04,28,39.05
2008-01-11,57,38.47
2008-01-18,40,36.1
2008-01-25,50,34.71
2008-02-01,52,35.87
2008-02-08,53,39.05
2008-02-15,57,39.3
2008-02-22,42,37.91
2008-02-29,51,38.06
2008-03-07,41,36.86
2008-03-14,43,38.06
2008-03-28,61,39.06
2008-04-04,67,40.95
2008-04-11,58,40
2008-04-18,56,40.2
2008-04-25,54,40.16
2008-05-02,58,39.49
2008-05-09,47,39.37
2008-05-16,62,39.31
2008-05-23,57,38.5
2008-05-30,30,39.06
2008-06-06,42,37.21
2008-06-13,49,37.31
2008-06-20,46,35.87
2008-06-27,48,35.44
2008-07-11,41,35.24
2008-07-18,45,36.21
2008-07-25,36,36.37
2008-08-01,50,42.6
2008-08-08,36,44.35
2008-08-15,35,43.19
2008-08-22,34,43.24
2008-08-29,49,42.83
2008-09-05,37,42.84
2008-09-12,28,42.76
2008-09-19,35,40.52
2008-09-26,41,41.68
2008-10-03,37,38.46
2008-10-10,39,29.31
2008-10-17,28,28.95
2008-10-24,38,24.42
2008-10-31,37,24.83
2008-11-07,36,26.37
2008-11-14,39,22.53
2008-11-21,45,19.65
2008-11-28,35,21.1
2008-12-05,35,22
2008-12-12,40,23.12
2008-12-19,32,23.46
2008-12-26,23,22.68
2009-01-02,33,25.1
2009-01-09,38,23
2009-01-16,32,20.25
2009-01-23,31,19.54
2009-01-30,41,20.45
2009-02-06,48,22.73
2009-02-13,39,21.37
2009-02-20,42,18.71
2009-02-27,49,17.59
2009-03-06,42,15.68
2009-03-13,38,17.15
2009-03-20,33,17.87
2009-03-27,44,19.9
2009-04-03,41,21.24
2009-04-17,32,22.09
2009-04-24,31,22.63
2009-05-01,40,23.52
2009-05-08,41,23.39
2009-05-15,42,22.94
2009-05-22,43,25.8
2009-05-29,31,26.56
2009-06-05,50,26.72
2009-06-12,50,26.61
2009-06-19,39,25.88
2009-06-26,45,26.21
2009-07-10,40,25.11
2009-07-17,50,27.89
2009-07-24,49,29.63
2009-07-31,38,32.38
2009-08-07,48,32.37
2009-08-14,44,32.22
2009-08-21,41,32.66
2009-08-28,43,32.38
2009-09-04,36,30.88
2009-09-11,36,32.07
2009-09-18,48,32.16
2009-09-25,46,32.82
2009-10-02,45,32.61
2009-10-09,48,33.98
2009-10-16,37,33.96
2009-10-23,38,34.98
2009-10-30,50,32.05
2009-11-06,47,33.12
2009-11-13,44,35.1
2009-11-20,32,34.03
2009-11-27,37,34.69
2009-12-04,39,35.36
2009-12-11,30,33.67
2009-12-18,37,31.69
2010-01-08,43,31.47
2010-01-15,34,32.26
2010-01-22,38,31.84
2010-01-29,40,30.14
2010-02-05,47,29.24
2010-02-12,34,29.34
2010-02-19,27,30.32
2010-02-26,35,30.44
2010-03-05,47,31.26
2010-03-12,41,32.03
2010-03-19,34,32.1
2010-03-26,38,33.25
2010-04-09,38,34.33
2010-04-16,36,33.86
2010-04-23,33,33.4
2010-04-30,38,32.33
2010-05-07,35,28.59
2010-05-14,33,27.51
2010-05-21,47,26.66
2010-05-28,48,26.49
2010-06-04,35,25.73
2010-06-11,46,28.09
2010-06-18,43,28.74
2010-06-25,39,27.49
2010-07-02,47,26.46
2010-07-09,39,28.27
2010-07-16,51,28.69
2010-07-23,48,29.44
2010-07-30,70,31.13
2010-08-06,53,31.11
2010-08-13,41,29.4
2010-08-20,47,29
2010-08-27,46,29.61
2010-09-03,46,30.44
2010-09-10,45,30.47
2010-09-17,49,31.07
2010-09-24,45,32.19
2010-10-01,48,32.12
2010-10-08,40,32.93
2010-10-15,40,34.86
2010-10-22,37,34.43
2010-10-29,35,30.45
2010-11-05,37,29.78
2010-11-12,40,29.4
2010-11-19,38,29.23
2010-11-26,44,28.76
2010-12-03,44,29.33
2010-12-10,37,29.23
2010-12-17,36,28.84
2010-12-31,29,29.06
2011-01-07,30,29.58
2011-01-14,42,28.91
2011-01-21,34,28.72
2011-01-28,37,28.06
2011-02-04,38,29.25
2011-02-11,47,29.45
2011-02-18,39,29.02
2011-02-25,38,27.94
2011-03-04,36,27.35
2011-03-11,33,27.16
2011-03-18,33,26.59
2011-03-25,41,27.43
2011-04-01,36,27.46
2011-04-08,40,27.98
2011-04-15,39,28.34
2011-04-29,31,29.38
2011-05-06,42,29.04
2011-05-13,46,30.18
2011-05-20,37,29.98
2011-05-27,40,29.26
2011-06-03,40,28.26
2011-06-10,32,27.36
2011-06-17,37,27.36
2011-06-24,38,27.53
2011-07-01,39,27.98
2011-07-08,45,28.53
2011-07-15,40,28.11
2011-07-22,39,28.69
2011-07-29,38,26.23
2011-08-05,31,23.21
2011-08-12,41,21.12
2011-08-19,35,20.53
2011-08-26,39,21.68
2011-09-02,39,21.48
2011-09-09,42,21.1
2011-09-16,39,22.1
2011-09-23,40,19.94
2011-09-30,36,19.6
2011-10-07,34,19.82
2011-10-14,38,22.3
2011-10-21,41,23.44
2011-10-28,39,18.87
2011-11-04,32,18.52
2011-11-11,41,18.23
2011-11-18,37,16.84
2011-11-25,30,16.09
2011-12-02,34,16.67
2011-12-09,34,16.58
2011-12-16,40,16.72
2011-12-23,26,17.48
2011-12-30,32,17.47
2012-01-06,34,17.54
2012-01-13,36,17.52
2012-01-20,32,18.58
2012-01-27,34,18.36
2012-02-03,41,18.52
2012-02-10,33,17.87
2012-02-17,43,19.19
2012-02-24,33,18.92
2012-03-02,34,18.65
2012-03-09,34,18.57
2012-03-16,35,18.95
2012-03-23,36,19.09
2012-03-30,41,19.36
2012-04-13,43,23.52
2012-04-20,39,22
2012-04-27,43,21.57
2012-05-04,37,20.57
2012-05-11,44,20.19
2012-05-18,47,16.95
2012-05-25,37,16.59
2012-06-01,38,15.67
2012-06-08,40,15.89
2012-06-15,34,15.79
2012-06-22,40,15.5
2012-06-29,35,16.21
2012-07-06,39,16.47
2012-07-13,42,15.19
2012-07-20,40,15.73
2012-07-27,46,16.17
2012-08-03,33,14.89
2012-08-10,40,16.28
2012-08-17,36,15.96
2012-08-24,37,15.56
2012-08-31,41,15.45
2012-09-07,34,15.99
2012-09-14,47,16.29
2012-09-21,41,16.14
2012-09-28,36,15.95
2012-10-05,42,17.39
2012-10-12,36,17.11
2012-10-19,40,16.48
2012-10-26,43,15.48
2012-11-02,39,15.2
2012-11-09,39,14.28
2012-11-16,34,14.1
2012-11-23,38,14.26
2012-11-30,39,13.95
2012-12-07,34,14.62
2012-12-14,32,14.07
2012-12-21,28,14.29
2012-12-28,20,13.98
2013-01-04,29,16.09
2013-01-11,32,15.22
2013-01-18,34,15.97
2013-01-25,31,16.68
2013-02-01,29,17.15
2013-02-08,31,16.85
2013-02-15,36,20.57
2013-02-22,30,19.96
2013-03-01,37,19.73
2013-03-08,34,19.76
2013-03-15,28,20.1
2013-03-22,30,20.13
2013-04-05,34,20.26
2013-04-12,41,21.54
2013-04-19,31,21.99
2013-04-26,34,22.05
2013-05-03,34,23.24
2013-05-10,28,23.39
2013-05-17,31,24.02
2013-05-24,29,23.59
2013-05-31,28,23.57
2013-06-07,32,23.7
2013-06-14,31,22.86
2013-06-21,28,20.8
2013-06-28,31,21.03
2013-07-05,31,21
2013-07-12,38,22.54
2013-07-19,35,23.32
2013-07-26,32,23.15
2013-08-02,37,22.2
2013-08-09,30,21.98
2013-08-16,29,20.63
2013-08-23,29,20.33
2013-08-30,26,19.77
2013-09-06,31,19.82
2013-09-13,29,20.75
2013-09-20,22,21.42
2013-09-27,29,20.73
2013-10-04,27,20.21
2013-10-11,25,20.82
2013-10-18,31,21.44
2013-10-25,32,21.99
2013-11-01,28,18.27
2013-11-08,25,17.46
2013-11-15,29,17.32
2013-11-22,27,17.48
2013-11-29,27,17.83
2013-12-06,29,17.67
2013-12-13,30,16.82
2013-12-20,25,17.31
2013-12-27,20,17.32
2014-01-03,23,17.06
2014-01-10,27,16.8
2014-01-17,32,16.31
2014-01-24,27,15.5
2014-01-31,28,14.89
2014-02-07,27,14.8
2014-02-14,31,14.55
2014-02-21,28,15.16
2014-02-28,28,15.47
2014-03-07,34,15.17
2014-03-14,28,14.76
2014-03-21,31,14.68
2014-03-28,25,14.36
2014-04-04,30,15.07
2014-04-11,28,14.41
2014-04-25,28,14.84
