"Date","Salesforce.com","Price"
2007-11-30,47,56.73
2007-12-07,43,57.84
2007-12-14,52,59.55
2007-12-21,45,63.75
2007-12-28,24,64.4
2008-01-04,33,58.86
2008-01-11,50,54.47
2008-01-18,42,51.84
2008-01-25,47,52.94
2008-02-01,42,51.72
2008-02-08,48,50.87
2008-02-15,51,53.84
2008-02-22,47,52.34
2008-02-29,52,59.72
2008-03-07,53,56.66
2008-03-14,48,57.85
2008-03-28,48,56.85
2008-04-04,49,65.12
2008-04-11,43,61.09
2008-04-18,61,63.9
2008-04-25,60,68.09
2008-05-02,48,67.3
2008-05-09,45,66.7
2008-05-16,49,68.7
2008-05-23,47,67.02
2008-05-30,45,72.31
2008-06-06,44,71.02
2008-06-13,46,72.79
2008-06-20,41,73.1
2008-06-27,55,68.62
2008-07-11,46,63.28
2008-07-18,45,70.74
2008-07-25,48,63.75
2008-08-01,46,64.29
2008-08-08,41,69.59
2008-08-15,45,66.31
2008-08-22,40,55.97
2008-08-29,41,56.02
2008-09-05,39,54.45
2008-09-12,43,57.2
2008-09-19,34,55.81
2008-09-26,41,50.65
2008-10-03,48,41.57
2008-10-10,46,32.56
2008-10-17,48,31.59
2008-10-24,45,26.68
2008-10-31,47,30.96
2008-11-07,48,28.56
2008-11-14,47,26.4
2008-11-21,47,22.32
2008-11-28,33,28.62
2008-12-05,47,31.16
2008-12-12,44,31.95
2008-12-19,36,32.3
2008-12-26,27,31.42
2009-01-02,27,34.02
2009-01-09,56,31.53
2009-01-16,44,28.13
2009-01-23,47,27.09
2009-01-30,54,26.61
2009-02-06,50,29.04
2009-02-13,48,26.86
2009-02-20,44,26.05
2009-02-27,51,28
2009-03-06,45,30.07
2009-03-13,47,32.79
2009-03-20,46,34.76
2009-03-27,45,34.08
2009-04-03,44,37.27
2009-04-17,48,38.33
2009-04-24,45,40.17
2009-05-01,45,41.41
2009-05-08,49,41.04
2009-05-15,50,40.2
2009-05-22,44,36.15
2009-05-29,50,37.95
2009-06-05,49,39.13
2009-06-12,47,41.6
2009-06-19,58,39.91
2009-06-26,44,38.91
2009-07-10,44,37.26
2009-07-17,56,40.84
2009-07-24,47,45.13
2009-07-31,48,43.34
2009-08-07,54,46.73
2009-08-14,52,47.12
2009-08-21,46,53.67
2009-08-28,55,52.25
2009-09-04,49,52.8
2009-09-11,46,57.92
2009-09-18,55,58.17
2009-09-25,55,55.06
2009-10-02,50,54.51
2009-10-09,55,60.97
2009-10-16,47,62.36
2009-10-23,49,63.12
2009-10-30,54,56.75
2009-11-06,49,61.01
2009-11-13,54,66.13
2009-11-20,60,62.56
2009-11-27,50,63.25
2009-12-04,50,65.95
2009-12-11,49,63.26
2009-12-18,55,67.88
2010-01-08,57,74.15
2010-01-15,61,68.63
2010-01-22,62,64.54
2010-01-29,63,63.55
2010-02-05,53,62.08
2010-02-12,59,65.09
2010-02-19,58,68.92
2010-02-26,52,67.95
2010-03-05,49,72.28
2010-03-12,58,75.71
2010-03-19,52,76.02
2010-03-26,48,74.95
2010-04-09,46,79.77
2010-04-16,54,83.48
2010-04-23,60,88.16
2010-04-30,50,85.6
2010-05-07,48,77.52
2010-05-14,54,84.72
2010-05-21,53,83.24
2010-05-28,56,86.53
2010-06-04,48,89.64
2010-06-11,53,96.64
2010-06-18,57,95.72
2010-06-25,57,91.62
2010-07-02,47,87.11
2010-07-09,42,91.78
2010-07-16,47,92.05
2010-07-23,49,99.77
2010-07-30,49,98.95
2010-08-06,49,102.33
2010-08-13,43,97.24
2010-08-20,56,112.75
2010-08-27,49,111.48
2010-09-03,49,119.63
2010-09-10,45,117.42
2010-09-17,50,116.74
2010-09-24,45,119.34
2010-10-01,47,112
2010-10-08,53,105.87
2010-10-15,48,108.38
2010-10-22,53,107.94
2010-10-29,46,116.07
2010-11-05,47,113.17
2010-11-12,54,115.01
2010-11-19,58,136.74
2010-11-26,41,145.83
2010-12-03,49,142.81
2010-12-10,62,148.61
2010-12-17,53,136.5
2010-12-31,30,132
2011-01-07,53,142.22
2011-01-14,53,146.47
2011-01-21,49,132.24
2011-01-28,59,131.61
2011-02-04,50,137.95
2011-02-11,55,141.51
2011-02-18,49,143.08
2011-02-25,67,138.83
2011-03-04,56,129.97
2011-03-11,50,127.87
2011-03-18,48,120.01
2011-03-25,46,127.45
2011-04-01,48,134.12
2011-04-08,50,134.65
2011-04-15,48,133.73
2011-04-29,50,138.6
2011-05-06,47,132.32
2011-05-13,49,134.91
2011-05-20,55,146.61
2011-05-27,48,151.3
2011-06-03,46,144.99
2011-06-10,50,140.3
2011-06-17,51,139.53
2011-06-24,49,143.04
2011-07-01,45,149.39
2011-07-08,42,156.67
2011-07-15,50,154.4
2011-07-22,47,150.41
2011-07-29,48,144.71
2011-08-05,50,135.69
2011-08-12,43,134.08
2011-08-19,46,111
2011-08-26,51,117.5
2011-09-02,48,123.61
2011-09-09,40,123.23
2011-09-16,51,136.56
2011-09-23,49,120.3
2011-09-30,47,114.28
2011-10-07,49,120.96
2011-10-14,49,131.8
2011-10-21,47,129.29
2011-10-28,49,139.14
2011-11-04,45,131.33
2011-11-11,46,129.87
2011-11-18,49,113.43
2011-11-25,35,104.93
2011-12-02,50,119.64
2011-12-09,42,123.88
2011-12-16,48,107.06
2011-12-23,40,98.02
2011-12-30,26,101.46
2012-01-06,40,101.06
2012-01-13,49,103.9
2012-01-20,47,114.19
2012-01-27,47,116.6
2012-02-03,49,124.1
2012-02-10,48,128.44
2012-02-17,48,129.17
2012-02-24,47,143.64
2012-03-02,48,143.79
2012-03-09,47,147.43
2012-03-16,47,151.39
2012-03-23,47,153.9
2012-03-30,50,154.51
2012-04-13,44,159.37
2012-04-20,43,156.9
2012-04-27,43,156.66
2012-05-04,44,152.59
2012-05-11,43,137.78
2012-05-18,45,145.58
2012-05-25,45,147
2012-06-01,42,130.99
2012-06-08,45,136.49
2012-06-15,44,134.56
2012-06-22,44,137.11
2012-06-29,45,138.26
2012-07-06,35,135.75
2012-07-13,42,130.55
2012-07-20,45,135.16
2012-07-27,43,131.49
2012-08-03,41,128.27
2012-08-10,43,139.84
2012-08-17,46,147.23
2012-08-24,48,148.54
2012-08-31,45,145.18
2012-09-07,40,149.57
2012-09-14,46,159.43
2012-09-21,50,155.2
2012-09-28,52,152.69
2012-10-05,43,154.73
2012-10-12,46,153.29
2012-10-19,44,149.01
2012-10-26,44,146.65
2012-11-02,36,146.6
2012-11-09,42,141.14
2012-11-16,38,144.3
2012-11-23,34,159.45
2012-11-30,42,157.67
2012-12-07,40,156.7
2012-12-14,38,166.81
2012-12-21,36,168.95
2012-12-28,19,164.18
2013-01-04,26,169.61
2013-01-11,42,173.35
2013-01-18,40,170.02
2013-01-25,42,173.86
2013-02-01,42,175.06
2013-02-08,43,169.95
2013-02-15,39,175.03
2013-02-22,37,170.56
2013-03-01,42,182
2013-03-08,40,185.85
2013-03-15,40,176.5
2013-03-22,40,176.06
2013-04-05,35,165.42
2013-04-12,39,169.52
2013-04-19,40,40.88
2013-04-26,40,40.71
2013-05-03,39,42.24
2013-05-10,38,44.17
2013-05-17,38,46.79
2013-05-24,36,43.25
2013-05-31,33,42.33
2013-06-07,41,39.61
2013-06-14,39,37.56
2013-06-21,40,38.3
2013-06-28,40,38.18
2013-07-05,30,38.94
2013-07-12,37,42.43
2013-07-19,36,42.5
2013-07-26,40,43.22
2013-08-02,36,45.52
2013-08-09,36,45.21
2013-08-16,39,43.83
2013-08-23,36,43.59
2013-08-30,37,49.13
2013-09-06,34,48.47
2013-09-13,36,49.64
2013-09-20,34,52.76
2013-09-27,33,52.43
2013-10-04,34,52.83
2013-10-11,34,51.07
2013-10-18,35,54.1
2013-10-25,36,54.56
2013-11-01,33,53.96
2013-11-08,35,55.49
2013-11-15,33,57.31
2013-11-22,39,54.69
2013-11-29,27,52.09
2013-12-06,35,53.88
2013-12-13,34,51.13
2013-12-20,32,53.72
2013-12-27,16,54.45
2014-01-03,20,55.12
2014-01-10,34,56.95
2014-01-17,36,59.86
2014-01-24,33,58.4
2014-01-31,36,60.53
2014-02-07,33,61.55
2014-02-14,36,62.8
2014-02-21,35,63.59
2014-02-28,37,62.37
2014-03-07,36,60.74
2014-03-14,35,58.16
2014-03-21,33,57.03
2014-03-28,32,55.75
2014-04-04,35,54.41
2014-04-11,35,52.87
2014-04-25,30,52.8
