"Date","TEL","Price"
2009-06-26,86,18.35
2009-07-10,90,16.68
2009-07-17,90,18.77
2009-07-24,86,20.5
2009-07-31,90,21.47
2009-08-07,94,22.26
2009-08-14,87,22.74
2009-08-21,87,23.55
2009-08-28,86,23.42
2009-09-04,88,22.93
2009-09-11,89,23.79
2009-09-18,91,23.8
2009-09-25,81,22.56
2009-10-02,86,21.12
2009-10-09,85,22.61
2009-10-16,82,23.64
2009-10-23,84,23.26
2009-10-30,83,21.25
2009-11-06,83,22.77
2009-11-13,80,24.12
2009-11-20,82,23.84
2009-11-27,82,23.46
2009-12-04,80,23.8
2009-12-11,82,23.92
2009-12-18,88,23.26
2010-01-08,85,25
2010-01-15,88,25.24
2010-01-22,85,24.98
2010-01-29,82,24.88
2010-02-05,85,24.6
2010-02-12,85,25.3
2010-02-19,82,26.4
2010-02-26,82,25.63
2010-03-05,83,25.79
2010-03-12,84,26.64
2010-03-19,82,27.5
2010-03-26,82,27.68
2010-04-09,82,29.05
2010-04-16,82,28.49
2010-04-23,81,29.57
2010-04-30,82,32.12
2010-05-07,81,27.98
2010-05-14,81,28.99
2010-05-21,83,27.93
2010-05-28,81,28.82
2010-06-04,83,28.13
2010-06-11,84,28.83
2010-06-18,85,28.82
2010-06-25,85,27.55
2010-07-02,85,24.58
2010-07-09,88,25.08
2010-07-16,89,25.37
2010-07-23,90,26.04
2010-07-30,89,27
2010-08-06,90,28.07
2010-08-13,88,26.73
2010-08-20,91,26.23
2010-08-27,91,24.94
2010-09-03,87,26.46
2010-09-10,85,26.35
2010-09-17,90,27.34
2010-09-24,88,29.26
2010-10-01,94,29.83
2010-10-08,88,29.95
2010-10-15,86,30.79
2010-10-22,91,31.4
2010-10-29,85,31.68
2010-11-05,86,33.1
2010-11-12,86,31.87
2010-11-19,79,31.97
2010-11-26,88,31.37
2010-12-03,85,33.05
2010-12-10,90,33.55
2010-12-17,90,35.34
2010-12-31,84,35.4
2011-01-07,88,35.23
2011-01-14,89,36.58
2011-01-21,86,36.45
2011-01-28,87,35.51
2011-02-04,85,36.89
2011-02-11,93,38.51
2011-02-18,88,37.72
2011-02-25,89,35.69
2011-03-04,87,36.78
2011-03-11,83,34.65
2011-03-18,86,33.19
2011-03-25,85,34.13
2011-04-01,87,35.02
2011-04-08,90,33.92
2011-04-15,89,35.61
2011-04-29,85,35.85
2011-05-06,87,37.03
2011-05-13,89,36.69
2011-05-20,86,37.09
2011-05-27,88,36.56
2011-06-03,86,36.11
2011-06-10,86,35
2011-06-17,87,33.83
2011-06-24,85,34.67
2011-07-01,89,37.9
2011-07-08,94,37.73
2011-07-15,90,35.2
2011-07-22,88,36.41
2011-07-29,89,34.43
2011-08-05,87,30.49
2011-08-12,87,30.67
2011-08-19,85,28.09
2011-08-26,89,29.66
2011-09-02,81,29.31
2011-09-09,89,28.09
2011-09-16,100,29.48
2011-09-23,87,27.93
2011-09-30,85,28.14
2011-10-07,84,29.5
2011-10-14,81,34.25
2011-10-21,87,33.87
2011-10-28,85,36.34
2011-11-04,80,35.11
2011-11-11,81,34.64
2011-11-18,84,32.9
2011-11-25,86,30.11
2011-12-02,92,31.42
2011-12-09,85,33.02
2011-12-16,85,30.45
2011-12-23,89,31.29
2011-12-30,84,30.81
2012-01-06,84,32.36
2012-01-13,89,34.45
2012-01-20,87,36.03
2012-01-27,87,34.3
2012-02-03,87,35.27
2012-02-10,86,35.11
2012-02-17,88,36.01
2012-02-24,82,35.97
2012-03-02,85,36.65
2012-03-09,86,36.05
2012-03-16,83,37.23
2012-03-23,80,36.38
2012-03-30,84,36.75
2012-04-13,76,34.76
2012-04-20,83,35.06
2012-04-27,82,36.64
2012-05-04,76,34.41
2012-05-11,83,33.27
2012-05-18,78,30.67
2012-05-25,82,31.61
2012-06-01,84,30.51
2012-06-08,83,32.48
2012-06-15,82,32.55
2012-06-22,86,32.29
2012-06-29,88,31.91
2012-07-06,89,31.38
2012-07-13,88,31.58
2012-07-20,86,31.79
2012-07-27,88,33.05
2012-08-03,86,32.98
2012-08-10,84,35.25
2012-08-17,84,35.7
2012-08-24,85,35.03
2012-08-31,88,35.17
2012-09-07,90,36.16
2012-09-14,90,37.11
2012-09-21,89,35.74
2012-09-28,85,34.01
2012-10-05,84,34.2
2012-10-12,81,32.75
2012-10-19,82,32.94
2012-10-26,76,32.22
2012-11-02,74,32.37
2012-11-09,78,34.09
2012-11-16,88,34.09
2012-11-23,85,35.5
2012-11-30,77,35.19
2012-12-07,81,35.89
2012-12-14,79,36.15
2012-12-21,82,37.43
2012-12-28,71,36.34
2013-01-04,75,37.64
2013-01-11,81,37.9
2013-01-18,80,38.72
2013-01-25,77,39.47
2013-02-01,77,39.37
2013-02-08,79,40.52
2013-02-15,77,41.03
2013-02-22,81,41.01
2013-03-01,81,40.23
2013-03-08,82,42.22
2013-03-15,82,41.83
2013-03-22,80,41.82
2013-04-05,80,41.14
2013-04-12,84,41.61
2013-04-19,81,39.38
2013-04-26,80,42.43
2013-05-03,77,44.44
2013-05-10,80,44.49
2013-05-17,82,45.99
2013-05-24,78,45.28
2013-05-31,79,44.39
2013-06-07,83,45.53
2013-06-14,83,45.42
2013-06-21,83,45.61
2013-06-28,84,45.54
2013-07-05,83,46.7
2013-07-12,79,47.46
2013-07-19,85,47.77
2013-07-26,83,50.52
2013-08-02,83,51.51
2013-08-09,79,50.64
2013-08-16,79,49.4
2013-08-23,80,50.08
2013-08-30,79,49
2013-09-06,80,50.22
2013-09-13,83,53.44
2013-09-20,82,53.1
2013-09-27,83,51.96
2013-10-04,86,52.12
2013-10-11,83,51.98
2013-10-18,77,53.57
2013-10-25,82,53.6
2013-11-01,81,51.21
2013-11-08,83,52.22
2013-11-15,79,52.39
2013-11-22,80,52.99
2013-11-29,82,52.72
2013-12-06,80,53.62
2013-12-13,86,51.98
2013-12-20,85,53.74
2013-12-27,74,54.53
2014-01-03,76,54.49
2014-01-10,84,55.44
2014-01-17,83,55.94
2014-01-24,82,57.32
2014-01-31,82,56.51
2014-02-07,80,56.61
2014-02-14,83,57.24
2014-02-21,78,57.47
2014-02-28,80,58.58
2014-03-07,79,59.11
2014-03-14,82,57
2014-03-21,79,60.16
2014-03-28,79,59.51
2014-04-04,77,59.98
2014-04-11,80,58.85
2014-04-25,76,59.24
