"Date","FCX","Price"
2007-12-21,11,102.91
2007-12-28,9,104.55
2008-01-04,9,99.71
2008-01-11,15,94.12
2008-01-18,12,84.13
2008-01-25,11,84.22
2008-02-01,9,92.1
2008-02-08,11,90.87
2008-02-15,9,93.18
2008-02-22,9,99.36
2008-02-29,8,100.86
2008-03-07,9,99.88
2008-03-14,8,101.61
2008-03-28,9,96.6
2008-04-04,9,107.69
2008-04-11,10,106.21
2008-04-18,10,113.89
2008-04-25,14,116.98
2008-05-02,14,110.23
2008-05-09,11,114.22
2008-05-16,12,124.18
2008-05-23,21,117.19
2008-05-30,13,115.71
2008-06-06,13,115.77
2008-06-13,15,123.3
2008-06-20,100,117.03
2008-06-27,28,116.31
2008-07-11,16,107.74
2008-07-18,12,103.24
2008-07-25,17,96.26
2008-08-01,15,91.31
2008-08-08,19,85.52
2008-08-15,12,84.39
2008-08-22,13,90.6
2008-08-29,10,89.32
2008-09-05,10,73.91
2008-09-12,11,73.88
2008-09-19,9,73.52
2008-09-26,9,63.82
2008-10-03,11,44.86
2008-10-10,15,36.35
2008-10-17,13,32.93
2008-10-24,12,24.86
2008-10-31,10,29.06
2008-11-07,11,27.07
2008-11-14,11,24.34
2008-11-21,12,19.33
2008-11-28,11,23.99
2008-12-05,15,16.8
2008-12-12,15,22.28
2008-12-19,21,23.33
2008-12-26,8,22.58
2009-01-02,10,26.74
2009-01-09,12,28.75
2009-01-16,10,24.4
2009-01-23,9,22.81
2009-01-30,9,25.14
2009-02-06,10,29.81
2009-02-13,9,30.51
2009-02-20,10,28.78
2009-02-27,9,30.42
2009-03-06,9,33.88
2009-03-13,11,37.04
2009-03-20,10,39
2009-03-27,12,42.12
2009-04-03,11,42.67
2009-04-17,10,43.4
2009-04-24,10,40.93
2009-05-01,9,44.48
2009-05-08,8,51.8
2009-05-15,7,45.17
2009-05-22,8,48.34
2009-05-29,8,54.43
2009-06-05,8,57.16
2009-06-12,6,58.51
2009-06-19,8,50.93
2009-06-26,7,50.55
2009-07-10,7,46.64
2009-07-17,7,55.5
2009-07-24,7,59.82
2009-07-31,7,60.3
2009-08-07,8,63.41
2009-08-14,7,63.65
2009-08-21,7,65.06
2009-08-28,6,65.48
2009-09-04,7,66
2009-09-11,7,70.37
2009-09-18,6,70.14
2009-09-25,6,66.69
2009-10-02,7,65.86
2009-10-09,5,74.34
2009-10-16,6,75.73
2009-10-23,8,81.35
2009-10-30,7,73.36
2009-11-06,6,79.56
2009-11-13,6,81.57
2009-11-20,6,84.57
2009-11-27,5,84.14
2009-12-04,5,79.87
2009-12-11,6,76.81
2009-12-18,6,76.54
2010-01-08,6,88.1
2010-01-15,6,84.3
2010-01-22,6,74.23
2010-01-29,7,66.69
2010-02-05,6,70.23
2010-02-12,4,73.68
2010-02-19,5,77.16
2010-02-26,6,75.16
2010-03-05,5,80.71
2010-03-12,5,80.53
2010-03-19,5,78.51
2010-03-26,4,79.17
2010-04-09,4,85.67
2010-04-16,5,81.18
2010-04-23,6,79.56
2010-04-30,5,75.53
2010-05-07,6,67.59
2010-05-14,5,69.72
2010-05-21,5,67.01
2010-05-28,6,70.05
2010-06-04,5,62.81
2010-06-11,4,64.93
2010-06-18,4,65.9
2010-06-25,5,66.57
2010-07-02,4,58.54
2010-07-09,5,65.98
2010-07-16,4,60.08
2010-07-23,5,71.08
2010-07-30,5,71.54
2010-08-06,4,74.61
2010-08-13,3,70.07
2010-08-20,4,71.37
2010-08-27,4,71.2
2010-09-03,4,78.55
2010-09-10,4,79.31
2010-09-17,5,81.72
2010-09-24,5,86.61
2010-10-01,5,89.13
2010-10-08,5,95.51
2010-10-15,5,98.05
2010-10-22,5,94.05
2010-10-29,4,94.79
2010-11-05,6,104.84
2010-11-12,5,103.92
2010-11-19,5,101.8
2010-11-26,4,97.92
2010-12-03,5,108.95
2010-12-10,5,112.87
2010-12-17,5,113.71
2010-12-31,4,120.09
2011-01-07,5,117.47
2011-01-14,5,118.35
2011-01-21,5,108.4
2011-01-28,6,106.17
2011-02-04,7,56.76
2011-02-11,6,53.52
2011-02-18,6,52.95
2011-02-25,5,52.45
2011-03-04,5,51.71
2011-03-11,5,49.48
2011-03-18,6,51.78
2011-03-25,5,54.55
2011-04-01,5,55.08
2011-04-08,5,57.23
2011-04-15,4,51.17
2011-04-29,5,55.02
2011-05-06,6,50.17
2011-05-13,6,48.27
2011-05-20,5,48.38
2011-05-27,5,51.73
2011-06-03,5,49.93
2011-06-10,4,48.93
2011-06-17,4,47.93
2011-06-24,5,48.43
2011-07-01,5,53.5
2011-07-08,4,55.12
2011-07-15,4,55.34
2011-07-22,4,55.67
2011-07-29,4,52.96
2011-08-05,5,45.99
2011-08-12,5,45.4
2011-08-19,5,41.94
2011-08-26,4,44.53
2011-09-02,4,44.94
2011-09-09,4,41.99
2011-09-16,4,41.59
2011-09-23,7,32.37
2011-09-30,6,30.45
2011-10-07,5,34.01
2011-10-14,4,36.77
2011-10-21,5,36.58
2011-10-28,5,42.8
2011-11-04,4,40.32
2011-11-11,4,39.86
2011-11-18,4,36.94
2011-11-25,4,33.82
2011-12-02,5,39.3
2011-12-09,4,39.73
2011-12-16,4,36.99
2011-12-23,4,38.32
2011-12-30,3,36.79
2012-01-06,3,38.87
2012-01-13,4,42
2012-01-20,4,43.1
2012-01-27,4,46.13
2012-02-03,4,46.48
2012-02-10,4,44.94
2012-02-17,4,43.04
2012-02-24,4,43.91
2012-03-02,5,42.03
2012-03-09,10,38.78
2012-03-16,4,38.56
2012-03-23,5,38.48
2012-03-30,5,38.04
2012-04-13,4,36.94
2012-04-20,4,37.57
2012-04-27,4,38.13
2012-05-04,4,36.4
2012-05-11,4,34.74
2012-05-18,3,31.81
2012-05-25,5,32.41
2012-06-01,4,32.07
2012-06-08,4,33.83
2012-06-15,4,34.34
2012-06-22,4,32.3
2012-06-29,4,34.07
2012-07-06,3,35.01
2012-07-13,4,33.23
2012-07-20,4,33.77
2012-07-27,4,33.47
2012-08-03,3,33.5
2012-08-10,3,36.31
2012-08-17,4,35.34
2012-08-24,3,36.13
2012-08-31,4,36.11
2012-09-07,3,39.43
2012-09-14,4,42.64
2012-09-21,4,40.65
2012-09-28,4,39.58
2012-10-05,4,40.51
2012-10-12,4,40.14
2012-10-19,4,41.18
2012-10-26,4,39.07
2012-11-02,3,39.26
2012-11-09,4,38.35
2012-11-16,3,36.79
2012-11-23,3,38.88
2012-11-30,3,39.01
2012-12-07,8,31.7
2012-12-14,5,33.78
2012-12-21,5,33.58
2012-12-28,3,33.14
2013-01-04,4,35.49
2013-01-11,3,35
2013-01-18,4,33.64
2013-01-25,4,34.87
2013-02-01,3,35.73
2013-02-08,4,35.64
2013-02-15,4,35.04
2013-02-22,4,32.45
2013-03-01,4,31.49
2013-03-08,4,33.28
2013-03-15,4,33.8
2013-03-22,4,33
2013-04-05,4,32.1
2013-04-12,4,31.92
2013-04-19,6,28.24
2013-04-26,4,29.42
2013-05-03,4,31.13
2013-05-10,4,32.55
2013-05-17,3,32.68
2013-05-24,4,30.4
2013-05-31,4,31.05
2013-06-07,4,30.92
2013-06-14,4,29.57
2013-06-21,4,28.16
2013-06-28,5,27.61
2013-07-05,4,27.34
2013-07-12,4,28.05
2013-07-19,4,28.56
2013-07-26,5,28.93
2013-08-02,4,29.2
2013-08-09,4,31.61
2013-08-16,4,31.54
2013-08-23,3,31.79
2013-08-30,4,30.22
2013-09-06,3,31.18
2013-09-13,4,33.04
2013-09-20,3,33.87
2013-09-27,3,33.42
2013-10-04,3,33.78
2013-10-11,3,33.44
2013-10-18,3,34.89
2013-10-25,4,37.44
2013-11-01,4,36.78
2013-11-08,4,36.58
2013-11-15,4,36.83
2013-11-22,4,36.1
2013-11-29,3,34.69
2013-12-06,3,34.25
2013-12-13,3,34.34
2013-12-20,3,35.69
2013-12-27,3,37.5
2014-01-03,3,37.32
2014-01-10,3,36.17
2014-01-17,3,36.19
2014-01-24,3,32.77
2014-01-31,3,32.41
2014-02-07,3,32.35
2014-02-14,3,33.75
2014-02-21,3,33.36
2014-02-28,3,32.62
2014-03-07,3,32.19
2014-03-14,4,31.06
2014-03-21,3,32.31
2014-03-28,3,32.86
2014-04-04,3,33.32
2014-04-11,3,32.56
2014-04-25,3,34.01
