"Date","sell.DE","Price"
2006-05-12,65,89.63
2006-05-19,56,84.16
2006-05-26,54,87.08
2006-06-02,42,87.75
2006-06-09,44,79.82
2006-06-16,36,80.81
2006-06-23,39,79.94
2006-06-30,60,83.49
2006-07-07,37,80.53
2006-07-14,38,73.98
2006-07-21,70,70.08
2006-07-28,56,73.92
2006-08-04,43,73.12
2006-08-11,56,69.07
2006-08-18,68,72.73
2006-08-25,51,73.89
2006-09-01,37,79.09
2006-09-08,32,81.3
2006-09-15,58,80.87
2006-09-22,54,77.63
2006-09-29,63,83.91
2006-10-06,52,85.29
2006-10-13,59,88.9
2006-10-20,47,84.63
2006-10-27,59,87
2006-11-03,45,85.65
2006-11-10,50,87.11
2006-11-17,57,90.36
2006-11-24,51,97.02
2006-12-01,33,94.48
2006-12-08,50,97.07
2006-12-15,56,95.58
2006-12-22,55,94.21
2006-12-29,54,95.07
2007-01-05,54,90.89
2007-01-12,59,99.33
2007-01-19,52,98.7
2007-01-26,47,98.29
2007-02-02,44,104.33
2007-02-09,62,102.79
2007-02-16,61,113.93
2007-02-23,41,113.33
2007-03-02,51,105.17
2007-03-09,58,113
2007-03-16,52,110.04
2007-03-23,51,112.18
2007-03-30,48,108.64
2007-04-13,52,108.8
2007-04-20,48,111.56
2007-04-27,41,112.23
2007-05-04,40,113.84
2007-05-11,63,120
2007-05-18,66,116.51
2007-05-25,62,114.44
2007-06-01,62,119.76
2007-06-08,52,116.03
2007-06-15,58,121.75
2007-06-22,42,123.35
2007-06-29,75,120.74
2007-07-06,76,123.71
2007-07-13,48,131.08
2007-07-20,60,129.07
2007-07-27,63,118.94
2007-08-03,55,117.46
2007-08-10,50,117.3
2007-08-17,71,124.61
2007-08-24,70,130.26
2007-08-31,54,136.06
2007-09-07,60,135.86
2007-09-14,54,137.93
2007-09-21,67,147.28
2007-09-28,67,148.42
2007-10-05,69,147.27
2007-10-12,48,154.22
2007-10-19,70,145.14
2007-10-26,69,145.44
2007-11-02,59,152.73
2007-11-09,59,153.03
2007-11-16,58,145.06
2007-11-23,58,156.64
2007-11-30,80,171.8
2007-12-07,58,88.11
2007-12-14,54,87.16
2007-12-21,67,89.83
2007-12-28,54,92.28
2008-01-04,57,89.98
2008-01-11,80,89.26
2008-01-18,64,76.4
2008-01-25,70,82.88
2008-02-01,70,88.91
2008-02-08,82,82.46
2008-02-15,60,85
2008-02-22,43,87.17
2008-02-29,62,85.21
2008-03-07,49,83.22
2008-03-14,66,82.88
2008-03-28,48,79.94
2008-04-04,77,85.74
2008-04-11,52,86.31
2008-04-18,74,92.68
2008-04-25,82,90
2008-05-02,64,85.24
2008-05-09,65,86.31
2008-05-16,59,83.53
2008-05-23,61,80.42
2008-05-30,60,81.34
2008-06-06,66,81.31
2008-06-13,57,77.92
2008-06-20,73,76.37
2008-06-27,52,71.38
2008-07-11,70,64.99
2008-07-18,66,67.33
2008-07-25,48,69.18
2008-08-01,61,70.22
2008-08-08,75,69.06
2008-08-15,66,66.65
2008-08-22,86,67.54
2008-08-29,61,70.57
2008-09-05,74,63.23
2008-09-12,51,63.24
2008-09-19,66,63.38
2008-09-26,55,55.33
2008-10-03,57,39.24
2008-10-10,71,38.12
2008-10-17,80,39.42
2008-10-24,68,30.36
2008-10-31,51,38.56
2008-11-07,54,37.21
2008-11-14,51,33.79
2008-11-21,63,30.97
2008-11-28,59,34.81
2008-12-05,61,31.99
2008-12-12,67,36.86
2008-12-19,72,39.38
2008-12-26,44,38.47
2009-01-02,51,41.51
2009-01-09,47,45.99
2009-01-16,62,39.88
2009-01-23,58,36.62
2009-01-30,64,34.74
2009-02-06,59,41.81
2009-02-13,61,36.11
2009-02-20,55,28.89
2009-02-27,69,27.49
2009-03-06,72,25.51
2009-03-13,52,29.65
2009-03-20,68,30.72
2009-03-27,61,35.07
2009-04-03,64,37.3
2009-04-17,72,39.44
2009-04-24,68,40.52
2009-05-01,59,42.88
2009-05-08,70,44.91
2009-05-15,57,41.91
2009-05-22,57,41.9
2009-05-29,64,43.47
2009-06-05,66,46.47
2009-06-12,56,44.77
2009-06-19,54,40.06
2009-06-26,50,41.78
2009-07-10,67,35.31
2009-07-17,83,38.38
2009-07-24,58,42.36
2009-07-31,68,43.74
2009-08-07,67,46.31
2009-08-14,74,44.53
2009-08-21,55,44.8
2009-08-28,90,44.43
2009-09-04,60,42.18
2009-09-11,64,43
2009-09-18,67,45.07
2009-09-25,46,43.94
2009-10-02,68,41.13
2009-10-09,81,42.97
2009-10-16,82,44.04
2009-10-23,52,48.08
2009-10-30,61,45.55
2009-11-06,70,47.16
2009-11-13,64,47.58
2009-11-20,65,50.83
2009-11-27,64,52.36
2009-12-04,68,54.24
2009-12-11,69,52.44
2009-12-18,61,54.83
2010-01-08,82,57.63
2010-01-15,78,56.33
2010-01-22,68,53.02
2010-01-29,56,49.95
2010-02-05,63,49.82
2010-02-12,75,53.11
2010-02-19,58,57.28
2010-02-26,69,57.3
2010-03-05,63,59.54
2010-03-12,63,58.64
2010-03-19,68,58.99
2010-03-26,59,60.56
2010-04-09,58,61.68
2010-04-16,65,60.51
2010-04-23,64,61.79
2010-04-30,68,59.82
2010-05-07,53,56.38
2010-05-14,64,58.36
2010-05-21,61,58.73
2010-05-28,56,57.68
2010-06-04,64,56.88
2010-06-11,69,58.86
2010-06-18,44,59.26
2010-06-25,61,59.74
2010-07-02,65,54.5
2010-07-09,49,58.01
2010-07-16,73,59.73
2010-07-23,58,64.5
2010-07-30,58,66.68
2010-08-06,58,68.04
2010-08-13,57,64.85
2010-08-20,65,65.13
2010-08-27,62,64.63
2010-09-03,48,68.63
2010-09-10,58,67.81
2010-09-17,53,72.45
2010-09-24,61,72.64
2010-10-01,63,68.57
2010-10-08,58,75.35
2010-10-15,61,76.16
2010-10-22,64,77.25
2010-10-29,52,76.8
2010-11-05,63,79.1
2010-11-12,60,76.86
2010-11-19,60,77.98
2010-11-26,62,76
2010-12-03,46,78.31
2010-12-10,59,82.14
2010-12-17,44,81.55
2010-12-31,70,83.05
2011-01-07,59,84.34
2011-01-14,59,89.52
2011-01-21,51,89.24
2011-01-28,59,88.91
2011-02-04,63,93.21
2011-02-11,58,95.42
2011-02-18,59,95
2011-02-25,56,90.49
2011-03-04,56,92.35
2011-03-11,51,87.79
2011-03-18,59,90.1
2011-03-25,71,94.24
2011-04-01,54,98.6
2011-04-08,60,95.93
2011-04-15,58,93.76
2011-04-29,55,97.5
2011-05-06,67,91.53
2011-05-13,56,87.72
2011-05-20,60,84.75
2011-05-27,62,85.74
2011-06-03,62,82.2
2011-06-10,56,81.8
2011-06-17,45,78.53
2011-06-24,53,79.98
2011-07-01,58,84.54
2011-07-08,51,86.11
2011-07-15,59,81.69
2011-07-22,56,81.24
2011-07-29,63,78.51
2011-08-05,57,72.66
2011-08-12,71,74.97
2011-08-19,71,69.01
2011-08-26,57,76.03
2011-09-02,64,78.03
2011-09-09,58,75.26
2011-09-16,49,78.02
2011-09-23,56,67.47
2011-09-30,53,64.57
2011-10-07,63,65.7
2011-10-14,64,71.39
2011-10-21,63,72.23
2011-10-28,59,78.67
2011-11-04,57,75.39
2011-11-11,55,75.79
2011-11-18,58,74.27
2011-11-25,69,73.64
2011-12-02,54,77.69
2011-12-09,53,78.34
2011-12-16,64,73.65
2011-12-23,51,78.69
2011-12-30,51,77.35
2012-01-06,61,82.3
2012-01-13,60,84.66
2012-01-20,53,87.04
2012-01-27,58,87.99
2012-02-03,66,88.4
2012-02-10,52,87.55
2012-02-17,63,83.87
2012-02-24,61,83.27
2012-03-02,65,82.28
2012-03-09,54,80.17
2012-03-16,57,83.22
2012-03-23,58,80.84
2012-03-30,56,80.9
2012-04-13,69,79.47
2012-04-20,57,80.91
2012-04-27,53,82.89
2012-05-04,68,80.69
2012-05-11,68,79.07
2012-05-18,58,73.19
2012-05-25,63,75.14
2012-06-01,54,71.52
2012-06-08,53,74.31
2012-06-15,65,75.35
2012-06-22,66,75.53
2012-06-29,56,80.87
2012-07-06,61,80.7
2012-07-13,55,77.48
2012-07-20,58,75.88
2012-07-27,54,78.1
2012-08-03,43,77.51
2012-08-10,55,79.37
2012-08-17,49,76.94
2012-08-24,57,76.67
2012-08-31,53,75.11
2012-09-07,58,78.22
2012-09-14,58,82
2012-09-21,52,82.7
2012-09-28,52,82.47
2012-10-05,59,82.78
2012-10-12,52,82.44
2012-10-19,49,84.99
2012-10-26,59,85.47
2012-11-02,57,85.6
2012-11-09,55,84.29
2012-11-16,59,85.25
2012-11-23,58,83.97
2012-11-30,52,84.05
2012-12-07,44,85.43
2012-12-14,55,85.93
2012-12-21,61,86.19
2012-12-28,48,84.55
2013-01-04,58,88.67
2013-01-11,61,89.62
2013-01-18,52,90.96
2013-01-25,56,93.47
2013-02-01,48,94.65
2013-02-08,61,92.81
2013-02-15,57,89.75
2013-02-22,53,87.13
2013-03-01,59,87.89
2013-03-08,55,90.88
2013-03-15,60,92.24
2013-03-22,61,87.72
2013-04-05,57,85.68
2013-04-12,44,86.14
2013-04-19,49,83.46
2013-04-26,50,85.49
2013-05-03,62,90.54
2013-05-10,57,92.3
2013-05-17,56,86.97
2013-05-24,58,86.29
2013-05-31,55,87.11
2013-06-07,50,86.81
2013-06-14,53,84.88
2013-06-21,56,82.47
2013-06-28,58,81.25
2013-07-05,55,81.44
2013-07-12,57,83.94
2013-07-19,54,84.05
2013-07-26,60,82.81
2013-08-02,58,83.4
2013-08-09,57,81.74
2013-08-16,55,84.11
2013-08-23,63,83.5
2013-08-30,57,83.64
2013-09-06,49,82.61
2013-09-13,50,82.49
2013-09-20,54,83.82
2013-09-27,50,82.37
2013-10-04,49,82.55
2013-10-11,61,82.31
2013-10-18,50,84.19
2013-10-25,52,83.55
2013-11-01,62,81.64
2013-11-08,52,81.5
2013-11-15,60,82.83
2013-11-22,51,84.77
2013-11-29,57,84.24
2013-12-06,55,85.32
2013-12-13,53,87.18
2013-12-20,57,90.08
2013-12-27,42,90.7
2014-01-03,53,90.66
2014-01-10,51,89.76
2014-01-17,58,89.35
2014-01-24,60,85.55
2014-01-31,56,85.96
2014-02-07,64,86.56
2014-02-14,58,85.84
2014-02-21,53,84.69
2014-02-28,53,85.93
2014-03-07,60,88.8
2014-03-14,57,87.2
2014-03-21,63,89.84
2014-03-28,53,88.75
2014-04-04,61,91.83
2014-04-11,61,92.01
2014-04-25,52,93.14
