"Date","ABT","Price"
2010-11-19,54,47.4
2010-11-26,65,46.8
2010-12-03,58,47.37
2010-12-10,59,47.62
2010-12-17,59,48.4
2010-12-31,60,47.91
2011-01-07,59,48.37
2011-01-14,60,46.89
2011-01-21,58,47.92
2011-01-28,54,45.49
2011-02-04,57,46.12
2011-02-11,58,45.56
2011-02-18,57,46.88
2011-02-25,53,47.64
2011-03-04,56,48.69
2011-03-11,53,48.46
2011-03-18,54,47.91
2011-03-25,54,48.03
2011-04-01,53,49.37
2011-04-08,57,50.49
2011-04-15,56,51.9
2011-04-29,56,52.04
2011-05-06,59,52.52
2011-05-13,57,53.49
2011-05-20,59,53.51
2011-05-27,59,51.55
2011-06-03,59,51.08
2011-06-10,62,50.9
2011-06-17,59,51.68
2011-06-24,58,51.75
2011-07-01,59,53.1
2011-07-08,59,53.33
2011-07-15,60,53.04
2011-07-22,56,52.95
2011-07-29,54,51.32
2011-08-05,57,50.23
2011-08-12,60,49.63
2011-08-19,56,49.08
2011-08-26,54,50.15
2011-09-02,56,51.04
2011-09-09,54,50.43
2011-09-16,54,52.17
2011-09-23,54,50.96
2011-09-30,55,51.14
2011-10-07,53,51.53
2011-10-14,50,52.73
2011-10-21,55,53.86
2011-10-28,52,54.22
2011-11-04,53,53.33
2011-11-11,55,54.53
2011-11-18,53,53.52
2011-11-25,60,52.05
2011-12-02,58,54.15
2011-12-09,52,54.57
2011-12-16,53,54.89
2011-12-23,57,56.02
2011-12-30,60,56.23
2012-01-06,59,55.86
2012-01-13,53,55.43
2012-01-20,54,55.76
2012-01-27,55,55.02
2012-02-03,56,55
2012-02-10,53,55.11
2012-02-17,51,56.36
2012-02-24,52,56.7
2012-03-02,54,57.39
2012-03-09,53,57.95
2012-03-16,50,59.42
2012-03-23,55,60.4
2012-03-30,52,61.29
2012-04-13,50,59.59
2012-04-20,52,59.88
2012-04-27,49,61.99
2012-05-04,52,62.41
2012-05-11,53,62.04
2012-05-18,52,61.57
2012-05-25,50,62.25
2012-06-01,55,60.52
2012-06-08,53,61.88
2012-06-15,51,62.5
2012-06-22,52,62.32
2012-06-29,52,64.47
2012-07-06,52,64.75
2012-07-13,48,65.45
2012-07-20,53,65.06
2012-07-27,47,66.39
2012-08-03,49,66.59
2012-08-10,48,66.11
2012-08-17,47,65.92
2012-08-24,47,65.84
2012-08-31,49,65.54
2012-09-07,48,66.69
2012-09-14,49,68.27
2012-09-21,49,69.62
2012-09-28,46,68.56
2012-10-05,47,71.61
2012-10-12,46,69.28
2012-10-19,46,66.15
2012-10-26,44,65.48
2012-11-02,46,64.96
2012-11-09,47,64.84
2012-11-16,48,62.88
2012-11-23,51,64.47
2012-11-30,48,65
2012-12-07,46,65.53
2012-12-14,48,65.35
2012-12-21,47,66.05
2012-12-28,47,64.42
2013-01-04,51,33.07
2013-01-11,49,33.37
2013-01-18,46,32.74
2013-01-25,59,32.79
2013-02-01,53,33.87
2013-02-08,47,34.41
2013-02-15,45,35.08
2013-02-22,43,34.55
2013-03-01,44,33.6
2013-03-08,48,34.68
2013-03-15,47,34.14
2013-03-22,46,33.69
2013-04-05,44,36.31
2013-04-12,46,37.13
2013-04-19,45,37.2
2013-04-26,44,36.46
2013-05-03,46,36.8
2013-05-10,47,36.17
2013-05-17,48,36.59
2013-05-24,50,37.76
2013-05-31,48,36.67
2013-06-07,46,37.51
2013-06-14,45,36.81
2013-06-21,43,35.58
2013-06-28,46,34.88
2013-07-05,48,34.92
2013-07-12,47,35.32
2013-07-19,47,35.87
2013-07-26,44,36.78
2013-08-02,46,36.75
2013-08-09,46,35.89
2013-08-16,43,34.97
2013-08-23,44,34.84
2013-08-30,45,33.33
2013-09-06,45,33.5
2013-09-13,45,34.87
2013-09-20,42,35.29
2013-09-27,42,33.14
2013-10-04,44,33.56
2013-10-11,43,33.76
2013-10-18,43,37.29
2013-10-25,45,37.25
2013-11-01,45,36.96
2013-11-08,42,38.12
2013-11-15,47,38.05
2013-11-22,46,38.25
2013-11-29,53,38.19
2013-12-06,46,37.53
2013-12-13,48,36.4
2013-12-20,47,37.84
2013-12-27,43,38.37
2014-01-03,43,38.64
2014-01-10,45,39.57
2014-01-17,46,39.4
2014-01-24,47,36.58
2014-01-31,45,36.66
2014-02-07,43,37.18
2014-02-14,44,38.81
2014-02-21,43,38.82
2014-02-28,46,39.78
2014-03-07,47,39.57
2014-03-14,45,38.97
2014-03-21,46,38.39
2014-03-28,44,38.31
2014-04-04,44,38.63
2014-04-11,44,37.02
2014-04-25,45,38.03
