"Date","Transocean","Price"
2009-04-24,13,68.2
2009-05-01,13,70.62
2009-05-08,13,75.43
2009-05-15,13,68.36
2009-05-22,11,71.79
2009-05-29,13,79.48
2009-06-05,11,82.43
2009-06-12,11,82.58
2009-06-19,13,77.01
2009-06-26,14,75.88
2009-07-10,14,69.03
2009-07-17,10,74.34
2009-07-24,11,81.97
2009-07-31,11,79.69
2009-08-07,14,75.06
2009-08-14,13,75.56
2009-08-21,12,77.53
2009-08-28,11,77.56
2009-09-04,15,76.94
2009-09-11,13,81.49
2009-09-18,12,86.45
2009-09-25,12,83.19
2009-10-02,11,81.9
2009-10-09,12,90.28
2009-10-16,11,91.08
2009-10-23,11,89.86
2009-10-30,11,83.91
2009-11-06,13,85.4
2009-11-13,10,87.31
2009-11-20,11,83.8
2009-11-27,9,84.91
2009-12-04,9,83
2009-12-11,11,80.27
2009-12-18,9,82.59
2010-01-08,13,93
2010-01-15,11,91.85
2010-01-22,9,85.72
2010-01-29,10,84.74
2010-02-05,10,83.99
2010-02-12,10,83.38
2010-02-19,11,85.12
2010-02-26,11,79.82
2010-03-05,11,84.29
2010-03-12,10,86.07
2010-03-19,11,81.84
2010-03-26,12,81.84
2010-04-09,12,85.65
2010-04-16,13,86.96
2010-04-23,100,89.89
2010-04-30,68,72.32
2010-05-07,80,68.01
2010-05-14,51,66.32
2010-05-21,32,59.24
2010-05-28,43,56.77
2010-06-04,45,50.2
2010-06-11,42,46.85
2010-06-18,34,54.61
2010-06-25,29,49.77
2010-07-02,19,47.87
2010-07-09,15,51.83
2010-07-16,17,52.08
2010-07-23,23,45.26
2010-07-30,18,46.21
2010-08-06,24,57.11
2010-08-13,12,54.15
2010-08-20,17,51
2010-08-27,14,52.03
2010-09-03,14,54.33
2010-09-10,20,58.82
2010-09-17,14,60.16
2010-09-24,14,60.06
2010-10-01,12,64.35
2010-10-08,12,62.98
2010-10-15,12,67.08
2010-10-22,11,65.24
2010-10-29,12,63.36
2010-11-05,9,63.92
2010-11-12,12,67.71
2010-11-19,14,68.33
2010-11-26,11,66.51
2010-12-03,11,70.51
2010-12-10,13,72.23
2010-12-17,13,69.34
2010-12-31,10,69.51
2011-01-07,14,75.04
2011-01-14,14,79.01
2011-01-21,12,78.43
2011-01-28,12,78.85
2011-02-04,13,79.99
2011-02-11,12,77.23
2011-02-18,12,83.4
2011-02-25,14,82.8
2011-03-04,11,84.95
2011-03-11,11,80.47
2011-03-18,11,78.44
2011-03-25,12,78.16
2011-04-01,15,78.82
2011-04-08,24,79.6
2011-04-15,14,75.58
2011-04-29,16,72.75
2011-05-06,15,67.79
2011-05-13,13,68.42
2011-05-20,13,69.51
2011-05-27,12,68.95
2011-06-03,12,66.78
2011-06-10,11,62.85
2011-06-17,14,61.27
2011-06-24,16,59.81
2011-07-01,14,64.48
2011-07-08,17,62.01
2011-07-15,12,62.98
2011-07-22,13,64.44
2011-07-29,12,61.56
2011-08-05,15,54.75
2011-08-12,13,55.61
2011-08-19,19,51.43
2011-08-26,13,53.12
2011-09-02,12,53.73
2011-09-09,12,54.21
2011-09-16,15,59.17
2011-09-23,13,51.21
2011-09-30,12,47.74
2011-10-07,12,46.49
2011-10-14,13,50.42
2011-10-21,13,54.43
2011-10-28,12,59.99
2011-11-04,14,50.12
2011-11-11,13,50.03
2011-11-18,13,47.47
2011-11-25,15,44.51
2011-12-02,16,42.76
2011-12-09,13,43.26
2011-12-16,12,39.83
2011-12-23,11,40.31
2011-12-30,10,38.39
2012-01-06,12,39.28
2012-01-13,11,40.31
2012-01-20,13,44.72
2012-01-27,14,48.13
2012-02-03,13,49.2
2012-02-10,12,50.21
2012-02-17,12,50.79
2012-02-24,14,50.73
2012-03-02,15,54.19
2012-03-09,13,53.76
2012-03-16,13,58.7
2012-03-23,14,55.87
2012-03-30,14,54.7
2012-04-13,11,48.74
2012-04-20,12,50.29
2012-04-27,12,49.83
2012-05-04,12,47.95
2012-05-11,11,45.75
2012-05-18,12,42.4
2012-05-25,11,43.14
2012-06-01,11,40.51
2012-06-08,10,42.05
2012-06-15,10,44.3
2012-06-22,11,43.21
2012-06-29,12,44.73
2012-07-06,10,44.68
2012-07-13,11,46.5
2012-07-20,12,47.81
2012-07-27,11,47.35
2012-08-03,12,48.75
2012-08-10,9,48.55
2012-08-17,11,49.44
2012-08-24,12,48.96
2012-08-31,11,49.03
2012-09-07,13,47.6
2012-09-14,16,46.58
2012-09-21,12,48.55
2012-09-28,13,44.89
2012-10-05,12,45.16
2012-10-12,11,45.49
2012-10-19,12,48.52
2012-10-26,10,46.38
2012-11-02,10,46.06
2012-11-09,10,46.27
2012-11-16,14,44.38
2012-11-23,11,46.29
2012-11-30,12,46.2
2012-12-07,13,46.13
2012-12-14,10,44.65
2012-12-21,12,45.64
2012-12-28,8,44.2
2013-01-04,16,51.82
2013-01-11,13,54.09
2013-01-18,12,55.78
2013-01-25,12,56.76
2013-02-01,11,57.98
2013-02-08,12,56.38
2013-02-15,11,56.26
2013-02-22,11,53.28
2013-03-01,12,52.15
2013-03-08,14,53.22
2013-03-15,12,53.56
2013-03-22,12,51.66
2013-04-05,12,50.34
2013-04-12,12,50.51
2013-04-19,13,48.53
2013-04-26,12,51.16
2013-05-03,12,53.24
2013-05-10,12,54.64
2013-05-17,12,54.03
2013-05-24,11,52.06
2013-05-31,11,50.23
2013-06-07,9,50.68
2013-06-14,10,49.29
2013-06-21,9,47.97
2013-06-28,10,47.95
2013-07-05,10,47.79
2013-07-12,10,49.99
2013-07-19,11,49.74
2013-07-26,11,47.69
2013-08-02,10,48.35
2013-08-09,12,47.51
2013-08-16,12,47
2013-08-23,11,46.87
2013-08-30,9,45.13
2013-09-06,10,46.47
2013-09-13,11,46.79
2013-09-20,10,45.06
2013-09-27,10,44.92
2013-10-04,9,45.45
2013-10-11,10,45.19
2013-10-18,10,45.89
2013-10-25,10,49.5
2013-11-01,10,47.56
2013-11-08,11,53.45
2013-11-15,12,54.44
2013-11-22,9,52.09
2013-11-29,10,50.38
2013-12-06,9,49.77
2013-12-13,10,48.22
2013-12-20,10,47
2013-12-27,7,48.86
2014-01-03,8,48.67
2014-01-10,10,48.53
2014-01-17,10,46.69
2014-01-24,10,44.25
2014-01-31,11,43.28
2014-02-07,10,42.33
2014-02-14,11,43.13
2014-02-21,11,43.14
2014-02-28,12,42.4
2014-03-07,10,42.07
2014-03-14,11,38.84
2014-03-21,11,40.4
2014-03-28,10,41.19
2014-04-04,10,41.61
2014-04-11,10,39.45
2014-04-25,10,42.88
