"Date","Kimberly.Clark","Price"
2010-03-05,16,60.11
2010-03-12,18,60.08
2010-03-19,14,61.43
2010-03-26,19,62.81
2010-04-09,12,61.68
2010-04-16,15,61.82
2010-04-23,15,60.93
2010-04-30,15,61.26
2010-05-07,16,61
2010-05-14,16,61.61
2010-05-21,17,61.62
2010-05-28,12,60.7
2010-06-04,13,60.18
2010-06-11,15,62.15
2010-06-18,19,62.78
2010-06-25,16,61.47
2010-07-02,15,60.49
2010-07-09,14,61.7
2010-07-16,12,62.06
2010-07-23,15,63.64
2010-07-30,10,64.12
2010-08-06,10,65.29
2010-08-13,14,64.81
2010-08-20,13,64.71
2010-08-27,15,64.46
2010-09-03,12,66.18
2010-09-10,9,66.26
2010-09-17,13,66.37
2010-09-24,13,66.05
2010-10-01,14,65.03
2010-10-08,14,66.45
2010-10-15,17,66.38
2010-10-22,18,66.56
2010-10-29,16,63.34
2010-11-05,16,63.03
2010-11-12,15,62.02
2010-11-19,12,61.84
2010-11-26,11,61.64
2010-12-03,14,62.01
2010-12-10,11,61.7
2010-12-17,11,62.74
2010-12-31,9,63.04
2011-01-07,15,62.99
2011-01-14,11,63.64
2011-01-21,14,64.28
2011-01-28,13,64.73
2011-02-04,15,65.01
2011-02-11,11,65.85
2011-02-18,14,65.66
2011-02-25,14,65.08
2011-03-04,13,64.77
2011-03-11,14,64.65
2011-03-18,16,64.29
2011-03-25,13,65.1
2011-04-01,15,65.38
2011-04-08,12,65.43
2011-04-15,14,65.59
2011-04-29,15,66.06
2011-05-06,13,66.88
2011-05-13,13,68.29
2011-05-20,13,68.18
2011-05-27,14,67.66
2011-06-03,13,66.02
2011-06-10,13,64.62
2011-06-17,12,66.22
2011-06-24,10,65.36
2011-07-01,9,66.9
2011-07-08,13,66.62
2011-07-15,12,67.1
2011-07-22,13,67.9
2011-07-29,11,65.36
2011-08-05,13,64.07
2011-08-12,13,65.14
2011-08-19,13,65.35
2011-08-26,14,67.83
2011-09-02,12,68.13
2011-09-09,13,67.23
2011-09-16,14,69.78
2011-09-23,13,69.97
2011-09-30,17,71.01
2011-10-07,14,70.96
2011-10-14,12,71.91
2011-10-21,12,73
2011-10-28,12,70.37
2011-11-04,18,69.71
2011-11-11,15,71.1
2011-11-18,14,70.1
2011-11-25,11,68.69
2011-12-02,13,70.73
2011-12-09,12,70.14
2011-12-16,11,71.28
2011-12-23,9,73.73
2011-12-30,8,73.56
2012-01-06,10,72.63
2012-01-13,11,72.7
2012-01-20,11,73.83
2012-01-27,13,71.13
2012-02-03,13,72.23
2012-02-10,11,71.56
2012-02-17,11,71.57
2012-02-24,12,71.81
2012-03-02,15,72.35
2012-03-09,12,71.77
2012-03-16,10,72.92
2012-03-23,15,73.13
2012-03-30,15,73.89
2012-04-13,14,74.35
2012-04-20,13,76.47
2012-04-27,12,78.68
2012-05-04,10,78.29
2012-05-11,10,79.39
2012-05-18,16,78.83
2012-05-25,12,79.46
2012-06-01,11,78.28
2012-06-08,14,81.2
2012-06-15,11,82.48
2012-06-22,12,81.38
2012-06-29,12,83.77
2012-07-06,10,83.91
2012-07-13,12,85.21
2012-07-20,12,84.83
2012-07-27,12,87.32
2012-08-03,12,85.35
2012-08-10,14,82.82
2012-08-17,13,83.95
2012-08-24,16,83.66
2012-08-31,12,83.6
2012-09-07,12,82.93
2012-09-14,12,82.68
2012-09-21,11,85.32
2012-09-28,12,85.78
2012-10-05,9,86.89
2012-10-12,10,85.65
2012-10-19,12,86.88
2012-10-26,15,82.75
2012-11-02,12,83.34
2012-11-09,13,83.13
2012-11-16,13,85.03
2012-11-23,10,87.34
2012-11-30,12,85.72
2012-12-07,11,85.91
2012-12-14,9,85.05
2012-12-21,9,84.05
2012-12-28,5,83.13
2013-01-04,7,86.36
2013-01-11,9,85.1
2013-01-18,11,86.82
2013-01-25,10,86.26
2013-02-01,12,90.01
2013-02-08,12,90.9
2013-02-15,10,91.2
2013-02-22,11,94.5
2013-03-01,12,94.3
2013-03-08,9,94.19
2013-03-15,12,93.26
2013-03-22,10,95.66
2013-04-05,10,99.31
2013-04-12,10,101.23
2013-04-19,12,106.1
2013-04-26,11,103.12
2013-05-03,7,105.38
2013-05-10,9,103.43
2013-05-17,13,104.35
2013-05-24,9,103.51
2013-05-31,8,96.83
2013-06-07,9,97.12
2013-06-14,9,97.86
2013-06-21,10,95.78
2013-06-28,11,97.14
2013-07-05,8,97.39
2013-07-12,10,99.88
2013-07-19,11,99.49
2013-07-26,10,98.39
2013-08-02,9,99.61
2013-08-09,9,98.53
2013-08-16,13,94.94
2013-08-23,11,95.89
2013-08-30,9,93.48
2013-09-06,9,93.06
2013-09-13,11,95.69
2013-09-20,12,96.2
2013-09-27,8,94.79
2013-10-04,10,94.26
2013-10-11,9,96.95
2013-10-18,11,99.18
2013-10-25,10,105.51
2013-11-01,8,108.01
2013-11-08,9,108.03
2013-11-15,12,109.26
2013-11-22,9,109
2013-11-29,6,109.16
2013-12-06,7,105.58
2013-12-13,9,103.92
2013-12-20,7,105.18
2013-12-27,3,105.1
2014-01-03,6,104.35
2014-01-10,7,104.86
2014-01-17,8,105.46
2014-01-24,9,107.4
2014-01-31,8,109.37
2014-02-07,8,106.9
2014-02-14,8,110.24
2014-02-21,10,109.85
2014-02-28,9,110.35
2014-03-07,8,108.95
2014-03-14,10,109.66
2014-03-21,8,110.16
2014-03-28,11,109.82
2014-04-04,10,109.77
2014-04-11,8,109.75
2014-04-25,8,109.24
