"Date","Fidelity.National.Information.Services","Price"
2011-06-17,15,30.99
2011-06-24,14,30.07
2011-07-01,14,31.02
2011-07-08,14,30.96
2011-07-15,14,29.63
2011-07-22,13,30.48
2011-07-29,14,30.02
2011-08-05,12,28.94
2011-08-12,13,28.08
2011-08-19,13,26.66
2011-08-26,12,27.37
2011-09-02,8,26.82
2011-09-09,9,25.37
2011-09-16,10,26.51
2011-09-23,10,24.1
2011-09-30,10,24.32
2011-10-07,8,24.79
2011-10-14,8,26.1
2011-10-21,8,25.78
2011-10-28,8,27.08
2011-11-04,8,25.23
2011-11-11,12,25.78
2011-11-18,11,23.68
2011-11-25,11,22.58
2011-12-02,11,24.91
2011-12-09,8,25.72
2011-12-16,8,25.42
2011-12-23,10,26.6
2011-12-30,8,26.59
2012-01-06,8,26.43
2012-01-13,8,26.94
2012-01-20,10,27.84
2012-01-27,10,28.55
2012-02-03,10,29.4
2012-02-10,8,28.65
2012-02-17,11,30.7
2012-02-24,9,31.07
2012-03-02,9,31.19
2012-03-09,13,31.68
2012-03-16,10,33
2012-03-23,9,32.96
2012-03-30,11,33.12
2012-04-13,11,32.48
2012-04-20,9,33.07
2012-04-27,12,33.89
2012-05-04,12,32.93
2012-05-11,10,32.74
2012-05-18,7,31.37
2012-05-25,7,32.82
2012-06-01,8,31.37
2012-06-08,10,32.39
2012-06-15,11,33.02
2012-06-22,13,33.28
2012-06-29,7,34.08
2012-07-06,9,34.29
2012-07-13,8,34.32
2012-07-20,10,32.13
2012-07-27,8,32.32
2012-08-03,8,31.47
2012-08-10,9,31.06
2012-08-17,8,31.17
2012-08-24,7,31.96
2012-08-31,7,31.5
2012-09-07,8,32.68
2012-09-14,8,31.7
2012-09-21,6,32.64
2012-09-28,6,31.22
2012-10-05,7,31.5
2012-10-12,8,31.88
2012-10-19,8,32.41
2012-10-26,8,32.62
2012-11-02,8,33.52
2012-11-09,6,34.52
2012-11-16,7,35
2012-11-23,7,35.78
2012-11-30,7,36.1
2012-12-07,8,36.16
2012-12-14,7,35.48
2012-12-21,6,34.89
2012-12-28,7,34.26
2013-01-04,8,35.98
2013-01-11,9,37
2013-01-18,8,37.06
2013-01-25,7,37.2
2013-02-01,7,37.66
2013-02-08,7,37.62
2013-02-15,6,36.49
2013-02-22,7,37
2013-03-01,6,37.66
2013-03-08,6,37.91
2013-03-15,6,38.3
2013-03-22,6,38.57
2013-04-05,8,39.05
2013-04-12,9,40.75
2013-04-19,7,40.81
2013-04-26,8,40.79
2013-05-03,6,42.72
2013-05-10,7,43.79
2013-05-17,9,45.08
2013-05-24,9,45.16
2013-05-31,6,44.9
2013-06-07,9,44.53
2013-06-14,8,43.64
2013-06-21,6,42.64
2013-06-28,7,42.84
2013-07-05,6,43.63
2013-07-12,7,45.06
2013-07-19,9,44.37
2013-07-26,10,44.35
2013-08-02,6,45.33
2013-08-09,8,46.95
2013-08-16,6,46.11
2013-08-23,8,45.71
2013-08-30,6,44.46
2013-09-06,7,45.11
2013-09-13,7,45.96
2013-09-20,8,46.85
2013-09-27,8,46.54
2013-10-04,9,46.55
2013-10-11,10,46.17
2013-10-18,6,47.36
2013-10-25,6,47.44
2013-11-01,6,48.55
2013-11-08,7,48.32
2013-11-15,7,50.94
2013-11-22,9,50.98
2013-11-29,6,50.68
2013-12-06,6,50.88
2013-12-13,7,50.78
2013-12-20,9,52.66
2013-12-27,5,52.75
2014-01-03,5,53.15
2014-01-10,5,53
2014-01-17,5,52.74
2014-01-24,5,50.84
2014-01-31,6,50.7
2014-02-07,8,53.71
2014-02-14,9,53.86
2014-02-21,7,54.34
2014-02-28,7,55.61
2014-03-07,7,55.47
2014-03-14,7,52.75
2014-03-21,7,54.17
2014-03-28,8,52.89
2014-04-04,8,53.17
2014-04-11,8,51.28
