"Date","Goldman.Sachs.Group","Price"
2007-12-07,64,217.89
2007-12-14,32,210.67
2007-12-21,49,209.6
2007-12-28,30,211.94
2008-01-04,31,199.93
2008-01-11,53,198.74
2008-01-18,38,187.21
2008-01-25,56,191.37
2008-02-01,67,207.78
2008-02-08,41,187.07
2008-02-15,36,178.41
2008-02-22,44,177.71
2008-02-29,50,169.63
2008-03-07,49,160.07
2008-03-14,55,156.86
2008-03-28,26,164.45
2008-04-04,38,175.4
2008-04-11,31,167.3
2008-04-18,45,179.93
2008-04-25,19,192
2008-05-02,36,200.27
2008-05-09,50,188.09
2008-05-16,27,187.14
2008-05-23,32,172.64
2008-05-30,36,176.41
2008-06-06,28,169.44
2008-06-13,43,178.29
2008-06-20,33,183.77
2008-06-27,42,174.56
2008-07-11,44,162.48
2008-07-18,37,182.84
2008-07-25,37,178.66
2008-08-01,21,182
2008-08-08,32,175.95
2008-08-15,39,163.18
2008-08-22,24,159.81
2008-08-29,40,163.97
2008-09-05,24,163.24
2008-09-12,40,154.21
2008-09-19,100,129.8
2008-09-26,90,137.99
2008-10-03,57,128
2008-10-10,48,88.8
2008-10-17,37,114.3
2008-10-24,48,100.4
2008-10-31,39,92.5
2008-11-07,25,77.78
2008-11-14,30,66.73
2008-11-21,30,53.31
2008-11-28,33,78.99
2008-12-05,34,70.72
2008-12-12,28,67.74
2008-12-19,26,80.73
2008-12-26,23,75.97
2009-01-02,35,86.76
2009-01-09,29,83.92
2009-01-16,34,73.05
2009-01-23,25,74.91
2009-01-30,43,80.73
2009-02-06,25,96.57
2009-02-13,21,96.45
2009-02-20,28,84.59
2009-02-27,41,91.08
2009-03-06,34,75.65
2009-03-13,15,98.8
2009-03-20,31,97.32
2009-03-27,23,108.08
2009-04-03,38,119.4
2009-04-17,42,120.6
2009-04-24,23,121.3
2009-05-01,23,127.08
2009-05-08,20,139.59
2009-05-15,25,134.4
2009-05-22,27,136.35
2009-05-29,26,144.57
2009-06-05,19,149.01
2009-06-12,32,145.64
2009-06-19,33,143.13
2009-06-26,16,146.74
2009-07-10,33,141.87
2009-07-17,66,156.84
2009-07-24,39,164.72
2009-07-31,41,163.3
2009-08-07,33,163.65
2009-08-14,33,162.73
2009-08-21,14,163.51
2009-08-28,37,164.42
2009-09-04,25,162.97
2009-09-11,26,174.7
2009-09-18,22,183.18
2009-09-25,21,179.5
2009-10-02,37,179.61
2009-10-09,40,189.3
2009-10-16,51,184.37
2009-10-23,45,180.36
2009-10-30,33,170.17
2009-11-06,38,171.78
2009-11-13,34,176.76
2009-11-20,36,170.01
2009-11-27,25,164.16
2009-12-04,30,167.24
2009-12-11,33,166
2009-12-18,21,163.19
2010-01-08,29,174.31
2010-01-15,28,165.21
2010-01-22,35,154.12
2010-01-29,34,148.72
2010-02-05,35,154.16
2010-02-12,28,153.93
2010-02-19,28,156.18
2010-02-26,35,156.35
2010-03-05,35,167.18
2010-03-12,25,174.96
2010-03-19,39,177.9
2010-03-26,27,172.87
2010-04-09,41,179.12
2010-04-16,39,160.7
2010-04-23,58,157.4
2010-04-30,47,145.2
2010-05-07,36,142.99
2010-05-14,34,143.23
2010-05-21,33,140.62
2010-05-28,23,144.26
2010-06-04,25,142.25
2010-06-11,25,135.64
2010-06-18,28,138.18
2010-06-25,29,139.66
2010-07-02,20,131.08
2010-07-09,26,138.06
2010-07-16,28,146.17
2010-07-23,23,147.38
2010-07-30,31,150.82
2010-08-06,30,155.18
2010-08-13,23,148.08
2010-08-20,28,148.24
2010-08-27,30,139.75
2010-09-03,30,147.29
2010-09-10,30,150.39
2010-09-17,38,150.98
2010-09-24,28,147.28
2010-10-01,35,147.7
2010-10-08,31,152.66
2010-10-15,33,150.69
2010-10-22,28,157.76
2010-10-29,26,161.13
2010-11-05,21,171.07
2010-11-12,30,165.83
2010-11-19,28,166.67
2010-11-26,23,158.22
2010-12-03,34,162.31
2010-12-10,29,168.47
2010-12-17,32,164.04
2010-12-31,15,168.16
2011-01-07,30,170.69
2011-01-14,32,175
2011-01-21,37,166.2
2011-01-28,26,161.77
2011-02-04,29,164.83
2011-02-11,27,166.66
2011-02-18,28,168.04
2011-02-25,30,165.12
2011-03-04,36,161
2011-03-11,25,160.68
2011-03-18,24,159.96
2011-03-25,29,157.97
2011-04-01,17,160.23
2011-04-08,18,160.96
2011-04-15,26,155.13
2011-04-29,21,151.01
2011-05-06,12,150.1
2011-05-13,17,141.46
2011-05-20,15,134.99
2011-05-27,18,138.66
2011-06-03,22,135.33
2011-06-10,24,135.92
2011-06-17,20,137.23
2011-06-24,26,130.91
2011-07-01,18,136.65
2011-07-08,21,134.08
2011-07-15,16,130.16
2011-07-22,26,135.49
2011-07-29,31,134.97
2011-08-05,20,125.18
2011-08-12,24,116.47
2011-08-19,19,111.76
2011-08-26,18,111.75
2011-09-02,23,107.06
2011-09-09,32,102.25
2011-09-16,25,107.49
2011-09-23,12,95.18
2011-09-30,31,94.55
2011-10-07,20,92.69
2011-10-14,23,96.73
2011-10-21,27,102.09
2011-10-28,23,115.86
2011-11-04,19,105.04
2011-11-11,21,101.66
2011-11-18,22,91.91
2011-11-25,25,88.75
2011-12-02,19,97.25
2011-12-09,22,101.45
2011-12-16,22,90.1
2011-12-23,18,93.79
2011-12-30,22,90.43
2012-01-06,20,93.42
2012-01-13,24,98.96
2012-01-20,21,108.74
2012-01-27,18,111.77
2012-02-03,25,117.53
2012-02-10,22,114.12
2012-02-17,25,115.91
2012-02-24,17,115.87
2012-03-02,23,119.96
2012-03-09,20,117.29
2012-03-16,20,122.93
2012-03-23,28,126.18
2012-03-30,17,124.37
2012-04-13,19,115.09
2012-04-20,17,112.44
2012-04-27,16,114.41
2012-05-04,18,108.99
2012-05-11,17,102.13
2012-05-18,16,95.49
2012-05-25,16,96.7
2012-06-01,14,92.64
2012-06-08,19,94.54
2012-06-15,13,95.66
2012-06-22,19,93.63
2012-06-29,20,95.86
2012-07-06,14,95.47
2012-07-13,23,97.43
2012-07-20,24,94.16
2012-07-27,19,101.64
2012-08-03,16,100.98
2012-08-10,18,103.02
2012-08-17,15,103.6
2012-08-24,21,104.96
2012-08-31,17,105.72
2012-09-07,22,116.33
2012-09-14,26,121.36
2012-09-21,23,116.72
2012-09-28,24,113.68
2012-10-05,20,119.31
2012-10-12,26,120.2
2012-10-19,24,123.62
2012-10-26,20,119.44
2012-11-02,14,123.25
2012-11-09,16,116.15
2012-11-16,23,115.84
2012-11-23,17,120.31
2012-11-30,21,117.79
2012-12-07,18,116.57
2012-12-14,16,119.36
2012-12-21,7,128.44
2012-12-28,12,125.52
2013-01-04,15,134.51
2013-01-11,16,137.13
2013-01-18,25,144.45
2013-01-25,17,144.46
2013-02-01,16,149.9
2013-02-08,14,151.6
2013-02-15,24,154.99
2013-02-22,15,154.09
2013-03-01,16,150.53
2013-03-08,15,152.98
2013-03-15,18,154.84
2013-03-22,13,146.6
2013-04-05,15,143.69
2013-04-12,16,149.12
2013-04-19,20,138.72
2013-04-26,17,144.11
2013-05-03,14,145.37
2013-05-10,18,149.1
2013-05-17,17,158.18
2013-05-24,14,158.72
2013-05-31,12,162.08
2013-06-07,16,166.01
2013-06-14,15,162.92
2013-06-21,17,154.25
2013-06-28,18,151.25
2013-07-05,11,153.24
2013-07-12,12,160.11
2013-07-19,18,164.36
2013-07-26,16,165.26
2013-08-02,18,167.62
2013-08-09,15,162.13
2013-08-16,24,160.66
2013-08-23,18,158.65
2013-08-30,14,152.13
2013-09-06,13,156.66
2013-09-13,18,164
2013-09-20,21,169.75
2013-09-27,16,159.85
2013-10-04,18,156.55
2013-10-11,17,160
2013-10-18,18,158.69
2013-10-25,19,162.09
2013-11-01,19,162.05
2013-11-08,14,163.17
2013-11-15,22,164.4
2013-11-22,18,168.1
2013-11-29,19,168.94
2013-12-06,17,167.21
2013-12-13,13,168.39
2013-12-20,17,175.16
2013-12-27,10,176.35
2014-01-03,10,178.15
2014-01-10,23,178.39
2014-01-17,27,176.28
2014-01-24,14,167.64
2014-01-31,19,164.12
2014-02-07,17,161.93
2014-02-14,13,163.72
2014-02-21,15,164.5
2014-02-28,16,166.45
2014-03-07,17,174.26
2014-03-14,17,165.35
2014-03-21,18,166.95
2014-03-28,17,162.3
2014-04-04,16,163.24
2014-04-11,18,152.72
2014-04-25,14,158.24
