"Date","OKE","Price"
2006-06-23,35,33.26
2006-06-30,28,34.04
2006-07-07,30,33.86
2006-07-14,90,35.76
2006-07-21,15,36.29
2006-07-28,11,37.67
2006-08-04,13,37.56
2006-08-11,10,38.83
2006-08-18,10,38.82
2006-08-25,12,37.83
2006-09-01,18,38.63
2006-09-08,24,38.61
2006-09-15,22,37.29
2006-09-22,25,37.06
2006-09-29,29,37.79
2006-10-06,22,38.71
2006-10-13,19,39.5
2006-10-20,18,40.98
2006-10-27,17,41.68
2006-11-03,17,41.56
2006-11-10,20,41.81
2006-11-17,65,41.49
2006-11-24,34,41.98
2006-12-01,24,43.67
2006-12-08,19,43.64
2006-12-15,22,43.5
2006-12-22,19,43.12
2006-12-29,13,43.12
2007-01-05,21,41.86
2007-01-12,21,41.65
2007-01-19,17,42.18
2007-01-26,18,42.91
2007-02-02,18,43.05
2007-02-09,19,43.52
2007-02-16,16,43.15
2007-02-23,18,42.72
2007-03-02,19,41.74
2007-03-09,21,43.07
2007-03-16,23,44.78
2007-03-23,19,46.13
2007-03-30,23,45
2007-04-13,41,45.41
2007-04-20,29,46.32
2007-04-27,60,48
2007-05-04,57,49.22
2007-05-11,69,50.25
2007-05-18,44,50.9
2007-05-25,32,52.11
2007-06-01,47,54.47
2007-06-08,27,49.94
2007-06-15,68,51.22
2007-06-22,54,49.25
2007-06-29,100,50.41
2007-07-06,30,51.81
2007-07-13,16,53.83
2007-07-20,13,54.86
2007-07-27,13,50.98
2007-08-03,13,48.06
2007-08-10,13,44.9
2007-08-17,13,45.37
2007-08-24,14,47.33
2007-08-31,22,46.85
2007-09-07,26,46.53
2007-09-14,23,46.39
2007-09-21,24,46.95
2007-09-28,25,47.4
2007-10-05,19,48.3
2007-10-12,18,48.31
2007-10-19,17,47.81
2007-10-26,19,49.7
2007-11-02,16,52.05
2007-11-09,18,50.02
2007-11-16,18,48.98
2007-11-23,21,47.8
2007-11-30,21,46.5
2007-12-07,26,46.32
2007-12-14,22,45.26
2007-12-21,16,44.97
2007-12-28,13,45.27
2008-01-04,17,44.33
2008-01-11,26,48.11
2008-01-18,19,47.1
2008-01-25,18,45.21
2008-02-01,20,47.79
2008-02-08,20,46.93
2008-02-15,20,46.99
2008-02-22,24,47.65
2008-02-29,26,46.57
2008-03-07,44,47.26
2008-03-14,31,47.09
2008-03-28,21,43.99
2008-04-04,26,46.01
2008-04-11,39,46.02
2008-04-18,26,48.97
2008-04-25,56,49.06
2008-05-02,31,47.75
2008-05-09,64,48.84
2008-05-16,40,50.47
2008-05-23,24,49.66
2008-05-30,41,50.06
2008-06-06,29,49.85
2008-06-13,66,49.02
2008-06-20,50,48.51
2008-06-27,59,47.73
2008-07-11,18,47.59
2008-07-18,16,45.67
2008-07-25,14,44.92
2008-08-01,15,44.99
2008-08-08,16,43.65
2008-08-15,14,42.15
2008-08-22,18,43.91
2008-08-29,30,43.71
2008-09-05,26,42.2
2008-09-12,27,40.99
2008-09-19,27,38.11
2008-09-26,23,36.25
2008-10-03,20,33.41
2008-10-10,19,23.17
2008-10-17,20,27.91
2008-10-24,28,27.3
2008-10-31,21,31.9
2008-11-07,18,29.92
2008-11-14,17,26.88
2008-11-21,21,25.9
2008-11-28,21,29.34
2008-12-05,19,26.41
2008-12-12,20,27.43
2008-12-19,17,27.48
2008-12-26,12,27.77
2009-01-02,15,30.6
2009-01-09,32,29.43
2009-01-16,41,28.57
2009-01-23,21,29.42
2009-01-30,20,29.22
2009-02-06,20,28.05
2009-02-13,21,27.92
2009-02-20,20,24.34
2009-02-27,27,22.34
2009-03-06,26,18.93
2009-03-13,23,20.08
2009-03-20,25,22.13
2009-03-27,26,22.91
2009-04-03,40,24.11
2009-04-17,27,25.28
2009-04-24,48,25.43
2009-05-01,32,26.43
2009-05-08,51,28.03
2009-05-15,37,26.47
2009-05-22,29,27.27
2009-05-29,44,29.3
2009-06-05,31,29.53
2009-06-12,52,30
2009-06-19,43,29.27
2009-06-26,40,29.01
2009-07-10,21,28.5
2009-07-17,16,30.65
2009-07-24,16,33.26
2009-07-31,15,33.1
2009-08-07,14,34.18
2009-08-14,15,34.72
2009-08-21,17,35.46
2009-08-28,32,34.4
2009-09-04,27,33.49
2009-09-11,26,34.03
2009-09-18,25,36.76
2009-09-25,22,35.71
2009-10-02,22,35.18
2009-10-09,20,37.14
2009-10-16,18,37.86
2009-10-23,19,37.98
2009-10-30,20,36.21
2009-11-06,28,37.62
2009-11-13,19,39.03
2009-11-20,17,39.08
2009-11-27,22,39.68
2009-12-04,18,40.79
2009-12-11,21,42.39
2009-12-18,21,42.74
2010-01-08,25,45.4
2010-01-15,25,44.92
2010-01-22,19,44.79
2010-01-29,19,42.19
2010-02-05,20,40.75
2010-02-12,19,41.67
2010-02-19,20,43
2010-02-26,20,44.33
2010-03-05,27,46.89
2010-03-12,25,46.66
2010-03-19,26,45.95
2010-03-26,22,45.3
2010-04-09,37,47.58
2010-04-16,26,47.45
2010-04-23,29,50.04
2010-04-30,50,49.14
2010-05-07,57,45.99
2010-05-14,33,47.24
2010-05-21,29,43.22
2010-05-28,31,44.47
2010-06-04,27,43.37
2010-06-11,29,45.3
2010-06-18,55,47
2010-06-25,52,45.21
2010-07-02,86,42.29
2010-07-09,19,45.36
2010-07-16,16,45.08
2010-07-23,16,45.96
2010-07-30,15,46.53
2010-08-06,15,46.66
2010-08-13,17,45.2
2010-08-20,19,43.99
2010-08-27,32,44.31
2010-09-03,25,44.83
2010-09-10,23,44.46
2010-09-17,22,43.94
2010-09-24,21,44.83
2010-10-01,23,45.64
2010-10-08,19,48.13
2010-10-15,18,49.33
2010-10-22,21,50.1
2010-10-29,22,49.82
2010-11-05,27,51.12
2010-11-12,17,51.91
2010-11-19,19,50.86
2010-11-26,20,51.2
2010-12-03,19,52.98
2010-12-10,20,54.26
2010-12-17,19,54.16
2010-12-31,15,55.47
2011-01-07,20,55.82
2011-01-14,26,57.77
2011-01-21,20,58.51
2011-01-28,20,58.75
2011-02-04,20,59.01
2011-02-11,22,60.32
2011-02-18,21,64.65
2011-02-25,22,64.01
2011-03-04,25,64.53
2011-03-11,22,65.33
2011-03-18,23,64.04
2011-03-25,22,66.06
2011-04-01,27,67.37
2011-04-08,37,65.45
2011-04-15,41,65.05
2011-04-29,24,69.94
2011-05-06,45,69.48
2011-05-13,29,69.22
2011-05-20,25,70.57
2011-05-27,30,70.01
2011-06-03,29,69.7
2011-06-10,27,69.04
2011-06-17,57,69.37
2011-06-24,27,73.27
2011-07-01,76,75.35
2011-07-08,22,75.25
2011-07-15,17,74.4
2011-07-22,14,75.65
2011-07-29,16,72.79
2011-08-05,17,63.7
2011-08-12,19,66.32
2011-08-19,20,65.76
2011-08-26,34,68.8
2011-09-02,22,68.55
2011-09-09,22,66.45
2011-09-16,28,68.27
2011-09-23,23,64.37
2011-09-30,23,66.04
2011-10-07,20,67.92
2011-10-14,18,70.66
2011-10-21,20,73.66
2011-10-28,21,76.7
2011-11-04,19,77.53
2011-11-11,19,78.71
2011-11-18,21,79.66
2011-11-25,21,77.73
2011-12-02,21,83.12
2011-12-09,25,83.51
2011-12-16,21,82.06
2011-12-23,16,86.49
2011-12-30,16,86.69
2012-01-06,18,87.21
2012-01-13,25,88.81
2012-01-20,20,87.92
2012-01-27,19,85.1
2012-02-03,19,81.7
2012-02-10,21,81.01
2012-02-17,19,82.09
2012-02-24,21,83.87
2012-03-02,23,82.79
2012-03-09,26,83.26
2012-03-16,22,82.85
2012-03-23,22,82.18
2012-03-30,24,81.66
2012-04-13,20,80.22
2012-04-20,24,82.83
2012-04-27,33,85.49
2012-05-04,26,86.62
2012-05-11,31,86.45
2012-05-18,23,81.57
2012-05-25,21,83.6
2012-06-01,31,79.8
2012-06-08,20,41.28
2012-06-15,24,42.91
2012-06-22,57,42.59
2012-06-29,71,42.31
2012-07-06,21,42.78
2012-07-13,15,43.29
2012-07-20,15,44.06
2012-07-27,13,45.32
2012-08-03,15,44.72
2012-08-10,16,44.75
2012-08-17,15,44.3
2012-08-24,20,44.59
2012-08-31,31,44.53
2012-09-07,20,45.75
2012-09-14,23,47.09
2012-09-21,19,47.11
2012-09-28,20,48.31
2012-10-05,18,49.39
2012-10-12,16,47.8
2012-10-19,17,47.62
2012-10-26,17,47.14
2012-11-02,16,45.69
2012-11-09,19,44.92
2012-11-16,24,45.66
2012-11-23,21,45.98
2012-11-30,17,44.87
2012-12-07,16,43
2012-12-14,16,42.9
2012-12-21,15,43.41
2012-12-28,15,42.07
2013-01-04,19,44.37
2013-01-11,20,44.91
2013-01-18,17,46.94
2013-01-25,17,47.42
2013-02-01,20,47.32
2013-02-08,19,47.82
2013-02-15,18,47.75
2013-02-22,18,47.41
2013-03-01,22,44.63
2013-03-08,21,45.24
2013-03-15,20,44.97
2013-03-22,21,46.22
2013-04-05,28,47.73
2013-04-12,22,49.4
2013-04-19,23,51.35
2013-04-26,31,50.82
2013-05-03,21,47.1
2013-05-10,31,47.92
2013-05-17,23,49.25
2013-05-24,22,47.15
2013-05-31,29,45.14
2013-06-07,22,44.72
2013-06-14,22,44.34
2013-06-21,49,41.47
2013-06-28,68,41.31
2013-07-05,22,40
2013-07-12,17,43.17
2013-07-19,15,43.55
2013-07-26,15,52.16
2013-08-02,14,52.57
2013-08-09,13,52.43
2013-08-16,14,50.14
2013-08-23,18,51.93
2013-08-30,32,51.44
2013-09-06,21,51.28
2013-09-13,20,51.12
2013-09-20,19,53.12
2013-09-27,20,53.04
2013-10-04,18,53.88
2013-10-11,27,54.94
2013-10-18,22,54.96
2013-10-25,20,56.39
2013-11-01,19,56.4
2013-11-08,18,57.9
2013-11-15,18,57.8
2013-11-22,19,58.95
2013-11-29,19,58.07
2013-12-06,18,59.68
2013-12-13,20,58.65
2013-12-20,18,59.75
2013-12-27,15,60.88
2014-01-03,18,61.32
2014-01-10,22,64.36
2014-01-17,26,67.13
2014-01-24,20,65.36
2014-01-31,20,68.49
2014-02-07,19,59.08
2014-02-14,19,59.96
2014-02-21,20,60.71
2014-02-28,21,59.14
2014-03-07,21,58.96
2014-03-14,20,58.8
2014-03-21,21,59.43
2014-03-28,24,58.49
2014-04-04,27,59.77
2014-04-11,23,58.51
2014-04-25,28,62.69
