"Date","Family.Dollar.Stores","Price"
2008-12-19,33,25.32
2008-12-26,29,24.75
2009-01-02,35,25.99
2009-01-09,38,27.5
2009-01-16,32,28.4
2009-01-23,22,27.45
2009-01-30,37,27.77
2009-02-06,17,26.92
2009-02-13,22,26.61
2009-02-20,44,27.02
2009-02-27,30,27.44
2009-03-06,32,30.36
2009-03-13,37,31.52
2009-03-20,36,30.86
2009-03-27,36,33.63
2009-04-03,42,31.9
2009-04-17,24,32.82
2009-04-24,27,32.79
2009-05-01,29,32.14
2009-05-08,37,30.32
2009-05-15,15,30.29
2009-05-22,25,29.9
2009-05-29,22,30.27
2009-06-05,40,30.86
2009-06-12,28,29.49
2009-06-19,23,29.02
2009-06-26,29,28.9
2009-07-10,30,30.18
2009-07-17,26,30.73
2009-07-24,33,31.11
2009-07-31,38,31.42
2009-08-07,29,31.41
2009-08-14,24,29.35
2009-08-21,36,29.72
2009-08-28,27,30.68
2009-09-04,33,28.76
2009-09-11,15,27.27
2009-09-18,32,26.42
2009-09-25,22,26.32
2009-10-02,21,26.63
2009-10-09,30,28.64
2009-10-16,31,28.36
2009-10-23,35,29.17
2009-10-30,32,28.3
2009-11-06,26,28.59
2009-11-13,35,29.63
2009-11-20,25,30.38
2009-11-27,34,31.02
2009-12-04,50,28.28
2009-12-11,36,28.2
2009-12-18,50,28.29
2010-01-08,29,30.14
2010-01-15,22,30.61
2010-01-22,29,30.36
2010-01-29,25,30.88
2010-02-05,20,31.06
2010-02-12,30,31.63
2010-02-19,29,32.48
2010-02-26,24,32.99
2010-03-05,29,35.47
2010-03-12,24,35.38
2010-03-19,27,35.82
2010-03-26,23,36.93
2010-04-09,28,38.49
2010-04-16,35,38.41
2010-04-23,21,40.28
2010-04-30,27,39.56
2010-05-07,22,38.96
2010-05-14,24,40.2
2010-05-21,17,41.26
2010-05-28,24,40.74
2010-06-04,46,38.17
2010-06-11,23,38.57
2010-06-18,25,39.4
2010-06-25,19,38.16
2010-07-02,22,38.62
2010-07-09,41,36
2010-07-16,32,38.12
2010-07-23,24,39.47
2010-07-30,29,41.35
2010-08-06,25,42
2010-08-13,32,42.92
2010-08-20,31,42.83
2010-08-27,23,43.34
2010-09-03,31,42.51
2010-09-10,16,42.6
2010-09-17,32,43.46
2010-09-24,28,43.4
2010-10-01,33,44.3
2010-10-08,22,45.51
2010-10-15,24,45.57
2010-10-22,33,45.42
2010-10-29,28,46.17
2010-11-05,25,48.43
2010-11-12,23,48.36
2010-11-19,30,48.84
2010-11-26,35,50.67
2010-12-03,45,51.07
2010-12-10,49,49.76
2010-12-17,37,49.58
2010-12-31,17,49.71
2011-01-07,24,43.9
2011-01-14,24,43.22
2011-01-21,20,43.8
2011-01-28,23,42.48
2011-02-04,33,41.51
2011-02-11,26,44.16
2011-02-18,32,52.55
2011-02-25,22,50.54
2011-03-04,18,50.55
2011-03-11,26,51.27
2011-03-18,27,51.26
2011-03-25,29,52.02
2011-04-01,28,51.53
2011-04-08,30,51.75
2011-04-15,33,51.99
2011-04-29,39,54.21
2011-05-06,33,53.05
2011-05-13,31,51.94
2011-05-20,28,53.65
2011-05-27,34,55.56
2011-06-03,34,52.38
2011-06-10,27,52.36
2011-06-17,39,52.6
2011-06-24,31,52.26
2011-07-01,34,54.01
2011-07-08,20,54.49
2011-07-15,33,52.4
2011-07-22,39,54.14
2011-07-29,32,53.11
2011-08-05,36,48.53
2011-08-12,38,49.19
2011-08-19,42,48.61
2011-08-26,35,47.55
2011-09-02,24,51.91
2011-09-09,25,50.28
2011-09-16,28,53.43
2011-09-23,30,54.64
2011-09-30,36,50.86
2011-10-07,32,52.82
2011-10-14,38,54.4
2011-10-21,32,59.1
2011-10-28,40,58.02
2011-11-04,34,58.97
2011-11-11,37,58.73
2011-11-18,38,56.72
2011-11-25,42,55.8
2011-12-02,57,58.7
2011-12-09,45,57.86
2011-12-16,51,57.92
2011-12-23,42,58.76
2011-12-30,53,57.66
2012-01-06,28,53.63
2012-01-13,36,53.79
2012-01-20,38,54.78
2012-01-27,37,55.68
2012-02-03,30,57.51
2012-02-10,26,57.65
2012-02-17,31,54.88
2012-02-24,32,54.33
2012-03-02,33,54.49
2012-03-09,33,57.48
2012-03-16,43,56.67
2012-03-23,38,57.68
2012-03-30,37,63.28
2012-04-13,34,64.26
2012-04-20,23,68.34
2012-04-27,26,69
2012-05-04,39,68.07
2012-05-11,30,69.27
2012-05-18,33,64.16
2012-05-25,49,67.6
2012-06-01,34,67.15
2012-06-08,44,69.58
2012-06-15,38,73.26
2012-06-22,28,70.43
2012-06-29,36,66.48
2012-07-06,40,69.58
2012-07-13,38,67.47
2012-07-20,32,66.77
2012-07-27,41,66.63
2012-08-03,41,66.17
2012-08-10,37,63.71
2012-08-17,36,64.93
2012-08-24,39,62.35
2012-08-31,30,63.64
2012-09-07,24,63.27
2012-09-14,36,64.2
2012-09-21,33,64.15
2012-09-28,33,66.3
2012-10-05,35,69.02
2012-10-12,42,66.4
2012-10-19,34,65.1
2012-10-26,43,65.6
2012-11-02,34,65.93
2012-11-09,29,66.5
2012-11-16,38,66.54
2012-11-23,35,70.1
2012-11-30,36,71.2
2012-12-07,46,71
2012-12-14,50,65.86
2012-12-21,43,63.04
2012-12-28,68,62.7
2013-01-04,33,56.65
2013-01-11,28,56.44
2013-01-18,38,58.37
2013-01-25,28,58.55
2013-02-01,30,56.09
2013-02-08,38,57.35
2013-02-15,36,55.94
2013-02-22,24,56.68
2013-03-01,36,58.69
2013-03-08,32,58.78
2013-03-15,32,59.42
2013-03-22,32,61.37
2013-04-05,27,59.4
2013-04-12,28,61.05
2013-04-19,34,62.59
2013-04-26,22,62.94
2013-05-03,32,62.37
2013-05-10,24,63.08
2013-05-17,26,64.3
2013-05-24,21,63.65
2013-05-31,26,61.15
2013-06-07,31,62.01
2013-06-14,23,63.23
2013-06-21,24,62.08
2013-06-28,33,62.31
2013-07-05,35,63.82
2013-07-12,38,68.4
2013-07-19,31,67.7
2013-07-26,28,68.52
2013-08-02,35,70.56
2013-08-09,36,71.47
2013-08-16,29,71.25
2013-08-23,24,72.28
2013-08-30,29,71.19
2013-09-06,33,70.78
2013-09-13,30,72.1
2013-09-20,32,73.34
2013-09-27,29,72.58
2013-10-04,28,72.55
2013-10-11,27,69.71
2013-10-18,32,69.56
2013-10-25,31,69.58
2013-11-01,34,69.55
2013-11-08,39,67.5
2013-11-15,36,70.02
2013-11-22,31,70.54
2013-11-29,44,69.77
2013-12-06,28,65.98
2013-12-13,27,63.96
2013-12-20,42,64.49
2013-12-27,91,64.99
2014-01-03,33,66.41
2014-01-10,31,67.48
2014-01-17,32,65.56
2014-01-24,28,62.95
2014-01-31,31,61.82
2014-02-07,35,62.66
2014-02-14,32,63.43
2014-02-21,34,65.71
2014-02-28,34,65.5
2014-03-07,32,63.02
2014-03-14,28,60.29
2014-03-21,25,60.2
2014-03-28,24,57.76
2014-04-04,29,58.04
2014-04-11,90,56.1
2014-04-25,39,58.31
