"Date","buy.CB","Price"
2013-11-29,56,96.45
2013-12-06,53,94.85
2013-12-13,72,92.98
2013-12-20,61,94.44
2013-12-27,77,95.75
2014-01-03,43,93.84
2014-01-10,67,91.8
2014-01-17,45,89.77
2014-01-24,39,85.93
2014-01-31,56,84.54
2014-02-07,52,84.37
2014-02-14,53,86.12
2014-02-21,67,87.05
2014-02-28,60,87.48
2014-03-07,55,87.42
2014-03-14,51,86.13
2014-03-21,50,86.23
2014-03-28,54,88.14
2014-04-04,45,89.25
2014-04-11,53,88.69
2014-04-25,53,90.03
