"Date","BSX","Price"
2006-06-02,49,20.7
2006-06-09,51,19.71
2006-06-16,37,20.09
2006-06-23,43,18.26
2006-06-30,67,16.84
2006-07-07,41,16.06
2006-07-14,48,15.85
2006-07-21,52,15.86
2006-07-28,65,17.5
2006-08-04,52,15.95
2006-08-11,52,16.3
2006-08-18,64,16.72
2006-08-25,48,17.33
2006-09-01,60,17.37
2006-09-08,39,16.67
2006-09-15,45,16.23
2006-09-22,55,14.85
2006-09-29,67,14.79
2006-10-06,38,14.82
2006-10-13,50,15.34
2006-10-20,72,16.24
2006-10-27,53,16.05
2006-11-03,50,16.4
2006-11-10,59,16.06
2006-11-17,40,16.23
2006-11-24,34,16.49
2006-12-01,34,15.76
2006-12-08,85,16.71
2006-12-15,61,16.29
2006-12-22,43,16.78
2006-12-29,58,17.18
2007-01-05,55,17.1
2007-01-12,57,18.21
2007-01-19,47,18.19
2007-01-26,40,17.47
2007-02-02,44,18.26
2007-02-09,50,17.37
2007-02-16,40,17.01
2007-02-23,45,17.12
2007-03-02,52,15.99
2007-03-09,31,15.77
2007-03-16,49,14.83
2007-03-23,46,15.22
2007-03-30,64,14.54
2007-04-13,56,15.01
2007-04-20,51,15.98
2007-04-27,53,15.72
2007-05-04,42,16.16
2007-05-11,56,15.85
2007-05-18,44,15.44
2007-05-25,47,15.75
2007-06-01,44,15.69
2007-06-08,49,16.15
2007-06-15,51,16.38
2007-06-22,43,15.78
2007-06-29,35,15.34
2007-07-06,28,15.51
2007-07-13,18,15.41
2007-07-20,41,14.79
2007-07-27,52,13.36
2007-08-03,44,13.09
2007-08-10,36,13.08
2007-08-17,48,12.52
2007-08-24,40,12.69
2007-08-31,35,12.83
2007-09-07,43,13.21
2007-09-14,39,13.5
2007-09-21,26,13.75
2007-09-28,43,13.95
2007-10-05,39,14.26
2007-10-12,32,15.02
2007-10-19,33,14.42
2007-10-26,27,13.76
2007-11-02,33,13.24
2007-11-09,42,12.66
2007-11-16,41,12.1
2007-11-23,39,12.51
2007-11-30,39,12.63
2007-12-07,36,12.73
2007-12-14,35,11.95
2007-12-21,35,11.83
2007-12-28,43,11.72
2008-01-04,35,11.31
2008-01-11,35,11.74
2008-01-18,43,12.13
2008-01-25,37,11.84
2008-02-01,35,12.37
2008-02-08,38,12.33
2008-02-15,29,12.81
2008-02-22,34,12.31
2008-02-29,34,12.59
2008-03-07,44,12.35
2008-03-14,40,12.63
2008-03-28,39,12.61
2008-04-04,32,14.11
2008-04-11,34,12.88
2008-04-18,38,12.65
2008-04-25,41,12.77
2008-05-02,37,13.42
2008-05-09,27,13.42
2008-05-16,37,13.4
2008-05-23,32,13.12
2008-05-30,24,13.29
2008-06-06,31,13.49
2008-06-13,34,13.29
2008-06-20,31,12.68
2008-06-27,26,12.23
2008-07-11,25,12.09
2008-07-18,37,13.89
2008-07-25,34,12.09
2008-08-01,36,11.96
2008-08-08,29,13.27
2008-08-15,28,13.22
2008-08-22,31,12.76
2008-08-29,36,12.56
2008-09-05,35,12.57
2008-09-12,29,13.51
2008-09-19,37,13.65
2008-09-26,27,12.74
2008-10-03,33,11.05
2008-10-10,43,7.31
2008-10-17,45,8.67
2008-10-24,44,7.93
2008-10-31,41,9.03
2008-11-07,37,8.55
2008-11-14,32,7.39
2008-11-21,36,6.14
2008-11-28,39,6.17
2008-12-05,39,7.61
2008-12-12,35,7.17
2008-12-19,37,7.78
2008-12-26,36,7.39
2009-01-02,31,7.88
2009-01-09,37,7.65
2009-01-16,43,7.87
2009-01-23,29,7.73
2009-01-30,39,8.87
2009-02-06,46,9.41
2009-02-13,39,8.66
2009-02-20,39,8.18
2009-02-27,37,7.02
2009-03-06,43,6.33
2009-03-13,34,7.42
2009-03-20,44,7.56
2009-03-27,37,8.2
2009-04-03,30,8.39
2009-04-17,34,9.02
2009-04-24,34,8.39
2009-05-01,35,8.32
2009-05-08,38,9.31
2009-05-15,45,8.76
2009-05-22,41,8.8
2009-05-29,35,9.4
2009-06-05,37,9.54
2009-06-12,30,9.37
2009-06-19,33,9.42
2009-06-26,33,10.35
2009-07-10,30,9.63
2009-07-17,29,10.04
2009-07-24,39,10.57
2009-07-31,38,10.74
2009-08-07,34,11.32
2009-08-14,34,11.14
2009-08-21,39,11.37
2009-08-28,31,11.44
2009-09-04,35,11.36
2009-09-11,26,11.34
2009-09-18,27,10.97
2009-09-25,36,10.35
2009-10-02,30,10.01
2009-10-09,35,10.29
2009-10-16,29,10.02
2009-10-23,55,8.75
2009-10-30,38,8.12
2009-11-06,31,8.08
2009-11-13,33,8.26
2009-11-20,31,8.09
2009-11-27,35,8.5
2009-12-04,34,8.52
2009-12-11,33,8.67
2009-12-18,39,8.9
2010-01-08,32,9
2010-01-15,31,9.43
2010-01-22,34,9
2010-01-29,30,8.63
2010-02-05,48,8.21
2010-02-12,42,7.39
2010-02-19,37,7.69
2010-02-26,44,7.74
2010-03-05,46,7.89
2010-03-12,46,7.78
2010-03-19,70,7.13
2010-03-26,41,7.01
2010-04-09,42,6.97
2010-04-16,47,7.34
2010-04-23,37,7.21
2010-04-30,42,6.88
2010-05-07,43,6.38
2010-05-14,47,6.83
2010-05-21,46,6.24
2010-05-28,49,6.05
2010-06-04,44,5.74
2010-06-11,45,5.77
2010-06-18,34,6.33
2010-06-25,43,6.11
2010-07-02,39,6.14
2010-07-09,40,6.46
2010-07-16,37,6.11
2010-07-23,48,5.95
2010-07-30,35,5.6
2010-08-06,33,5.8
2010-08-13,42,5.48
2010-08-20,45,5.69
2010-08-27,38,5.49
2010-09-03,43,5.35
2010-09-10,34,5.33
2010-09-17,36,5.42
2010-09-24,39,5.75
2010-10-01,35,6.07
2010-10-08,33,6.13
2010-10-15,33,6.15
2010-10-22,44,6.3
2010-10-29,42,6.39
2010-11-05,35,6.92
2010-11-12,29,6.74
2010-11-19,34,6.77
2010-11-26,29,6.58
2010-12-03,34,6.83
2010-12-10,30,7.11
2010-12-17,29,7.65
2010-12-31,29,7.57
2011-01-07,40,7.28
2011-01-14,34,7.53
2011-01-21,34,7.16
2011-01-28,37,6.99
2011-02-04,34,6.99
2011-02-11,36,6.88
2011-02-18,38,7.54
2011-02-25,31,7.18
2011-03-04,37,7.53
2011-03-11,38,7.51
2011-03-18,35,7.2
2011-03-25,39,7.21
2011-04-01,40,7.3
2011-04-08,34,7.35
2011-04-15,37,7.08
2011-04-29,36,7.49
2011-05-06,44,7.72
2011-05-13,41,6.84
2011-05-20,35,6.8
2011-05-27,41,7.04
2011-06-03,32,6.87
2011-06-10,36,6.76
2011-06-17,44,6.79
2011-06-24,45,6.89
2011-07-01,39,7.23
2011-07-08,33,7.17
2011-07-15,42,7.01
2011-07-22,43,7.21
2011-07-29,41,7.16
2011-08-05,37,6.49
2011-08-12,44,6.41
2011-08-19,36,6.12
2011-08-26,39,6.37
2011-09-02,48,6.42
2011-09-09,38,6.2
2011-09-16,41,6.53
2011-09-23,40,5.76
2011-09-30,40,5.91
2011-10-07,36,5.62
2011-10-14,35,5.69
2011-10-21,35,5.39
2011-10-28,35,5.81
2011-11-04,31,5.77
2011-11-11,37,5.9
2011-11-18,39,5.42
2011-11-25,34,5.27
2011-12-02,39,5.5
2011-12-09,39,5.34
2011-12-16,36,5.14
2011-12-23,36,5.23
2011-12-30,41,5.34
2012-01-06,37,5.3
2012-01-13,36,5.52
2012-01-20,39,5.98
2012-01-27,36,5.93
2012-02-03,47,6.03
2012-02-10,45,5.93
2012-02-17,39,6.09
2012-02-24,42,6.25
2012-03-02,41,6
2012-03-09,39,5.95
2012-03-16,50,6.12
2012-03-23,44,5.97
2012-03-30,42,5.98
2012-04-13,36,5.62
2012-04-20,37,5.94
2012-04-27,34,6.27
2012-05-04,38,6.19
2012-05-11,35,6.31
2012-05-18,34,5.96
2012-05-25,32,5.87
2012-06-01,35,5.61
2012-06-08,40,5.71
2012-06-15,35,5.95
2012-06-22,32,5.7
2012-06-29,38,5.67
2012-07-06,37,5.65
2012-07-13,30,5.59
2012-07-20,32,5.38
2012-07-27,36,5.22
2012-08-03,31,5.31
2012-08-10,39,5.54
2012-08-17,46,5.59
2012-08-24,37,5.5
2012-08-31,36,5.4
2012-09-07,39,5.63
2012-09-14,37,5.82
2012-09-21,32,5.79
2012-09-28,35,5.74
2012-10-05,33,5.76
2012-10-12,33,5.57
2012-10-19,33,5.22
2012-10-26,31,5.17
2012-11-02,28,5.2
2012-11-09,35,5.15
2012-11-16,31,5.14
2012-11-23,33,5.59
2012-11-30,37,5.54
2012-12-07,39,5.6
2012-12-14,33,5.67
2012-12-21,36,5.82
2012-12-28,37,5.58
2013-01-04,34,5.92
2013-01-11,42,6.36
2013-01-18,32,6.7
2013-01-25,36,6.86
2013-02-01,44,7.64
2013-02-08,45,7.7
2013-02-15,47,7.54
2013-02-22,48,7.37
2013-03-01,35,7.37
2013-03-08,34,7.49
2013-03-15,42,7.39
2013-03-22,37,7.4
2013-04-05,37,7.86
2013-04-12,40,7.66
2013-04-19,35,7.27
2013-04-26,37,7.45
2013-05-03,36,7.69
2013-05-10,38,8.45
2013-05-17,46,9.1
2013-05-24,46,9.08
2013-05-31,37,9.24
2013-06-07,35,9.3
2013-06-14,36,9.51
2013-06-21,39,9.14
2013-06-28,37,9.27
2013-07-05,38,9.3
2013-07-12,36,9.61
2013-07-19,39,9.67
2013-07-26,48,10.96
2013-08-02,37,11.24
2013-08-09,38,11.35
2013-08-16,40,11.06
2013-08-23,41,11.14
2013-08-30,39,10.58
2013-09-06,40,11.5
2013-09-13,38,11.84
2013-09-20,38,11.63
2013-09-27,36,11.52
2013-10-04,34,11.69
2013-10-11,38,11.87
2013-10-18,35,12.28
2013-10-25,41,11.62
2013-11-01,39,11.75
2013-11-08,36,11.88
2013-11-15,50,11.89
2013-11-22,47,12.05
2013-11-29,44,11.58
2013-12-06,50,11.85
2013-12-13,45,11.39
2013-12-20,40,11.84
2013-12-27,38,12.06
2014-01-03,43,11.93
2014-01-10,50,13.11
2014-01-17,45,13.51
2014-01-24,48,13.34
2014-01-31,46,13.53
2014-02-07,39,13.1
2014-02-14,40,13.3
2014-02-21,42,13.14
2014-02-28,45,13.1
2014-03-07,46,13.7
2014-03-14,43,13.01
2014-03-21,37,12.82
2014-03-28,43,13.2
2014-04-04,35,13.5
2014-04-11,41,12.69
2014-04-25,40,13.38
