"Date","Morgan.Stanley","Price"
2013-05-24,13,24.35
2013-05-31,12,25.9
2013-06-07,13,27
2013-06-14,13,25.83
2013-06-21,13,24.91
2013-06-28,13,24.43
2013-07-05,11,24.57
2013-07-12,14,26.13
2013-07-19,14,27.6
2013-07-26,13,27.7
2013-08-02,14,27.85
2013-08-09,13,26.76
2013-08-16,14,26.47
2013-08-23,13,26.32
2013-08-30,12,25.76
2013-09-06,13,26.81
2013-09-13,14,28.13
2013-09-20,15,28.19
2013-09-27,14,27.08
2013-10-04,13,26.99
2013-10-11,14,27.95
2013-10-18,15,29.69
2013-10-25,15,29.23
2013-11-01,14,29.2
2013-11-08,14,29.44
2013-11-15,15,30.3
2013-11-22,15,31.34
2013-11-29,11,31.3
2013-12-06,13,30.46
2013-12-13,12,31.09
2013-12-20,13,30.93
2013-12-27,11,31.06
2014-01-03,12,31.51
2014-01-10,14,31.3
2014-01-17,16,33.4
2014-01-24,14,30.45
2014-01-31,14,29.51
2014-02-07,14,29.69
2014-02-14,16,29.69
2014-02-21,15,29.62
2014-02-28,16,30.8
2014-03-07,15,32.21
2014-03-14,14,31.1
2014-03-21,14,32.6
2014-03-28,14,30.91
2014-04-04,15,30.37
2014-04-11,14,28.47
2014-04-25,14,30.58
