"Date","Southwest.Airlines","Price"
2008-10-31,62,11.78
2008-11-07,67,11.29
2008-11-14,71,10.16
2008-11-21,64,7.96
2008-11-28,57,8.65
2008-12-05,70,8.83
2008-12-12,63,7.3
2008-12-19,65,8.19
2008-12-26,79,8.08
2009-01-02,95,8.97
2009-01-09,87,8.56
2009-01-16,79,8.61
2009-01-23,74,8
2009-01-30,82,7.03
2009-02-06,74,7.33
2009-02-13,77,7.29
2009-02-20,73,6.52
2009-02-27,75,5.89
2009-03-06,78,5.13
2009-03-13,79,5.72
2009-03-20,81,5.6
2009-03-27,92,6.23
2009-04-03,88,6.86
2009-04-17,80,7.2
2009-04-24,71,7.59
2009-05-01,67,7.06
2009-05-08,69,7.36
2009-05-15,73,6.89
2009-05-22,67,6.7
2009-05-29,58,6.74
2009-06-05,64,6.89
2009-06-12,65,6.61
2009-06-19,67,6.64
2009-06-26,64,6.56
2009-07-10,84,6.59
2009-07-17,70,7.02
2009-07-24,66,7.45
2009-07-31,66,7.85
2009-08-07,62,9.11
2009-08-14,59,9.08
2009-08-21,59,8.68
2009-08-28,55,8.51
2009-09-04,56,8.6
2009-09-11,52,9.34
2009-09-18,55,9.68
2009-09-25,55,9.65
2009-10-02,57,9.2
2009-10-09,58,9.61
2009-10-16,60,9.25
2009-10-23,56,8.84
2009-10-30,78,8.4
2009-11-06,56,8.65
2009-11-13,53,9.16
2009-11-20,54,9
2009-11-27,46,8.99
2009-12-04,53,10.23
2009-12-11,50,10.9
2009-12-18,49,11.24
2010-01-08,61,11.33
2010-01-15,59,11.28
2010-01-22,59,11.68
2010-01-29,57,11.33
2010-02-05,56,11.29
2010-02-12,66,12.04
2010-02-19,62,12.43
2010-02-26,59,12.58
2010-03-05,57,12.68
2010-03-12,62,13
2010-03-19,57,12.81
2010-03-26,60,13.05
2010-04-09,59,13.3
2010-04-16,55,13.38
2010-04-23,53,13.96
2010-04-30,55,13.18
2010-05-07,53,12.39
2010-05-14,57,12.78
2010-05-21,56,11.91
2010-05-28,52,12.44
2010-06-04,53,12.02
2010-06-11,56,12.07
2010-06-18,57,12.26
2010-06-25,66,11.64
2010-07-02,57,10.75
2010-07-09,57,11.59
2010-07-16,59,11.76
2010-07-23,61,11.82
2010-07-30,60,12.05
2010-08-06,61,11.95
2010-08-13,54,11.4
2010-08-20,53,11.27
2010-08-27,48,11.13
2010-09-03,47,11.57
2010-09-10,55,11.52
2010-09-17,59,11.83
2010-09-24,61,12.28
2010-10-01,67,12.94
2010-10-08,61,13.04
2010-10-15,58,12.95
2010-10-22,68,13.47
2010-10-29,68,13.76
2010-11-05,61,14.19
2010-11-12,61,13.56
2010-11-19,70,13.57
2010-11-26,63,13.53
2010-12-03,64,13.2
2010-12-10,67,12.9
2010-12-17,67,12.93
2010-12-31,79,12.98
2011-01-07,82,13.29
2011-01-14,82,13.24
2011-01-21,76,12.57
2011-01-28,79,11.93
2011-02-04,81,11.72
2011-02-11,78,12.39
2011-02-18,59,12.57
2011-02-25,47,11.79
2011-03-04,47,11.8
2011-03-11,45,12.72
2011-03-18,41,12.2
2011-03-25,45,12.68
2011-04-01,47,12.67
2011-04-08,61,11.68
2011-04-15,48,11.63
2011-04-29,45,11.75
2011-05-06,44,12.11
2011-05-13,41,12.07
2011-05-20,43,12.27
2011-05-27,46,11.83
2011-06-03,47,11.56
2011-06-10,45,10.93
2011-06-17,47,10.94
2011-06-24,71,11.36
2011-07-01,52,11.64
2011-07-08,48,11.38
2011-07-15,50,10.72
2011-07-22,52,10.42
2011-07-29,54,9.96
2011-08-05,52,8.47
2011-08-12,48,8.31
2011-08-19,48,7.89
2011-08-26,47,8.2
2011-09-02,43,8.25
2011-09-09,44,8.06
2011-09-16,46,8.97
2011-09-23,45,8.38
2011-09-30,47,8.04
2011-10-07,46,7.69
2011-10-14,42,8.61
2011-10-21,50,8.87
2011-10-28,45,8.78
2011-11-04,45,8.53
2011-11-11,62,8.21
2011-11-18,67,7.81
2011-11-25,50,7.5
2011-12-02,57,8.28
2011-12-09,54,8.44
2011-12-16,53,8.71
2011-12-23,55,8.58
2011-12-30,60,8.56
2012-01-06,67,8.52
2012-01-13,67,8.84
2012-01-20,67,9.4
2012-01-27,68,9.62
2012-02-03,63,10.04
2012-02-10,64,9.62
2012-02-17,64,9.43
2012-02-24,67,8.68
2012-03-02,72,8.96
2012-03-09,73,8.48
2012-03-16,70,8.31
2012-03-23,67,8.23
2012-03-30,60,8.24
2012-04-13,49,7.94
2012-04-20,51,7.91
2012-04-27,51,8.25
2012-05-04,54,8.1
2012-05-11,53,8.05
2012-05-18,55,8.15
2012-05-25,55,8.76
2012-06-01,52,8.95
2012-06-08,56,9.06
2012-06-15,65,8.93
2012-06-22,59,9.21
2012-06-29,56,9.22
2012-07-06,53,9.27
2012-07-13,60,9.44
2012-07-20,61,8.86
2012-07-27,57,8.9
2012-08-03,58,9.13
2012-08-10,56,9.07
2012-08-17,58,9.13
2012-08-24,55,9.21
2012-08-31,51,8.94
2012-09-07,50,9.19
2012-09-14,49,9.07
2012-09-21,51,8.84
2012-09-28,46,8.77
2012-10-05,50,8.97
2012-10-12,47,8.84
2012-10-19,42,8.88
2012-10-26,44,8.74
2012-11-02,42,9.03
2012-11-09,43,9.06
2012-11-16,44,8.93
2012-11-23,37,9.37
2012-11-30,42,9.53
2012-12-07,42,9.81
2012-12-14,41,10.19
2012-12-21,41,10.46
2012-12-28,47,10.16
2013-01-04,52,10.88
2013-01-11,52,11.05
2013-01-18,51,11.26
2013-01-25,49,11.44
2013-02-01,46,11.23
2013-02-08,57,11.64
2013-02-15,55,11.6
2013-02-22,50,11.6
2013-03-01,48,11.82
2013-03-08,52,12.26
2013-03-15,50,12.38
2013-03-22,48,12.87
2013-04-05,48,12.81
2013-04-12,49,13.15
2013-04-19,47,13.34
2013-04-26,45,13.39
2013-05-03,46,14.07
2013-05-10,48,14.16
2013-05-17,46,14.38
2013-05-24,47,14.28
2013-05-31,45,14.17
2013-06-07,49,13.88
2013-06-14,60,13.87
2013-06-21,52,13.48
2013-06-28,50,12.89
2013-07-05,46,12.79
2013-07-12,50,13.46
2013-07-19,50,13.81
2013-07-26,53,13.79
2013-08-02,47,14.19
2013-08-09,50,13.74
2013-08-16,49,13.34
2013-08-23,47,13.27
2013-08-30,48,12.81
2013-09-06,47,13.1
2013-09-13,50,13.9
2013-09-20,47,14.41
2013-09-27,53,14.64
2013-10-04,52,14.89
2013-10-11,50,15.23
2013-10-18,49,16.07
2013-10-25,60,17.17
2013-11-01,64,17.47
2013-11-08,63,17.69
2013-11-15,49,18.16
2013-11-22,47,18.56
2013-11-29,44,18.59
2013-12-06,51,18.31
2013-12-13,47,18.63
2013-12-20,47,18.86
2013-12-27,48,18.74
2014-01-03,63,19.42
2014-01-10,67,21.03
2014-01-17,59,21.22
2014-01-24,56,20.84
2014-01-31,53,20.95
2014-02-07,46,21.43
2014-02-14,51,21.3
2014-02-21,51,21.76
2014-02-28,52,22.44
2014-03-07,52,23.1
2014-03-14,48,23.92
2014-03-21,50,23.18
2014-03-28,54,23.16
2014-04-04,48,23.81
2014-04-11,45,22.75
2014-04-25,47,23.95
