"Date","Boeing.Company","Price"
2009-06-19,30,48.44
2009-06-26,23,41.88
2009-07-10,28,39.65
2009-07-17,24,41.36
2009-07-24,24,42.37
2009-07-31,18,42.91
2009-08-07,28,46.69
2009-08-14,25,44.87
2009-08-21,23,45.87
2009-08-28,29,51.04
2009-09-04,21,49.15
2009-09-11,29,51.35
2009-09-18,34,53.02
2009-09-25,23,51.52
2009-10-02,24,51.4
2009-10-09,28,52.69
2009-10-16,21,53.19
2009-10-23,29,49.89
2009-10-30,36,47.8
2009-11-06,25,49.68
2009-11-13,30,50.68
2009-11-20,28,51.7
2009-11-27,25,52.45
2009-12-04,24,54.68
2009-12-11,24,55.6
2009-12-18,30,53.44
2010-01-08,25,61.6
2010-01-15,20,60.82
2010-01-22,26,57.77
2010-01-29,27,60.6
2010-02-05,29,58.4
2010-02-12,27,59.65
2010-02-19,23,63.59
2010-02-26,22,63.16
2010-03-05,26,67.93
2010-03-12,28,69.83
2010-03-19,21,70.72
2010-03-26,35,72.59
2010-04-09,29,72.42
2010-04-16,30,70.79
2010-04-23,24,75.13
2010-04-30,28,72.43
2010-05-07,30,66.72
2010-05-14,25,69.82
2010-05-21,27,64.56
2010-05-28,21,64.18
2010-06-04,25,61.15
2010-06-11,25,65.38
2010-06-18,18,67.96
2010-06-25,21,68.77
2010-07-02,29,61.94
2010-07-09,16,64.66
2010-07-16,26,61.9
2010-07-23,27,67.93
2010-07-30,22,68.14
2010-08-06,21,68.7
2010-08-13,20,64.84
2010-08-20,23,64.6
2010-08-27,21,63.16
2010-09-03,24,64.64
2010-09-10,23,63.84
2010-09-17,32,62.95
2010-09-24,19,64.6
2010-10-01,21,66.83
2010-10-08,21,69.23
2010-10-15,25,70.11
2010-10-22,24,71.26
2010-10-29,22,70.64
2010-11-05,23,71.27
2010-11-12,25,63.09
2010-11-19,25,63.59
2010-11-26,14,64.8
2010-12-03,16,66.54
2010-12-10,17,64.16
2010-12-17,20,65.03
2010-12-31,13,65.26
2011-01-07,21,69.38
2011-01-14,17,70.07
2011-01-21,24,71.68
2011-01-28,23,69.23
2011-02-04,20,71.38
2011-02-11,20,72.14
2011-02-18,25,73.04
2011-02-25,30,72.3
2011-03-04,21,71.8
2011-03-11,23,71.64
2011-03-18,17,69.1
2011-03-25,25,73.34
2011-04-01,21,74.01
2011-04-08,20,73.47
2011-04-15,25,72.6
2011-04-29,26,79.78
2011-05-06,23,79.31
2011-05-13,21,79.03
2011-05-20,24,77.52
2011-05-27,18,76.99
2011-06-03,19,74.84
2011-06-10,26,72.69
2011-06-17,22,74.16
2011-06-24,20,71.26
2011-07-01,16,74.27
2011-07-08,17,75.07
2011-07-15,22,71.28
2011-07-22,24,72.67
2011-07-29,14,70.47
2011-08-05,25,62.75
2011-08-12,15,61.75
2011-08-19,22,57.54
2011-08-26,22,62.8
2011-09-02,21,64.03
2011-09-09,20,61.79
2011-09-16,26,65.38
2011-09-23,23,59.51
2011-09-30,27,60.51
2011-10-07,25,61.81
2011-10-14,23,63.89
2011-10-21,17,64.59
2011-10-28,19,68.17
2011-11-04,19,65.8
2011-11-11,19,66.92
2011-11-18,25,67.46
2011-11-25,17,62.78
2011-12-02,21,71.3
2011-12-09,26,71.93
2011-12-16,18,71.01
2011-12-23,17,73.97
2011-12-30,14,73.35
2012-01-06,20,73.98
2012-01-13,18,74.6
2012-01-20,26,75.52
2012-01-27,20,74.55
2012-02-03,26,76.34
2012-02-10,25,74.95
2012-02-17,25,75.35
2012-02-24,26,76.06
2012-03-02,24,74.9
2012-03-09,18,73.29
2012-03-16,25,75.2
2012-03-23,22,73.97
2012-03-30,20,74.37
2012-04-13,22,72.92
2012-04-20,23,73.55
2012-04-27,24,77.27
2012-05-04,20,75.84
2012-05-11,24,73.56
2012-05-18,21,69.15
2012-05-25,19,70
2012-06-01,19,67.24
2012-06-08,25,69.94
2012-06-15,16,71.99
2012-06-22,20,71.96
2012-06-29,15,74.3
2012-07-06,16,73.69
2012-07-13,20,73.51
2012-07-20,20,73.89
2012-07-27,21,75.51
2012-08-03,15,72.81
2012-08-10,20,74.21
2012-08-17,21,73.91
2012-08-24,18,71.09
2012-08-31,17,71.4
2012-09-07,21,72.89
2012-09-14,26,71.28
2012-09-21,25,69.97
2012-09-28,22,69.6
2012-10-05,21,70.89
2012-10-12,24,71.85
2012-10-19,22,74.01
2012-10-26,23,71.11
2012-11-02,21,70.05
2012-11-09,20,73.25
2012-11-16,15,70.77
2012-11-23,17,73.74
2012-11-30,21,74.28
2012-12-07,21,74.64
2012-12-14,17,74.02
2012-12-21,19,76.17
2012-12-28,9,74.69
2013-01-04,13,77.69
2013-01-11,20,75.16
2013-01-18,27,75.04
2013-01-25,21,75.03
2013-02-01,19,74.87
2013-02-08,22,76.56
2013-02-15,20,75.03
2013-02-22,19,76.66
2013-03-01,22,77.28
2013-03-08,20,81.23
2013-03-15,19,86.43
2013-03-22,19,84.82
2013-04-05,19,86.17
2013-04-12,20,88.89
2013-04-19,17,87.96
2013-04-26,20,92.85
2013-05-03,22,93.74
2013-05-10,17,94.24
2013-05-17,18,98.92
2013-05-24,15,100
2013-05-31,19,99.02
2013-06-07,15,102.49
2013-06-14,15,101.83
2013-06-21,17,99.98
2013-06-28,17,102.44
2013-07-05,15,104.2
2013-07-12,24,101.87
2013-07-19,20,106.96
2013-07-26,16,105.6
2013-08-02,16,107.9
2013-08-09,14,105.33
2013-08-16,19,103.47
2013-08-23,14,105.48
2013-08-30,17,103.92
2013-09-06,18,106.07
2013-09-13,16,111.33
2013-09-20,22,116.63
2013-09-27,23,118.74
2013-10-04,14,117.2
2013-10-11,19,117.98
2013-10-18,23,122.52
2013-10-25,17,131.19
2013-11-01,20,133.03
2013-11-08,18,133.49
2013-11-15,23,136.08
2013-11-22,23,135.97
2013-11-29,14,134.25
2013-12-06,17,135.18
2013-12-13,18,133.83
2013-12-20,15,136.67
2013-12-27,12,136.9
2014-01-03,13,137.62
2014-01-10,22,141.9
2014-01-17,18,140.46
2014-01-24,18,136.65
2014-01-31,13,125.26
2014-02-07,15,127.02
2014-02-14,15,130.16
2014-02-21,17,128.28
2014-02-28,22,128.92
2014-03-07,20,128.54
2014-03-14,28,123.11
2014-03-21,20,122.58
2014-03-28,20,124.46
2014-04-04,22,127.38
2014-04-11,19,122.07
2014-04-25,18,128.66
