"Date","R","Price"
2008-05-09,53,70.88
2008-05-16,53,75.43
2008-05-23,54,70.31
2008-05-30,53,73.43
2008-06-06,52,70.12
2008-06-13,55,68.53
2008-06-20,53,72.37
2008-06-27,53,69.82
2008-07-11,53,65.81
2008-07-18,57,71.09
2008-07-25,57,64.12
2008-08-01,56,66.15
2008-08-08,55,69.59
2008-08-15,54,70.63
2008-08-22,55,69.13
2008-08-29,54,64.52
2008-09-05,55,62.6
2008-09-12,54,66.41
2008-09-19,56,68.2
2008-09-26,57,60.98
2008-10-03,56,54.22
2008-10-10,56,49.52
2008-10-17,57,44.09
2008-10-24,58,37.17
2008-10-31,59,39.62
2008-11-07,63,38.66
2008-11-14,68,36.91
2008-11-21,69,30.59
2008-11-28,74,35.91
2008-12-05,80,35.32
2008-12-12,78,33.58
2008-12-19,75,36.74
2008-12-26,67,35.98
2009-01-02,58,40.42
2009-01-09,55,38.2
2009-01-16,54,34.75
2009-01-23,53,32.91
2009-01-30,56,33.78
2009-02-06,57,34.04
2009-02-13,55,30.44
2009-02-20,58,26.1
2009-02-27,57,22.86
2009-03-06,55,19.41
2009-03-13,54,23.64
2009-03-20,55,25.2
2009-03-27,55,28.36
2009-04-03,55,31.49
2009-04-17,55,25.3
2009-04-24,53,26.89
2009-05-01,52,28.7
2009-05-08,52,29.94
2009-05-15,53,26.16
2009-05-22,52,26.08
2009-05-29,52,28.18
2009-06-05,53,29.58
2009-06-12,52,30.39
2009-06-19,51,29.34
2009-06-26,52,28.36
2009-07-10,53,25.17
2009-07-17,53,27.11
2009-07-24,54,32.25
2009-07-31,54,35.13
2009-08-07,52,38.79
2009-08-14,53,39.25
2009-08-21,53,39.9
2009-08-28,54,39.09
2009-09-04,53,38.12
2009-09-11,53,42.51
2009-09-18,54,41.19
2009-09-25,54,38.7
2009-10-02,56,36.53
2009-10-09,56,38.67
2009-10-16,57,44.75
2009-10-23,58,44.49
2009-10-30,61,40.55
2009-11-06,62,42.26
2009-11-13,66,43.34
2009-11-20,68,41.16
2009-11-27,80,40.6
2009-12-04,77,42.53
2009-12-11,76,41.7
2009-12-18,75,43.06
2010-01-08,56,40.34
2010-01-15,53,39.88
2010-01-22,55,37.43
2010-01-29,55,36.4
2010-02-05,57,33.14
2010-02-12,54,34.15
2010-02-19,54,34.85
2010-02-26,54,35.29
2010-03-05,55,35.91
2010-03-12,54,36.8
2010-03-19,54,38.69
2010-03-26,56,38.56
2010-04-09,54,42.44
2010-04-16,56,43.35
2010-04-23,52,47.35
2010-04-30,54,46.52
2010-05-07,51,42.46
2010-05-14,51,44.99
2010-05-21,52,43.48
2010-05-28,52,44.94
2010-06-04,51,41.67
2010-06-11,52,43.89
2010-06-18,50,44.49
2010-06-25,51,42.55
2010-07-02,52,38.84
2010-07-09,53,41.12
2010-07-16,54,39.83
2010-07-23,54,43.25
2010-07-30,54,43.67
2010-08-06,53,43.52
2010-08-13,53,40.33
2010-08-20,56,39.32
2010-08-27,54,39.2
2010-09-03,52,40.99
2010-09-10,55,41.57
2010-09-17,57,42.1
2010-09-24,55,43.26
2010-10-01,59,42.51
2010-10-08,57,43.82
2010-10-15,58,45.38
2010-10-22,60,44.87
2010-10-29,63,43.75
2010-11-05,66,45.23
2010-11-12,68,43.53
2010-11-19,74,43.81
2010-11-26,83,43.88
2010-12-03,83,45.2
2010-12-10,81,47.67
2010-12-17,80,50.62
2010-12-31,61,52.64
2011-01-07,59,51.91
2011-01-14,58,51.43
2011-01-21,60,49.49
2011-01-28,62,47.73
2011-02-04,62,50.39
2011-02-11,61,49.31
2011-02-18,60,49.41
2011-02-25,61,47.47
2011-03-04,58,48.06
2011-03-11,56,47.85
2011-03-18,54,47.81
2011-03-25,58,49.65
2011-04-01,58,50.66
2011-04-08,57,49.72
2011-04-15,59,50.96
2011-04-29,58,53.5
2011-05-06,56,52.53
2011-05-13,56,55.05
2011-05-20,57,54.65
2011-05-27,57,54.45
2011-06-03,58,52.09
2011-06-10,58,50.45
2011-06-17,58,51.5
2011-06-24,58,52.75
2011-07-01,57,58.6
2011-07-08,58,58.08
2011-07-15,58,57.02
2011-07-22,60,58.63
2011-07-29,59,56.32
2011-08-05,59,48.46
2011-08-12,59,46.21
2011-08-19,61,40.86
2011-08-26,60,44.38
2011-09-02,60,44.35
2011-09-09,59,42.75
2011-09-16,61,45.33
2011-09-23,64,38.91
2011-09-30,65,37.51
2011-10-07,63,38.98
2011-10-14,62,44.97
2011-10-21,68,47.09
2011-10-28,68,51.8
2011-11-04,73,51.52
2011-11-11,77,53.11
2011-11-18,77,51.14
2011-11-25,89,46.74
2011-12-02,89,52.85
2011-12-09,86,53.02
2011-12-16,86,50.76
2011-12-23,85,53.69
2011-12-30,67,53.14
2012-01-06,67,54.65
2012-01-13,66,55.05
2012-01-20,66,55.49
2012-01-27,69,57.18
2012-02-03,68,52.62
2012-02-10,68,53.8
2012-02-17,66,53.7
2012-02-24,65,52.32
2012-03-02,66,53.52
2012-03-09,68,53.5
2012-03-16,65,55.37
2012-03-23,68,54.21
2012-03-30,65,52.8
2012-04-13,64,49.74
2012-04-20,64,49.2
2012-04-27,63,49.22
2012-05-04,62,47.26
2012-05-11,61,45.22
2012-05-18,59,41.1
2012-05-25,63,43.59
2012-06-01,63,41.69
2012-06-08,62,42.9
2012-06-15,60,42.14
2012-06-22,62,35.44
2012-06-29,62,36.01
2012-07-06,62,34.33
2012-07-13,62,34.69
2012-07-20,62,35.14
2012-07-27,61,39.39
2012-08-03,61,39.38
2012-08-10,61,40.83
2012-08-17,63,42.59
2012-08-24,63,40.49
2012-08-31,63,40.01
2012-09-07,66,41.67
2012-09-14,63,42.99
2012-09-21,63,40.01
2012-09-28,64,39.06
2012-10-05,64,42.02
2012-10-12,65,42.29
2012-10-19,65,43.52
2012-10-26,71,44.8
2012-11-02,65,45.74
2012-11-09,71,45.17
2012-11-16,76,44.22
2012-11-23,90,46.02
2012-11-30,88,47.07
2012-12-07,83,48.59
2012-12-14,84,49.6
2012-12-21,83,50.42
2012-12-28,72,48.69
2013-01-04,64,51.93
2013-01-11,63,53.12
2013-01-18,62,55
2013-01-25,63,55.98
2013-02-01,64,57.9
2013-02-08,66,58.21
2013-02-15,63,57.42
2013-02-22,62,56.04
2013-03-01,62,55.43
2013-03-08,63,58.85
2013-03-15,62,61
2013-03-22,62,60.08
2013-04-05,61,57.83
2013-04-12,64,61.37
2013-04-19,63,57.15
2013-04-26,60,56.87
2013-05-03,59,58.46
2013-05-10,58,61.2
2013-05-17,58,62.52
2013-05-24,58,62.59
2013-05-31,59,63.04
2013-06-07,58,62.78
2013-06-14,60,62.09
2013-06-21,58,60.49
2013-06-28,59,60.79
2013-07-05,61,60.24
2013-07-12,60,60.82
2013-07-19,62,62.67
2013-07-26,61,61.64
2013-08-02,61,64.79
2013-08-09,60,60.64
2013-08-16,60,58.89
2013-08-23,59,59.3
2013-08-30,60,55.61
2013-09-06,61,56.98
2013-09-13,60,59.46
2013-09-20,60,60.4
2013-09-27,61,59.7
2013-10-04,61,59.93
2013-10-11,61,59.62
2013-10-18,65,62.04
2013-10-25,67,65.34
2013-11-01,69,66.28
2013-11-08,71,64.58
2013-11-15,76,68.04
2013-11-22,83,69.01
2013-11-29,92,69.84
2013-12-06,94,68.75
2013-12-13,100,67.69
2013-12-20,93,71.39
2013-12-27,78,73.4
2014-01-03,66,72.79
2014-01-10,64,73
2014-01-17,63,74.3
2014-01-24,65,71.88
2014-01-31,66,71.19
2014-02-07,64,71.43
2014-02-14,65,71.7
2014-02-21,65,72.74
2014-02-28,64,75.32
2014-03-07,64,77.88
2014-03-14,63,77.23
2014-03-21,64,78.7
2014-03-28,64,78.71
2014-04-04,64,80.45
2014-04-11,64,78.26
2014-04-25,63,81.98
