"Date","COG","Price"
2005-10-07,62,45.4
2005-10-14,66,46.23
2005-10-21,67,43.4
2005-10-28,67,46.41
2005-11-04,64,44.99
2005-11-11,47,41.21
2005-11-18,62,42.19
2005-11-25,56,43.89
2005-12-02,63,44.31
2005-12-09,56,45.07
2005-12-16,60,46.54
2005-12-23,59,47.18
2005-12-30,58,45.1
2006-01-06,56,48
2006-01-13,56,49.92
2006-01-20,60,51.88
2006-01-27,53,49.84
2006-02-03,59,48.58
2006-02-10,51,44.4
2006-02-17,63,46.5
2006-02-24,47,47.62
2006-03-03,51,49.66
2006-03-10,52,44.47
2006-03-17,56,47.5
2006-03-24,49,47.92
2006-03-31,56,47.93
2006-04-07,57,49.27
2006-04-21,62,52.97
2006-04-28,59,49.26
2006-05-05,61,52.72
2006-05-12,60,49.98
2006-05-19,62,45.95
2006-05-26,57,44.25
2006-06-02,56,45.21
2006-06-09,55,40.04
2006-06-16,63,42.31
2006-06-23,66,44
2006-06-30,58,49
2006-07-07,87,47.12
2006-07-14,63,46.99
2006-07-21,59,44.15
2006-07-28,69,51.45
2006-08-04,57,54.39
2006-08-11,67,54.27
2006-08-18,63,53.6
2006-08-25,65,54.87
2006-09-01,63,52.18
2006-09-08,61,47.88
2006-09-15,51,45.06
2006-09-22,63,45
2006-09-29,67,47.93
2006-10-06,59,46.13
2006-10-13,44,49.69
2006-10-20,54,51.02
2006-10-27,43,52.88
2006-11-03,50,54.07
2006-11-10,44,54.07
2006-11-17,73,58.9
2006-11-24,71,59.88
2006-12-01,61,62.86
2006-12-08,63,64.07
2006-12-15,60,64.96
2006-12-22,60,61.93
2006-12-29,70,60.65
2007-01-05,82,57.18
2007-01-12,64,58.87
2007-01-19,74,59.85
2007-01-26,67,62.34
2007-02-02,64,64.85
2007-02-09,68,65.86
2007-02-16,64,67.17
2007-02-23,67,70.57
2007-03-02,63,66.25
2007-03-09,64,67.04
2007-03-16,64,66.55
2007-03-23,57,69.66
2007-03-30,67,67.32
2007-04-13,60,35.59
2007-04-20,58,35.48
2007-04-27,61,36.88
2007-05-04,62,37.6
2007-05-11,60,37.14
2007-05-18,60,38.43
2007-05-25,65,38.89
2007-06-01,72,38.55
2007-06-08,67,37.75
2007-06-15,71,41.84
2007-06-22,73,40.15
2007-06-29,66,36.88
2007-07-06,62,37.48
2007-07-13,60,37.83
2007-07-20,72,37.14
2007-07-27,77,33.64
2007-08-03,65,33.2
2007-08-10,71,31.59
2007-08-17,70,32.98
2007-08-24,66,33.65
2007-08-31,66,33.34
2007-09-07,100,33.17
2007-09-14,73,35.69
2007-09-21,61,36.54
2007-09-28,64,35.16
2007-10-05,58,37.23
2007-10-12,53,37.22
2007-10-19,55,37.5
2007-10-26,65,37.78
2007-11-02,52,39.54
2007-11-09,56,36.84
2007-11-16,60,35.27
2007-11-23,50,35.09
2007-11-30,51,34.42
2007-12-07,51,36.8
2007-12-14,50,37.26
2007-12-21,49,39.45
2007-12-28,46,40.9
2008-01-04,46,41.4
2008-01-11,50,41.94
2008-01-18,51,39.12
2008-01-25,54,37.75
2008-02-01,53,39.2
2008-02-08,41,41.02
2008-02-15,55,46.13
2008-02-22,54,48.85
2008-02-29,54,49.75
2008-03-07,56,49.43
2008-03-14,54,53.41
2008-03-28,55,50.65
2008-04-04,62,54.84
2008-04-11,62,57.61
2008-04-18,69,61.26
2008-04-25,62,58.04
2008-05-02,60,57.82
2008-05-09,56,61.31
2008-05-16,63,62.77
2008-05-23,61,60.16
2008-05-30,61,60.25
2008-06-06,64,68.03
2008-06-13,63,66.42
2008-06-20,61,65.4
2008-06-27,67,65.19
2008-07-11,64,60.19
2008-07-18,71,51.61
2008-07-25,65,45.3
2008-08-01,71,44.86
2008-08-08,68,40.69
2008-08-15,67,42.64
2008-08-22,58,42.66
2008-08-29,60,44.44
2008-09-05,58,39.2
2008-09-12,54,38.59
2008-09-19,62,41.2
2008-09-26,59,38.88
2008-10-03,60,28.99
2008-10-10,65,21.31
2008-10-17,59,26.11
2008-10-24,61,25.44
2008-10-31,57,28.07
2008-11-07,65,28.91
2008-11-14,70,26.54
2008-11-21,67,24.33
2008-11-28,54,29.97
2008-12-05,48,22.29
2008-12-12,59,26.78
2008-12-19,43,25.9
2008-12-26,47,23.93
2009-01-02,47,27.48
2009-01-09,50,26.42
2009-01-16,50,25.05
2009-01-23,50,26.65
2009-01-30,53,27.49
2009-02-06,49,29.65
2009-02-13,49,25.98
2009-02-20,51,21.44
2009-02-27,50,20.37
2009-03-06,56,20.64
2009-03-13,50,22.57
2009-03-20,54,25.14
2009-03-27,53,25.2
2009-04-03,52,27.22
2009-04-17,49,29.13
2009-04-24,50,28.39
2009-05-01,49,32.01
2009-05-08,55,34.57
2009-05-15,55,30.82
2009-05-22,55,29.86
2009-05-29,52,35.13
2009-06-05,58,35.59
2009-06-12,58,35.59
2009-06-19,54,31.82
2009-06-26,57,30.66
2009-07-10,58,29.48
2009-07-17,52,33.87
2009-07-24,62,36.23
2009-07-31,56,35.13
2009-08-07,63,35.45
2009-08-14,54,35.1
2009-08-21,58,37.65
2009-08-28,53,36.23
2009-09-04,57,34.95
2009-09-11,85,37.25
2009-09-18,62,37.74
2009-09-25,49,33.69
2009-10-02,55,34.23
2009-10-09,52,36.78
2009-10-16,48,39.57
2009-10-23,43,38.9
2009-10-30,39,38.47
2009-11-06,40,40.07
2009-11-13,41,39.86
2009-11-20,42,38.22
2009-11-27,39,38.18
2009-12-04,38,38.04
2009-12-11,37,38.34
2009-12-18,37,43.47
2010-01-08,35,45.46
2010-01-15,40,42.99
2010-01-22,39,41.95
2010-01-29,38,38.27
2010-02-05,37,38.45
2010-02-12,39,39.5
2010-02-19,40,41.32
2010-02-26,40,40.14
2010-03-05,46,41.37
2010-03-12,42,41.86
2010-03-19,41,38.14
2010-03-26,43,36.4
2010-04-09,42,39.96
2010-04-16,44,38.95
2010-04-23,42,39.9
2010-04-30,45,36.13
2010-05-07,42,31.88
2010-05-14,43,33.83
2010-05-21,51,31.36
2010-05-28,47,34.69
2010-06-04,46,34.97
2010-06-11,52,37.01
2010-06-18,52,36.43
2010-06-25,55,32.93
2010-07-02,55,30.93
2010-07-09,55,33.49
2010-07-16,56,31.87
2010-07-23,59,31.84
2010-07-30,58,30.47
2010-08-06,57,31.85
2010-08-13,55,30.69
2010-08-20,49,29.28
2010-08-27,54,28.69
2010-09-03,52,29.28
2010-09-10,77,29.12
2010-09-17,56,26.99
2010-09-24,46,28.69
2010-10-01,46,30.56
2010-10-08,48,32.04
2010-10-15,47,30.52
2010-10-22,55,30.88
2010-10-29,44,28.98
2010-11-05,43,32.21
2010-11-12,41,34.37
2010-11-19,49,35.83
2010-11-26,39,35.01
2010-12-03,40,37.69
2010-12-10,38,35.36
2010-12-17,45,36.63
2010-12-31,36,37.85
2011-01-07,41,37.49
2011-01-14,43,38.58
2011-01-21,39,39.09
2011-01-28,42,39.77
2011-02-04,41,41.38
2011-02-11,40,40.41
2011-02-18,42,40.87
2011-02-25,43,45.79
2011-03-04,43,46.3
2011-03-11,45,44.02
2011-03-18,44,48.47
2011-03-25,46,51.41
2011-04-01,45,54.03
2011-04-08,56,53.13
2011-04-15,49,53.5
2011-04-29,49,56.28
2011-05-06,51,52.29
2011-05-13,49,52.94
2011-05-20,52,54.66
2011-05-27,48,58.12
2011-06-03,52,56.56
2011-06-10,52,57.83
2011-06-17,51,60.34
2011-06-24,55,61.45
2011-07-01,56,67.21
2011-07-08,53,66.48
2011-07-15,58,68.43
2011-07-22,61,71.93
2011-07-29,59,74.08
2011-08-05,61,66.87
2011-08-12,55,72.22
2011-08-19,56,66.59
2011-08-26,58,71.95
2011-09-02,54,74.24
2011-09-09,58,70.19
2011-09-16,77,70.56
2011-09-23,90,61.11
2011-09-30,86,61.91
2011-10-07,71,63.62
2011-10-14,63,68.32
2011-10-21,57,70.29
2011-10-28,48,80.2
2011-11-04,50,83.64
2011-11-11,49,88.06
2011-11-18,51,82.14
2011-11-25,48,76.69
2011-12-02,48,86.41
2011-12-09,45,81.18
2011-12-16,47,74.17
2011-12-23,45,77.99
2011-12-30,45,75.9
2012-01-06,47,80.65
2012-01-13,47,67.13
2012-01-20,44,61.12
2012-01-27,44,32.88
2012-02-03,47,32.45
2012-02-10,46,33.57
2012-02-17,49,36.64
2012-02-24,49,35.69
2012-03-02,49,34.46
2012-03-09,47,34.91
2012-03-16,47,33.42
2012-03-23,51,32.52
2012-03-30,51,31.17
2012-04-13,46,30.6
2012-04-20,48,30.14
2012-04-27,50,33.79
2012-05-04,46,34.37
2012-05-11,50,35.51
2012-05-18,49,34.27
2012-05-25,50,34.77
2012-06-01,48,31.15
2012-06-08,51,32.99
2012-06-15,53,36.2
2012-06-22,54,36.4
2012-06-29,57,39.4
2012-07-06,53,39.51
2012-07-13,53,40.59
2012-07-20,51,40.2
2012-07-27,57,42.03
2012-08-03,59,41.18
2012-08-10,52,42.88
2012-08-17,51,42.99
2012-08-24,55,41.86
2012-08-31,50,41.41
2012-09-07,52,42.17
2012-09-14,52,45.86
2012-09-21,49,45.05
2012-09-28,49,44.9
2012-10-05,48,44.28
2012-10-12,45,43.86
2012-10-19,44,44.48
2012-10-26,45,47.46
2012-11-02,40,47.55
2012-11-09,41,47.55
2012-11-16,39,47.97
2012-11-23,39,49.88
2012-11-30,38,47.1
2012-12-07,39,48.84
2012-12-14,42,46.79
2012-12-21,41,50.83
2012-12-28,36,48.83
2013-01-04,37,50.11
2013-01-11,45,48.1
2013-01-18,44,51.38
2013-01-25,43,52.85
2013-02-01,40,53.18
2013-02-08,41,54.9
2013-02-15,39,54.31
2013-02-22,40,59.81
2013-03-01,47,63.4
2013-03-08,42,64.6
2013-03-15,43,67.06
2013-03-22,51,67.68
2013-04-05,51,67.96
2013-04-12,47,67.7
2013-04-19,46,64.6
2013-04-26,47,67.33
2013-05-03,48,67.31
2013-05-10,47,66.84
2013-05-17,46,70.28
2013-05-24,47,70.96
2013-05-31,49,70.36
2013-06-07,48,72.31
2013-06-14,50,69.54
2013-06-21,48,68
2013-06-28,48,71.02
2013-07-05,48,71.45
2013-07-12,51,70.83
2013-07-19,52,73.67
2013-07-26,54,77.16
2013-08-02,55,77.18
2013-08-09,56,76
2013-08-16,54,37.13
2013-08-23,50,38.85
2013-08-30,46,39.13
2013-09-06,45,38.74
2013-09-13,49,37.52
2013-09-20,47,37.71
2013-09-27,51,37.11
2013-10-04,47,36.32
2013-10-11,46,36.75
2013-10-18,42,36.12
2013-10-25,40,36.98
2013-11-01,42,35.04
2013-11-08,43,33.6
2013-11-15,41,33.33
2013-11-22,41,35.14
2013-11-29,42,34.45
2013-12-06,42,35.2
2013-12-13,42,36.12
2013-12-20,41,38.43
2013-12-27,43,38.73
2014-01-03,41,37.95
2014-01-10,40,37.5
2014-01-17,41,37.48
2014-01-24,42,39.55
2014-01-31,39,39.98
2014-02-07,40,39.32
2014-02-14,42,38.86
2014-02-21,44,36.07
2014-02-28,42,35
2014-03-07,45,35.11
2014-03-14,44,33.96
2014-03-21,43,32.96
2014-03-28,46,33.84
2014-04-04,45,34.57
2014-04-11,45,32.41
2014-04-25,44,38.18
