"Date","General.Mills","Price"
2006-05-19,39,49.55
2006-05-26,45,51.79
2006-06-02,46,51.9
2006-06-09,49,51.2
2006-06-16,49,50.44
2006-06-23,40,51.11
2006-06-30,49,51.66
2006-07-07,40,51.97
2006-07-14,48,51.91
2006-07-21,49,51.67
2006-07-28,44,52.33
2006-08-04,51,52.37
2006-08-11,46,53.2
2006-08-18,47,53.33
2006-08-25,56,54.11
2006-09-01,54,54.36
2006-09-08,55,53.18
2006-09-15,64,52.96
2006-09-22,61,55.24
2006-09-29,63,56.6
2006-10-06,53,55.55
2006-10-13,69,55.05
2006-10-20,55,55.79
2006-10-27,50,56.65
2006-11-03,58,55.9
2006-11-10,53,55.36
2006-11-17,48,56.51
2006-11-24,41,56.65
2006-12-01,42,56
2006-12-08,48,57.32
2006-12-15,40,57.65
2006-12-22,42,58.54
2006-12-29,34,57.6
2007-01-05,38,56.97
2007-01-12,55,56.9
2007-01-19,44,56.65
2007-01-26,51,56.55
2007-02-02,60,57.31
2007-02-09,49,57.03
2007-02-16,46,58.09
2007-02-23,53,57.18
2007-03-02,48,55.5
2007-03-09,51,55.2
2007-03-16,40,56.08
2007-03-23,45,58.19
2007-03-30,46,58.22
2007-04-13,41,58.48
2007-04-20,45,59.12
2007-04-27,50,60.08
2007-05-04,47,59.46
2007-05-11,42,59.66
2007-05-18,38,60.97
2007-05-25,35,60.15
2007-06-01,38,61.34
2007-06-08,44,59.2
2007-06-15,40,59.6
2007-06-22,42,58.46
2007-06-29,47,58.42
2007-07-06,33,57.97
2007-07-13,41,59.19
2007-07-20,49,58.47
2007-07-27,48,55.58
2007-08-03,45,55.57
2007-08-10,40,55.34
2007-08-17,43,55.79
2007-08-24,46,57.31
2007-08-31,45,55.88
2007-09-07,39,57.99
2007-09-14,47,57.67
2007-09-21,49,58.49
2007-09-28,49,58.01
2007-10-05,53,57.52
2007-10-12,48,58.47
2007-10-19,51,56.75
2007-10-26,50,57.72
2007-11-02,83,56.91
2007-11-09,53,56.96
2007-11-16,40,57.43
2007-11-23,34,57.1
2007-11-30,47,60.15
2007-12-07,45,60.52
2007-12-14,48,59
2007-12-21,31,58.06
2007-12-28,25,57.51
2008-01-04,37,55.7
2008-01-11,46,56.15
2008-01-18,46,54.09
2008-01-25,48,52.94
2008-02-01,41,55.79
2008-02-08,43,53.84
2008-02-15,49,56.39
2008-02-22,46,56.9
2008-02-29,46,55.99
2008-03-07,47,54.73
2008-03-14,43,57.2
2008-03-28,44,60.06
2008-04-04,49,60.55
2008-04-11,45,59.54
2008-04-18,40,62.39
2008-04-25,46,60.9
2008-05-02,47,61.67
2008-05-09,45,60.82
2008-05-16,38,62.18
2008-05-23,40,61.09
2008-05-30,38,63.2
2008-06-06,41,61.63
2008-06-13,42,62.71
2008-06-20,40,63.02
2008-06-27,45,59.87
2008-07-11,51,63.14
2008-07-18,48,63.48
2008-07-25,54,63.98
2008-08-01,45,64.35
2008-08-08,42,67.08
2008-08-15,42,67.7
2008-08-22,40,67.45
2008-08-29,37,66.18
2008-09-05,41,67.84
2008-09-12,51,69.1
2008-09-19,52,70.06
2008-09-26,52,69.61
2008-10-03,55,70.15
2008-10-10,55,58.11
2008-10-17,50,64.73
2008-10-24,54,64.24
2008-10-31,53,67.74
2008-11-07,48,65.94
2008-11-14,46,66.23
2008-11-21,49,64.7
2008-11-28,34,63.17
2008-12-05,42,63.87
2008-12-12,43,61.14
2008-12-19,37,59
2008-12-26,20,58.71
2009-01-02,34,60.36
2009-01-09,46,58.13
2009-01-16,48,60.58
2009-01-23,70,59.32
2009-01-30,62,59.15
2009-02-06,55,58.84
2009-02-13,53,56.84
2009-02-20,53,55.04
2009-02-27,59,52.48
2009-03-06,46,50.96
2009-03-13,48,52.6
2009-03-20,50,47.22
2009-03-27,46,50.85
2009-04-03,42,50.86
2009-04-17,43,49.89
2009-04-24,45,48.73
2009-05-01,43,50.48
2009-05-08,44,53.4
2009-05-15,52,52.61
2009-05-22,38,52.65
2009-05-29,43,51.18
2009-06-05,41,52.16
2009-06-12,39,54.92
2009-06-19,42,54.72
2009-06-26,37,55.28
2009-07-10,46,58.37
2009-07-17,47,58.81
2009-07-24,46,59.08
2009-07-31,44,58.91
2009-08-07,43,57.53
2009-08-14,45,57.75
2009-08-21,42,59.61
2009-08-28,43,58.97
2009-09-04,43,58.51
2009-09-11,43,60.58
2009-09-18,50,60.31
2009-09-25,54,63.29
2009-10-02,47,63.89
2009-10-09,50,64.45
2009-10-16,44,66
2009-10-23,43,64.95
2009-10-30,53,65.92
2009-11-06,42,66.37
2009-11-13,44,67.6
2009-11-20,39,67.94
2009-11-27,36,68.1
2009-12-04,40,68.93
2009-12-11,42,69.06
2009-12-18,41,68.95
2010-01-08,40,70.72
2010-01-15,44,71.33
2010-01-22,42,70.96
2010-01-29,41,71.31
2010-02-05,42,68.63
2010-02-12,42,69.49
2010-02-19,41,72.36
2010-02-26,43,72.01
2010-03-05,47,72.69
2010-03-12,45,72.37
2010-03-19,35,73.34
2010-03-26,40,70.48
2010-04-09,35,70.82
2010-04-16,40,70.2
2010-04-23,41,70.63
2010-04-30,39,71.16
2010-05-07,38,69.67
2010-05-14,37,72.74
2010-05-21,37,71.72
2010-05-28,39,71.23
2010-06-04,32,73.3
2010-06-11,35,37.66
2010-06-18,40,38.54
2010-06-25,35,37.34
2010-07-02,38,35.42
2010-07-09,32,36.15
2010-07-16,37,35.54
2010-07-23,37,35.52
2010-07-30,35,34.2
2010-08-06,35,33.57
2010-08-13,34,34.86
2010-08-20,38,35.14
2010-08-27,36,36
2010-09-03,30,36.06
2010-09-10,36,37.19
2010-09-17,41,36.17
2010-09-24,43,37.24
2010-10-01,40,36.95
2010-10-08,37,36.98
2010-10-15,41,37.28
2010-10-22,44,37.3
2010-10-29,41,37.56
2010-11-05,41,36.53
2010-11-12,41,36.34
2010-11-19,44,35.11
2010-11-26,30,35.11
2010-12-03,39,35.61
2010-12-10,31,35.7
2010-12-17,36,36.38
2010-12-31,26,35.59
2011-01-07,40,35.62
2011-01-14,36,35.8
2011-01-21,42,36.48
2011-01-28,37,34.94
2011-02-04,36,35.55
2011-02-11,36,35.91
2011-02-18,35,36.1
2011-02-25,38,37.14
2011-03-04,36,36.76
2011-03-11,38,37.31
2011-03-18,39,36.65
2011-03-25,40,36.5
2011-04-01,35,36.39
2011-04-08,42,36.21
2011-04-15,44,37.35
2011-04-29,43,38.58
2011-05-06,43,38.67
2011-05-13,42,39.72
2011-05-20,47,39.72
2011-05-27,44,39.29
2011-06-03,40,37.94
2011-06-10,39,37.56
2011-06-17,41,37.95
2011-06-24,45,36.85
2011-07-01,44,37.35
2011-07-08,38,36.81
2011-07-15,42,37.75
2011-07-22,42,37.82
2011-07-29,42,37.35
2011-08-05,42,36.48
2011-08-12,40,36.17
2011-08-19,40,35.81
2011-08-26,36,36.68
2011-09-02,37,37.41
2011-09-09,35,37.52
2011-09-16,41,37.7
2011-09-23,38,38.87
2011-09-30,41,38.49
2011-10-07,41,38.75
2011-10-14,42,39.66
2011-10-21,46,39.79
2011-10-28,40,39.13
2011-11-04,36,38.67
2011-11-11,37,39.56
2011-11-18,35,38.55
2011-11-25,31,38.23
2011-12-02,35,39.96
2011-12-09,35,40.42
2011-12-16,31,39.72
2011-12-23,28,40.57
2011-12-30,25,40.41
2012-01-06,35,40.07
2012-01-13,35,40.64
2012-01-20,34,40.67
2012-01-27,35,40.03
2012-02-03,36,39.85
2012-02-10,33,39.09
2012-02-17,40,38.34
2012-02-24,32,38.15
2012-03-02,37,38.19
2012-03-09,29,38.58
2012-03-16,30,38.83
2012-03-23,31,38.85
2012-03-30,30,39.45
2012-04-13,26,38.7
2012-04-20,28,38.94
2012-04-27,30,38.93
2012-05-04,30,38.32
2012-05-11,28,39.27
2012-05-18,25,38.95
2012-05-25,39,39.08
2012-06-01,25,37.9
2012-06-08,30,38.2
2012-06-15,31,38.46
2012-06-22,30,38.44
2012-06-29,33,38.54
2012-07-06,23,38.76
2012-07-13,30,39.04
2012-07-20,28,38.78
2012-07-27,28,38.52
2012-08-03,30,38.52
2012-08-10,39,38.63
2012-08-17,31,38.5
2012-08-24,33,39.04
2012-08-31,28,39.33
2012-09-07,27,39.24
2012-09-14,30,38.89
2012-09-21,37,40.3
2012-09-28,35,39.85
2012-10-05,33,40.05
2012-10-12,30,39.19
2012-10-19,32,39.99
2012-10-26,32,39.85
2012-11-02,32,39.81
2012-11-09,29,39.37
2012-11-16,31,39.79
2012-11-23,24,40.77
2012-11-30,28,40.99
2012-12-07,29,40.94
2012-12-14,28,41.45
2012-12-21,22,41.1
2012-12-28,16,40.06
2013-01-04,24,41.77
2013-01-11,29,40.62
2013-01-18,27,41.37
2013-01-25,30,41.75
2013-02-01,30,42.13
2013-02-08,28,42.6
2013-02-15,28,44.59
2013-02-22,31,45.67
2013-03-01,29,46.39
2013-03-08,27,46.33
2013-03-15,25,46.24
2013-03-22,28,48.15
2013-04-05,25,48.74
2013-04-12,30,49.35
2013-04-19,28,50.34
2013-04-26,25,49.68
2013-05-03,24,50.72
2013-05-10,24,49.91
2013-05-17,24,50.36
2013-05-24,26,48.98
2013-05-31,26,47.08
2013-06-07,33,48.08
2013-06-14,25,49.29
2013-06-21,23,48.64
2013-06-28,25,48.53
2013-07-05,24,49.03
2013-07-12,25,51.09
2013-07-19,26,51.68
2013-07-26,23,51.51
2013-08-02,25,52.35
2013-08-09,25,52.42
2013-08-16,31,49.38
2013-08-23,24,49.82
2013-08-30,25,49.32
2013-09-06,27,49.19
2013-09-13,28,49.25
2013-09-20,32,48.66
2013-09-27,28,48.08
2013-10-04,29,47.95
2013-10-11,29,48.35
2013-10-18,28,49.19
2013-10-25,28,50.06
2013-11-01,29,50.32
2013-11-08,28,50.54
2013-11-15,27,51.31
2013-11-22,27,50.12
2013-11-29,19,50.43
2013-12-06,24,51.5
2013-12-13,24,49.64
2013-12-20,20,49.3
2013-12-27,15,49.84
2014-01-03,26,49.26
2014-01-10,28,49.29
2014-01-17,30,48.28
2014-01-24,26,48.28
2014-01-31,29,48.02
2014-02-07,29,48.05
2014-02-14,25,49.89
2014-02-21,27,49.51
2014-02-28,28,50.03
2014-03-07,27,50.8
2014-03-14,29,49.77
2014-03-21,29,51.03
2014-03-28,26,51.3
2014-04-04,26,51.25
2014-04-11,29,51.15
2014-04-25,32,52.29
