"Date","EMR","Price"
2011-10-07,75,44.01
2011-10-14,63,47.51
2011-10-21,68,47.42
2011-10-28,74,49.61
2011-11-04,71,51.26
2011-11-11,72,51.36
2011-11-18,72,49.71
2011-11-25,61,47.11
2011-12-02,65,51.36
2011-12-09,66,51.54
2011-12-16,64,49.13
2011-12-23,56,46.29
2011-12-30,49,46.59
2012-01-06,61,47.15
2012-01-13,70,48.54
2012-01-20,69,49.33
2012-01-27,72,51.67
2012-02-03,79,52.46
2012-02-10,78,52.2
2012-02-17,70,51.5
2012-02-24,66,50.88
2012-03-02,72,50.23
2012-03-09,75,49.99
2012-03-16,69,52.37
2012-03-23,70,51.21
2012-03-30,67,52.18
2012-04-13,65,50.09
2012-04-20,73,50.27
2012-04-27,68,52.67
2012-05-04,71,48.73
2012-05-11,64,48.18
2012-05-18,63,45.93
2012-05-25,65,47.28
2012-06-01,61,45.63
2012-06-08,64,46.69
2012-06-15,68,46.67
2012-06-22,68,45.71
2012-06-29,62,46.58
2012-07-06,56,45.16
2012-07-13,61,44.94
2012-07-20,71,46.25
2012-07-27,65,48.03
2012-08-03,59,48.5
2012-08-10,64,51.25
2012-08-17,63,52.3
2012-08-24,67,51.72
2012-08-31,65,50.72
2012-09-07,63,49.8
2012-09-14,65,49.81
2012-09-21,68,50.1
2012-09-28,66,48.27
2012-10-05,68,49.19
2012-10-12,66,48.35
2012-10-19,67,48.25
2012-10-26,67,47.84
2012-11-02,57,49.81
2012-11-09,64,50.15
2012-11-16,62,48.19
2012-11-23,54,49.12
2012-11-30,62,50.23
2012-12-07,68,50.85
2012-12-14,67,51.75
2012-12-21,58,53.01
2012-12-28,36,52.14
2013-01-04,50,55.07
2013-01-11,63,55.04
2013-01-18,66,55.89
2013-01-25,67,57.47
2013-02-01,73,58.08
2013-02-08,67,57.5
2013-02-15,65,58.29
2013-02-22,68,57.27
2013-03-01,66,56.07
2013-03-08,67,57.29
2013-03-15,68,57.59
2013-03-22,64,56.79
2013-04-05,61,55.73
2013-04-12,65,55.83
2013-04-19,67,53.48
2013-04-26,65,54.44
2013-05-03,64,56.82
2013-05-10,67,57.96
2013-05-17,63,59.36
2013-05-24,64,56.94
2013-05-31,62,57.46
2013-06-07,58,57.63
2013-06-14,62,56.14
2013-06-21,60,54.76
2013-06-28,67,54.54
2013-07-05,53,56.43
2013-07-12,62,57.22
2013-07-19,62,58.8
2013-07-26,66,59.8
2013-08-02,59,62.55
2013-08-09,61,61.9
2013-08-16,59,61.27
2013-08-23,58,61.96
2013-08-30,64,60.37
2013-09-06,58,61.47
2013-09-13,61,64.04
2013-09-20,62,64.92
2013-09-27,62,64.9
2013-10-04,62,63.97
2013-10-11,63,65.35
2013-10-18,62,65.64
2013-10-25,61,67.22
2013-11-01,61,67.03
2013-11-08,59,66.97
2013-11-15,65,67.97
2013-11-22,65,68
2013-11-29,50,66.99
2013-12-06,58,67.18
2013-12-13,60,66.2
2013-12-20,57,69.34
2013-12-27,36,70.21
2014-01-03,40,69.37
2014-01-10,55,68.55
2014-01-17,60,69.12
2014-01-24,62,65.26
2014-01-31,65,65.94
2014-02-07,63,65.19
2014-02-14,68,64.51
2014-02-21,64,63.42
2014-02-28,68,65.26
2014-03-07,64,65.6
2014-03-14,58,62.56
2014-03-21,59,65.35
2014-03-28,64,66.76
2014-04-04,64,67.27
2014-04-11,63,65.4
2014-04-25,60,68.44
