"Date","Apartment.Investment...Mgmt","Price"
2012-03-30,11,26.41
2012-04-13,11,25.91
2012-04-20,7,26.2
2012-04-27,11,27.17
2012-05-04,12,27.16
2012-05-11,13,27.47
2012-05-18,11,25.75
2012-05-25,10,26.71
2012-06-01,7,26.23
2012-06-08,9,27.17
2012-06-15,12,27.39
2012-06-22,12,26.58
2012-06-29,11,27.03
2012-07-06,7,27.37
2012-07-13,12,28.03
2012-07-20,11,27.4
2012-07-27,9,27.2
2012-08-03,8,26.7
2012-08-10,11,26.04
2012-08-17,9,26.38
2012-08-24,14,26.86
2012-08-31,10,26.48
2012-09-07,9,27.21
2012-09-14,12,27.42
2012-09-21,13,26.65
2012-09-28,9,25.99
2012-10-05,11,25.48
2012-10-12,9,25.45
2012-10-19,12,26.86
2012-10-26,9,26.36
2012-11-02,11,26.16
2012-11-09,8,25.38
2012-11-16,11,24.51
2012-11-23,7,24.69
2012-11-30,8,25.07
2012-12-07,9,25.48
2012-12-14,5,25.56
2012-12-21,10,26.73
2012-12-28,9,26.76
2013-01-04,13,27.45
2013-01-11,10,27.25
2013-01-18,13,27.59
2013-01-25,11,27.99
2013-02-01,14,27.39
2013-02-08,13,28.57
2013-02-15,8,29.12
2013-02-22,11,29.83
2013-03-01,11,29.76
2013-03-08,13,30.41
2013-03-15,11,30.74
2013-03-22,10,29.95
2013-04-05,12,31.6
2013-04-12,12,31.64
2013-04-19,9,31.12
2013-04-26,8,30.74
2013-05-03,9,30.46
2013-05-10,7,31.89
2013-05-17,11,33.08
2013-05-24,14,31.61
2013-05-31,10,30.26
2013-06-07,11,29.79
2013-06-14,14,28.93
2013-06-21,10,27.89
2013-06-28,8,30.04
2013-07-05,5,29.9
2013-07-12,10,30.89
2013-07-19,12,30.77
2013-07-26,8,30.75
2013-08-02,8,29.01
2013-08-09,15,29.21
2013-08-16,10,27.64
2013-08-23,12,28.43
2013-08-30,13,27.53
2013-09-06,7,27.72
2013-09-13,13,28.56
2013-09-20,10,29.01
2013-09-27,12,28.19
2013-10-04,8,27.76
2013-10-11,11,28.7
2013-10-18,10,29.34
2013-10-25,9,29.37
2013-11-01,11,27.65
2013-11-08,9,26.5
2013-11-15,8,26.24
2013-11-22,8,25.6
2013-11-29,13,25.11
2013-12-06,10,25.85
2013-12-13,8,25.67
2013-12-20,12,25.89
2013-12-27,7,26.06
2014-01-03,11,25.91
2014-01-10,12,26.41
2014-01-17,8,27.13
2014-01-24,14,26.73
2014-01-31,11,27.97
2014-02-07,11,29.52
2014-02-14,12,29.74
2014-02-21,10,29.47
2014-02-28,12,29.89
2014-03-07,10,30.64
2014-03-14,10,30.42
2014-03-21,11,30.33
2014-03-28,12,29.93
2014-04-04,9,30.2
2014-04-11,10,29.11
2014-04-25,10,30.43
