"Date","BlackRock","Price"
2013-04-05,24,245.79
2013-04-12,27,263.13
2013-04-19,26,250.16
2013-04-26,25,263.77
2013-05-03,25,271.34
2013-05-10,25,276.67
2013-05-17,26,290.95
2013-05-24,27,283.35
2013-05-31,24,279.2
2013-06-07,24,280.23
2013-06-14,25,269.73
2013-06-21,24,248.67
2013-06-28,24,256.85
2013-07-05,22,257.26
2013-07-12,25,269.74
2013-07-19,26,280.72
2013-07-26,25,286.38
2013-08-02,26,286.62
2013-08-09,26,280.57
2013-08-16,28,270.15
2013-08-23,26,268.8
2013-08-30,25,260.32
2013-09-06,23,261.23
2013-09-13,25,264.63
2013-09-20,23,278.3
2013-09-27,25,270.95
2013-10-04,24,272.01
2013-10-11,24,280.49
2013-10-18,28,301.66
2013-10-25,25,307.61
2013-11-01,27,303.65
2013-11-08,25,301.59
2013-11-15,26,303.19
2013-11-22,24,303.76
2013-11-29,22,302.75
2013-12-06,25,301.83
2013-12-13,28,297.8
2013-12-20,25,314.34
2013-12-27,20,316.38
2014-01-03,24,314.17
2014-01-10,28,314.94
2014-01-17,37,316.72
2014-01-24,29,303.11
2014-01-31,29,300.47
2014-02-07,29,299.87
2014-02-14,28,303.03
2014-02-21,26,299
2014-02-28,26,304.84
2014-03-07,28,310.79
2014-03-14,26,295.71
2014-03-21,26,301.86
2014-03-28,26,310.89
2014-04-04,27,308.92
2014-04-11,26,293.71
2014-04-25,25,300.45
