"Date","NVDA","Price"
2007-08-24,52,48.25
2007-08-31,55,51.16
2007-09-07,36,50.65
2007-09-14,61,32.25
2007-09-21,46,34.49
2007-09-28,48,36.24
2007-10-05,48,36.93
2007-10-12,43,36.13
2007-10-19,47,37.39
2007-10-26,51,34.4
2007-11-02,57,36.74
2007-11-09,74,33.36
2007-11-16,70,32.45
2007-11-23,51,30.22
2007-11-30,56,31.54
2007-12-07,53,33.88
2007-12-14,46,35.07
2007-12-21,49,35.16
2007-12-28,32,34.79
2008-01-04,45,30
2008-01-11,54,27.05
2008-01-18,57,24.84
2008-01-25,52,24.95
2008-02-01,47,26.86
2008-02-08,56,24.99
2008-02-15,57,22.27
2008-02-22,51,22.32
2008-02-29,54,21.39
2008-03-07,46,19.55
2008-03-14,57,18.32
2008-03-28,39,19.68
2008-04-04,44,18.78
2008-04-11,50,18.53
2008-04-18,43,19.02
2008-04-25,39,20.15
2008-05-02,51,22.52
2008-05-09,83,22.53
2008-05-16,59,24.41
2008-05-23,57,23.11
2008-05-30,45,24.7
2008-06-06,55,24.06
2008-06-13,50,21.31
2008-06-20,51,19.76
2008-06-27,53,19.28
2008-07-11,88,11.67
2008-07-18,75,11.56
2008-07-25,57,11.56
2008-08-01,66,10.84
2008-08-08,61,11
2008-08-15,93,12.96
2008-08-22,62,13.61
2008-08-29,51,12.64
2008-09-05,50,11.67
2008-09-12,54,10.19
2008-09-19,78,11.41
2008-09-26,55,11.69
2008-10-03,52,9.03
2008-10-10,76,6.81
2008-10-17,60,7.65
2008-10-24,53,6.61
2008-10-31,58,8.76
2008-11-07,58,8.72
2008-11-14,43,7.17
2008-11-21,34,6.38
2008-11-28,25,7.47
2008-12-05,33,7.36
2008-12-12,41,8.6
2008-12-19,37,8.52
2008-12-26,34,7.51
2009-01-02,34,8.71
2009-01-09,41,7.93
2009-01-16,45,7.99
2009-01-23,32,7.71
2009-01-30,33,7.95
2009-02-06,42,9.87
2009-02-13,60,8.31
2009-02-20,31,7.61
2009-02-27,32,8.28
2009-03-06,40,8.39
2009-03-13,38,9.8
2009-03-20,43,9.53
2009-03-27,34,10.46
2009-04-03,35,11.32
2009-04-17,33,11.76
2009-04-24,30,11.43
2009-05-01,30,11.67
2009-05-08,51,9.25
2009-05-15,48,8.74
2009-05-22,44,9.82
2009-05-29,38,10.43
2009-06-05,36,10.83
2009-06-12,33,11.51
2009-06-19,30,11.18
2009-06-26,26,11.57
2009-07-10,25,10.37
2009-07-17,33,12.07
2009-07-24,32,12.96
2009-07-31,29,12.93
2009-08-07,41,13.71
2009-08-14,36,13.42
2009-08-21,38,13.93
2009-08-28,33,14.73
2009-09-04,37,15.11
2009-09-11,30,16.32
2009-09-18,41,15.22
2009-09-25,29,14.5
2009-10-02,33,13.85
2009-10-09,40,14.17
2009-10-16,42,13.22
2009-10-23,31,13.15
2009-10-30,26,11.96
2009-11-06,34,13.16
2009-11-13,37,13.56
2009-11-20,32,12.9
2009-11-27,27,12.79
2009-12-04,32,14.26
2009-12-11,39,15.21
2009-12-18,36,16.82
2010-01-08,41,18.55
2010-01-15,33,17.11
2010-01-22,30,16.46
2010-01-29,29,15.39
2010-02-05,22,16.22
2010-02-12,27,17.35
2010-02-19,34,16.58
2010-02-26,26,16.2
2010-03-05,28,17.17
2010-03-12,32,17.25
2010-03-19,28,17.25
2010-03-26,31,17.34
2010-04-09,31,16.99
2010-04-16,29,17.06
2010-04-23,27,16.44
2010-04-30,29,15.71
2010-05-07,37,13.96
2010-05-14,31,12.96
2010-05-21,29,12.73
2010-05-28,31,13.14
2010-06-04,25,12.1
2010-06-11,27,11.61
2010-06-18,27,12.3
2010-06-25,25,11.08
2010-07-02,28,10.25
2010-07-09,28,10.35
2010-07-16,38,10.05
2010-07-23,34,10.36
2010-07-30,45,9.19
2010-08-06,41,9.55
2010-08-13,42,9.39
2010-08-20,41,9.97
2010-08-27,32,10.12
2010-09-03,31,9.9
2010-09-10,32,10.07
2010-09-17,35,10.55
2010-09-24,44,12.26
2010-10-01,35,11.35
2010-10-08,35,10.86
2010-10-15,38,11.29
2010-10-22,34,11.8
2010-10-29,36,12.02
2010-11-05,37,12.61
2010-11-12,48,13.26
2010-11-19,39,13.75
2010-11-26,24,13.6
2010-12-03,37,14.79
2010-12-10,37,14.95
2010-12-17,32,14.37
2010-12-31,33,15.4
2011-01-07,71,19.87
2011-01-14,89,23.59
2011-01-21,53,22.22
2011-01-28,60,23.76
2011-02-04,49,25.67
2011-02-11,55,23.47
2011-02-18,69,25.63
2011-02-25,54,23.12
2011-03-04,53,20.76
2011-03-11,56,18.05
2011-03-18,46,17.62
2011-03-25,43,18.63
2011-04-01,43,18.2
2011-04-08,40,17.55
2011-04-15,36,18.71
2011-04-29,31,20
2011-05-06,32,19.32
2011-05-13,47,18.26
2011-05-20,36,18.09
2011-05-27,30,19.5
2011-06-03,32,18.46
2011-06-10,32,17.12
2011-06-17,34,15.81
2011-06-24,25,15.74
2011-07-01,29,16.15
2011-07-08,27,15.43
2011-07-15,31,14.1
2011-07-22,36,15
2011-07-29,33,13.83
2011-08-05,35,12.95
2011-08-12,55,12.88
2011-08-19,37,11.73
2011-08-26,43,13.01
2011-09-02,34,12.92
2011-09-09,40,13.88
2011-09-16,46,15.46
2011-09-23,39,13.79
2011-09-30,33,12.51
2011-10-07,40,14.15
2011-10-14,35,15.72
2011-10-21,35,14.48
2011-10-28,34,15.6
2011-11-04,32,14.82
2011-11-11,42,14.98
2011-11-18,34,13.93
2011-11-25,38,14.04
2011-12-02,36,15.72
2011-12-09,33,14.9
2011-12-16,34,13.51
2011-12-23,28,14.17
2011-12-30,24,13.86
2012-01-06,23,14.54
2012-01-13,29,13.73
2012-01-20,28,14.22
2012-01-27,31,14.91
2012-02-03,26,15.82
2012-02-10,33,15.9
2012-02-17,43,15.85
2012-02-24,31,15.79
2012-03-02,28,15.38
2012-03-09,26,14.82
2012-03-16,28,14.6
2012-03-23,33,14.55
2012-03-30,33,15.4
2012-04-13,22,14.16
2012-04-20,33,13.39
2012-04-27,28,12.98
2012-05-04,29,12.26
2012-05-11,32,13.21
2012-05-18,35,12.08
2012-05-25,28,12.4
2012-06-01,25,11.98
2012-06-08,31,12.12
2012-06-15,29,12.29
2012-06-22,35,13
2012-06-29,32,13.82
2012-07-06,28,13.4
2012-07-13,27,12.56
2012-07-20,28,12.81
2012-07-27,32,13.48
2012-08-03,26,13.72
2012-08-10,43,14.62
2012-08-17,35,14.65
2012-08-24,33,14.6
2012-08-31,25,14.03
2012-09-07,34,13.4
2012-09-14,29,13.84
2012-09-21,29,13.67
2012-09-28,27,13.34
2012-10-05,26,13.3
2012-10-12,25,12.63
2012-10-19,31,12.11
2012-10-26,29,12.05
2012-11-02,23,12.49
2012-11-09,37,12.19
2012-11-16,38,11.38
2012-11-23,27,11.9
2012-11-30,28,11.97
2012-12-07,29,11.96
2012-12-14,27,12.59
2012-12-21,32,12.35
2012-12-28,21,12.1
2013-01-04,29,13.15
2013-01-11,38,12.21
2013-01-18,29,12.17
2013-01-25,30,12.41
2013-02-01,30,12.37
2013-02-08,29,12.37
2013-02-15,39,12.73
2013-02-22,29,12.52
2013-03-01,32,12.71
2013-03-08,32,12.82
2013-03-15,28,12.64
2013-03-22,33,12.48
2013-04-05,30,12.46
2013-04-12,31,13.09
2013-04-19,30,12.57
2013-04-26,32,13.41
2013-05-03,24,13.87
2013-05-10,41,14.54
2013-05-17,39,14.87
2013-05-24,34,14.54
2013-05-31,27,14.47
2013-06-07,28,14.45
2013-06-14,25,14.35
2013-06-21,30,14.42
2013-06-28,27,14.04
2013-07-05,22,14.24
2013-07-12,23,14.64
2013-07-19,26,14.24
2013-07-26,24,14.2
2013-08-02,25,14.76
2013-08-09,28,14.49
2013-08-16,30,15.19
2013-08-23,29,14.96
2013-08-30,23,14.75
2013-09-06,27,14.88
2013-09-13,30,15.8
2013-09-20,31,15.79
2013-09-27,25,15.58
2013-10-04,28,15.59
2013-10-11,24,15.26
2013-10-18,24,15.81
2013-10-25,26,15.24
2013-11-01,22,15.26
2013-11-08,27,15.56
2013-11-15,29,16.17
2013-11-22,27,15.18
2013-11-29,23,15.6
2013-12-06,25,15.47
2013-12-13,23,15.02
2013-12-20,24,15.69
2013-12-27,22,15.76
2014-01-03,22,15.67
2014-01-10,32,15.73
2014-01-17,29,15.99
2014-01-24,26,15.56
2014-01-31,24,15.7
2014-02-07,22,15.87
2014-02-14,38,17.91
2014-02-21,35,18.64
2014-02-28,34,18.38
2014-03-07,31,18.36
2014-03-14,29,17.82
2014-03-21,27,18.54
2014-03-28,28,17.9
2014-04-04,29,18.15
2014-04-11,26,18.12
2014-04-25,26,18.73
