"Date","FLIR","Price"
2011-03-04,52,32.19
2011-03-11,46,31.94
2011-03-18,49,31.99
2011-03-25,53,33.94
2011-04-01,47,34.93
2011-04-08,50,33.68
2011-04-15,46,33.52
2011-04-29,45,35.22
2011-05-06,44,34.63
2011-05-13,46,36.11
2011-05-20,50,36.63
2011-05-27,46,35.52
2011-06-03,41,34.42
2011-06-10,46,33.25
2011-06-17,44,33.15
2011-06-24,43,32.03
2011-07-01,46,34.2
2011-07-08,40,34.22
2011-07-15,43,28.92
2011-07-22,46,28.81
2011-07-29,44,27.46
2011-08-05,40,24.72
2011-08-12,39,23.66
2011-08-19,38,22.15
2011-08-26,41,24.57
2011-09-02,41,24.76
2011-09-09,41,24.86
2011-09-16,39,27.81
2011-09-23,45,25.48
2011-09-30,44,25.05
2011-10-07,43,25.92
2011-10-14,47,27.37
2011-10-21,46,26.55
2011-10-28,47,27.22
2011-11-04,47,27.12
2011-11-11,50,26.65
2011-11-18,48,25.37
2011-11-25,45,24.2
2011-12-02,49,25.74
2011-12-09,46,25.67
2011-12-16,50,25.18
2011-12-23,40,25.72
2011-12-30,37,25.07
2012-01-06,42,25.11
2012-01-13,45,25.54
2012-01-20,46,26.81
2012-01-27,47,25.97
2012-02-03,59,26.56
2012-02-10,55,24.9
2012-02-17,54,25.6
2012-02-24,54,26.07
2012-03-02,49,26.52
2012-03-09,57,26.34
2012-03-16,51,26.24
2012-03-23,44,25.5
2012-03-30,44,25.31
2012-04-13,42,23.65
2012-04-20,42,23.55
2012-04-27,47,22.87
2012-05-04,40,21.73
2012-05-11,42,21.39
2012-05-18,43,20.38
2012-05-25,41,21.31
2012-06-01,45,21.22
2012-06-08,46,21.15
2012-06-15,45,19.98
2012-06-22,40,19.58
2012-06-29,43,19.5
2012-07-06,40,19.42
2012-07-13,41,18.77
2012-07-20,43,19.13
2012-07-27,45,20.85
2012-08-03,39,20.79
2012-08-10,46,21.08
2012-08-17,41,20.74
2012-08-24,42,19.86
2012-08-31,39,19.8
2012-09-07,41,20.61
2012-09-14,45,21.08
2012-09-21,42,21.04
2012-09-28,50,19.98
2012-10-05,46,20.45
2012-10-12,43,19.58
2012-10-19,47,19.37
2012-10-26,41,19.53
2012-11-02,43,19.33
2012-11-09,46,19.36
2012-11-16,45,19.08
2012-11-23,46,20.03
2012-11-30,51,20.4
2012-12-07,48,19.96
2012-12-14,44,20.36
2012-12-21,43,21.9
2012-12-28,30,22.09
2013-01-04,33,23.62
2013-01-11,49,23.12
2013-01-18,51,23.84
2013-01-25,53,24.19
2013-02-01,50,23.62
2013-02-08,52,26.5
2013-02-15,50,26.74
2013-02-22,47,26.44
2013-03-01,47,26.21
2013-03-08,52,26.92
2013-03-15,47,26
2013-03-22,44,25.81
2013-04-05,42,25.58
2013-04-12,44,25.62
2013-04-19,47,23.53
2013-04-26,54,23.75
2013-05-03,42,24.45
2013-05-10,40,24.84
2013-05-17,44,24.84
2013-05-24,44,24.15
2013-05-31,39,24.36
2013-06-07,43,24.4
2013-06-14,41,24.44
2013-06-21,40,25.73
2013-06-28,38,26.97
2013-07-05,35,27.91
2013-07-12,41,29.19
2013-07-19,45,28.97
2013-07-26,46,32.44
2013-08-02,38,33.75
2013-08-09,39,32.99
2013-08-16,35,32.2
2013-08-23,43,32.31
2013-08-30,40,31.28
2013-09-06,40,31.69
2013-09-13,43,31.85
2013-09-20,43,31.59
2013-09-27,37,31.32
2013-10-04,47,32.41
2013-10-11,44,32.67
2013-10-18,53,29.43
2013-10-25,48,28.54
2013-11-01,51,28.38
2013-11-08,55,29.06
2013-11-15,53,29.53
2013-11-22,52,29.74
2013-11-29,51,29.67
2013-12-06,49,29.38
2013-12-13,48,28.7
2013-12-20,51,29.14
2013-12-27,36,29.76
2014-01-03,36,29.02
2014-01-10,100,32.3
2014-01-17,93,33.44
2014-01-24,74,32.67
2014-01-31,66,31.72
2014-02-07,60,30.71
2014-02-14,58,30.89
2014-02-21,54,32.79
2014-02-28,58,34.14
2014-03-07,57,35.18
2014-03-14,52,34.13
2014-03-21,55,35.18
2014-03-28,57,35.25
2014-04-04,57,36.56
2014-04-11,52,34.25
2014-04-25,55,35.05
