"Date","sell.DO","Price"
2009-08-21,57,90
2009-08-28,51,90.76
2009-09-04,48,88.68
2009-09-11,47,93.66
2009-09-18,48,93.99
2009-09-25,53,91.25
2009-10-02,48,92.45
2009-10-09,47,100.11
2009-10-16,49,105.61
2009-10-23,51,105.8
2009-10-30,49,95.25
2009-11-06,49,97.2
2009-11-13,51,100.01
2009-11-20,49,97.66
2009-11-27,48,99.46
2009-12-04,47,97.2
2009-12-11,51,96.09
2009-12-18,50,98.11
2010-01-08,52,106.34
2010-01-15,52,102.84
2010-01-22,53,94.38
2010-01-29,52,91.53
2010-02-05,53,88.46
2010-02-12,52,85.29
2010-02-19,51,89.12
2010-02-26,51,87.32
2010-03-05,58,87.93
2010-03-12,54,89.56
2010-03-19,52,84.41
2010-03-26,53,84.68
2010-04-09,51,90.72
2010-04-16,53,87.21
2010-04-23,55,85.6
2010-04-30,58,79.1
2010-05-07,53,72.9
2010-05-14,54,71.67
2010-05-21,58,70.55
2010-05-28,54,63.1
2010-06-04,57,59.15
2010-06-11,55,60.99
2010-06-18,58,63.87
2010-06-25,60,61.72
2010-07-02,66,63.49
2010-07-09,64,64.4
2010-07-16,65,62.55
2010-07-23,73,61.66
2010-07-30,71,59.49
2010-08-06,68,66.43
2010-08-13,68,60.51
2010-08-20,68,59.03
2010-08-27,64,60
2010-09-03,60,60.48
2010-09-10,66,62.26
2010-09-17,61,61.9
2010-09-24,63,62.82
2010-10-01,62,66.66
2010-10-08,59,67.13
2010-10-15,61,71.65
2010-10-22,61,69.51
2010-10-29,63,66.16
2010-11-05,61,69.8
2010-11-12,64,70.47
2010-11-19,64,68.93
2010-11-26,60,65.24
2010-12-03,63,66.23
2010-12-10,65,65.49
2010-12-17,63,64
2010-12-31,74,66.87
2011-01-07,66,70.57
2011-01-14,67,74.9
2011-01-21,71,73.37
2011-01-28,68,70.19
2011-02-04,62,71.67
2011-02-11,68,69.91
2011-02-18,67,75.62
2011-02-25,69,77.6
2011-03-04,67,78.73
2011-03-11,64,74.11
2011-03-18,64,75.81
2011-03-25,67,78.56
2011-04-01,72,78.03
2011-04-08,70,78.49
2011-04-15,71,74.99
2011-04-29,72,75.87
2011-05-06,71,69.77
2011-05-13,73,70.74
2011-05-20,71,71.85
2011-05-27,71,72.85
2011-06-03,72,71.62
2011-06-10,70,68.22
2011-06-17,72,67.34
2011-06-24,77,67.71
2011-07-01,78,70.34
2011-07-08,73,70.71
2011-07-15,79,70.46
2011-07-22,77,70.79
2011-07-29,78,67.83
2011-08-05,80,62.24
2011-08-12,81,61.81
2011-08-19,79,58.53
2011-08-26,78,61.49
2011-09-02,72,61.57
2011-09-09,68,61.66
2011-09-16,67,63.31
2011-09-23,67,57.66
2011-09-30,70,54.74
2011-10-07,73,55.92
2011-10-14,69,60.15
2011-10-21,68,62.82
2011-10-28,72,68.51
2011-11-04,66,65.59
2011-11-11,67,65.39
2011-11-18,77,62.79
2011-11-25,74,58.05
2011-12-02,71,60.17
2011-12-09,77,59.03
2011-12-16,79,54.29
2011-12-23,83,56.67
2011-12-30,83,55.26
2012-01-06,81,56.28
2012-01-13,75,59.87
2012-01-20,75,61.42
2012-01-27,76,62.76
2012-02-03,77,63.13
2012-02-10,75,62.76
2012-02-17,76,64.78
2012-02-24,78,67.19
2012-03-02,78,68.86
2012-03-09,75,70.19
2012-03-16,77,72.43
2012-03-23,77,69.03
2012-03-30,80,66.75
2012-04-13,80,65.26
2012-04-20,81,68.57
2012-04-27,79,68
2012-05-04,83,64.9
2012-05-11,77,62.74
2012-05-18,81,59.15
2012-05-25,86,60.56
2012-06-01,85,57.74
2012-06-08,85,60.1
2012-06-15,85,60.58
2012-06-22,86,57.75
2012-06-29,89,59.13
2012-07-06,88,58.89
2012-07-13,89,63.35
2012-07-20,93,66.05
2012-07-27,94,67.19
2012-08-03,93,66.68
2012-08-10,98,68.15
2012-08-17,96,68.52
2012-08-24,95,66.69
2012-08-31,88,67.02
2012-09-07,84,67.19
2012-09-14,85,69.04
2012-09-21,91,69.24
2012-09-28,84,65.81
2012-10-05,86,65.85
2012-10-12,77,66.58
2012-10-19,82,70.52
2012-10-26,83,70.02
2012-11-02,75,68.86
2012-11-09,80,65.04
2012-11-16,80,65.09
2012-11-23,83,67.36
2012-11-30,84,69
2012-12-07,80,68.93
2012-12-14,84,67.4
2012-12-21,91,69.26
2012-12-28,88,67.23
2013-01-04,94,71.51
2013-01-11,83,72.27
2013-01-18,84,73.35
2013-01-25,85,74.66
2013-02-01,89,76.29
2013-02-08,86,74.81
2013-02-15,85,74.75
2013-02-22,84,71.99
2013-03-01,84,69.32
2013-03-08,84,67.82
2013-03-15,85,70.24
2013-03-22,86,68.54
2013-04-05,85,68.7
2013-04-12,85,68.78
2013-04-19,85,65.34
2013-04-26,86,68.64
2013-05-03,86,70.05
2013-05-10,84,70.15
2013-05-17,88,72.4
2013-05-24,85,70.27
2013-05-31,86,68.81
2013-06-07,84,69.11
2013-06-14,91,67.16
2013-06-21,90,66.91
2013-06-28,87,68.79
2013-07-05,90,69.25
2013-07-12,92,72.11
2013-07-19,93,72.65
2013-07-26,97,67.93
2013-08-02,100,67.96
2013-08-09,97,68.2
2013-08-16,93,66.04
2013-08-23,93,65.84
2013-08-30,88,64.03
2013-09-06,85,64.33
2013-09-13,86,64.41
2013-09-20,84,62.61
2013-09-27,87,62.77
2013-10-04,86,63.45
2013-10-11,88,63.57
2013-10-18,93,63.15
2013-10-25,85,61.27
2013-11-01,87,60.27
2013-11-08,86,61.74
2013-11-15,87,61.42
2013-11-22,86,60.89
2013-11-29,85,60.05
2013-12-06,86,58.87
2013-12-13,91,56.19
2013-12-20,94,55.83
2013-12-27,95,56.81
2014-01-03,93,56.47
2014-01-10,94,55.91
2014-01-17,91,54.1
2014-01-24,90,51.04
2014-01-31,86,48.54
2014-02-07,83,46.07
2014-02-14,92,47.04
2014-02-21,92,48.01
2014-02-28,92,47.3
2014-03-07,88,48.45
2014-03-14,87,44.2
2014-03-21,86,47.24
2014-03-28,91,47.92
2014-04-04,86,48.38
2014-04-11,89,45.88
2014-04-25,90,53.5
