"Date","M","Price"
2006-01-27,69,67.75
2006-02-03,69,69.03
2006-02-10,68,68.97
2006-02-17,66,71.63
2006-02-24,68,70.45
2006-03-03,68,70.5
2006-03-10,68,71.88
2006-03-17,68,72.23
2006-03-24,68,71.65
2006-03-31,67,73
2006-04-07,67,76.61
2006-04-21,66,76.27
2006-04-28,65,77.85
2006-05-05,66,78.19
2006-05-12,69,74.85
2006-05-19,68,73.09
2006-05-26,68,72.17
2006-06-02,67,73.01
2006-06-09,68,70.64
2006-06-16,67,35.1
2006-06-23,68,36.16
2006-06-30,67,36.6
2006-07-07,65,36.46
2006-07-14,66,33.75
2006-07-21,68,33.25
2006-07-28,69,35.15
2006-08-04,69,35.08
2006-08-11,69,35.94
2006-08-18,68,37.33
2006-08-25,69,37.1
2006-09-01,72,38.79
2006-09-08,71,39.58
2006-09-15,72,41.99
2006-09-22,72,41
2006-09-29,73,43.21
2006-10-06,73,43.35
2006-10-13,73,44.9
2006-10-20,75,44.32
2006-10-27,75,43.88
2006-11-03,74,39.94
2006-11-10,78,40.66
2006-11-17,76,42.57
2006-11-24,75,43.11
2006-12-01,74,40.6
2006-12-08,76,40.38
2006-12-15,78,38.83
2006-12-22,75,38.09
2006-12-29,77,38.13
2007-01-05,73,36.89
2007-01-12,71,39.24
2007-01-19,70,40.22
2007-01-26,72,40.27
2007-02-02,73,41.88
2007-02-09,73,43.04
2007-02-16,70,44.1
2007-02-23,77,44.29
2007-03-02,76,44.25
2007-03-09,76,44.49
2007-03-16,76,44.36
2007-03-23,77,46.51
2007-03-30,78,45.05
2007-04-13,74,45.1
2007-04-20,75,45.06
2007-04-27,75,44.76
2007-05-04,76,43.66
2007-05-11,77,41.48
2007-05-18,76,39.7
2007-05-25,76,38.4
2007-06-01,76,40.58
2007-06-08,77,39.15
2007-06-15,75,38.95
2007-06-22,76,41.43
2007-06-29,74,39.78
2007-07-06,74,41.99
2007-07-13,71,39.75
2007-07-20,71,41.92
2007-07-27,69,36.9
2007-08-03,69,33.7
2007-08-10,70,33.63
2007-08-17,73,30.91
2007-08-24,75,31.78
2007-08-31,74,31.72
2007-09-07,76,29.76
2007-09-14,74,30.18
2007-09-21,76,33.12
2007-09-28,76,32.32
2007-10-05,75,35.1
2007-10-12,76,33.05
2007-10-19,74,30.24
2007-10-26,74,33
2007-11-02,76,31.11
2007-11-09,77,28.49
2007-11-16,76,28.32
2007-11-23,85,30.03
2007-11-30,86,29.65
2007-12-07,85,30.51
2007-12-14,75,27.77
2007-12-21,75,26.54
2007-12-28,77,25.48
2008-01-04,74,22.4
2008-01-11,73,21.31
2008-01-18,71,23.05
2008-01-25,72,24.95
2008-02-01,73,28
2008-02-08,73,24.2
2008-02-15,72,25.38
2008-02-22,73,24.62
2008-02-29,73,24.68
2008-03-07,73,23.41
2008-03-14,73,22.53
2008-03-28,72,21.97
2008-04-04,72,23.92
2008-04-11,74,23.12
2008-04-18,72,23.72
2008-04-25,73,25.57
2008-05-02,73,26.3
2008-05-09,73,23.21
2008-05-16,72,25.22
2008-05-23,71,22.49
2008-05-30,73,23.67
2008-06-06,74,22.25
2008-06-13,72,22.16
2008-06-20,73,20.91
2008-06-27,71,19.53
2008-07-11,72,15.58
2008-07-18,79,18.09
2008-07-25,80,18.07
2008-08-01,74,18.17
2008-08-08,72,20.73
2008-08-15,78,21.49
2008-08-22,86,20.13
2008-08-29,80,20.82
2008-09-05,81,21.08
2008-09-12,80,20.81
2008-09-19,80,19.96
2008-09-26,78,19.4
2008-10-03,77,15.19
2008-10-10,78,9.92
2008-10-17,74,9.84
2008-10-24,78,8.99
2008-10-31,75,12.29
2008-11-07,74,10.96
2008-11-14,76,7.52
2008-11-21,78,5.73
2008-11-28,75,7.42
2008-12-05,77,8.61
2008-12-12,78,8.5
2008-12-19,74,10.62
2008-12-26,78,8.6
2009-01-02,75,10.98
2009-01-09,73,10.3
2009-01-16,73,9.76
2009-01-23,74,9.65
2009-01-30,73,8.95
2009-02-06,74,9.7
2009-02-13,73,8.63
2009-02-20,75,7.86
2009-02-27,75,7.87
2009-03-06,76,6.94
2009-03-13,77,8.33
2009-03-20,75,8
2009-03-27,78,9.71
2009-04-03,76,10.36
2009-04-17,74,13.1
2009-04-24,74,13.23
2009-05-01,74,13.51
2009-05-08,73,12.83
2009-05-15,75,11.33
2009-05-22,72,11.19
2009-05-29,73,11.68
2009-06-05,75,12.81
2009-06-12,74,12.53
2009-06-19,73,11.39
2009-06-26,72,11.67
2009-07-10,74,10.61
2009-07-17,72,11.91
2009-07-24,73,13.57
2009-07-31,74,13.91
2009-08-07,72,15.99
2009-08-14,74,15.31
2009-08-21,77,15.35
2009-08-28,75,15.91
2009-09-04,74,15.21
2009-09-11,76,16.07
2009-09-18,75,18.03
2009-09-25,76,17.79
2009-10-02,76,17.4
2009-10-09,76,19.15
2009-10-16,74,19.82
2009-10-23,74,18.87
2009-10-30,75,17.57
2009-11-06,75,19.18
2009-11-13,77,18.01
2009-11-20,77,17.11
2009-11-27,75,16.97
2009-12-04,77,15.98
2009-12-11,77,17.02
2009-12-18,77,16.96
2010-01-08,73,16.92
2010-01-15,73,16.55
2010-01-22,74,15.57
2010-01-29,70,15.93
2010-02-05,73,16.42
2010-02-12,73,17.32
2010-02-19,72,18.54
2010-02-26,72,19.15
2010-03-05,73,20.45
2010-03-12,74,21.75
2010-03-19,76,20.89
2010-03-26,75,21.72
2010-04-09,74,23.51
2010-04-16,72,22.98
2010-04-23,74,24.83
2010-04-30,75,23.2
2010-05-07,74,21.94
2010-05-14,74,22.54
2010-05-21,75,21.05
2010-05-28,74,22.21
2010-06-04,74,21.03
2010-06-11,74,21.24
2010-06-18,72,21.46
2010-06-25,71,19.02
2010-07-02,72,17.85
2010-07-09,73,18.53
2010-07-16,72,17.16
2010-07-23,74,19.38
2010-07-30,75,18.65
2010-08-06,76,19.44
2010-08-13,73,20.13
2010-08-20,73,20.97
2010-08-27,78,19.6
2010-09-03,81,20.87
2010-09-10,82,20.8
2010-09-17,81,21.75
2010-09-24,82,22.75
2010-10-01,82,23.15
2010-10-08,80,24.36
2010-10-15,81,24.18
2010-10-22,81,22.18
2010-10-29,84,23.67
2010-11-05,81,25.57
2010-11-12,83,25.06
2010-11-19,84,25.08
2010-11-26,84,26
2010-12-03,85,25.06
2010-12-10,85,25.49
2010-12-17,86,25.89
2010-12-31,95,25.3
2011-01-07,82,23.31
2011-01-14,82,23.08
2011-01-21,81,23.14
2011-01-28,84,22.99
2011-02-04,83,22.82
2011-02-11,89,24.62
2011-02-18,88,23.75
2011-02-25,87,23.6
2011-03-04,85,23.36
2011-03-11,84,23.74
2011-03-18,83,22.99
2011-03-25,88,23.43
2011-04-01,87,24.35
2011-04-08,90,24.83
2011-04-15,87,24.4
2011-04-29,85,23.91
2011-05-06,85,26.08
2011-05-13,90,28.46
2011-05-20,91,28.63
2011-05-27,91,28.91
2011-06-03,88,27.54
2011-06-10,87,27.23
2011-06-17,85,27.27
2011-06-24,84,28.02
2011-07-01,84,29.88
2011-07-08,83,30.42
2011-07-15,83,29.98
2011-07-22,82,30.5
2011-07-29,81,28.87
2011-08-05,85,26.54
2011-08-12,83,25.55
2011-08-19,85,23.18
2011-08-26,86,24.9
2011-09-02,91,25.36
2011-09-09,90,25.17
2011-09-16,93,27.74
2011-09-23,93,25.62
2011-09-30,90,26.32
2011-10-07,90,26.95
2011-10-14,89,29.26
2011-10-21,91,29.84
2011-10-28,94,31.46
2011-11-04,93,31.36
2011-11-11,95,31.14
2011-11-18,97,30.36
2011-11-25,97,29.45
2011-12-02,98,32.54
2011-12-09,98,32.79
2011-12-16,95,31.03
2011-12-23,93,32.2
2011-12-30,93,32.18
2012-01-06,94,34.56
2012-01-13,92,34.42
2012-01-20,93,35.38
2012-01-27,92,33.82
2012-02-03,91,36.12
2012-02-10,96,35.68
2012-02-17,89,36.25
2012-02-24,91,37.06
2012-03-02,92,38.31
2012-03-09,95,39.67
2012-03-16,97,39.73
2012-03-23,94,39.84
2012-03-30,96,39.73
2012-04-13,94,39.98
2012-04-20,91,39.1
2012-04-27,90,41.18
2012-05-04,95,41.11
2012-05-11,94,37.98
2012-05-18,92,35.24
2012-05-25,92,37.76
2012-06-01,91,36.85
2012-06-08,87,37.21
2012-06-15,89,36.06
2012-06-22,87,33.78
2012-06-29,87,34.35
2012-07-06,88,34.03
2012-07-13,84,33.64
2012-07-20,86,35.6
2012-07-27,89,36.54
2012-08-03,89,37.26
2012-08-10,100,38
2012-08-17,88,38.95
2012-08-24,89,39.75
2012-08-31,90,40.31
2012-09-07,91,40.46
2012-09-14,88,39.24
2012-09-21,93,38.39
2012-09-28,90,37.62
2012-10-05,88,39.61
2012-10-12,88,39.41
2012-10-19,88,39.99
2012-10-26,93,38.48
2012-11-02,88,40.61
2012-11-09,89,38.93
2012-11-16,90,40.18
2012-11-23,91,41.73
2012-11-30,90,38.7
2012-12-07,89,39.41
2012-12-14,91,38.07
2012-12-21,89,37.51
2012-12-28,87,37.36
2013-01-04,89,37.94
2013-01-11,86,36.89
2013-01-18,87,38.42
2013-01-25,87,38.74
2013-02-01,88,39.51
2013-02-08,87,39.92
2013-02-15,84,39.12
2013-02-22,84,39.08
2013-03-01,87,40.68
2013-03-08,85,41.67
2013-03-15,87,41.78
2013-03-22,88,42.66
2013-04-05,88,43.39
2013-04-12,91,44.43
2013-04-19,88,43.54
2013-04-26,88,44.63
2013-05-03,89,46.23
2013-05-10,90,47.23
2013-05-17,89,48.67
2013-05-24,87,49.21
2013-05-31,86,48.34
2013-06-07,89,48.61
2013-06-14,88,48.48
2013-06-21,85,46.86
2013-06-28,84,48
2013-07-05,84,49.18
2013-07-12,84,49.43
2013-07-19,86,49.03
2013-07-26,86,48.17
2013-08-02,85,49.46
2013-08-09,84,48.52
2013-08-16,88,44.99
2013-08-23,84,44.79
2013-08-30,89,44.43
2013-09-06,85,45.08
2013-09-13,91,44.7
2013-09-20,94,44.62
2013-09-27,92,43.52
2013-10-04,92,44.07
2013-10-11,88,42.64
2013-10-18,90,44.39
2013-10-25,90,44.89
2013-11-01,91,45.96
2013-11-08,89,46.18
2013-11-15,95,51.09
2013-11-22,95,51.26
2013-11-29,94,53.26
2013-12-06,95,51.83
2013-12-13,94,51.41
2013-12-20,93,52.27
2013-12-27,92,52.7
2014-01-03,90,53.54
2014-01-10,88,55.84
2014-01-17,90,56.23
2014-01-24,87,54.42
2014-01-31,90,53.2
2014-02-07,89,53.09
2014-02-14,90,53.4
2014-02-21,91,53.71
2014-02-28,90,57.86
2014-03-07,89,58.05
2014-03-14,93,58.58
2014-03-21,91,58.97
2014-03-28,93,58.92
2014-04-04,92,59.74
2014-04-11,93,56.9
2014-04-25,92,57.57
