"Date","sell.UPS","Price"
2011-10-21,32,70.06
2011-10-28,29,71.49
2011-11-04,40,69.99
2011-11-11,29,70.78
2011-11-18,22,69.14
2011-11-25,40,66.46
2011-12-02,59,71.07
2011-12-09,52,72.45
2011-12-16,54,71.76
2011-12-23,86,73.47
2011-12-30,41,73.19
2012-01-06,48,73.48
2012-01-13,52,74.16
2012-01-20,49,75.42
2012-01-27,49,76.04
2012-02-03,48,76.7
2012-02-10,46,76.69
2012-02-17,32,76.76
2012-02-24,48,76.5
2012-03-02,28,76.54
2012-03-09,39,77.16
2012-03-16,44,78.41
2012-03-23,42,79.71
2012-03-30,48,80.72
2012-04-13,23,79.56
2012-04-20,42,80.27
2012-04-27,50,78.44
2012-05-04,57,77.73
2012-05-11,46,76.43
2012-05-18,32,74.03
2012-05-25,34,74.94
2012-06-01,40,73.25
2012-06-08,24,76.63
2012-06-15,49,77.53
2012-06-22,26,77.71
2012-06-29,53,78.76
2012-07-06,54,79.37
2012-07-13,41,79.44
2012-07-20,26,78.45
2012-07-27,38,76
2012-08-03,38,75.76
2012-08-10,63,76.3
2012-08-17,49,76.49
2012-08-24,43,75.72
2012-08-31,43,73.81
2012-09-07,45,72.6
2012-09-14,44,73.68
2012-09-21,36,71.88
2012-09-28,34,71.57
2012-10-05,28,73.1
2012-10-12,46,72.11
2012-10-19,38,72.3
2012-10-26,36,73.02
2012-11-02,59,73.48
2012-11-09,41,72.25
2012-11-16,41,70.02
2012-11-23,38,71.98
2012-11-30,59,73.11
2012-12-07,40,73.17
2012-12-14,75,72.85
2012-12-21,100,74.84
2012-12-28,35,72.83
2013-01-04,64,76.57
2013-01-11,52,77.92
2013-01-18,43,80.25
2013-01-25,41,82.45
2013-02-01,39,79.97
2013-02-08,48,82.38
2013-02-15,41,83.48
2013-02-22,41,82.94
2013-03-01,62,82.87
2013-03-08,48,84.44
2013-03-15,27,85.47
2013-03-22,33,84.76
2013-04-05,48,83.54
2013-04-12,53,84.14
2013-04-19,30,82.99
2013-04-26,46,85.71
2013-05-03,41,86.09
2013-05-10,53,88.34
2013-05-17,51,88.7
2013-05-24,40,86.83
2013-05-31,48,85.9
2013-06-07,54,86.37
2013-06-14,42,85.91
2013-06-21,32,85.41
2013-06-28,37,86.48
2013-07-05,36,87.54
2013-07-12,42,86.12
2013-07-19,50,88.08
2013-07-26,54,86.99
2013-08-02,65,87.92
2013-08-09,39,87.81
2013-08-16,54,86.05
2013-08-23,58,87.17
2013-08-30,54,85.58
2013-09-06,52,86.76
2013-09-13,47,88.66
2013-09-20,55,91.55
2013-09-27,40,91.25
2013-10-04,44,91
2013-10-11,53,90.77
2013-10-18,47,93
2013-10-25,50,95.61
2013-11-01,51,98.22
2013-11-08,54,99.62
2013-11-15,55,100.94
2013-11-22,48,101.98
2013-11-29,55,102.38
2013-12-06,44,102.43
2013-12-13,83,101.38
2013-12-20,96,103.33
2013-12-27,54,104.72
2014-01-03,62,103.09
2014-01-10,42,102.52
2014-01-17,72,99.91
2014-01-24,49,96.33
2014-01-31,53,95.23
2014-02-07,52,95.37
2014-02-14,35,97.24
2014-02-21,33,96.11
2014-02-28,51,95.77
2014-03-07,49,98.22
2014-03-14,41,96.27
2014-03-21,49,96.86
2014-03-28,36,97.34
2014-04-04,54,98.1
2014-04-11,43,96.27
2014-04-25,31,97.4
