"Date","sell.X","Price"
2008-10-03,29,63.5
2008-10-10,38,44.59
2008-10-17,26,41.24
2008-10-24,26,34.68
2008-10-31,31,36.88
2008-11-07,43,33.68
2008-11-14,27,29.75
2008-11-21,32,24.91
2008-11-28,29,30.4
2008-12-05,23,28.76
2008-12-12,42,39.03
2008-12-19,34,37.13
2008-12-26,44,35.2
2009-01-02,56,39.51
2009-01-09,38,36.7
2009-01-16,36,32.58
2009-01-23,28,30.79
2009-01-30,30,30.03
2009-02-06,25,34.46
2009-02-13,29,30.61
2009-02-20,36,24.8
2009-02-27,44,19.67
2009-03-06,30,17.69
2009-03-13,40,18.18
2009-03-20,32,19.72
2009-03-27,19,24.35
2009-04-03,27,25.87
2009-04-17,41,29.96
2009-04-24,32,29.03
2009-05-01,42,28.56
2009-05-08,27,31.3
2009-05-15,31,27.13
2009-05-22,31,29.49
2009-05-29,36,34.08
2009-06-05,36,36.21
2009-06-12,31,39.32
2009-06-19,21,37.57
2009-06-26,33,36.91
2009-07-10,32,30.77
2009-07-17,29,37.42
2009-07-24,27,40.72
2009-07-31,25,39.75
2009-08-07,43,44.94
2009-08-14,21,46.14
2009-08-21,42,44.86
2009-08-28,36,44.6
2009-09-04,31,42.36
2009-09-11,41,45.86
2009-09-18,26,49.03
2009-09-25,21,46.63
2009-10-02,30,40.75
2009-10-09,37,43.85
2009-10-16,43,43.44
2009-10-23,44,40.87
2009-10-30,38,34.49
2009-11-06,50,37.38
2009-11-13,41,39.49
2009-11-20,44,41.32
2009-11-27,41,43.05
2009-12-04,30,44.39
2009-12-11,32,47.14
2009-12-18,40,49.23
2010-01-08,44,65.34
2010-01-15,37,62.04
2010-01-22,40,55
2010-01-29,28,44.43
2010-02-05,40,44.78
2010-02-12,36,47.98
2010-02-19,31,53.29
2010-02-26,28,52.94
2010-03-05,43,58.9
2010-03-12,27,61.4
2010-03-19,30,59.24
2010-03-26,30,63.96
2010-04-09,37,64.62
2010-04-16,37,59.81
2010-04-23,34,59.24
2010-04-30,39,54.66
2010-05-07,33,52.22
2010-05-14,31,52.81
2010-05-21,16,47.1
2010-05-28,42,47.21
2010-06-04,32,41.99
2010-06-11,20,44.82
2010-06-18,25,43.41
2010-06-25,39,43.24
2010-07-02,36,37.66
2010-07-09,35,42.88
2010-07-16,68,41.36
2010-07-23,53,48.9
2010-07-30,44,44.33
2010-08-06,55,48.5
2010-08-13,43,45.1
2010-08-20,37,47.06
2010-08-27,41,43.71
2010-09-03,32,45.99
2010-09-10,34,47.45
2010-09-17,45,46.2
2010-09-24,36,43.23
2010-10-01,40,43.63
2010-10-08,46,45.92
2010-10-15,43,43.68
2010-10-22,34,42.28
2010-10-29,37,42.72
2010-11-05,39,48.55
2010-11-12,42,47.16
2010-11-19,36,47.86
2010-11-26,43,47.34
2010-12-03,34,51.05
2010-12-10,46,53.61
2010-12-17,53,58.9
2010-12-31,40,58.42
2011-01-07,41,56.14
2011-01-14,37,54.67
2011-01-21,39,53.29
2011-01-28,45,55.8
2011-02-04,45,58.17
2011-02-11,50,58.92
2011-02-18,43,61.86
2011-02-25,41,56.76
2011-03-04,40,55.82
2011-03-11,30,55.14
2011-03-18,28,53.43
2011-03-25,42,55.02
2011-04-01,38,54.12
2011-04-08,39,52.8
2011-04-15,34,50.52
2011-04-29,34,47.71
2011-05-06,27,45.66
2011-05-13,33,44.65
2011-05-20,38,44.96
2011-05-27,45,45.67
2011-06-03,44,43.29
2011-06-10,47,43.33
2011-06-17,38,41.07
2011-06-24,35,41.82
2011-07-01,47,46.91
2011-07-08,36,45.06
2011-07-15,32,43.01
2011-07-22,56,44.81
2011-07-29,42,39.99
2011-08-05,47,33.24
2011-08-12,41,31.09
2011-08-19,45,26.36
2011-08-26,50,27.55
2011-09-02,34,27.66
2011-09-09,40,27.4
2011-09-16,41,27.74
2011-09-23,42,22.23
2011-09-30,36,22.01
2011-10-07,56,21.94
2011-10-14,47,24.64
2011-10-21,38,23.37
2011-10-28,51,27.86
2011-11-04,50,27.92
2011-11-11,47,26.14
2011-11-18,50,25.68
2011-11-25,46,22.27
2011-12-02,41,27.81
2011-12-09,42,27.48
2011-12-16,49,25.87
2011-12-23,53,26.21
2011-12-30,45,26.46
2012-01-06,39,27.3
2012-01-13,37,27.43
2012-01-20,39,27.82
2012-01-27,44,29.88
2012-02-03,42,32.25
2012-02-10,43,29.4
2012-02-17,44,28.41
2012-02-24,45,28.13
2012-03-02,42,27.51
2012-03-09,40,26.85
2012-03-16,37,29.75
2012-03-23,42,29.74
2012-03-30,36,29.37
2012-04-13,41,28.2
2012-04-20,48,28.99
2012-04-27,39,28.2
2012-05-04,44,26.74
2012-05-11,53,25.85
2012-05-18,50,21.56
2012-05-25,47,21.8
2012-06-01,37,19.31
2012-06-08,47,19.13
2012-06-15,52,19.02
2012-06-22,40,19.15
2012-06-29,37,20.6
2012-07-06,48,20.98
2012-07-13,47,20.24
2012-07-20,43,18.81
2012-07-27,57,19.08
2012-08-03,46,21.72
2012-08-10,45,23.41
2012-08-17,62,22.59
2012-08-24,50,20.81
2012-08-31,49,19.45
2012-09-07,46,20.89
2012-09-14,65,22.35
2012-09-21,55,19.94
2012-09-28,59,19.07
2012-10-05,49,19.83
2012-10-12,67,21.19
2012-10-19,54,22.15
2012-10-26,48,21.15
2012-11-02,59,20.84
2012-11-09,45,21.1
2012-11-16,58,20.06
2012-11-23,56,21.64
2012-11-30,53,21.56
2012-12-07,50,21.77
2012-12-14,62,23.85
2012-12-21,43,23.94
2012-12-28,51,23.03
2013-01-04,43,25.7
2013-01-11,50,24.88
2013-01-18,51,24.77
2013-01-25,46,24.53
2013-02-01,52,22.38
2013-02-08,40,22.47
2013-02-15,39,23.16
2013-02-22,52,21.33
2013-03-01,45,20.31
2013-03-08,52,20.93
2013-03-15,61,20.21
2013-03-22,42,19.81
2013-04-05,45,17.28
2013-04-12,52,17.45
2013-04-19,65,16.39
2013-04-26,55,17.36
2013-05-03,53,18.14
2013-05-10,53,19.23
2013-05-17,51,18.32
2013-05-24,57,18.42
2013-05-31,54,17.69
2013-06-07,55,17.35
2013-06-14,45,17.89
2013-06-21,55,17.1
2013-06-28,61,17.53
2013-07-05,55,18.36
2013-07-12,56,17.95
2013-07-19,52,18.06
2013-07-26,57,18.94
2013-08-02,54,17.44
2013-08-09,61,18.85
2013-08-16,46,18.82
2013-08-23,57,18.67
2013-08-30,49,17.9
2013-09-06,55,18.87
2013-09-13,62,19.87
2013-09-20,53,20.52
2013-09-27,69,20.44
2013-10-04,67,21.5
2013-10-11,62,21.97
2013-10-18,93,23.98
2013-10-25,91,23.49
2013-11-01,100,25.78
2013-11-08,63,27.59
2013-11-15,87,28
2013-11-22,84,26.36
2013-11-29,74,26.81
2013-12-06,77,26.33
2013-12-13,60,27.31
2013-12-20,60,27.95
2013-12-27,77,30.09
2014-01-03,77,29.9
2014-01-10,62,28.56
2014-01-17,72,27.42
2014-01-24,70,25.28
2014-01-31,70,26.11
2014-02-07,68,25.59
2014-02-14,59,27.23
2014-02-21,54,25
2014-02-28,60,24.22
2014-03-07,63,24.84
2014-03-14,53,24.05
2014-03-21,64,27.09
2014-03-28,65,27.17
2014-04-04,61,27.76
2014-04-11,61,26.87
2014-04-25,68,26.51
