"Date","PAYX","Price"
2011-12-23,15,29.85
2011-12-30,19,30.11
2012-01-06,15,30.79
2012-01-13,16,30.99
2012-01-20,17,32.31
2012-01-27,17,32.19
2012-02-03,20,31.95
2012-02-10,19,31.31
2012-02-17,12,31.48
2012-02-24,17,31.42
2012-03-02,12,31.3
2012-03-09,12,31.49
2012-03-16,19,31.83
2012-03-23,13,31.74
2012-03-30,35,30.99
2012-04-13,14,30.83
2012-04-20,14,30.76
2012-04-27,11,31.14
2012-05-04,11,29.92
2012-05-11,13,29.91
2012-05-18,15,29.41
2012-05-25,10,30.29
2012-06-01,10,29.28
2012-06-08,13,31.01
2012-06-15,16,32.03
2012-06-22,19,32.26
2012-06-29,15,31.41
2012-07-06,10,31.15
2012-07-13,11,31.87
2012-07-20,17,32.43
2012-07-27,15,33.08
2012-08-03,13,32.61
2012-08-10,18,33.18
2012-08-17,14,33.24
2012-08-24,14,33.19
2012-08-31,23,33.26
2012-09-07,12,34.22
2012-09-14,11,34.46
2012-09-21,11,34.55
2012-09-28,12,33.29
2012-10-05,15,33.57
2012-10-12,11,32.63
2012-10-19,15,32.55
2012-10-26,11,32.93
2012-11-02,11,32.94
2012-11-09,13,32.16
2012-11-16,15,31.74
2012-11-23,18,32.44
2012-11-30,13,32.54
2012-12-07,13,33.19
2012-12-14,16,33.71
2012-12-21,20,31.4
2012-12-28,11,30.88
2013-01-04,13,32.17
2013-01-11,9,31.78
2013-01-18,12,32.38
2013-01-25,14,31.84
2013-02-01,20,32.86
2013-02-08,15,33.32
2013-02-15,15,33.97
2013-02-22,15,33.12
2013-03-01,17,33.35
2013-03-08,17,33.99
2013-03-15,16,33.99
2013-03-22,16,34.44
2013-04-05,18,34.89
2013-04-12,21,36.14
2013-04-19,17,35.4
2013-04-26,13,35.87
2013-05-03,15,37.37
2013-05-10,18,37.74
2013-05-17,24,38.52
2013-05-24,18,37.86
2013-05-31,15,37.23
2013-06-07,15,37.15
2013-06-14,18,37.14
2013-06-21,17,37.17
2013-06-28,21,36.51
2013-07-05,14,37.61
2013-07-12,14,39.4
2013-07-19,19,39.35
2013-07-26,21,39.27
2013-08-02,22,40.77
2013-08-09,16,40.4
2013-08-16,13,39.32
2013-08-23,13,39.31
2013-08-30,15,38.68
2013-09-06,10,39.17
2013-09-13,15,40.33
2013-09-20,15,40.99
2013-09-27,11,40.35
2013-10-04,22,39.55
2013-10-11,12,40.74
2013-10-18,17,41.63
2013-10-25,18,43
2013-11-01,16,41.99
2013-11-08,18,42.21
2013-11-15,16,43.33
2013-11-22,17,43.5
2013-11-29,9,43.73
2013-12-06,19,43.37
2013-12-13,21,42.63
2013-12-20,21,45.15
2013-12-27,24,45.58
2014-01-03,12,45.22
2014-01-10,19,44.37
2014-01-17,22,44.1
2014-01-24,19,42.08
2014-01-31,17,41.82
2014-02-07,11,40.9
2014-02-14,15,41.59
2014-02-21,16,41.35
2014-02-28,12,41.76
2014-03-07,23,42.64
2014-03-14,11,41.82
2014-03-21,17,42.84
2014-03-28,26,42.56
2014-04-04,23,41.47
2014-04-11,14,39.92
2014-04-25,11,40.39
