"Date","SWY","Price"
2011-02-25,30,21.54
2011-03-04,36,21.83
2011-03-11,27,22.86
2011-03-18,37,22.43
2011-03-25,27,22.69
2011-04-01,23,23.49
2011-04-08,39,23.87
2011-04-15,41,24.84
2011-04-29,30,24.31
2011-05-06,29,24.25
2011-05-13,25,25
2011-05-20,20,25.2
2011-05-27,36,24.52
2011-06-03,22,22.28
2011-06-10,35,22.09
2011-06-17,17,22.74
2011-06-24,25,22.55
2011-07-01,20,23.62
2011-07-08,24,23.46
2011-07-15,29,23.75
2011-07-22,25,20.93
2011-07-29,23,20.17
2011-08-05,18,18.92
2011-08-12,40,18.08
2011-08-19,28,17.09
2011-08-26,42,17.08
2011-09-02,23,17.65
2011-09-09,30,17.91
2011-09-16,24,17.7
2011-09-23,22,16.06
2011-09-30,27,16.63
2011-10-07,33,17.43
2011-10-14,21,17.67
2011-10-21,29,18.85
2011-10-28,38,19.75
2011-11-04,29,19.32
2011-11-11,34,20.07
2011-11-18,38,19.12
2011-11-25,25,18.83
2011-12-02,36,20.21
2011-12-09,34,21.07
2011-12-16,29,20.57
2011-12-23,32,21.12
2011-12-30,29,21.04
2012-01-06,21,21.23
2012-01-13,27,20.91
2012-01-20,22,21.85
2012-01-27,23,22.56
2012-02-03,26,21.74
2012-02-10,21,21.74
2012-02-17,23,22.95
2012-02-24,29,20.93
2012-03-02,37,21.67
2012-03-09,27,21.76
2012-03-16,27,22.17
2012-03-23,18,21.13
2012-03-30,27,20.21
2012-04-13,23,21.19
2012-04-20,29,22.09
2012-04-27,40,20.78
2012-05-04,14,19.69
2012-05-11,26,18.97
2012-05-18,22,18.39
2012-05-25,25,19.22
2012-06-01,13,18.49
2012-06-08,20,18.22
2012-06-15,24,17.97
2012-06-22,27,17.34
2012-06-29,24,18.15
2012-07-06,20,17.71
2012-07-13,43,16.02
2012-07-20,45,15.59
2012-07-27,27,15.32
2012-08-03,34,15.45
2012-08-10,24,15.99
2012-08-17,27,15.83
2012-08-24,24,15.48
2012-08-31,26,15.65
2012-09-07,34,16.32
2012-09-14,30,16.86
2012-09-21,26,16.07
2012-09-28,28,16.09
2012-10-05,29,16.16
2012-10-12,35,15.57
2012-10-19,21,16.35
2012-10-26,22,16.38
2012-11-02,27,16.83
2012-11-09,22,16.6
2012-11-16,23,16.6
2012-11-23,24,16.96
2012-11-30,22,17.11
2012-12-07,32,17.94
2012-12-14,33,17.65
2012-12-21,28,17.93
2012-12-28,14,17.7
2013-01-04,23,18.3
2013-01-11,21,17.41
2013-01-18,28,18.64
2013-01-25,19,19.43
2013-02-01,31,19.27
2013-02-08,29,20.2
2013-02-15,23,20.42
2013-02-22,31,22.69
2013-03-01,30,24.1
2013-03-08,34,23.6
2013-03-15,30,24.91
2013-03-22,35,25.75
2013-04-05,32,24.92
2013-04-12,33,26.85
2013-04-19,33,26.55
2013-04-26,42,23.31
2013-05-03,45,23.95
2013-05-10,32,24.46
2013-05-17,32,25.15
2013-05-24,26,23.18
2013-05-31,19,23.01
2013-06-07,27,22.71
2013-06-14,50,24.36
2013-06-21,23,22.82
2013-06-28,30,23.66
2013-07-05,17,24.24
2013-07-12,29,24.55
2013-07-19,30,26.15
2013-07-26,24,25.98
2013-08-02,17,25.35
2013-08-09,25,25.05
2013-08-16,28,26.66
2013-08-23,26,26.69
2013-08-30,22,25.9
2013-09-06,19,25.96
2013-09-13,28,28.2
2013-09-20,31,31.4
2013-09-27,28,32.25
2013-10-04,21,31.63
2013-10-11,42,33.75
2013-10-18,34,33.36
2013-10-25,40,36.54
2013-11-01,31,35.16
2013-11-08,24,33.02
2013-11-15,33,34.52
2013-11-22,29,34.29
2013-11-29,21,34.97
2013-12-06,19,33.07
2013-12-13,24,33.52
2013-12-20,17,33.08
2013-12-27,16,32.5
2014-01-03,23,32.31
2014-01-10,22,32.15
2014-01-17,23,31.82
2014-01-24,22,30.98
2014-01-31,28,31.24
2014-02-07,24,31.16
2014-02-14,23,33.65
2014-02-21,54,36.84
2014-02-28,43,37.45
2014-03-07,68,38.6
2014-03-14,29,38.39
2014-03-21,25,38.01
2014-03-28,35,37.3
2014-04-04,29,37.96
2014-04-11,28,37.89
2014-04-25,28,33.93
