"Date","JWN","Price"
2008-10-24,48,15.31
2008-10-31,23,18.04
2008-11-07,34,15.5
2008-11-14,44,11.74
2008-11-21,40,7.81
2008-11-28,30,11.37
2008-12-05,48,12.8
2008-12-12,45,12.66
2008-12-19,40,12.7
2008-12-26,42,11.91
2009-01-02,45,14.55
2009-01-09,47,13.96
2009-01-16,33,12.99
2009-01-23,37,13.3
2009-01-30,33,12.69
2009-02-06,30,14.19
2009-02-13,33,13.18
2009-02-20,36,11.89
2009-02-27,26,13.47
2009-03-06,23,12.16
2009-03-13,29,15.55
2009-03-20,28,14.38
2009-03-27,25,17.79
2009-04-03,46,19.48
2009-04-17,41,22.26
2009-04-24,41,22.5
2009-05-01,34,22.5
2009-05-08,41,23.1
2009-05-15,47,22.58
2009-05-22,38,20.84
2009-05-29,31,19.69
2009-06-05,56,21.09
2009-06-12,22,20.77
2009-06-19,40,19.21
2009-06-26,30,19.53
2009-07-10,25,19.52
2009-07-17,21,22
2009-07-24,33,26.64
2009-07-31,39,26.44
2009-08-07,35,30.3
2009-08-14,43,27.87
2009-08-21,33,28.17
2009-08-28,24,28.6
2009-09-04,19,29.23
2009-09-11,19,29.33
2009-09-18,26,31.88
2009-09-25,24,30.21
2009-10-02,22,28.95
2009-10-09,37,33.25
2009-10-16,34,34.42
2009-10-23,36,33.64
2009-10-30,38,31.78
2009-11-06,40,33.93
2009-11-13,42,33.99
2009-11-20,28,33.95
2009-11-27,23,34.02
2009-12-04,24,35.24
2009-12-11,17,36.05
2009-12-18,19,35.68
2010-01-08,24,37.79
2010-01-15,31,36.02
2010-01-22,22,34.14
2010-01-29,22,34.54
2010-02-05,19,33.94
2010-02-12,22,34.2
2010-02-19,25,35.7
2010-02-26,28,36.94
2010-03-05,17,39.01
2010-03-12,22,39.83
2010-03-19,21,40.42
2010-03-26,17,41.75
2010-04-09,33,42.55
2010-04-16,31,42.95
2010-04-23,25,45.9
2010-04-30,18,41.33
2010-05-07,34,40.06
2010-05-14,24,39.76
2010-05-21,21,38.12
2010-05-28,25,39.7
2010-06-04,19,36.47
2010-06-11,19,37.85
2010-06-18,23,38.66
2010-06-25,25,35.54
2010-07-02,18,32.17
2010-07-09,24,34.54
2010-07-16,26,32.25
2010-07-23,19,34.08
2010-07-30,23,34
2010-08-06,28,33.96
2010-08-13,15,31.05
2010-08-20,23,31.77
2010-08-27,25,30.28
2010-09-03,17,33.47
2010-09-10,18,33.27
2010-09-17,23,36.09
2010-09-24,15,36.51
2010-10-01,26,37.11
2010-10-08,18,39.06
2010-10-15,26,38.8
2010-10-22,15,36.89
2010-10-29,16,38.51
2010-11-05,13,42.5
2010-11-12,21,41.4
2010-11-19,20,42.17
2010-11-26,18,43.61
2010-12-03,14,41.82
2010-12-10,16,42.18
2010-12-17,25,42.31
2010-12-31,18,42.38
2011-01-07,18,42.35
2011-01-14,25,42.09
2011-01-21,16,41.37
2011-01-28,24,40.91
2011-02-04,19,43.71
2011-02-11,17,46.15
2011-02-18,35,46.91
2011-02-25,29,45.49
2011-03-04,18,44.08
2011-03-11,17,44.46
2011-03-18,21,41.33
2011-03-25,12,43.6
2011-04-01,14,45.11
2011-04-08,24,46.22
2011-04-15,22,46.18
2011-04-29,17,47.55
2011-05-06,19,47.39
2011-05-13,25,47.63
2011-05-20,14,45.6
2011-05-27,18,46.4
2011-06-03,16,43.53
2011-06-10,23,42.13
2011-06-17,22,43.76
2011-06-24,19,44.9
2011-07-01,24,48.24
2011-07-08,21,50.25
2011-07-15,30,50.44
2011-07-22,23,51.5
2011-07-29,24,50.16
2011-08-05,24,44.31
2011-08-12,33,44.28
2011-08-19,26,37.45
2011-08-26,24,42.09
2011-09-02,20,43.26
2011-09-09,13,44.05
2011-09-16,23,47.89
2011-09-23,21,45.52
2011-09-30,20,45.68
2011-10-07,21,48.69
2011-10-14,23,50.7
2011-10-21,16,51.59
2011-10-28,13,51.17
2011-11-04,23,50.39
2011-11-11,29,49.48
2011-11-18,19,46.98
2011-11-25,18,44.29
2011-12-02,27,47.17
2011-12-09,14,48.2
2011-12-16,17,47.03
2011-12-23,19,49.83
2011-12-30,12,49.71
2012-01-06,20,49.74
2012-01-13,13,48.48
2012-01-20,12,50.02
2012-01-27,18,48.55
2012-02-03,21,50.27
2012-02-10,16,50.78
2012-02-17,17,51.14
2012-02-24,14,53.17
2012-03-02,18,53.55
2012-03-09,18,54.08
2012-03-16,22,54.88
2012-03-23,17,54.54
2012-03-30,17,55.72
2012-04-13,14,54.99
2012-04-20,23,55.11
2012-04-27,15,56.05
2012-05-04,20,55.9
2012-05-11,27,50.96
2012-05-18,23,48.89
2012-05-25,24,50.74
2012-06-01,10,46.8
2012-06-08,17,48.77
2012-06-15,10,49.15
2012-06-22,17,48.92
2012-06-29,19,49.69
2012-07-06,29,51.89
2012-07-13,26,51.89
2012-07-20,20,52.44
2012-07-27,21,54.4
2012-08-03,21,54.35
2012-08-10,25,56.13
2012-08-17,24,57.26
2012-08-24,15,57.95
2012-08-31,17,57.83
2012-09-07,15,57.51
2012-09-14,22,57.56
2012-09-21,25,56.05
2012-09-28,15,55.18
2012-10-05,21,56.18
2012-10-12,17,54.93
2012-10-19,12,56.43
2012-10-26,17,55.77
2012-11-02,18,56.48
2012-11-09,19,54.79
2012-11-16,16,54.87
2012-11-23,19,56.55
2012-11-30,23,54.09
2012-12-07,23,52.8
2012-12-14,19,52.2
2012-12-21,10,52.45
2012-12-28,17,52.16
2013-01-04,16,54.73
2013-01-11,13,53.84
2013-01-18,20,55.52
2013-01-25,15,56.05
2013-02-01,12,55.12
2013-02-08,18,55.82
2013-02-15,17,55.4
2013-02-22,19,53.99
2013-03-01,13,54.07
2013-03-08,20,54.72
2013-03-15,14,53.99
2013-03-22,18,53.32
2013-04-05,14,55.46
2013-04-12,14,56.82
2013-04-19,21,54.9
2013-04-26,24,56.71
2013-05-03,16,58.21
2013-05-10,18,59.17
2013-05-17,37,60.68
2013-05-24,13,59.87
2013-05-31,17,58.82
2013-06-07,20,59.52
2013-06-14,19,58.94
2013-06-21,12,58.2
2013-06-28,14,59.94
2013-07-05,16,62.04
2013-07-12,12,62.26
2013-07-19,16,61.56
2013-07-26,13,61.52
2013-08-02,20,61.99
2013-08-09,15,58.79
2013-08-16,27,56.43
2013-08-23,19,57.28
2013-08-30,18,55.73
2013-09-06,19,55.92
2013-09-13,14,57.28
2013-09-20,22,57
2013-09-27,23,56.45
2013-10-04,22,57.13
2013-10-11,18,56.84
2013-10-18,20,58.74
2013-10-25,12,59.27
2013-11-01,17,59.97
2013-11-08,16,61.02
2013-11-15,22,62.8
2013-11-22,18,62.1
2013-11-29,20,62.21
2013-12-06,17,60.36
2013-12-13,16,60.09
2013-12-20,17,61.19
2013-12-27,16,61.42
2014-01-03,18,62.17
2014-01-10,17,61.11
2014-01-17,13,59.93
2014-01-24,21,58.16
2014-01-31,17,57.45
2014-02-07,19,58.79
2014-02-14,14,58.47
2014-02-21,29,59.24
2014-02-28,26,61.48
2014-03-07,16,62.41
2014-03-14,15,61.33
2014-03-21,14,62.5
2014-03-28,17,61.83
2014-04-04,11,63.47
2014-04-11,13,60.46
2014-04-25,12,61.48
