"Date","Automatic.Data.Processing","Price"
2008-09-19,14,44.62
2008-09-26,15,43.73
2008-10-03,15,41.28
2008-10-10,15,33.51
2008-10-17,15,33.77
2008-10-24,15,32.63
2008-10-31,14,34.95
2008-11-07,13,35.43
2008-11-14,14,35.12
2008-11-21,18,35.25
2008-11-28,13,41.06
2008-12-05,13,37.59
2008-12-12,25,38.27
2008-12-19,19,37.6
2008-12-26,19,38.14
2009-01-02,19,40.41
2009-01-09,19,38.61
2009-01-16,12,39.42
2009-01-23,16,37.09
2009-01-30,15,36.33
2009-02-06,25,39.57
2009-02-13,16,37.17
2009-02-20,16,35.87
2009-02-27,16,34.15
2009-03-06,13,33.28
2009-03-13,19,35.36
2009-03-20,23,36.3
2009-03-27,17,35.5
2009-04-03,14,36.67
2009-04-17,12,36.11
2009-04-24,11,35.35
2009-05-01,11,35.52
2009-05-08,16,36.84
2009-05-15,12,35.79
2009-05-22,12,35.97
2009-05-29,11,38.01
2009-06-05,11,38.55
2009-06-12,11,37.29
2009-06-19,12,35.68
2009-06-26,15,34.69
2009-07-10,14,33.73
2009-07-17,19,35.31
2009-07-24,20,36.93
2009-07-31,18,37.25
2009-08-07,18,38.37
2009-08-14,16,38.48
2009-08-21,16,39.07
2009-08-28,15,38.56
2009-09-04,11,38.57
2009-09-11,11,38.4
2009-09-18,9,39.39
2009-09-25,9,38.91
2009-10-02,9,38.79
2009-10-09,12,40.17
2009-10-16,15,40.62
2009-10-23,13,40.37
2009-10-30,13,39.8
2009-11-06,13,42.32
2009-11-13,9,43.51
2009-11-20,11,43.45
2009-11-27,13,43.53
2009-12-04,10,43.69
2009-12-11,10,43.04
2009-12-18,9,42.36
2010-01-08,9,42.42
2010-01-15,11,42.27
2010-01-22,12,41.17
2010-01-29,13,40.79
2010-02-05,15,40.28
2010-02-12,15,40.59
2010-02-19,8,41.56
2010-02-26,8,41.61
2010-03-05,13,43.18
2010-03-12,15,43.81
2010-03-19,9,44.6
2010-03-26,13,44.24
2010-04-09,10,44.26
2010-04-16,10,44.29
2010-04-23,12,45.48
2010-04-30,11,43.37
2010-05-07,11,41.56
2010-05-14,14,41.8
2010-05-21,10,40.62
2010-05-28,10,40.88
2010-06-04,10,40.46
2010-06-11,11,41.83
2010-06-18,11,42.28
2010-06-25,12,40.86
2010-07-02,11,39.43
2010-07-09,10,40.72
2010-07-16,9,40.63
2010-07-23,15,41.89
2010-07-30,15,41.27
2010-08-06,14,41.57
2010-08-13,12,39.79
2010-08-20,13,39.4
2010-08-27,14,39.36
2010-09-03,14,40.08
2010-09-10,11,40.1
2010-09-17,11,41.33
2010-09-24,9,42.64
2010-10-01,10,41.82
2010-10-08,14,42.1
2010-10-15,14,42.94
2010-10-22,12,43.8
2010-10-29,11,44.49
2010-11-05,16,45.84
2010-11-12,16,45.42
2010-11-19,11,45.39
2010-11-26,8,45.48
2010-12-03,15,46.73
2010-12-10,7,46.53
2010-12-17,7,46.86
2010-12-31,9,46.28
2011-01-07,12,48.11
2011-01-14,9,48.75
2011-01-21,10,49.04
2011-01-28,13,47.89
2011-02-04,8,49.34
2011-02-11,10,49.73
2011-02-18,12,49.94
2011-02-25,8,49.61
2011-03-04,11,50.33
2011-03-11,12,50.41
2011-03-18,8,49.31
2011-03-25,10,50.37
2011-04-01,14,51.68
2011-04-08,14,52.45
2011-04-15,12,52.12
2011-04-29,7,54.36
2011-05-06,11,53.59
2011-05-13,9,54.01
2011-05-20,9,54.17
2011-05-27,10,54.13
2011-06-03,6,53.28
2011-06-10,17,51.94
2011-06-17,12,51.67
2011-06-24,14,51.22
2011-07-01,10,53.89
2011-07-08,13,54.5
2011-07-15,9,53.11
2011-07-22,8,53.23
2011-07-29,12,51.49
2011-08-05,16,48.4
2011-08-12,18,47.27
2011-08-19,11,46.32
2011-08-26,11,48.68
2011-09-02,8,48.51
2011-09-09,10,47.62
2011-09-16,9,50.76
2011-09-23,9,46.96
2011-09-30,9,47.15
2011-10-07,11,48.86
2011-10-14,13,51.72
2011-10-21,11,52.25
2011-10-28,7,52.6
2011-11-04,10,51.63
2011-11-11,8,52.16
2011-11-18,9,49.89
2011-11-25,8,47.93
2011-12-02,10,51.3
2011-12-09,10,52.48
2011-12-16,8,51.73
2011-12-23,11,54.33
2011-12-30,7,54.01
2012-01-06,7,54.88
2012-01-13,11,54.95
2012-01-20,9,56.79
2012-01-27,8,55.34
2012-02-03,11,55.51
2012-02-10,13,54.01
2012-02-17,11,54.25
2012-02-24,7,53.82
2012-03-02,14,54.44
2012-03-09,10,54.95
2012-03-16,9,55.1
2012-03-23,9,54.99
2012-03-30,8,55.19
2012-04-13,7,54.49
2012-04-20,12,55.02
2012-04-27,11,55.82
2012-05-04,9,53.56
2012-05-11,6,53.7
2012-05-18,7,51.99
2012-05-25,7,52.68
2012-06-01,6,50.92
2012-06-08,9,53.68
2012-06-15,10,55.04
2012-06-22,9,54.7
2012-06-29,12,55.66
2012-07-06,9,55.43
2012-07-13,7,55.84
2012-07-20,7,56.1
2012-07-27,9,57.6
2012-08-03,11,56.93
2012-08-10,9,57.61
2012-08-17,8,58.51
2012-08-24,9,58.42
2012-08-31,8,58.08
2012-09-07,6,59.25
2012-09-14,5,58.45
2012-09-21,8,58.64
2012-09-28,8,58.66
2012-10-05,8,59.53
2012-10-12,10,58.32
2012-10-19,8,58.42
2012-10-26,8,58.19
2012-11-02,6,57.37
2012-11-09,5,55.3
2012-11-16,6,54.74
2012-11-23,7,56.12
2012-11-30,8,56.74
2012-12-07,9,57.31
2012-12-14,8,57.4
2012-12-21,6,57.58
2012-12-28,6,56.33
2013-01-04,7,59.14
2013-01-11,10,59.42
2013-01-18,10,59.72
2013-01-25,8,59.89
2013-02-01,8,60.65
2013-02-08,7,60.93
2013-02-15,7,61.22
2013-02-22,7,61.01
2013-03-01,10,61.65
2013-03-08,12,63.35
2013-03-15,8,64.48
2013-03-22,8,64.08
2013-04-05,8,63.77
2013-04-12,7,65.91
2013-04-19,7,65.23
2013-04-26,11,66.59
2013-05-03,8,69.23
2013-05-10,5,70.03
2013-05-17,9,71.99
2013-05-24,8,69.85
2013-05-31,4,68.72
2013-06-07,11,68.91
2013-06-14,9,68.01
2013-06-21,5,68.68
2013-06-28,8,68.86
2013-07-05,4,70.75
2013-07-12,4,73.41
2013-07-19,10,72.88
2013-07-26,9,72.48
2013-08-02,5,71.58
2013-08-09,10,72.46
2013-08-16,8,71.89
2013-08-23,8,72.28
2013-08-30,9,71.16
2013-09-06,8,73.13
2013-09-13,5,74.09
2013-09-20,5,74.43
2013-09-27,7,72.56
2013-10-04,8,71.52
2013-10-11,8,72.51
2013-10-18,4,74.19
2013-10-25,7,75.51
2013-11-01,8,75.31
2013-11-08,8,76.01
2013-11-15,9,77.33
2013-11-22,10,80.01
2013-11-29,8,80.02
2013-12-06,8,79.66
2013-12-13,11,77.02
2013-12-20,6,79.97
2013-12-27,7,80.72
2014-01-03,7,80.73
2014-01-10,8,80.35
2014-01-17,10,79.97
2014-01-24,8,76.97
2014-01-31,11,76.6
2014-02-07,10,74.89
2014-02-14,6,76.27
2014-02-21,6,76.2
2014-02-28,10,77.78
2014-03-07,7,78.56
2014-03-14,6,77.55
2014-03-21,8,77.75
2014-03-28,9,76.95
2014-04-04,10,75.82
2014-04-11,13,73.73
2014-04-25,8,75.66
