"Date","GMCR","Price"
2011-02-11,10,43.46
2011-02-18,19,41.81
2011-02-25,10,41.57
2011-03-04,13,41.75
2011-03-11,33,58.86
2011-03-18,14,60.71
2011-03-25,15,62.65
2011-04-01,10,64.77
2011-04-08,12,64.74
2011-04-15,9,65.63
2011-04-29,11,66.96
2011-05-06,21,75.88
2011-05-13,9,75.56
2011-05-20,13,76.65
2011-05-27,14,82.54
2011-06-03,12,79.3
2011-06-10,9,74.05
2011-06-17,12,80.1
2011-06-24,13,83.43
2011-07-01,15,90.35
2011-07-08,16,96.2
2011-07-15,14,90.06
2011-07-22,12,92.71
2011-07-29,29,103.95
2011-08-05,24,95.99
2011-08-12,23,103.58
2011-08-19,13,84.08
2011-08-26,15,97.91
2011-09-02,18,103.56
2011-09-09,12,106.41
2011-09-16,17,107.99
2011-09-23,19,104.26
2011-09-30,16,92.94
2011-10-07,20,92.06
2011-10-14,15,92.09
2011-10-21,51,67.85
2011-10-28,43,70.99
2011-11-04,24,70.67
2011-11-11,82,43.71
2011-11-18,67,50.45
2011-11-25,23,49.66
2011-12-02,26,56.32
2011-12-09,19,58.44
2011-12-16,23,45.26
2011-12-23,17,45.41
2011-12-30,11,44.85
2012-01-06,16,43.17
2012-01-13,19,46.97
2012-01-20,18,50.9
2012-01-27,22,52.5
2012-02-03,56,66.21
2012-02-10,26,62.85
2012-02-17,26,69.01
2012-02-24,18,66.18
2012-03-02,17,68.29
2012-03-09,33,52.59
2012-03-16,25,51.39
2012-03-23,19,53.51
2012-03-30,24,46.84
2012-04-13,17,43.59
2012-04-20,16,44.26
2012-04-27,17,47.9
2012-05-04,100,25.1
2012-05-11,53,25.16
2012-05-18,27,24.05
2012-05-25,22,25.31
2012-06-01,17,22.42
2012-06-08,23,23.13
2012-06-15,21,19.82
2012-06-22,16,20.31
2012-06-29,16,21.78
2012-07-06,18,24.5
2012-07-13,18,19.7
2012-07-20,22,17.57
2012-07-27,23,18.04
2012-08-03,40,21.63
2012-08-10,19,24.43
2012-08-17,18,24.95
2012-08-24,17,25.63
2012-08-31,15,24.31
2012-09-07,15,27.83
2012-09-14,28,31.09
2012-09-21,18,26.76
2012-09-28,20,23.74
2012-10-05,18,22.13
2012-10-12,14,22
2012-10-19,18,23.93
2012-10-26,18,24.36
2012-11-02,11,25.67
2012-11-09,15,23.81
2012-11-16,16,24.55
2012-11-23,19,28.13
2012-11-30,47,36.67
2012-12-07,30,37.85
2012-12-14,22,40.32
2012-12-21,17,41.11
2012-12-28,10,40.35
2013-01-04,16,42.08
2013-01-11,15,41.23
2013-01-18,14,40.6
2013-01-25,19,46.31
2013-02-01,20,46.92
2013-02-08,38,45.16
2013-02-15,19,44.39
2013-02-22,15,45.53
2013-03-01,15,48.91
2013-03-08,18,52.87
2013-03-15,20,54.22
2013-03-22,14,55.43
2013-04-05,18,53.23
2013-04-12,16,57.44
2013-04-19,13,55.01
2013-04-26,14,55.56
2013-05-03,14,58.08
2013-05-10,49,77.22
2013-05-17,27,79.61
2013-05-24,17,71.9
2013-05-31,16,73.13
2013-06-07,16,76.09
2013-06-14,15,78.38
2013-06-21,20,74.42
2013-06-28,17,75.22
2013-07-05,19,72.83
2013-07-12,20,68.88
2013-07-19,19,73.62
2013-07-26,21,75.33
2013-08-02,25,78.11
2013-08-09,39,78.17
2013-08-16,21,76.38
2013-08-23,22,85.61
2013-08-30,22,86.31
2013-09-06,22,82.14
2013-09-13,25,84.29
2013-09-20,21,84.16
2013-09-27,19,74.88
2013-10-04,18,75.71
2013-10-11,19,68.26
2013-10-18,22,64.41
2013-10-25,19,61.78
2013-11-01,17,62.68
2013-11-08,22,59.71
2013-11-15,21,63.02
2013-11-22,43,68.77
2013-11-29,19,67.38
2013-12-06,17,71.3
2013-12-13,21,72.66
2013-12-20,17,77.25
2013-12-27,13,74.83
2014-01-03,14,75.75
2014-01-10,19,80.76
2014-01-17,17,78.96
2014-01-24,15,78.68
2014-01-31,15,81
2014-02-07,75,107.75
2014-02-14,42,116.03
2014-02-21,28,123.04
2014-02-28,21,109.78
2014-03-07,22,106
2014-03-14,24,113.25
2014-03-21,19,112
2014-03-28,16,108.15
2014-04-04,15,102.99
2014-04-11,14,97.98
2014-04-25,15,93.27
