"Date","People.s.United.Bank","Price"
2009-08-14,27,16.75
2009-08-21,31,16.36
2009-08-28,25,16.05
2009-09-04,28,15.86
2009-09-11,28,15.87
2009-09-18,31,16.23
2009-09-25,25,15.66
2009-10-02,14,15.31
2009-10-09,22,15.69
2009-10-16,19,16.15
2009-10-23,24,16.61
2009-10-30,18,16.03
2009-11-06,17,15.9
2009-11-13,17,16.22
2009-11-20,20,16.47
2009-11-27,21,16.37
2009-12-04,22,16.23
2009-12-11,16,16.5
2009-12-18,27,16.97
2010-01-08,25,17
2010-01-15,31,16.62
2010-01-22,25,16.15
2010-01-29,30,16.17
2010-02-05,28,15.35
2010-02-12,28,15.59
2010-02-19,35,15.8
2010-02-26,31,15.75
2010-03-05,34,15.6
2010-03-12,29,15.58
2010-03-19,35,15.79
2010-03-26,27,15.68
2010-04-09,30,16.56
2010-04-16,21,16.4
2010-04-23,25,15.91
2010-04-30,32,15.52
2010-05-07,31,14.39
2010-05-14,30,14.55
2010-05-21,25,14.37
2010-05-28,26,13.97
2010-06-04,26,13.94
2010-06-11,22,14.18
2010-06-18,25,14.54
2010-06-25,23,14.01
2010-07-02,15,13.36
2010-07-09,18,13.88
2010-07-16,25,13.63
2010-07-23,25,14.05
2010-07-30,29,13.84
2010-08-06,34,13.57
2010-08-13,28,13.22
2010-08-20,28,13.24
2010-08-27,32,12.79
2010-09-03,36,12.88
2010-09-10,31,13.1
2010-09-17,36,12.96
2010-09-24,32,13.16
2010-10-01,37,13.04
2010-10-08,41,13.32
2010-10-15,37,13.15
2010-10-22,31,12.61
2010-10-29,41,12.3
2010-11-05,50,12.69
2010-11-12,46,12.5
2010-11-19,50,12.54
2010-11-26,44,12.36
2010-12-03,50,12.96
2010-12-10,42,13.6
2010-12-17,53,13.61
2010-12-31,53,14.01
2011-01-07,65,14.24
2011-01-14,52,14.42
2011-01-21,59,13.2
2011-01-28,52,12.96
2011-02-04,55,13.19
2011-02-11,63,13.13
2011-02-18,63,13.39
2011-02-25,54,13.11
2011-03-04,61,12.67
2011-03-11,53,12.55
2011-03-18,53,12.46
2011-03-25,49,12.64
2011-04-01,53,12.69
2011-04-08,59,12.88
2011-04-15,56,12.95
2011-04-29,68,13.7
2011-05-06,54,13.51
2011-05-13,58,13.16
2011-05-20,62,13.41
2011-05-27,55,13.21
2011-06-03,71,12.83
2011-06-10,70,12.74
2011-06-17,71,13.07
2011-06-24,68,12.86
2011-07-01,71,13.58
2011-07-08,67,13.66
2011-07-15,74,13.56
2011-07-22,73,13.28
2011-07-29,77,12.68
2011-08-05,78,11.79
2011-08-12,80,11.05
2011-08-19,76,10.56
2011-08-26,71,10.98
2011-09-02,66,11.4
2011-09-09,67,11.65
2011-09-16,67,12.39
2011-09-23,68,11.56
2011-09-30,81,11.4
2011-10-07,72,11.6
2011-10-14,76,12.02
2011-10-21,89,12.24
2011-10-28,90,13.02
2011-11-04,90,12.4
2011-11-11,85,12.79
2011-11-18,89,12.18
2011-11-25,78,11.82
2011-12-02,94,12.49
2011-12-09,91,12.5
2011-12-16,100,12.42
2011-12-23,87,12.74
2011-12-30,99,12.85
2012-01-06,98,13.42
2012-01-13,85,13.66
2012-01-20,39,12.9
2012-01-27,40,12.72
2012-02-03,35,12.59
2012-02-10,36,12.5
2012-02-17,37,12.78
2012-02-24,36,12.46
2012-03-02,32,12.72
2012-03-09,33,12.54
2012-03-16,32,13.3
2012-03-23,34,13.29
2012-03-30,33,13.23
2012-04-13,29,12.49
2012-04-20,29,12.41
2012-04-27,27,12.36
2012-05-04,28,12.19
2012-05-11,26,12.03
2012-05-18,27,11.65
2012-05-25,27,11.93
2012-06-01,32,11.39
2012-06-08,29,11.71
2012-06-15,26,11.73
2012-06-22,29,11.73
2012-06-29,31,11.61
2012-07-06,30,11.89
2012-07-13,35,12.05
2012-07-20,36,11.51
2012-07-27,33,11.62
2012-08-03,30,11.55
2012-08-10,40,11.94
2012-08-17,37,12.16
2012-08-24,45,12.07
2012-08-31,33,11.97
2012-09-07,34,12.19
2012-09-14,33,12.45
2012-09-21,32,12
2012-09-28,33,12.14
2012-10-05,32,12.48
2012-10-12,30,12.04
2012-10-19,28,12.29
2012-10-26,34,12.15
2012-11-02,29,12.02
2012-11-09,29,11.6
2012-11-16,33,11.67
2012-11-23,24,11.9
2012-11-30,29,12.19
2012-12-07,29,12.06
2012-12-14,28,12.16
2012-12-21,29,12.14
2012-12-28,30,11.97
2013-01-04,33,12.6
2013-01-11,27,12.59
2013-01-18,29,12.39
2013-01-25,28,12.47
2013-02-01,25,12.51
2013-02-08,25,12.55
2013-02-15,23,12.95
2013-02-22,25,12.94
2013-03-01,24,13.24
2013-03-08,22,13.29
2013-03-15,24,13.55
2013-03-22,25,13.39
2013-04-05,22,13.04
2013-04-12,25,13.3
2013-04-19,25,12.88
2013-04-26,25,13.13
2013-05-03,24,13.35
2013-05-10,25,13.51
2013-05-17,23,13.91
2013-05-24,26,13.81
2013-05-31,26,13.78
2013-06-07,26,13.92
2013-06-14,25,13.76
2013-06-21,25,14.44
2013-06-28,24,14.9
2013-07-05,24,15.2
2013-07-12,27,15.2
2013-07-19,29,15.48
2013-07-26,24,15.23
2013-08-02,29,15.38
2013-08-09,28,14.89
2013-08-16,29,14.93
2013-08-23,30,14.87
2013-08-30,28,14.22
2013-09-06,24,14.27
2013-09-13,22,14.48
2013-09-20,22,14.31
2013-09-27,23,14.28
2013-10-04,27,14.67
2013-10-11,27,14.78
2013-10-18,29,14.37
2013-10-25,25,14.71
2013-11-01,21,14.35
2013-11-08,23,14.61
2013-11-15,24,14.75
2013-11-22,23,14.93
2013-11-29,22,15.14
2013-12-06,25,14.84
2013-12-13,25,14.55
2013-12-20,30,14.64
2013-12-27,24,14.99
2014-01-03,28,15.06
2014-01-10,25,15.38
2014-01-17,26,14.85
2014-01-24,21,14.58
2014-01-31,29,14.21
2014-02-07,22,13.96
2014-02-14,25,14.16
2014-02-21,23,14.06
2014-02-28,25,14.17
2014-03-07,22,14.57
2014-03-14,25,14.41
2014-03-21,22,14.99
2014-03-28,20,14.64
2014-04-04,26,14.66
2014-04-11,22,14.61
2014-04-25,22,14.38
