"Date","GT","Price"
2005-10-14,59,13.94
2005-10-21,60,13.6
2005-10-28,57,15.24
2005-11-04,57,15.74
2005-11-11,57,15.59
2005-11-18,57,16.13
2005-11-25,58,16.97
2005-12-02,56,17.09
2005-12-09,56,17.11
2005-12-16,56,17.5
2005-12-23,57,17.9
2005-12-30,62,17.38
2006-01-06,56,18.47
2006-01-13,58,18.25
2006-01-20,58,17.63
2006-01-27,59,18.87
2006-02-03,58,15.21
2006-02-10,57,14.91
2006-02-17,55,14.87
2006-02-24,55,14.55
2006-03-03,57,13.42
2006-03-10,58,13.18
2006-03-17,57,13.73
2006-03-24,59,14.02
2006-03-31,60,14.48
2006-04-07,59,13.89
2006-04-21,62,13.9
2006-04-28,58,14
2006-05-05,60,15.2
2006-05-12,60,14.5
2006-05-19,59,13.53
2006-05-26,58,13.04
2006-06-02,56,12.58
2006-06-09,55,11.81
2006-06-16,54,11.67
2006-06-23,54,10.99
2006-06-30,51,11.1
2006-07-07,55,10.6
2006-07-14,54,9.99
2006-07-21,54,9.94
2006-07-28,59,10.57
2006-08-04,57,11.79
2006-08-11,58,11.3
2006-08-18,60,11.69
2006-08-25,57,12.16
2006-09-01,57,13.77
2006-09-08,57,14.57
2006-09-15,58,14.22
2006-09-22,58,14.35
2006-09-29,57,14.5
2006-10-06,58,14.46
2006-10-13,56,14.56
2006-10-20,57,14.7
2006-10-27,56,14.96
2006-11-03,59,15.28
2006-11-10,57,18.02
2006-11-17,58,18
2006-11-24,60,17.89
2006-12-01,57,16.8
2006-12-08,54,17.72
2006-12-15,54,19.2
2006-12-22,54,19.72
2006-12-29,60,20.99
2007-01-05,57,23.28
2007-01-12,51,24.51
2007-01-19,51,24.22
2007-01-26,54,24.7
2007-02-02,52,24.89
2007-02-09,54,25.11
2007-02-16,53,25.18
2007-02-23,55,26.12
2007-03-02,54,27.19
2007-03-09,57,28.51
2007-03-16,56,28.26
2007-03-23,56,30.29
2007-03-30,56,31.19
2007-04-13,57,33.18
2007-04-20,56,32.51
2007-04-27,55,34.41
2007-05-04,61,33.68
2007-05-11,60,32.96
2007-05-18,59,34.98
2007-05-25,58,34.44
2007-06-01,58,36.13
2007-06-08,61,35.13
2007-06-15,59,35.32
2007-06-22,61,34.67
2007-06-29,62,34.76
2007-07-06,60,36.57
2007-07-13,61,36.03
2007-07-20,63,34.95
2007-07-27,61,27
2007-08-03,61,26.43
2007-08-10,59,27.25
2007-08-17,61,27.69
2007-08-24,64,28.84
2007-08-31,63,27.66
2007-09-07,61,25.92
2007-09-14,62,25.52
2007-09-21,61,29.15
2007-09-28,62,30.41
2007-10-05,61,30.01
2007-10-12,66,30.76
2007-10-19,64,28.51
2007-10-26,66,27.48
2007-11-02,79,30.48
2007-11-09,70,27.11
2007-11-16,70,27.23
2007-11-23,78,26.58
2007-11-30,77,28.75
2007-12-07,75,28.44
2007-12-14,67,26.46
2007-12-21,67,28.75
2007-12-28,74,28.51
2008-01-04,68,24.58
2008-01-11,66,24.28
2008-01-18,63,24.25
2008-01-25,62,25.07
2008-02-01,61,26.07
2008-02-08,61,23.69
2008-02-15,60,26.86
2008-02-22,66,26.93
2008-02-29,63,27.1
2008-03-07,64,25.61
2008-03-14,63,25.61
2008-03-28,65,24.8
2008-04-04,66,26.58
2008-04-11,65,25.5
2008-04-18,63,27.4
2008-04-25,65,28.91
2008-05-02,65,27.18
2008-05-09,63,27.88
2008-05-16,65,28.98
2008-05-23,63,25.29
2008-05-30,64,25.41
2008-06-06,63,23.11
2008-06-13,61,23.14
2008-06-20,64,20.34
2008-06-27,65,18.25
2008-07-11,63,16.98
2008-07-18,62,18.53
2008-07-25,64,19.49
2008-08-01,63,19.2
2008-08-08,62,21.33
2008-08-15,63,21.41
2008-08-22,60,20.36
2008-08-29,62,19.61
2008-09-05,61,20.59
2008-09-12,61,18.35
2008-09-19,60,17.18
2008-09-26,61,16.57
2008-10-03,60,12.55
2008-10-10,61,12.2
2008-10-17,60,11.7
2008-10-24,59,8.89
2008-10-31,58,8.92
2008-11-07,56,7.14
2008-11-14,56,5.42
2008-11-21,58,5.01
2008-11-28,59,6.43
2008-12-05,58,6.07
2008-12-12,60,6.14
2008-12-19,58,6.12
2008-12-26,65,5.58
2009-01-02,64,6.51
2009-01-09,57,7.63
2009-01-16,57,6.71
2009-01-23,55,6.49
2009-01-30,56,6.17
2009-02-06,54,7.17
2009-02-13,55,6.92
2009-02-20,56,5.97
2009-02-27,56,4.44
2009-03-06,58,3.51
2009-03-13,57,5.24
2009-03-20,57,5.84
2009-03-27,57,6.85
2009-04-03,57,7.4
2009-04-17,60,10.21
2009-04-24,59,10.87
2009-05-01,59,11.41
2009-05-08,58,13.3
2009-05-15,59,11.24
2009-05-22,59,11.45
2009-05-29,58,11.45
2009-06-05,59,12.94
2009-06-12,59,12.41
2009-06-19,58,12.23
2009-06-26,58,11.22
2009-07-10,59,10.98
2009-07-17,58,12.92
2009-07-24,59,14.47
2009-07-31,59,17.02
2009-08-07,59,18.11
2009-08-14,59,17.8
2009-08-21,60,17.97
2009-08-28,62,16.2
2009-09-04,58,16.35
2009-09-11,58,17.27
2009-09-18,59,17.08
2009-09-25,59,16.02
2009-10-02,60,15.35
2009-10-09,59,17.23
2009-10-16,60,17.46
2009-10-23,57,17.75
2009-10-30,56,12.88
2009-11-06,56,13.13
2009-11-13,57,14.34
2009-11-20,54,14.11
2009-11-27,56,13.69
2009-12-04,55,14.56
2009-12-11,54,14.89
2009-12-18,56,14.34
2010-01-08,58,15.94
2010-01-15,56,15.02
2010-01-22,57,13.24
2010-01-29,56,13.34
2010-02-05,57,12.64
2010-02-12,57,13.28
2010-02-19,55,13.46
2010-02-26,55,12.99
2010-03-05,58,13.7
2010-03-12,57,13.82
2010-03-19,59,13.01
2010-03-26,60,13.03
2010-04-09,60,12.87
2010-04-16,59,14.27
2010-04-23,56,14.58
2010-04-30,57,13.43
2010-05-07,57,12.11
2010-05-14,57,13.05
2010-05-21,57,11.33
2010-05-28,58,11.9
2010-06-04,56,11.49
2010-06-11,54,11.59
2010-06-18,55,11.99
2010-06-25,54,11.4
2010-07-02,53,10.01
2010-07-09,56,10.89
2010-07-16,57,10.94
2010-07-23,59,12.22
2010-07-30,60,10.67
2010-08-06,60,11.15
2010-08-13,60,9.98
2010-08-20,61,9.85
2010-08-27,60,9.69
2010-09-03,57,10.3
2010-09-10,61,10.35
2010-09-17,57,11.16
2010-09-24,58,10.82
2010-10-01,58,10.85
2010-10-08,56,11.57
2010-10-15,58,11.97
2010-10-22,56,11.74
2010-10-29,56,10.22
2010-11-05,55,10.47
2010-11-12,57,10.1
2010-11-19,59,10.33
2010-11-26,65,10.03
2010-12-03,60,9.93
2010-12-10,60,11.35
2010-12-17,58,11.64
2010-12-31,63,11.85
2011-01-07,61,12.9
2011-01-14,58,12.13
2011-01-21,57,11.58
2011-01-28,57,11.66
2011-02-04,55,12.76
2011-02-11,58,14.3
2011-02-18,56,14.89
2011-02-25,54,13.9
2011-03-04,56,13.68
2011-03-11,54,14.98
2011-03-18,55,14.82
2011-03-25,55,15.45
2011-04-01,56,15.22
2011-04-08,56,15
2011-04-15,57,15.15
2011-04-29,59,18.15
2011-05-06,59,17.56
2011-05-13,58,17.77
2011-05-20,57,17.57
2011-05-27,59,17.51
2011-06-03,57,16.51
2011-06-10,60,14.99
2011-06-17,59,14.8
2011-06-24,59,15.88
2011-07-01,58,17.29
2011-07-08,57,17.23
2011-07-15,60,17.84
2011-07-22,56,17.89
2011-07-29,58,16.17
2011-08-05,58,13.55
2011-08-12,59,13.48
2011-08-19,61,10.88
2011-08-26,58,11.81
2011-09-02,60,11.5
2011-09-09,59,10.78
2011-09-16,60,11.09
2011-09-23,59,9.86
2011-09-30,60,10.09
2011-10-07,59,10.3
2011-10-14,57,12.27
2011-10-21,58,12.97
2011-10-28,60,14.84
2011-11-04,59,14.3
2011-11-11,59,13.93
2011-11-18,60,12.76
2011-11-25,59,11.93
2011-12-02,60,14.12
2011-12-09,59,14.55
2011-12-16,60,13.58
2011-12-23,61,14.31
2011-12-30,66,14.17
2012-01-06,63,15.15
2012-01-13,60,13.5
2012-01-20,61,13.65
2012-01-27,60,13.5
2012-02-03,59,13.86
2012-02-10,61,13.88
2012-02-17,60,13.42
2012-02-24,61,13.11
2012-03-02,60,13.12
2012-03-09,60,12.38
2012-03-16,60,12.16
2012-03-23,60,11.91
2012-03-30,61,11.22
2012-04-13,62,10.59
2012-04-20,60,11.24
2012-04-27,61,11.32
2012-05-04,62,10.84
2012-05-11,60,10.55
2012-05-18,63,10.04
2012-05-25,62,10.59
2012-06-01,63,9.87
2012-06-08,63,10.49
2012-06-15,63,11.02
2012-06-22,64,11.46
2012-06-29,63,11.81
2012-07-06,64,11.09
2012-07-13,63,10.24
2012-07-20,65,9.81
2012-07-27,64,10.57
2012-08-03,64,11.16
2012-08-10,63,11.74
2012-08-17,67,12.04
2012-08-24,70,11.88
2012-08-31,68,12.2
2012-09-07,67,13.16
2012-09-14,66,13.51
2012-09-21,64,12.73
2012-09-28,63,12.19
2012-10-05,62,12.74
2012-10-12,61,12.28
2012-10-19,61,12.39
2012-10-26,61,11.02
2012-11-02,59,11.6
2012-11-09,59,11.53
2012-11-16,58,11.16
2012-11-23,61,11.83
2012-11-30,59,12.6
2012-12-07,60,12.78
2012-12-14,59,12.95
2012-12-21,59,13.08
2012-12-28,64,13.29
2013-01-04,62,14.35
2013-01-11,60,13.78
2013-01-18,58,13.81
2013-01-25,59,13.87
2013-02-01,60,13.78
2013-02-08,59,13.59
2013-02-15,61,14.1
2013-02-22,59,13.45
2013-03-01,60,12.96
2013-03-08,61,13.08
2013-03-15,60,13.73
2013-03-22,61,12.8
2013-04-05,62,12.16
2013-04-12,62,12.51
2013-04-19,59,12.14
2013-04-26,59,12.51
2013-05-03,61,12.37
2013-05-10,59,12.85
2013-05-17,60,14.74
2013-05-24,60,14.55
2013-05-31,61,15.14
2013-06-07,59,14.82
2013-06-14,61,15.31
2013-06-21,59,14.94
2013-06-28,61,15.3
2013-07-05,62,15.86
2013-07-12,60,16.6
2013-07-19,62,17.23
2013-07-26,61,16.78
2013-08-02,63,19.02
2013-08-09,61,19.05
2013-08-16,63,18.72
2013-08-23,63,18.84
2013-08-30,62,20.12
2013-09-06,62,20.79
2013-09-13,59,21.82
2013-09-20,60,22.21
2013-09-27,61,22.46
2013-10-04,60,23.01
2013-10-11,60,22.64
2013-10-18,61,22.63
2013-10-25,59,22.21
2013-11-01,60,20.86
2013-11-08,62,21.06
2013-11-15,61,21.65
2013-11-22,60,21.75
2013-11-29,61,22.26
2013-12-06,100,22.56
2013-12-13,64,22.62
2013-12-20,62,22.93
2013-12-27,66,23.54
2014-01-03,65,23.37
2014-01-10,63,25.99
2014-01-17,64,24.53
2014-01-24,60,23.04
2014-01-31,60,23.66
2014-02-07,59,23.53
2014-02-14,60,26.76
2014-02-21,60,26.54
2014-02-28,66,26.87
2014-03-07,60,27.66
2014-03-14,61,27.29
2014-03-21,61,26.92
2014-03-28,62,25.94
2014-04-04,60,25.56
2014-04-11,60,25.21
2014-04-25,63,27.44
