"Date","buy.MAC","Price"
2005-09-30,32,64.94
2005-10-07,25,62.59
2005-10-14,35,62.65
2005-10-21,33,62.92
2005-10-28,32,64
2005-11-04,34,62.15
2005-11-11,34,65.43
2005-11-18,41,66.76
2005-11-25,42,68.58
2005-12-02,31,68.37
2005-12-09,37,67.63
2005-12-16,39,67.77
2005-12-23,39,68.5
2005-12-30,41,67.14
2006-01-06,32,70.83
2006-01-13,39,70.1
2006-01-20,36,69.65
2006-01-27,41,71.76
2006-02-03,31,70.71
2006-02-10,33,69.95
2006-02-17,30,71.2
2006-02-24,37,72.3
2006-03-03,33,71.1
2006-03-10,37,72.4
2006-03-17,33,74.34
2006-03-24,29,72.44
2006-03-31,31,73.95
2006-04-07,26,71.45
2006-04-21,30,73.66
2006-04-28,27,73.22
2006-05-05,21,74.05
2006-05-12,28,70.8
2006-05-19,35,69.44
2006-05-26,33,69.53
2006-06-02,34,71.25
2006-06-09,28,71.19
2006-06-16,28,70.05
2006-06-23,28,68.11
2006-06-30,33,70.2
2006-07-07,35,71.07
2006-07-14,31,71
2006-07-21,32,70.02
2006-07-28,33,72.5
2006-08-04,40,71.78
2006-08-11,49,70.4
2006-08-18,44,72.17
2006-08-25,40,72.5
2006-09-01,37,73.68
2006-09-08,34,73.7
2006-09-15,40,76.44
2006-09-22,39,75.85
2006-09-29,33,76.36
2006-10-06,40,77.9
2006-10-13,37,78.65
2006-10-20,43,78.14
2006-10-27,41,79.8
2006-11-03,40,77.66
2006-11-10,33,78.21
2006-11-17,36,80.8
2006-11-24,39,86.72
2006-12-01,42,85.74
2006-12-08,40,85.13
2006-12-15,44,83.38
2006-12-22,50,82.57
2006-12-29,48,86.57
2007-01-05,50,85.76
2007-01-12,48,90.55
2007-01-19,42,92.48
2007-01-26,42,93.46
2007-02-02,43,96.6
2007-02-09,49,100.1
2007-02-16,51,98.25
2007-02-23,43,96.24
2007-03-02,40,91.96
2007-03-09,37,93.14
2007-03-16,43,90.67
2007-03-23,41,93.43
2007-03-30,36,92.36
2007-04-13,43,94.28
2007-04-20,42,95.79
2007-04-27,38,96.05
2007-05-04,39,93.76
2007-05-11,38,93.03
2007-05-18,39,85.65
2007-05-25,41,84.08
2007-06-01,40,89.39
2007-06-08,42,87.31
2007-06-15,39,85.94
2007-06-22,34,83.1
2007-06-29,37,82.42
2007-07-06,46,85.61
2007-07-13,36,84.71
2007-07-20,39,80.33
2007-07-27,42,73.14
2007-08-03,38,74.78
2007-08-10,51,78.94
2007-08-17,52,81.11
2007-08-24,48,81.16
2007-08-31,48,81.22
2007-09-07,48,79.87
2007-09-14,48,82.77
2007-09-21,46,84.43
2007-09-28,48,87.58
2007-10-05,41,91.78
2007-10-12,47,90.88
2007-10-19,47,85.15
2007-10-26,47,85.31
2007-11-02,49,82.08
2007-11-09,49,78.54
2007-11-16,52,78.96
2007-11-23,73,75.8
2007-11-30,62,77.65
2007-12-07,59,80.1
2007-12-14,44,74.61
2007-12-21,57,73.86
2007-12-28,72,70.63
2008-01-04,63,64.86
2008-01-11,59,61.52
2008-01-18,63,58.91
2008-01-25,56,66.03
2008-02-01,51,72.13
2008-02-08,62,64.07
2008-02-15,53,65.56
2008-02-22,58,64.15
2008-02-29,47,64
2008-03-07,45,61.17
2008-03-14,46,61.6
2008-03-28,50,68.57
2008-04-04,50,72.85
2008-04-11,49,69.85
2008-04-18,47,73.27
2008-04-25,46,74.75
2008-05-02,53,75.15
2008-05-09,44,73.15
2008-05-16,44,73.74
2008-05-23,42,69.97
2008-05-30,48,71.53
2008-06-06,52,69.45
2008-06-13,49,67.25
2008-06-20,49,66.18
2008-06-27,56,62.1
2008-07-11,51,57.49
2008-07-18,60,56.62
2008-07-25,58,55.69
2008-08-01,57,55.42
2008-08-08,58,60.93
2008-08-15,67,62.6
2008-08-22,61,58.58
2008-08-29,56,61.93
2008-09-05,65,64.11
2008-09-12,71,65.39
2008-09-19,65,67.81
2008-09-26,63,65.1
2008-10-03,52,48.12
2008-10-10,54,43
2008-10-17,60,33.7
2008-10-24,58,22.09
2008-10-31,55,29.42
2008-11-07,51,29.26
2008-11-14,55,17.11
2008-11-21,56,10.75
2008-11-28,67,13.46
2008-12-05,63,10.93
2008-12-12,59,14.29
2008-12-19,62,20.84
2008-12-26,77,20.27
2009-01-02,82,18.41
2009-01-09,61,17.26
2009-01-16,61,16.77
2009-01-23,63,16.07
2009-01-30,58,14.74
2009-02-06,54,15.09
2009-02-13,51,13.54
2009-02-20,56,11.2
2009-02-27,57,11.42
2009-03-06,60,7.17
2009-03-13,56,8.54
2009-03-20,53,6.19
2009-03-27,53,5.8
2009-04-03,56,9.84
2009-04-17,59,15.36
2009-04-24,51,16.28
2009-05-01,59,16.67
2009-05-08,55,19.3
2009-05-15,51,15.02
2009-05-22,55,15.96
2009-05-29,55,16.88
2009-06-05,63,20.71
2009-06-12,70,19.62
2009-06-19,60,18.44
2009-06-26,52,17.61
2009-07-10,60,14.96
2009-07-17,61,17.13
2009-07-24,63,18.93
2009-07-31,59,19.67
2009-08-07,66,27.4
2009-08-14,64,26.33
2009-08-21,63,25.72
2009-08-28,74,30.04
2009-09-04,68,26.18
2009-09-11,68,29.45
2009-09-18,65,33.69
2009-09-25,65,30.52
2009-10-02,59,27.88
2009-10-09,62,29.99
2009-10-16,63,29.16
2009-10-23,70,31.02
2009-10-30,64,29.8
2009-11-06,67,29.99
2009-11-13,69,32.5
2009-11-20,69,30.02
2009-11-27,91,28.44
2009-12-04,75,30.34
2009-12-11,69,31.21
2009-12-18,76,32.89
2010-01-08,68,32.84
2010-01-15,61,32.78
2010-01-22,60,31.55
2010-01-29,69,30.85
2010-02-05,65,31.31
2010-02-12,67,30.85
2010-02-19,63,33.64
2010-02-26,63,35.64
2010-03-05,62,38.58
2010-03-12,57,39.19
2010-03-19,58,39.4
2010-03-26,55,39.28
2010-04-09,65,41.99
2010-04-16,67,39.83
2010-04-23,63,45
2010-04-30,64,44.71
2010-05-07,58,40.75
2010-05-14,65,43.31
2010-05-21,59,40.33
2010-05-28,68,41.36
2010-06-04,62,37.81
2010-06-11,60,40.96
2010-06-18,64,42.91
2010-06-25,66,40.27
2010-07-02,67,36.59
2010-07-09,66,39.58
2010-07-16,63,37.51
2010-07-23,68,40.12
2010-07-30,73,41.45
2010-08-06,69,41.73
2010-08-13,70,39.29
2010-08-20,68,39.79
2010-08-27,69,40.81
2010-09-03,66,44
2010-09-10,70,42.21
2010-09-17,67,43.34
2010-09-24,66,43.27
2010-10-01,64,43.87
2010-10-08,63,43.64
2010-10-15,64,43.45
2010-10-22,65,44.63
2010-10-29,70,44.58
2010-11-05,67,49.4
2010-11-12,73,45.73
2010-11-19,74,45.2
2010-11-26,92,46.32
2010-12-03,80,48.24
2010-12-10,75,44.94
2010-12-17,73,45.1
2010-12-31,96,47.37
2011-01-07,83,46.43
2011-01-14,70,47.14
2011-01-21,71,46.31
2011-01-28,68,47.91
2011-02-04,69,48.39
2011-02-11,70,49.37
2011-02-18,63,49.27
2011-02-25,73,48.62
2011-03-04,69,48.36
2011-03-11,69,48.24
2011-03-18,68,47.87
2011-03-25,67,48.01
2011-04-01,70,49.11
2011-04-08,64,47.67
2011-04-15,65,49.88
2011-04-29,67,52.82
2011-05-06,62,49.97
2011-05-13,65,50.66
2011-05-20,69,52.15
2011-05-27,70,52.89
2011-06-03,68,52.84
2011-06-10,72,49.91
2011-06-17,74,50.54
2011-06-24,70,51.49
2011-07-01,65,54.18
2011-07-08,70,56.2
2011-07-15,68,53.92
2011-07-22,86,54.86
2011-07-29,89,53.13
2011-08-05,84,45.94
2011-08-12,76,49
2011-08-19,80,45.28
2011-08-26,80,46.04
2011-09-02,77,45.67
2011-09-09,71,45.06
2011-09-16,69,48.05
2011-09-23,65,44.08
2011-09-30,62,42.63
2011-10-07,68,41.51
2011-10-14,74,44.53
2011-10-21,68,47.26
2011-10-28,68,50
2011-11-04,69,50.24
2011-11-11,70,50.45
2011-11-18,69,49.04
2011-11-25,91,46.04
2011-12-02,79,48.86
2011-12-09,72,49.96
2011-12-16,78,49.2
2011-12-23,77,51.18
2011-12-30,100,50.6
2012-01-06,70,51.68
2012-01-13,68,52
2012-01-20,66,54.5
2012-01-27,68,55.01
2012-02-03,70,55.12
2012-02-10,70,55.02
2012-02-17,68,55.47
2012-02-24,71,54.34
2012-03-02,68,54.9
2012-03-09,67,54.43
2012-03-16,64,56.01
2012-03-23,63,55.63
2012-03-30,61,57.75
2012-04-13,61,57.86
2012-04-20,64,59.54
2012-04-27,61,61.9
2012-05-04,60,61.96
2012-05-11,57,60.8
2012-05-18,67,55.86
2012-05-25,66,57.96
2012-06-01,62,55.38
2012-06-08,60,57.27
2012-06-15,71,56.17
2012-06-22,65,56.92
2012-06-29,65,59.05
2012-07-06,67,59.68
2012-07-13,67,58.82
2012-07-20,69,57.11
2012-07-27,74,58.36
2012-08-03,77,58.71
2012-08-10,73,57.27
2012-08-17,78,57.72
2012-08-24,75,59.65
2012-08-31,73,59.57
2012-09-07,72,60.82
2012-09-14,70,61.34
2012-09-21,70,58.92
2012-09-28,72,57.23
2012-10-05,67,58.43
2012-10-12,64,59.03
2012-10-19,64,58.91
2012-10-26,70,57.06
2012-11-02,59,57.54
2012-11-09,64,56
2012-11-16,65,55.38
2012-11-23,87,56.97
2012-11-30,68,56.5
2012-12-07,68,57.9
2012-12-14,72,57.85
2012-12-21,74,58.48
2012-12-28,85,57.6
2013-01-04,73,59
2013-01-11,66,57.94
2013-01-18,59,58.61
2013-01-25,61,59.34
2013-02-01,61,60.46
2013-02-08,65,61.64
2013-02-15,59,61.53
2013-02-22,60,60.5
2013-03-01,59,60.11
2013-03-08,60,62.01
2013-03-15,60,62.61
2013-03-22,59,62.87
2013-04-05,56,65.06
2013-04-12,56,67.54
2013-04-19,57,67.18
2013-04-26,55,68.8
2013-05-03,50,70.42
2013-05-10,51,70.24
2013-05-17,49,70.41
2013-05-24,51,66.86
2013-05-31,55,64.91
2013-06-07,53,62.75
2013-06-14,63,62.25
2013-06-21,57,58.45
2013-06-28,57,60.97
2013-07-05,59,61.4
2013-07-12,58,63.78
2013-07-19,60,65.35
2013-07-26,60,63.63
2013-08-02,65,61.85
2013-08-09,63,61.81
2013-08-16,66,56.72
2013-08-23,65,56.72
2013-08-30,63,56.28
2013-09-06,66,56.61
2013-09-13,59,57.2
2013-09-20,62,58.12
2013-09-27,59,57.26
2013-10-04,56,55.68
2013-10-11,56,56.25
2013-10-18,57,59.09
2013-10-25,62,59.76
2013-11-01,59,59.93
2013-11-08,60,56.56
2013-11-15,59,58.89
2013-11-22,59,57.67
2013-11-29,81,56.94
2013-12-06,64,60.49
2013-12-13,60,58.51
2013-12-20,67,58.96
2013-12-27,74,59.17
2014-01-03,65,58.69
2014-01-10,60,58.91
2014-01-17,56,58.04
2014-01-24,60,57.1
2014-01-31,56,56.6
2014-02-07,53,59.23
2014-02-14,55,60.9
2014-02-21,53,60.67
2014-02-28,54,60.13
2014-03-07,54,60.25
2014-03-14,50,59.97
2014-03-21,51,60.56
2014-03-28,51,61.69
2014-04-04,51,62.67
2014-04-11,48,63.09
2014-04-25,52,63.92
